trial_index,test_size,window_size,hidden_size,lstm_layers,num_attention_heads,dropout,batch_size,lr,epochs,grad_clip,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,4,18,128,3,2,0.40378684401512144,128,0.00042928809245949026,2000,2.1127274930477142,509.8589612304773,27.05865884373684,364328.7505444451,576.6527039866971,-18.629206414808785,6.216025984752054,184.619461,2026-03-12T23:22:40,98.0
1,4,15,64,2,4,0.5537170147523284,64,6.0551919771986076e-05,2000,2.7147467406466603,528.6512586987272,28.319671756049974,396658.3988004871,620.1639064804932,-31.673242604903365,3.585375187601237,776.885151,2026-03-12T23:25:45,252.66666666666666
2,4,10,128,3,2,0.43012282429262993,32,0.00012423087058477137,2000,1.800959661602974,443.8103354728899,23.484849177585584,280951.0405998841,502.6739779281711,-15.389137813673026,5.560999638667228,673.559764,2026-03-12T23:38:42,118.66666666666667
3,4,21,32,1,4,0.1038826041854918,128,1.1322362108984185e-05,2000,0.8142561647109687,952.742905368467,53.013509602416775,1357483.819646584,1134.9141789989737,-149.17586564418656,12.245715947216276,1245.408003,2026-03-12T23:49:55,656.0
4,4,24,64,2,4,0.16363934557884932,64,0.0002324410007852662,2000,2.173764786683023,303.3393594123187,15.86192942392442,164815.42931633853,352.4767057686413,-3.2604307805006614,6.3793356157960694,524.464758,2026-03-13T00:10:41,189.66666666666666
5,4,13,32,4,2,0.3664521727710962,64,1.9125040359128024e-05,2000,0.6414997433312237,780.2705098390285,42.49904259670787,844556.0354140777,904.620587294787,-62.90963162599371,7.234094074592183,1454.012327,2026-03-13T00:19:25,459.6666666666667
6,4,17,128,1,4,0.4928539813496172,32,0.00039310828438142746,2000,1.5303100920282304,306.36269819085675,16.786394135275188,131096.685002109,358.7749604091745,-12.297087804898174,4.497030595857467,1073.777011,2026-03-13T00:43:39,200.33333333333334
7,4,31,64,3,2,0.2911398614756763,128,3.5826466139201314e-05,2000,2.4980281684547663,541.6715130560361,29.23212405587189,426255.97378938756,640.5991026253199,-28.338726992889505,4.758378987795877,1044.706396,2026-03-13T01:01:33,416.6666666666667
8,4,30,64,1,2,0.5914866806939244,128,0.000242381636713946,2000,2.2272043274715543,299.1659277312984,16.740747030484513,117770.643963238,342.18880942171336,-8.815349473368965,2.2275152194919987,574.884412,2026-03-13T01:18:58,236.66666666666666
9,4,19,32,3,4,0.2628196574747562,32,2.9360331324892923e-05,2000,0.7125659422017634,499.67788330273896,26.59452205882631,367422.85600655753,578.3823274333045,-18.444139558528743,7.479154823649872,1595.930711,2026-03-13T01:28:33,297.6666666666667
10,4,12,128,2,2,0.13531915741041303,64,0.00045153396293813304,2000,1.6154902982525527,249.35974386290923,12.904901600445315,109163.28543529364,320.49293951733813,-5.5338067354909946,1.7087746154588512,526.722953,2026-03-13T01:55:08,168.66666666666666
11,4,26,32,4,4,0.4650848581455648,64,4.9707076400138e-05,2000,2.600830264389515,679.1246656444147,36.63029353458223,836479.4548962911,804.4984567320845,-26.539956191572443,18.61265263722347,1484.841107,2026-03-13T02:03:55,527.0
12,4,22,128,3,4,0.4037555068731308,128,0.0007652261454097486,2000,1.40250811772421,330.06549374488,16.85706741024768,192698.15821234338,404.96569199305094,-6.277137610260136,5.693742125839197,407.143601,2026-03-13T02:28:40,195.33333333333334
13,4,8,64,1,2,0.2005624169483781,32,9.269723373402291e-05,2000,2.9360413243994117,324.91770114974014,17.588436539074277,135563.84534590857,360.8703499446451,-11.376856289340983,3.164263133928171,1356.08379,2026-03-13T02:35:27,244.66666666666666
14,4,17,64,4,4,0.32305803513154385,32,0.00014293583240777613,2000,2.0484234411269426,307.84155531376285,16.279999815388948,138348.5266023101,356.5974015701816,-7.133175437423394,3.393194875847145,1001.008093,2026-03-13T02:58:03,180.33333333333334
15,4,28,32,2,2,0.527349713165313,64,1.5735579502125907e-05,2000,1.081935083027929,437.38867533073113,22.876522560617573,323302.64482255717,515.0234415154849,-12.829783243541266,8.494068646290348,3881.084057,2026-03-13T03:14:44,1422.6666666666667
16,4,16,128,2,4,0.20390036174866322,64,0.00036531244485889236,2000,1.8236490468959032,329.8718734642319,17.421405980780673,158450.5902443255,384.244238307198,-9.566876327305469,3.1039000867170277,414.363026,2026-03-13T04:19:26,141.66666666666666
17,4,16,64,2,2,0.17503429116888428,32,0.00033836658391649566,2000,1.917809209885553,302.49407036650024,15.887961111083635,151488.44745489312,363.9051224184591,-6.793280305693195,3.3307428570861717,647.506514,2026-03-13T04:26:21,120.66666666666667
18,4,18,64,3,4,0.24498963804968324,32,0.00032459130891378555,2000,1.873796832171349,322.5325997192048,16.62226596610657,177223.49297416527,393.9499032805017,-7.506891479644113,4.3006143189648744,887.505566,2026-03-13T04:37:09,165.0
19,4,14,128,2,2,0.14226534337754776,64,0.00031480332632475276,2000,2.0235201488151326,260.9772563293346,13.89082428321933,108545.74252796448,322.5134747114769,-6.138106126267513,2.070570651562783,459.409329,2026-03-13T04:51:58,151.66666666666666
20,4,14,128,1,2,0.16578400755876915,64,0.0004072758439104682,2000,1.8382565042502335,298.67955028158076,16.15442116240222,127963.8294655354,355.878876865816,-9.392374551497598,1.8917758241803524,404.734369,2026-03-13T04:59:38,134.66666666666666
21,4,13,128,2,2,0.11442445435212635,64,0.0003681869778403201,2000,1.8634435163156235,207.67380225160286,10.790296340941671,79186.61356497258,268.7650168784337,-3.761515951058397,1.22077620447219,510.277892,2026-03-13T05:06:24,163.0
22,4,25,64,2,4,0.35112984249384116,64,0.000501601359914967,2000,1.568092766117788,316.0233639855572,16.88030307656933,137500.1316557139,361.4206734595943,-8.468502131482104,2.0284598720676748,428.596282,2026-03-13T05:14:55,154.66666666666666
23,4,11,128,2,2,0.1,64,0.00037830738462782463,2000,1.9338897156794173,267.35214381870577,14.518306770895341,108107.52393836185,327.51996939898976,-8.290986195974584,1.4963710549485754,399.945472,2026-03-13T05:22:04,128.33333333333334
24,4,17,128,2,2,0.1,64,0.0003935904725404197,2000,1.636205140172814,186.00648299041413,10.606327300807422,45823.08338357215,210.1196963787412,-3.7899006278609573,2.0744079489411344,534.867383,2026-03-13T05:28:45,188.66666666666666
25,4,16,128,2,2,0.1,64,0.00036071954643315725,2000,1.6541302928021406,229.17074833829088,12.538239551755614,79422.2567831024,277.75145038566416,-4.4972666575205515,1.0363912671862558,498.564263,2026-03-13T05:37:41,173.0
26,4,18,128,2,2,0.10064496448993344,64,0.0005854327266930599,2000,1.8363877589957553,240.63840785075558,12.549976226472268,96490.42614084133,289.6392123138865,-2.9749526492541527,2.421357100460075,345.220145,2026-03-13T05:46:00,126.33333333333333
27,4,17,128,2,2,0.1035077417968754,64,0.00041568875915470535,2000,1.698295010708499,224.24150285135087,12.82575985560778,69688.79671801497,261.3846910537372,-4.604578570249439,2.156482170059171,505.566657,2026-03-13T05:51:46,179.0
28,4,16,128,2,2,0.10082452996450623,64,0.00041321015378601513,2000,1.6989625832884983,249.26584761831563,13.787666147029393,90675.82244019701,300.12896221863014,-7.059223513379929,0.36007369858295335,394.632209,2026-03-13T06:00:12,138.0
29,4,17,128,2,2,0.11706203381462932,64,0.0004052714304700767,2000,1.7212823633130847,223.39238558074874,12.65591990347825,66903.15533126502,255.58224319623332,-6.729883487371128,1.7837308739706697,543.025128,2026-03-13T06:06:48,189.66666666666666
30,4,17,128,2,2,0.10172347498244969,64,0.00039172601881870306,2000,1.6914595234211387,214.69555876128297,12.436778297077288,69628.15544931522,261.30806532241337,-6.66858553127001,2.0547202425132096,504.505287,2026-03-13T06:15:52,177.0
31,4,17,128,2,2,0.10682144130196262,64,0.00039672553116622164,2000,1.6551914564984958,216.29882509868995,12.539699304305877,65731.03045663833,255.10366085709435,-5.426220861305867,1.7944023426056255,528.582849,2026-03-13T06:24:17,185.66666666666666
32,4,17,128,2,2,0.10698851698343027,64,0.00042358023989940937,2000,1.6672921415505153,198.62677314800945,11.146128460573964,57051.19812036721,237.3785801100987,-5.564789938407263,0.6892090768940621,470.950499,2026-03-13T06:33:06,165.0
33,4,17,128,2,2,0.11259252585055811,64,0.00043914199438448853,2000,1.6102781210234043,259.3863531938601,13.608178005455166,114070.49322866958,321.642565334276,-4.336164554915764,2.4652291057054825,389.025399,2026-03-13T06:40:58,133.66666666666666
34,4,17,128,2,2,0.1,64,0.000375102946641522,2000,1.7881369209886862,192.37171143670855,11.061293046529011,45630.06552804933,209.45060336708244,-4.654978922337593,3.116005170660061,724.908939,2026-03-13T06:47:28,257.0
35,4,18,128,2,2,0.1,64,0.00033819318498450545,2000,1.8980073615057542,271.14253196353576,14.225578433308096,118647.16624622745,328.6845287262617,-5.392349034304782,3.278488366886638,497.796345,2026-03-13T06:59:34,182.0
36,4,16,128,2,2,0.1,64,0.0004318708990394925,2000,1.7099950611565748,240.40949232422759,12.703463041395928,88914.85522784805,284.3580770202316,-3.8301218143893085,1.6145771511200862,625.704556,2026-03-13T07:07:53,218.0
37,4,23,128,3,4,0.37441436755505075,32,0.0006188557828571962,2000,1.510911582687782,304.60342927572486,15.61013703069033,162818.95965393033,379.22683876265097,-5.84326297349014,3.8183494109516647,694.729709,2026-03-13T07:18:19,130.0
38,4,19,128,2,4,0.41023110707968646,64,0.001,2000,1.311552433424414,286.41029646099537,16.19611592809156,120143.8652480389,345.5074814483084,-11.006554170315033,1.6504795675153252,428.705471,2026-03-13T07:29:55,155.33333333333334
39,4,18,128,4,4,0.36009208751126154,64,0.0006546815089982579,2000,1.745988071794802,252.10905809802208,13.287874577333534,102291.08371932666,305.71484461211656,-4.741240641699068,3.0875775961162155,468.080707,2026-03-13T07:37:05,166.0
