trial_index,test_size,window_size,hidden_size,lstm_layers,num_attention_heads,dropout,batch_size,lr,epochs,grad_clip,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,12,29,128,4,2,0.22637823820114136,128,0.0007359096666678943,2000,1.2014334201812744,261.8135719782385,23.161540827758444,115047.82954942748,314.3870939521207,-42.89615753327933,9.634805233888766,451.461511,2026-03-23T16:42:08,182.66666666666666
1,12,25,64,3,4,0.42810888066887853,128,0.0003864203185441112,2000,1.3192210900597274,134.65743728435623,11.682651105595403,27547.3496271061,164.95649196894263,-6.7779843411289695,1.2993166011120287,631.468492,2026-03-23T16:49:40,299.0
2,12,23,128,4,4,0.5161933045834303,128,0.0001342160267400896,2000,1.9105858840048313,251.76722435025712,22.13974905213806,110094.40012754581,296.8741682512621,-41.68488184575995,12.598912110166836,599.686282,2026-03-23T17:00:11,285.0
3,12,13,64,2,2,0.46888878047466276,128,5.071555201183601e-05,2000,2.4297799794003367,200.73216723246432,17.532758279894555,67403.00867809929,258.5992647218168,-16.46986134550586,0.9780901873790224,901.387288,2026-03-23T17:10:11,557.3333333333334
4,12,10,64,1,4,0.10168574741110206,128,2.212472076066178e-05,2000,2.4068223400972784,315.37064976326855,27.52839356641496,171643.9415500024,413.7215161572972,-42.917880023391234,1.2058140988152335,685.221003,2026-03-23T17:25:12,419.3333333333333
5,12,21,64,4,2,0.26645445488393305,32,0.0002983967302813563,2000,1.805302674882114,200.2195787607493,17.716852369653388,56982.4120362177,232.68473488657023,-17.853363554934276,5.732331655361972,818.207071,2026-03-23T17:36:38,157.66666666666666
6,12,21,32,4,4,0.2590735581703484,128,2.8116894696244957e-05,2000,1.7740272376686335,923.2484281593456,81.51926956270046,1349555.4623986073,1153.8713858083893,-409.9663807585614,18.314891344491706,507.868257,2026-03-23T17:50:16,262.0
7,12,25,128,2,2,0.11447363616898656,32,0.00034950839704060905,2000,1.2928834250196815,141.27465505757087,12.333332800891432,33329.571365623095,173.39791840793796,-10.456607825723328,4.628386823983771,851.662502,2026-03-23T17:58:44,167.0
8,12,14,32,3,2,0.5994693486951291,128,6.850272604931545e-05,2000,2.373657307587564,307.79027184192427,26.17646560049091,190775.18350267483,388.7389385129242,-23.330065786333474,11.176969502160564,984.380868,2026-03-23T18:12:55,603.0
9,12,15,64,2,4,0.4553185458295047,64,0.0009629656585972401,2000,1.565012940671295,132.02886003719246,11.50445967914461,28181.59025462289,166.87500918212436,-6.0904950629563075,0.8263719516034453,504.129069,2026-03-23T18:29:20,175.0
10,12,30,128,2,2,0.3502842340618372,64,0.0006269734244582263,2000,1.397141001187265,205.8099145211493,18.25457285052515,56159.89749786129,233.30315677331396,-15.149542945083828,4.806884723298888,387.095869,2026-03-23T18:37:44,144.66666666666666
11,12,17,32,3,4,0.5135227692313492,32,9.155619790818148e-05,2000,2.410993449855596,148.3427538008327,12.646061615563205,33484.074571893485,179.94023779651556,-6.195979534222804,1.5981938102611786,2590.907286,2026-03-23T18:44:11,493.0
12,12,10,32,2,2,0.3183435964398086,64,6.0467360990070094e-05,2000,2.011689347680658,210.70533857620785,18.510453414365063,78114.15309721336,267.58419784393936,-26.90810132666405,5.879896750663823,1851.387182,2026-03-23T19:27:22,620.3333333333334
13,12,17,64,3,4,0.44361069137230513,32,2.7573158349923938e-05,2000,0.5257910857908428,210.74042969796776,18.708460190648893,69570.33058933646,259.4763651976189,-21.23017266280623,4.8670255077502995,2013.452516,2026-03-23T19:58:14,376.6666666666667
14,12,13,32,1,4,0.4645634762942791,64,0.0007729523473415738,2000,1.9906323375180364,237.46671511739206,20.785321468614356,110490.84142057803,298.9947972217721,-41.853820070800865,11.355566287747306,655.947328,2026-03-23T20:31:47,220.0
15,12,26,128,2,4,0.17928448962047697,64,0.0001119809431252722,2000,2.0384742454625666,351.1596566364206,31.34305171592236,221074.34613506473,401.63803358724135,-91.26859888972604,21.930905378224033,419.402331,2026-03-23T20:42:43,159.0
16,12,21,64,3,4,0.4634811194529773,64,0.0006874513838099879,2000,1.3222772293998326,139.99535912707276,12.304035973492654,29487.575921625452,171.42961998674483,-7.349994572759265,1.267662139476955,539.890046,2026-03-23T20:50:04,196.33333333333334
17,12,20,64,2,4,0.45069924789980575,128,0.0007015058827772352,2000,1.3413300385299505,127.2000559487692,11.169993609034902,25165.637938995787,157.91425589443497,-5.305932917028995,0.8334951175505046,346.118932,2026-03-23T20:59:35,182.33333333333334
18,12,20,64,2,4,0.43828866025640634,64,0.0005489856382675373,2000,1.4277058421021815,129.83560193069638,11.239353915397112,26602.824973873834,161.78255841391498,-6.006439218769908,1.7130433700465686,438.784099,2026-03-23T21:05:53,159.0
19,12,23,128,2,2,0.17654640857996273,32,0.00041430261816940723,2000,1.2857598752406671,250.18410740638657,22.120610816729023,121816.98679326428,291.35630779127945,-50.11729218033195,17.119910468268937,868.851272,2026-03-23T21:13:50,175.33333333333334
20,12,18,64,3,4,0.43441814018615876,128,0.0005589349915921424,2000,1.5316631215054604,141.0263714603399,12.301979370229901,30580.077394986594,174.8537105685349,-7.281862560844023,0.7094867950669617,376.576748,2026-03-23T21:29:01,208.33333333333334
21,12,30,128,2,2,0.1,32,0.0002899115632261624,2000,1.1986651713003014,119.8274081562036,10.798067392082006,28408.200337881546,158.8922185316053,-6.445125687259669,4.154934107171331,1091.912716,2026-03-23T21:36:07,230.33333333333334
22,12,21,64,2,4,0.43857126405288505,128,0.0007127358998985099,2000,1.3873451059844861,143.1158869438447,12.272796179464088,30966.532518961045,174.60183340937024,-6.360912961202037,1.0214975957301635,372.16251,2026-03-23T21:55:13,191.66666666666666
23,12,18,64,2,4,0.46280715021790697,128,0.0003266354059706622,2000,1.2915691749379339,130.9159813970528,11.202230428807331,28967.769622697757,167.2249928185262,-5.0151284053605565,1.3468977228005163,493.683669,2026-03-23T22:02:20,266.6666666666667
24,12,19,64,2,4,0.45728924015178996,64,0.0005053245390562579,2000,1.2537955292276033,134.17514231664282,11.647083288617639,28642.399840685426,168.74533673380316,-5.928018204534591,0.4748389816441168,451.358371,2026-03-23T22:11:38,153.33333333333334
25,12,21,64,2,4,0.45945253375500694,128,0.00041048794783313377,2000,1.5969350391965955,137.05845041993942,11.759647052571266,30122.648499336665,171.37491959007093,-5.558299442963978,0.8864821199927806,407.512694,2026-03-23T22:20:19,211.0
26,12,29,128,2,2,0.1,32,0.00026440021800311076,2000,1.3033155897083601,135.9076290754643,11.490574758079832,27014.249061854814,159.81309164297346,-5.368398729466944,1.7546542895463817,1047.464842,2026-03-23T22:28:08,209.66666666666666
27,12,29,128,2,2,0.1,32,0.0005305059965422975,2000,0.8412007631519726,229.02625614747262,20.120768930214982,124939.23217732909,292.75855726990443,-51.96549468364955,13.782713703058239,710.92634,2026-03-23T22:46:39,141.66666666666666
28,12,19,64,2,4,0.4592141697565447,128,0.00045897732862153554,2000,1.4301717346282465,135.04365945064447,11.59340652484539,30780.597974403467,172.3920579129405,-5.576223247283174,1.453412462959998,372.656207,2026-03-23T22:59:27,200.66666666666666
29,12,20,64,2,4,0.4537883678660075,64,0.00043118072268333025,2000,1.4112048949897076,137.03957001425536,11.747946795393695,29869.87431990642,171.11752741382648,-5.769419803711604,1.0159431640442527,495.736665,2026-03-23T23:06:38,181.0
30,12,20,64,3,4,0.47334752663993296,32,0.00015401587290016344,2000,2.0213055486530602,126.97521762631725,11.198003143217235,27515.594296574924,165.54907888963155,-5.9251110300533725,0.6093230520539956,1184.9578,2026-03-23T23:15:52,230.66666666666666
31,12,19,64,3,4,0.4487482185310806,64,0.0002955221979702082,2000,1.8080146058674584,144.0145579909023,12.874973899530124,33760.66610314031,183.63961864220968,-7.901291855780954,0.5551772813468235,766.640072,2026-03-23T23:36:55,261.0
32,12,20,32,3,4,0.48456261811425394,32,9.757629699390533e-05,2000,2.118962568566714,330.2354709579877,28.082687013566627,148539.99228923707,372.4758083239126,-29.15657375520222,5.555661482998453,1242.452441,2026-03-23T23:50:56,241.66666666666666
33,12,15,32,3,4,0.5306014885539015,32,9.513161483753244e-05,2000,2.6200159924131237,278.82802260656115,23.7317324584434,114084.95983360475,322.81645914731126,-18.6262347759087,6.4925578914819715,981.727813,2026-03-24T00:13:10,187.66666666666666
34,12,19,64,2,4,0.47924082606851703,32,0.00026088357006199994,2000,1.923731971959577,138.7503644555271,11.910844009832815,30598.247186319724,172.56831338141114,-5.61696357189111,1.0065900833865982,1194.093211,2026-03-24T00:31:26,223.0
35,12,17,64,3,4,0.4359517951226871,128,0.0005095885843929938,2000,1.304101015135936,132.134108594328,11.494053555915622,29827.041692467155,172.41195115804592,-6.548220939573746,0.7966251952595051,401.97758,2026-03-24T00:52:29,211.0
36,12,26,128,2,2,0.1,32,0.00020066018658243545,2000,1.21654966741434,116.17547818028028,10.249030380297668,21792.79600871653,146.02524387352076,-5.660147241608397,2.0956905313087586,1070.611622,2026-03-24T01:01:03,215.0
37,12,26,128,1,2,0.1,32,0.0002261031690926038,2000,1.2203346335139202,144.7509353503144,12.43948173951435,33311.200209194,180.71682779136233,-6.724995326457492,1.5596727050022468,639.208272,2026-03-24T01:20:54,129.66666666666666
38,12,26,128,3,2,0.1,32,0.00022325192199592177,2000,1.2210797008614318,497.7233523027932,45.083048507444836,343339.98281370936,535.0808806772025,-132.77271087724824,21.87471938971053,566.649538,2026-03-24T01:33:12,111.66666666666667
39,12,20,64,2,4,0.4598312403796705,64,0.0002844630351838222,2000,1.7579151751957374,134.8834182678472,11.43101672321683,30590.43580195223,170.70065387541277,-5.132037059558812,2.0965870265359663,576.742052,2026-03-24T01:43:56,211.33333333333334
40,12,20,64,3,4,0.4765593071820501,32,0.00024001444902910454,2000,1.8992117079562705,137.01215010824345,12.087075289304622,29092.370684347028,170.50343157444868,-6.997758555526853,0.7938654464809093,1200.973183,2026-03-24T01:54:37,234.66666666666666
41,12,19,64,3,4,0.4681494287112814,64,0.00018702832864126283,2000,1.964203155031628,140.668433983361,12.154335860735145,31859.141432556,176.07075495910158,-6.334877777968384,1.399593927361982,793.1064,2026-03-24T02:15:51,274.3333333333333
42,12,17,64,2,4,0.4462156348337303,128,0.0006354254826618907,2000,1.3504962294756213,145.62459384352096,12.520868474142445,36669.84103787687,190.12015680523317,-7.345605239045216,1.0676439026373559,389.422345,2026-03-24T02:30:21,221.66666666666666
43,12,23,64,2,4,0.4719588333939857,128,0.0006072672946491549,2000,1.302511569707418,138.62332153606692,11.851657761270792,30282.982560770095,171.46802701518558,-6.217028879340631,1.6433623811773685,490.042476,2026-03-24T02:38:21,242.0
44,12,21,64,3,4,0.4491620256839841,128,0.0003747910624796243,2000,1.368252734808963,147.9210892627785,12.783633515348578,33376.61882692956,181.41263951269983,-6.61041924237162,1.0141095602201347,506.617159,2026-03-24T02:47:43,258.6666666666667
45,12,21,64,3,4,0.4207952189951494,64,0.0007336197304211779,2000,1.3559426951796492,130.68202306754844,11.563257672281052,26737.059214010966,162.79897265547658,-6.222991319358179,0.5980858574520747,495.142822,2026-03-24T02:57:32,176.33333333333334
