WEEK,NUMERO DE ACEPTACION,FECHA,RUT PROBABLE IMPORTADOR,PARTIDA ARANCELARIA,PESO BRUTO TOTAL,US$ CIF UNIT,IMPUESTO US$,CANTIDAD DE BULTO,NRO DOC. TRANSPORTE,ITEMS TOTALES,FOB TOTAL,FLETE TOTAL,SEGURO TOTAL,CIF TOTAL,TOTAL IVA,US$ FOB UNIT,DIFF FECHA DIN Y DOC TRANSPORTE,TEU,FOB_per_TEU,FLETE_per_TEU,SEGURO_per_TEU,PESO BRUTO PER TEU,ITEMS PER TEU,SUM_TEU_OTRA,SUM_TEU_SAN ANTONIO,SUM_TEU_VALPARAISO_x,SUM_TEU_CHINA,SUM_TEU_U.S.A,SUM_TEU_other_countries,MEAN_FLETE_per_TEU_CHINA,MEAN_FLETE_per_TEU_U.S.A,MEAN_FLETE_per_TEU_other_countries,SUM_TEU_SAN  ANTONIO,SUM_TEU_VALPARAISO_y,SUM_TEU_other_ports,SUM_TEU_CMA CGM,SUM_TEU_COSCO,SUM_TEU_EVERGREEN,SUM_TEU_HAMBURG,SUM_TEU_HAPAG-LLOYD,SUM_TEU_HYUNDAI,SUM_TEU_MAERSK,SUM_TEU_MSC,SUM_TEU_ONE,SUM_TEU_OOCL,SUM_TEU_PACIFIC INT. LINE,SUM_TEU_SEALAND,SUM_TEU_WAN HAI,SUM_TEU_YANG MING,SUM_TEU_ZIM,SUM_TEU_other_companies,MEAN_FLETE_per_TEU_CMA CGM,MEAN_FLETE_per_TEU_COSCO,MEAN_FLETE_per_TEU_EVERGREEN,MEAN_FLETE_per_TEU_HAMBURG,MEAN_FLETE_per_TEU_HAPAG-LLOYD,MEAN_FLETE_per_TEU_HYUNDAI,MEAN_FLETE_per_TEU_MAERSK,MEAN_FLETE_per_TEU_MSC,MEAN_FLETE_per_TEU_ONE,MEAN_FLETE_per_TEU_OOCL,MEAN_FLETE_per_TEU_PACIFIC INT. LINE,MEAN_FLETE_per_TEU_SEALAND,MEAN_FLETE_per_TEU_WAN HAI,MEAN_FLETE_per_TEU_YANG MING,MEAN_FLETE_per_TEU_ZIM,MEAN_FLETE_per_TEU_other_companies,SUM_TEU_CFR,SUM_TEU_CIF,SUM_TEU_CYS,SUM_TEU_EXW,SUM_TEU_FOB,SUM_TEU_OTRO,SUM_TEU_SIN CLAUSULA,SUM_TEU_CONTENEDOR 20,SUM_TEU_CONTENEDOR 40,SUM_TEU_CONTENEDOR REFRIGERADO 20,SUM_TEU_CONTENEDOR REFRIGERADO 40,MEAN_FLETE_per_TEU_AF,MEAN_FLETE_per_TEU_FE,MEAN_FLETE_per_TEU_ME,MEAN_FLETE_per_TEU_NAE,MEAN_FLETE_per_TEU_NAW,MEAN_FLETE_per_TEU_NE,MEAN_FLETE_per_TEU_OC,MEAN_FLETE_per_TEU_SAE,MEAN_FLETE_per_TEU_SAW,MEAN_FLETE_per_TEU_SE,boat_price,boat_volume,brent_oil_price,brent_oil_volume,clp_price,clp_volume,cny_price,cny_volume,cosco_shipping_price,cosco_shipping_volume,csi300_price,csi300_volume,gcfgold_price,gcfgold_volume,hapag_price,hapag_volume,hgfcopper_price,hgfcopper_volume,ipsa_price,ipsa_volume,lefcattle_price,lefcattle_volume,maersk_price,maersk_volume,ngfnaturalgas_price,ngfnaturalgas_volume,sea_price,sea_volume,sp500_price,sp500_volume,wan_hai_price,wan_hai_volume,wti_oil_price,wti_oil_volume,yang_ming_price,yang_ming_volume,zcfcorn_price,zcfcorn_volume,zim_price,zim_volume,zsfsoybean_price,zsfsoybean_volume
2000-02-14,1,2000-02-16,1,1,21826.3,3.49,0.0,1.0,1,3.0,64944.57,10500.0,52.0,75496.57,14344.35,3.0,8065.0,1.0,64944.57,10500.0,52.0,21826.3,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48900032043457,15400.0,71.16999816894531,29923.0,580.1599731445312,0.0,8.276800155639648,0.0,3.0384609699249268,236237950.0,5128.22021484375,390600.0,273.8999938964844,0.0,19.924043655395508,1438448.0,0.8849999904632568,7430.0,1185.75,0.0,77.5,143.0,6799.9990234375,21160.0,4.835000038146973,60854.0,20.104999542236328,13200.0,1389.93994140625,5115300000.0,7.146142959594727,31274770808.0,32.04999923706055,196964.0,25.551118850708008,52658680.0,176.25,97140.0,11.5,7824600.0,499.0,284.0
2000-04-03,1,2000-04-08,1,1,55015.8,75.92,20244.97,5.0,1,4.0,327990.0,9066.25,359.93,337416.18,67955.62,73.8,7347.0,10.0,32799.0,906.625,35.993,5501.58,0.4,0.0,10.0,0.0,10.0,0.0,0.0,906.625,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.625,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,906.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48900032043457,15400.0,71.16999816894531,29923.0,580.1599731445312,0.0,8.276800155639648,0.0,3.0384609699249268,236237950.0,5128.22021484375,390600.0,273.8999938964844,0.0,19.924043655395508,1438448.0,0.8849999904632568,7430.0,1185.75,0.0,77.5,143.0,7090.59716796875,24654.0,4.835000038146973,60854.0,20.104999542236328,13200.0,1505.969970703125,5547060000.0,6.955574989318848,33428932.0,32.04999923706055,196964.0,22.81837654113769,11681819.0,176.25,97140.0,11.5,7824600.0,499.0,284.0
2000-06-26,1,2000-06-28,1,1,1697.0,2.57,5707.86,1.0,1,14.0,91806.4,2829.0,495.75,95131.15,19159.41,2.48,8070.0,1.0,91806.4,2829.0,495.75,1697.0,14.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2829.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2829.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48900032043457,15400.0,71.16999816894531,29923.0,580.1599731445312,0.0,8.276800155639648,0.0,3.0384609699249268,236237950.0,5128.22021484375,390600.0,273.8999938964844,0.0,19.924043655395508,1438448.0,0.8849999904632568,7430.0,1185.75,0.0,77.5,143.0,6654.69970703125,11405.0,4.835000038146973,60854.0,20.104999542236328,13200.0,1455.31005859375,5597200000.0,6.0980401039123535,10992308.0,32.04999923706055,196964.0,21.99856376647949,11382115.0,176.25,97140.0,11.5,7824600.0,499.0,284.0
2000-08-21,1,2000-08-27,1,1,6433.65,4.67,0.0,1.0,1,2.0,30359.4,1755.0,25.14,32139.54,6106.51,4.41,7348.0,2.0,15179.7,877.5,12.57,3216.825,1.0,0.0,2.0,0.0,2.0,0.0,0.0,877.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,877.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,877.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48900032043457,15400.0,71.16999816894531,29923.0,580.1599731445312,0.0,8.276800155639648,0.0,3.0384609699249268,236237950.0,5128.22021484375,390600.0,273.8999938964844,0.0,19.924043655395508,1438448.0,0.8849999904632568,7430.0,1185.75,0.0,77.5,143.0,8282.0498046875,18596.0,4.835000038146973,60854.0,20.104999542236328,13200.0,1499.47998046875,3944100000.0,6.928901195526123,12861988.0,32.04999923706055,196964.0,22.568225860595703,7232962.0,176.25,97140.0,11.5,7824600.0,499.0,284.0
2000-08-28,1,2000-08-29,0,1,24379.0,0.7,0.0,1.0,1,1.0,16213.69,650.35,80.0,16944.04,3219.37,0.67,7337.0,2.0,8106.845,325.175,40.0,12189.5,0.5,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,325.175,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.175,0.0,0.0,0.0,0.0,24.48900032043457,15400.0,71.16999816894531,29923.0,580.1599731445312,0.0,8.276800155639648,0.0,3.0384609699249268,236237950.0,5128.22021484375,390600.0,273.8999938964844,0.0,19.924043655395508,1438448.0,0.8849999904632568,7430.0,1185.75,0.0,77.5,143.0,8252.990234375,6743.0,4.835000038146973,60854.0,20.104999542236328,13200.0,1514.0899658203125,4171900000.0,6.242868900299072,12207464.0,32.869998931884766,277879.0,20.87944221496582,11970584.0,179.5,60493.0,11.5,7824600.0,499.0,284.0
2000-09-04,1,2000-09-09,1,1,12664.1,2.34,0.0,1.0,1,1.0,22547.5,4900.0,150.0,27597.5,5243.53,1.91,8080.0,2.0,11273.75,2450.0,75.0,6332.05,0.5,0.0,2.0,0.0,2.0,0.0,0.0,2450.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2450.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48900032043457,15400.0,71.16999816894531,29923.0,580.1599731445312,0.0,8.276800155639648,0.0,3.0384609699249268,236237950.0,5128.22021484375,390600.0,277.0,127.0,19.924043655395508,1438448.0,0.8889999985694885,8267.0,1185.75,0.0,77.5,143.0,7788.033203125,14742.0,4.880000114440918,130270.0,20.104999542236328,13200.0,1507.0799560546875,3780100000.0,5.96845817565918,6820108.0,33.380001068115234,338803.0,19.267423629760746,10281337.0,183.25,56.0,11.5,7824600.0,499.0,284.0
2000-12-25,3,2000-12-25,3,1,6347.666666666667,12541.653333333334,0.0,1.6666666666666667,3,2.3333333333333335,26814.72333333333,5403.333333333333,499.41333333333336,32717.47,6216.316666666667,11525.14,7446.0,3.0,13142.654999999999,2761.6666666666665,244.41333333333333,3173.8333333333335,1.1666666666666667,0.0,2.0,4.0,6.0,0.0,0.0,2761.6666666666665,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6125.0,0.0,1080.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,6125.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.0,0.0,24.48900032043457,15400.0,71.16999816894531,29923.0,580.1599731445312,0.0,8.276800155639648,0.0,3.0384609699249268,236237950.0,5128.22021484375,390600.0,273.70001220703125,15.0,19.924043655395508,1438448.0,0.8600000143051147,2788.0,1185.75,0.0,77.5,143.0,5434.18701171875,12301.0,9.774999618530272,54824.0,20.104999542236328,13200.0,1315.18994140625,3950000000.0,6.860297203063965,16439290.0,26.18000030517578,169574.0,21.493541717529297,7471467.0,218.0,1343.0,11.5,7824600.0,499.0,284.0
2001-01-08,1,2001-01-10,1,1,8458.79,0.95,1045.75,1.0,1,4.0,16061.3,1334.91,32.96,17429.17,3510.23,0.88,7005.0,2.0,8030.65,667.455,16.48,4229.395,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,667.455,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667.455,0.0,0.0,24.48900032043457,15400.0,71.16999816894531,29923.0,580.1599731445312,0.0,8.276800155639648,0.0,3.0384609699249268,236237950.0,5128.22021484375,390600.0,268.0,0.0,19.924043655395508,1438448.0,0.8330000042915344,2328.0,1185.75,0.0,77.5,143.0,5957.26416015625,40896.0,8.472000122070312,99699.0,20.104999542236328,13200.0,1295.8599853515625,6290500000.0,6.997499942779541,49203603.0,27.350000381469727,353371.0,22.184404373168945,18134806.0,222.5,7330.0,11.5,7824600.0,479.25,1303.0
2001-01-15,1,2001-01-15,1,1,26520.0,2.36,0.0,1.0,1,1.0,58500.0,1800.0,1170.0,61470.0,11679.3,2.25,6255.0,2.0,29250.0,900.0,585.0,13260.0,0.5,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,900.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48900032043457,15400.0,71.16999816894531,29923.0,580.1599731445312,0.0,8.276800155639648,0.0,3.0384609699249268,236237950.0,5128.22021484375,390600.0,263.8999938964844,0.0,19.924043655395508,1438448.0,0.8445000052452087,2343.0,1185.75,0.0,77.5,143.0,6044.443359375,31571.0,7.480000019073486,86613.0,20.104999542236328,13200.0,1326.6500244140625,5407600000.0,6.345773220062256,22384933.0,30.049999237060547,276640.0,21.493541717529297,22954123.0,222.5,4401.0,11.5,7824600.0,476.0,1343.0
2001-02-05,4,2001-02-11,4,3,9508.5975,3.7075,251.25,1.0,4,4.75,29869.935,3890.0875,126.2875,33886.31,6486.135,3.235,6479.75,2.0,26203.1225,2626.35875,120.32875,8297.9725,3.5,0.0,3.0,2.0,3.0,0.0,2.0,3727.4575,0.0,1525.26,3.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1975.0,0.0,2400.0,0.0,1075.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5054.915,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,3143.3050000000003,0.0,1075.52,0.0,0.0,0.0,0.0,0.0,0.0,24.48900032043457,15400.0,71.16999816894531,29923.0,580.1599731445312,0.0,8.276800155639648,0.0,3.0384609699249268,236237950.0,5128.22021484375,390600.0,265.20001220703125,396.0,19.924043655395508,1438448.0,0.8295000195503235,2031.0,1185.75,0.0,77.5,143.0,6276.921875,35459.0,6.210000038146973,115512.0,20.104999542236328,13200.0,1354.31005859375,5413600000.0,6.825992107391357,37102381.0,30.5,334662.0,22.184404373168945,36515448.0,213.0,1210.0,11.5,7824600.0,453.0,472.0
