Learning rate,Epoch Number,Hidden sizes,lstm layers,dropout,attention heads,batch size,gradient clipping,target column
0.00001,120,8,1,0.1,2,128,1,FE
0.00001,30,8,1,0.1,8,16,0.01,IND
0.00001,120,8,1,0.5,8,16,0.01,NAE
0.1,120,8,1,0.1,8,128,0.01,NE
0.00001,120,128,3,0.5,8,128,0.01,SAE
0.1,120,8,3,0.1,2,16,1,SAW
0.00001,30,8,1,0.5,2,16,1,SE
0.00001,30,8,1,0.1,8,128,0.01,NAW
0.1,30,128,1,0.5,2,16,1,FE
0.1,30,128,3,0.5,8,16,0.01,IND
0.00001,30,8,1,0.1,2,16,0.01,NAE
0.00001,120,128,1,0.1,8,16,0.01,NE
0.1,30,128,1,0.1,8,128,0.01,SAE
0.00001,30,128,3,0.1,2,16,0.01,SAW
0.1,30,128,1,0.5,2,128,1,SE
0.1,30,8,3,0.5,2,16,1,NAW
0.1,120,128,3,0.5,2,128,1,FE
0.00001,30,128,3,0.1,2,128,0.01,IND
0.00001,30,128,1,0.5,2,16,0.01,NAE
0.1,120,128,1,0.5,2,128,0.01,NE
0.1,120,128,3,0.5,2,16,1,SAE
0.1,30,128,3,0.5,2,128,0.01,SAW
0.00001,120,128,1,0.1,8,128,0.01,SE
0.1,120,8,1,0.5,8,128,1,NAW
0.1,120,128,3,0.1,2,128,0.01,FE
0.1,30,128,1,0.5,8,16,1,IND
0.00001,120,8,3,0.5,2,128,1,NAE
0.00001,30,128,1,0.1,8,16,1,NE
0.1,120,8,3,0.5,8,128,0.01,SAE
0.00001,30,128,3,0.5,2,16,1,SAW
0.1,30,8,1,0.5,8,128,0.01,SE
0.00001,120,8,1,0.5,2,128,0.01,NAW
0.1,30,8,1,0.5,2,16,0.01,FE
0.1,120,128,3,0.5,8,128,1,IND
0.1,30,8,3,0.1,8,128,0.01,NAE
0.00001,30,128,3,0.1,8,128,0.01,NE
0.1,30,128,3,0.1,2,16,1,SAE
0.1,120,128,1,0.1,8,128,1,SAW
0.00001,30,128,1,0.5,2,128,0.01,SE
0.1,30,8,3,0.5,8,128,1,NAW
0.00001,120,128,3,0.1,2,16,1,FE
0.1,30,8,3,0.1,2,128,0.01,IND
0.00001,120,8,3,0.5,8,16,1,NAE
0.1,30,128,1,0.5,8,128,1,NE
0.1,120,8,1,0.5,2,16,1,SAE
0.00001,30,8,1,0.5,8,128,1,SAW
0.1,30,128,1,0.1,2,128,0.01,SE
0.00001,30,8,1,0.5,2,128,1,NAW
0.00001,30,128,3,0.1,8,16,0.01,FE
0.1,30,8,3,0.5,8,16,1,IND
0.1,120,8,3,0.5,8,16,0.01,NAE
0.1,30,128,3,0.1,2,128,1,NE
0.1,120,8,3,0.1,2,128,1,SAE
0.00001,30,8,3,0.1,8,16,1,SAW
