run_id,F1,F2,F3,F4,F5,F6,F7,F8,dataset,is_center_point
1,-1,1,-1,-1,-1,-1,1,1,ds1,False
2,-1,-1,-1,-1,-1,1,-1,-1,ds2,False
3,-1,1,-1,-1,1,1,-1,-1,ds3,False
4,1,1,-1,-1,-1,1,1,-1,ds4,False
5,-1,1,1,1,1,1,1,-1,ds5,False
6,1,1,-1,1,-1,-1,-1,1,ds6,False
7,-1,-1,-1,-1,1,-1,-1,1,ds7,False
8,-1,-1,-1,-1,-1,1,1,-1,ds8,False
9,1,-1,1,-1,1,-1,-1,1,ds9,False
10,1,-1,1,1,1,1,-1,-1,ds1,False
11,-1,-1,-1,-1,-1,-1,-1,-1,ds2,False
12,-1,1,1,-1,-1,1,-1,-1,ds3,False
13,1,-1,1,-1,-1,1,1,-1,ds4,False
14,-1,-1,1,1,-1,-1,-1,-1,ds5,False
15,1,-1,1,-1,1,-1,1,1,ds6,False
16,1,-1,-1,1,1,-1,-1,1,ds7,False
17,1,1,1,1,1,-1,1,1,ds8,False
18,-1,-1,1,1,-1,-1,1,-1,ds9,False
19,-1,-1,1,-1,1,-1,-1,-1,ds1,False
20,1,1,1,-1,1,-1,1,-1,ds2,False
21,1,1,1,1,1,-1,-1,1,ds3,False
22,1,-1,1,1,1,-1,1,-1,ds4,False
23,-1,1,1,-1,-1,1,1,-1,ds5,False
24,1,1,-1,-1,1,1,1,1,ds6,False
25,1,1,1,1,-1,-1,1,-1,ds7,False
26,1,-1,1,-1,1,1,-1,1,ds8,False
27,-1,1,-1,1,1,-1,1,1,ds9,False
28,-1,-1,1,-1,-1,1,-1,1,ds1,False
29,1,1,-1,1,1,1,1,-1,ds2,False
30,-1,-1,1,1,1,-1,-1,1,ds3,False
31,1,-1,-1,-1,1,1,1,-1,ds4,False
32,-1,1,-1,-1,1,-1,1,-1,ds5,False
33,1,-1,-1,-1,1,-1,-1,-1,ds6,False
34,1,1,1,1,1,1,1,1,ds7,False
35,1,-1,-1,1,-1,1,1,-1,ds8,False
36,-1,-1,1,1,-1,1,1,-1,ds9,False
37,1,-1,1,1,-1,-1,-1,1,ds1,False
38,1,1,1,-1,-1,1,1,1,ds2,False
39,-1,-1,1,-1,1,-1,1,-1,ds3,False
40,1,-1,-1,1,1,1,1,1,ds4,False
41,-1,1,1,1,-1,-1,-1,1,ds5,False
42,1,-1,-1,1,-1,-1,1,-1,ds6,False
43,-1,1,-1,1,1,1,-1,1,ds7,False
44,1,-1,1,-1,1,1,1,1,ds8,False
45,1,1,-1,-1,1,-1,-1,1,ds9,False
46,-1,-1,-1,-1,1,1,1,1,ds1,False
47,1,-1,1,-1,-1,-1,1,-1,ds2,False
48,-1,-1,-1,-1,1,-1,1,1,ds3,False
49,-1,-1,1,1,-1,1,-1,-1,ds4,False
