epoch,step,train_loss_epoch,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,0,,0.009422838687896729,166536.203125,0.01124667376279831,1.7516374588012695,0.008481502532958984
0,0,0.02738242596387863,,,,,
1,1,,0.012085345573723316,297146.90625,0.013419738039374352,1.7579834461212158,0.00621957378461957
1,1,0.020014826208353043,,,,,
2,2,,0.01061483845114708,223697.859375,0.0121456915512681,1.7603907585144043,0.005456325598061085
2,2,0.016542384400963783,,,,,
3,3,,0.007636258378624916,72109.453125,0.010253893211483955,1.7141468524932861,0.004742746241390705
3,3,0.014628725126385689,,,,,
4,4,,0.007171081379055977,73678.1015625,0.009771449491381645,1.7104350328445435,0.005014603026211262
4,4,0.013739700429141521,,,,,
