trial_index,test_size,window_size,d_model,n_head,num_layers,dropout,batch_size,lr,epochs,optimizer,weight_decay,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
1,4,15,64,2,3,0.5444604177027941,64,6.0551919771986076e-05,2000,adam,0.00045466977932026635,270.5067021563714,14.836807558655446,138198.57641584455,336.56588911534504,-5.333344248605418,6.67718745670418,49.049756,2026-02-01T02:55:50,219.33333333333334
2,4,31,256,4,1,0.4998295599594712,128,3.5591207459119076e-05,2000,adam,0.0007262631440355614,472.70047589939327,25.93667109448,377485.4177764757,545.4949508064554,-22.944853197225502,15.695443479255696,56.59138,2026-02-01T02:56:39,517.3333333333334
3,4,17,32,2,1,0.4051204612478614,64,0.0007662457435587762,2000,adam,3.976859309466432e-05,206.0067371036939,11.429902476988081,81152.62972808452,267.5452455524112,-3.3156296240197807,4.655209746657161,99.204098,2026-02-01T02:57:36,767.0
4,4,16,64,8,1,0.10777432098984718,128,0.0004720747565537808,2000,adam,1.4666518994451322e-05,237.27886303452337,13.255458585895509,86471.08954560781,289.6188188224459,-5.307576666638425,3.4679386424564553,37.90189,2026-02-01T02:59:15,442.0
5,4,26,32,8,2,0.5007799671962857,64,5.9269316906406707e-05,2000,adam,0.0004495494962561271,451.22776702777816,26.617447265592244,576725.4308150209,562.7215631312416,-31.014195988676693,25.293301573153844,50.616012,2026-02-01T02:59:53,271.6666666666667
6,4,8,64,2,2,0.5620622646063566,128,0.00013791297627452394,2000,adam,0.0001471901992517593,204.93153287759904,10.833368037813344,89427.14548771728,281.372554088631,-2.735544270670079,2.870883419051125,103.100767,2026-02-01T03:00:43,972.3333333333334
7,4,39,128,8,1,0.3442721374332905,64,0.0005907984502393274,2000,adam,1.3561023514752994e-06,235.46065728283395,12.926534625332321,112494.22547493906,315.3597706600681,-4.162663102668374,3.7084941070107003,37.659242,2026-02-01T03:02:27,295.3333333333333
8,4,40,32,8,4,0.3437007023021579,128,1.1342042978274325e-05,2000,adam,7.088455774382004e-05,263.6487488907573,15.378573438640315,127891.19138564677,307.22344644767094,-5.5246659752820975,10.308430449615754,109.47248,2026-02-01T03:03:04,483.6666666666667
9,4,41,128,4,1,0.5696707623079419,64,0.0001464889370126432,2000,adam,0.0003355641015347545,327.79516386425627,18.330392535782735,197482.5527672293,420.26835494719154,-10.267977544772465,6.457387931259073,64.205592,2026-02-01T03:04:54,477.0
10,4,34,128,4,4,0.22711847070604563,64,1.0336618595108724e-05,2000,adam,6.465802170925331e-05,180.68933682144862,9.721521806142686,77321.18966047726,251.2705692948974,-1.681118779312219,3.552993372425782,337.881598,2026-02-01T03:05:58,913.6666666666666
11,4,45,128,8,3,0.18045377936214207,128,0.00031685247755575867,2000,adam,0.000691646464065126,229.75515660257017,12.956117333898478,98321.93184096606,284.2077718035846,-2.8959847379656645,5.110775488372877,75.276929,2026-02-01T03:11:36,337.0
12,4,38,64,4,4,0.46514645945280786,128,1.3349369814710724e-05,2000,adam,5.083875183885429e-05,198.72056015084607,10.946206135820496,74767.44017240476,257.83040147854916,-2.2339210819232482,2.841123269777716,82.56224,2026-02-01T03:12:51,332.0
13,4,45,32,2,1,0.03357568345963955,64,4.322004667278504e-05,2000,adam,0.0003351997578966071,206.38786890127258,10.816456619640995,88218.3512435927,269.91565949527603,-1.8306305721345222,3.2650558666026357,78.871439,2026-02-01T03:14:14,617.0
14,4,10,256,2,4,0.41802262924611566,64,0.0008162399460834699,2000,adam,0.000784141426962734,245.07396361175083,13.459129944481441,134696.44209130612,328.2436683397852,-4.816749359446919,8.6456620821981,89.217559,2026-02-01T03:15:33,292.0
15,4,37,128,2,4,0.0472072284668684,64,0.00015991025320914756,2000,adam,1.8706394530810716e-06,215.92011539300938,12.104040696143459,87431.67751401209,272.57920632418273,-3.0719267635011094,4.291606189372106,152.954852,2026-02-01T03:17:02,438.0
16,4,36,64,4,4,0.5623849628493189,64,0.0002973111069287171,2000,adam,3.8121842752359947e-06,134.20375357328848,7.392225994963387,32076.886001457256,165.1967737689015,-0.3238858644140275,2.844368245745861,208.853372,2026-02-01T03:19:35,577.0
17,4,36,64,4,4,0.48438149541619985,64,0.00013579685013936327,2000,adam,4.976691571019153e-06,159.78747858857636,8.877024695061115,48995.31567672712,209.53567092419482,-1.6942270307708824,2.878196667620835,335.417038,2026-02-01T03:23:04,1046.0
18,4,35,64,4,4,0.5713602053620515,64,0.0003246170584163989,2000,adam,3.802664357411732e-06,203.46102091776618,11.454583727546995,92344.40044848574,266.5366147809183,-3.745666316890619,7.331632478390173,225.350672,2026-02-01T03:28:40,759.0
19,4,46,64,4,4,0.500055160760614,64,0.00017864756154702853,2000,adam,3.4999923332953655e-06,268.45394858666185,15.70116299504214,164445.60192894863,324.09794667788,-7.988705696349688,12.341869518467965,190.785346,2026-02-01T03:32:27,563.6666666666666
20,4,31,128,4,4,0.4215800345364642,64,7.765314484290499e-05,2000,adam,9.357188085234743e-06,181.31603010655104,9.847921640511407,48297.68854338746,214.46922238385787,-1.9583505779117427,0.7227899693453796,254.243697,2026-02-01T03:35:38,689.6666666666666
21,4,32,64,4,4,0.49678316236870235,64,0.00011309540461950689,2000,adam,6.973378738278453e-06,216.3492132753756,11.366755525297615,105333.67059278981,277.51487628271667,-1.391420753979837,6.117848480475,201.268652,2026-02-01T03:39:53,696.0
22,4,34,128,4,4,0.4121380023045148,64,0.0002275437176739787,2000,adam,3.5230486324958533e-06,183.96890110714085,9.994349290384426,76921.74469585398,245.74313132319494,-1.5756354884662878,4.511372537631818,70.366705,2026-02-01T03:43:16,213.0
23,4,35,128,4,4,0.33282166422352427,64,3.447077330832693e-05,2000,adam,1.6342530476936362e-05,249.62064191128025,13.645491857798381,103626.40567085927,289.54271063306726,-2.1538903933442666,6.318674054673979,107.85068,2026-02-01T03:44:28,335.3333333333333
24,4,33,128,4,4,0.5290450779966016,64,0.00015501105781505945,2000,adam,2.7256756802753305e-06,246.8421588383636,13.704137927117992,118240.67717618994,302.80561579005,-4.666620136179557,7.995209336978913,170.567923,2026-02-01T03:46:17,534.6666666666666
25,4,33,64,4,4,0.39414503431747233,64,0.0004536073111346256,2000,adam,6.436207417867866e-06,203.61889269392876,11.312142107274338,77086.67834035028,248.28131609645015,-2.1606256559431425,5.889621901629079,65.942377,2026-02-01T03:49:08,227.66666666666666
26,4,31,128,2,4,0.23265343208581726,64,1e-05,2000,adam,8.999439584207177e-05,268.70318398381926,14.781083025840962,132998.42950081406,357.54577345385877,-7.971302349796576,3.9009366604497537,216.381507,2026-02-01T03:50:15,652.0
27,4,35,64,4,4,0.47525508229198793,128,0.00019810222287485672,2000,adam,7.00361218804404e-06,196.5088589141542,11.422878722856924,72216.41082985989,242.67695545869273,-3.6949839939228486,5.630357246232314,44.170168,2026-02-01T03:53:52,205.66666666666666
28,4,35,64,4,4,0.5556326845553214,64,0.00021917388783261013,2000,adam,9.978024506451052e-06,242.76470811662816,13.502162456384589,97771.28544973578,282.07060305587623,-2.6622314014811095,6.169488708983975,153.266129,2026-02-01T03:54:38,530.3333333333334
29,4,33,32,4,4,0.44761614833970503,64,0.00019648546273018646,2000,adam,1.6720213205439877e-06,265.87570703118354,14.939070880087685,146667.5751312143,328.18624223021703,-5.745602327210979,10.271053072326154,107.658772,2026-02-01T03:57:12,362.6666666666667
30,4,28,128,4,4,0.38511552352703543,64,0.00017968172324798538,2000,adam,7.462402989963855e-06,282.60598330499226,15.703070182068833,125281.47826291295,323.22988869470214,-5.646807365866633,8.669737333533675,162.584431,2026-02-01T03:59:00,450.0
31,4,9,64,2,1,0.4925842104026575,128,0.0003960703431008718,2000,adam,5.704897287037281e-05,285.0185337873966,15.624676697799956,168900.6054273929,381.3308955337424,-8.976864650642502,8.887342710150257,33.274843,2026-02-01T04:01:44,438.6666666666667
32,4,36,128,4,4,0.30293428365592023,128,1e-05,2000,adam,8.25590243662589e-05,318.1751171864048,17.20977374253891,207233.2574140796,399.7593033179633,-9.293612942151611,12.110643919810395,242.551411,2026-02-01T04:02:19,939.3333333333334
33,4,44,32,2,2,0.0,64,5.885354862935511e-05,2000,adam,7.34070273682804e-05,204.3559334905757,10.634115808949817,89571.86349186926,278.59753868699363,-2.504456909322555,2.740139848197442,94.27285,2026-02-01T04:06:23,616.0
34,4,37,64,4,4,0.48359828803402355,64,0.0004764980570898695,2000,adam,3.3873307643352696e-06,252.6402923092795,14.784552380187721,129889.52978578208,304.2429770282676,-5.660256708576618,9.198450150099356,107.619717,2026-02-01T04:07:59,351.0
35,4,34,64,2,4,0.5185278160433967,64,0.00010210406635559465,2000,adam,5.698106945398433e-06,311.07247759645526,16.941851702682246,181246.2353815859,355.97928094432746,-7.09069479003319,14.316779084889086,94.538746,2026-02-01T04:09:47,272.6666666666667
36,4,38,32,2,1,0.010265385188305944,64,0.00011801925297070898,2000,adam,8.713396718447003e-05,174.48694229288685,9.51175695801547,82950.22581186051,241.54101253804808,-1.8343433009343684,6.0203225991100195,49.326631,2026-02-01T04:11:24,359.6666666666667
37,4,37,32,2,2,0.08923725598709233,64,0.00010865515695981764,2000,adam,0.00013607019121826672,208.75095759935414,11.193000737952014,98705.50061014772,288.7444923504502,-2.5219224123819166,3.386534204051302,61.636794,2026-02-01T04:12:16,338.3333333333333
38,4,39,32,2,1,0.0,64,6.596585519222512e-05,2000,adam,3.683480138508198e-05,196.44003545203773,10.433579420711565,83656.30826303689,262.7043745359228,-1.9222756878482128,4.601307397688317,47.529121,2026-02-01T04:13:19,452.3333333333333
39,4,45,32,2,1,0.0,64,0.00022859045035093496,2000,adam,8.907993889219497e-05,196.5503452170245,10.477012054422556,69401.03693917424,239.67201688244722,-1.2720874753503664,2.9070270502054947,41.818368,2026-02-01T04:14:08,388.3333333333333
40,4,34,64,4,4,0.5895913369713188,128,5.68196054640778e-05,2000,adam,6.342009665386334e-06,316.99718402944467,17.333333068449733,182336.07576918483,368.6742258910267,-6.573123669442189,11.46154238677716,86.381133,2026-02-01T04:14:52,359.0
41,4,41,64,2,2,0.023410918853562484,64,0.00014844645657959067,2000,adam,2.450685501882523e-05,233.97277677990544,12.646640033757514,95079.43724035444,296.5979802805794,-6.384093155975111,3.2486340239027,72.267717,2026-02-01T04:16:19,371.6666666666667
42,4,45,32,2,1,0.07395314691686582,64,8.856020849604052e-05,2000,adam,7.211663954704771e-05,200.11865372939428,10.651135329576931,80112.9800005,259.57233557486893,-1.8652893822482,4.485375867572623,38.396252,2026-02-01T04:17:32,341.6666666666667
43,4,37,32,2,1,0.0,64,0.00010291017291637965,2000,adam,0.000120913114995394,253.7694365811764,13.580352735698632,146162.18916609857,338.1489587262725,-3.9682037129879704,7.426371554904959,46.1467,2026-02-01T04:18:13,438.0
44,4,40,32,2,1,0.05045091235975231,64,0.00016480651078112812,2000,adam,3.015028102841668e-05,286.6374586613639,15.75197821677822,136270.85240231105,328.20500271867843,-5.756356123433389,10.771996181345724,37.185259,2026-02-01T04:19:01,317.6666666666667
45,4,48,64,2,1,0.0,64,7.00527263008482e-05,2000,adam,0.00012000253332025595,339.08533356280446,18.065560222508708,193280.5327894287,434.66180906807114,-12.760474406770099,2.2902834547568083,68.30305,2026-02-01T04:19:40,556.0
46,4,43,32,2,2,0.01969204365176257,64,0.00016251164060565232,2000,adam,0.0002826758904426745,285.2305609998767,16.27485068286264,162580.0582493525,353.14651517288684,-9.472656917030774,9.703225307607081,43.538763,2026-02-01T04:20:50,212.0
47,4,35,64,4,3,0.24049700189778528,64,0.00013525160968413195,2000,adam,1.3759417659597525e-05,157.4408451668584,8.431359975299195,49124.9956388295,198.37027856423381,-0.7312766573945629,4.2829843750601135,149.086905,2026-02-01T04:21:34,634.0
48,4,37,32,2,1,0.016083307744829353,64,2.064958842735436e-05,2000,adam,4.317167712192317e-05,225.12347550299998,11.928226622017867,119318.79328644084,305.15633835317504,-2.6355075756035498,6.325680663045218,54.895177,2026-02-01T04:24:04,505.3333333333333
49,4,35,64,4,3,0.07491853688133472,64,8.483768537038023e-05,2000,adam,1.4285616231422227e-05,201.13476632214227,10.692615121464378,70237.87117928457,235.72593520488599,-0.9428689058122431,3.8644339865295105,150.057065,2026-02-01T04:25:00,650.6666666666666
50,4,35,64,4,3,0.2648551046970711,64,9.978056189680529e-05,2000,adam,4.4138707514180045e-06,220.61950548364746,12.158786704838533,76224.60554309624,272.2270222987842,-4.134984667842402,2.2946193149197534,181.218083,2026-02-01T04:27:31,706.6666666666666
51,4,34,64,4,4,0.18284152299526985,64,8.215660532055246e-05,2000,adam,2.537832973113946e-05,261.88244204148856,14.384806822373216,128183.06545128867,311.33865717925005,-4.923415629432414,9.350867456440259,141.890413,2026-02-01T04:30:33,470.6666666666667
52,4,34,64,4,2,0.1852258476808974,64,0.00037505788257357367,2000,adam,8.755265845086494e-06,170.73729594193063,9.060524084231533,67542.85229765653,234.495573785738,-1.266213236432231,3.455800737754864,86.339705,2026-02-01T04:32:56,482.0
53,4,31,64,4,2,0.19501208728819083,64,0.00023932054699179426,2000,adam,1.1441783238073392e-05,184.80550173822826,10.080903379072915,49443.39293397998,219.57522910489038,-2.402772913058119,1.0120982478621792,96.160968,2026-02-01T04:34:24,554.3333333333334
54,4,36,64,4,3,0.2779762435675805,64,0.00024995448125942325,2000,adam,8.432407255242054e-06,188.17417699352427,10.159201197552635,68499.62908944052,249.20496103116838,-2.173079215181622,1.7600620578446793,141.351591,2026-02-01T04:36:02,496.3333333333333
55,4,32,64,4,3,0.34308077634047734,64,0.0003197886516079493,2000,adam,8.038003740483328e-06,192.22706946010365,10.28350259330724,81504.55973786175,250.979214809047,-1.4200171069657248,4.912779850128809,137.381584,2026-02-01T04:38:24,524.6666666666666
56,4,34,64,4,3,0.22070492764922686,64,0.000439081220813961,2000,adam,9.59969237995694e-06,201.62559362596596,10.831196263087703,109905.50756151944,282.5169359364489,-2.819668865634183,6.4553363586296175,114.333072,2026-02-01T04:40:42,434.3333333333333
57,4,33,128,4,3,0.13286956548170206,64,1.2998825606127255e-05,2000,adam,2.7273994344113078e-05,227.72308415192364,12.174729505222684,91149.13892545179,294.54274701306434,-5.614193703506571,1.4285986695639477,201.568675,2026-02-01T04:42:38,730.3333333333334
58,4,34,64,4,2,0.37677169334434574,64,0.00018272355574243206,2000,adam,8.716200547718808e-06,184.77002206561576,9.794496131352942,88835.8608987311,258.16453134896,-1.8106902538899021,5.649626112848621,124.940223,2026-02-01T04:46:01,694.3333333333334
59,4,36,64,4,2,0.260996589255022,64,0.000186318976952164,2000,adam,1.0864602108568145e-05,186.35355655511876,10.120311500208658,60055.067518212156,241.37006712572258,-3.367254178316513,0.4465289171295988,114.915427,2026-02-01T04:48:08,614.6666666666666
60,4,30,128,4,4,0.2723123342929543,64,1e-05,2000,adam,5.433162322585991e-05,449.3790063810511,25.41121403828537,386099.54355792544,547.4879137422816,-19.60683039907029,15.92315079031317,104.030269,2026-02-01T04:50:04,295.3333333333333
61,4,36,128,4,2,0.19175516797995934,64,0.0002761800299442614,2000,adam,7.27369390260418e-06,191.82833432001556,10.648562417556308,65802.46899182464,252.53458833951882,-3.951690696627504,3.0358508258908445,97.22814,2026-02-01T04:51:50,499.0
