trial_index,test_size,window_size,d_model,n_head,num_layers,dropout,batch_size,lr,epochs,optimizer,weight_decay,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,12,1,128,4,1,0.19401388764381408,64,6.945153327139892e-05,2000,adam,2.1095359025854826e-05,262.38404849814714,17.24530956422004,97134.51574313595,311.12506132849103,-1.9268780174602134,1.4351362952527924,53.351773,2026-01-31T23:55:48,575.0
1,12,43,64,8,1,0.27851927261799575,128,0.0003569251165523037,2000,adam,3.0281572976275513e-05,216.42192690084335,14.025750792123242,70186.60522113577,258.88174802091254,-0.9305700539829477,2.2499957307771754,41.988456,2026-01-31T23:56:41,491.3333333333333
2,12,44,256,2,3,0.34947103578597305,64,0.00016150921174076853,2000,adam,9.936354774933331e-06,190.61279373077846,12.121892191494316,61925.433257004646,248.48220203428312,-0.87221243724583,1.1793745598363794,112.866833,2026-01-31T23:57:23,306.0
3,12,22,128,2,1,0.2987803420051932,64,0.000176357008412791,2000,adam,1.3094549856436145e-05,259.1995355007845,16.88659999692996,91792.53299905684,302.56515271416464,-1.8336322091879929,1.322797865919497,83.7842,2026-01-31T23:59:16,803.3333333333334
4,12,6,64,4,3,0.2404507778584957,128,0.0005964015084586454,2000,adam,0.00010960267374676747,198.6314035127067,12.945006637353112,63009.635092502846,248.65320145707187,-0.8984693890316263,2.8337895691996384,29.522799,2026-02-01T00:00:40,259.6666666666667
5,12,45,32,4,4,0.2460263606160879,128,8.617485535999094e-05,2000,adam,1.8295299720211246e-05,188.72035626389766,12.098917282943752,60883.96307330918,241.93414092921148,-0.6337402231027759,2.2165339660083454,65.25309,2026-02-01T00:01:09,308.6666666666667
6,12,48,32,8,3,0.00221746489405632,128,9.980171089840818e-05,2000,adam,4.5634338948120585e-05,186.83219404559463,11.813422629708635,58616.69600111342,240.33968901427238,-0.7004737226803553,2.3974314966375183,78.785469,2026-02-01T00:02:15,427.0
7,12,45,64,2,4,0.4942376364022493,128,5.358458046681696e-05,2000,adam,6.503389486629768e-06,230.6653027480933,14.853004496647406,83037.44872736129,286.7252872806188,-1.4652350326632895,3.494421977272187,106.105327,2026-02-01T00:03:33,487.3333333333333
8,12,25,64,2,3,0.08445578701794147,64,0.0008954593405409496,2000,adam,2.8631374774362157e-06,188.10609821497349,12.028762313801922,62135.91742508084,246.63697876131866,-0.8452658574019648,3.5420619135734555,55.808723,2026-02-01T00:05:19,281.6666666666667
9,12,44,128,4,1,0.4075796283781528,128,0.00024139588463470958,2000,adam,0.00028727306408895577,243.28116372102446,15.78709314998414,90225.20521736266,299.58935279578196,-1.9201701296543507,1.9302876128008715,32.353453,2026-02-01T00:06:15,392.0
