trial_index,test_size,window_size,d_model,n_head,num_layers,dropout,batch_size,lr,epochs,optimizer,weight_decay,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
1,12,22,64,2,3,0.5444604177027941,64,6.0551919771986076e-05,2000,adam,0.00045466977932026635,196.4145057894518,12.665292949135072,62169.146853603095,246.96019589741536,-0.8506634376227353,2.382362772618701,54.395078,2026-01-31T23:55:48,292.0
2,12,43,128,2,3,0.05444568749517202,64,0.0001965617852476372,2000,adam,4.161888056685836e-06,165.5374101709531,10.366177691859862,51732.72751037888,227.1161598381578,-0.5521828884069936,1.621446705935764,68.856524,2026-01-31T23:56:42,266.3333333333333
3,12,16,64,2,1,0.40309797059744595,64,0.00020285783813362495,2000,adam,0.00033926221705300145,221.41707363931638,14.675220401760749,80764.92373712554,280.89913994333205,-1.7238388538958296,4.256967416069569,46.967058,2026-01-31T23:57:51,424.3333333333333
4,12,43,64,4,4,0.5816987050697208,64,0.00022266683813657986,2000,adam,1.4525097836472379e-06,188.08837548923557,12.070133019002528,67329.78175992922,253.12398139755533,-0.8370422183278602,1.604949432938055,135.840436,2026-01-31T23:58:38,452.0
5,12,44,128,8,2,0.06524567026644945,128,0.0001393654867509132,2000,adam,2.0615870530782517e-06,218.64538737855136,13.802457804122525,71145.62181691687,264.5752159791522,-0.9960592719466724,1.0128797176250368,57.307314,2026-02-01T00:00:54,361.3333333333333
6,12,15,256,2,4,0.25072592608630656,128,0.0008175947156314669,2000,adam,0.0006674792154059639,231.571050457699,14.363566051143275,90275.76211624876,290.42648084957307,-1.3307097262192968,2.1061480399248342,62.661525,2026-02-01T00:01:51,286.6666666666667
7,12,46,32,4,2,0.1940543655306101,64,0.0002834271515088407,2000,adam,0.0005722833157283902,169.38273604963024,10.603349002605897,56287.29556409094,231.3277065853787,-0.5521510361495839,2.486856252582215,45.088533,2026-02-01T00:02:54,289.0
8,12,14,256,2,1,0.5204805040732026,64,0.00017529145277800273,2000,adam,8.024896141151231e-05,229.21210479666902,14.491572655568396,72993.08454561928,269.57542885910135,-1.2083423847446586,1.0660328366762692,82.163743,2026-02-01T00:03:39,653.3333333333334
9,12,30,32,8,3,0.5719622226431965,64,0.0006952831966738145,2000,adam,0.00016464193633319271,153.52226627636463,9.75721898308089,41848.75240219964,200.24436477249287,-0.10238734046207114,0.581388873047988,65.843511,2026-02-01T00:05:01,256.3333333333333
10,12,28,64,2,3,0.23086312003433704,128,3.3960198748950735e-05,2000,adam,0.0004362911307922223,171.07198819278395,11.09835189006674,50794.17445914063,223.12426240129255,-0.5105523859662101,1.806623407625945,100.91037,2026-02-01T00:06:07,653.3333333333334
11,12,32,128,8,4,0.25587848480790854,64,0.0003887850275484608,2000,adam,0.0001866080141243528,204.33460529413352,12.850590556870609,75805.50371684767,271.5929176403863,-1.1740096812798222,2.8058665227164576,105.447256,2026-02-01T00:07:48,307.0
12,12,40,64,2,3,0.03530316296964884,128,0.00013034525725503685,2000,adam,0.0002923663900095444,224.43236708684063,14.103530413812166,87702.157427857,293.5889355473552,-1.5268284434535964,2.5080165466121582,99.611099,2026-02-01T00:09:34,624.6666666666666
13,12,24,64,8,1,0.08794281408190727,64,0.0006997240130339047,2000,adam,0.0001356802518868554,240.2708507905992,15.379255936890928,82250.75902503543,284.32799896139574,-1.3188372028965702,1.617457302197836,34.989325,2026-02-01T00:11:13,308.0
14,12,32,32,2,1,0.3898958880454302,64,0.00019255587116592086,2000,adam,3.2959001137407525e-05,277.90708436023004,18.51029957903584,112081.85547535337,330.7811935596135,-2.858255697147047,5.9634357918620635,49.217218,2026-02-01T00:11:48,461.0
15,12,25,64,8,3,0.08309525102376937,64,0.0001930755427556586,2000,adam,7.991324013028685e-05,188.09717579976714,12.311069636435358,51284.845987348555,225.8807856548541,-0.6666585359601521,2.9697239772127633,82.892065,2026-02-01T00:12:37,393.0
16,12,33,256,8,3,0.08978268876671791,64,0.00011655134402533504,2000,adam,4.268005982719771e-05,223.12676061871593,14.354145825720835,80090.5323567044,281.82073643468044,-1.5119042029803618,2.3893125787821545,165.262321,2026-02-01T00:14:00,480.0
17,12,35,32,8,3,0.4682450852320721,64,0.0005004843316453486,2000,adam,0.00024974783728522323,194.62518369327645,12.43946344821771,62843.189830421055,246.15772908980102,-0.7720802197443168,2.095059499606986,56.369217,2026-02-01T00:16:47,254.0
18,12,25,32,8,3,0.6,64,0.0009515479411824893,2000,adam,9.257724828313786e-05,197.11394065100595,12.812012934899434,59311.652740966616,242.97077864396374,-0.915314363498252,3.4080472547969367,52.963597,2026-02-01T00:17:44,240.33333333333334
19,12,46,128,2,4,0.1412795711511133,64,0.00022653252833112952,2000,adam,4.920380477628286e-06,217.46839145317912,13.683660543303475,74111.08569119399,267.6201826733365,-0.9943086160227423,0.6997669919729312,90.583896,2026-02-01T00:18:38,271.3333333333333
20,12,32,32,8,4,0.6,64,0.00041255642905923206,2000,adam,0.00023918517366018646,212.15880997659747,13.545461473269024,76318.63855399977,270.91116211538485,-1.0167997635873798,1.503585615446423,109.194831,2026-02-01T00:20:09,394.6666666666667
21,12,33,32,8,3,0.6,64,0.00089102968282739,2000,adam,0.0004538966958202743,191.14658913101664,12.133916695723281,64478.466684841704,249.67741617403365,-0.7636244946983438,1.5885205859236058,51.51427,2026-02-01T00:22:00,227.66666666666666
22,12,45,64,2,3,0.011796097675775986,64,0.00021608614415964572,2000,adam,6.18567360280385e-06,208.54750763546136,13.537314275454255,64286.656900708884,252.07970935198242,-0.9837881464148287,2.3911786159810036,75.756569,2026-02-01T00:22:52,255.66666666666666
23,12,41,256,2,3,0.06063745955386966,64,0.00017591943278596833,2000,adam,2.332556278321275e-06,170.83836349143965,10.810010571142934,47702.61137445922,217.62624127204222,-0.447486235928384,2.5647368147760425,126.017209,2026-02-01T00:24:08,330.0
24,12,43,256,2,3,0.11369656488974135,64,0.0001818206114060897,2000,adam,3.648210771851021e-06,191.37266818388608,12.337090622410733,64464.20286380133,251.16024962753167,-0.8224209760410482,1.1954064869148326,145.482464,2026-02-01T00:26:15,392.3333333333333
25,12,38,128,2,3,0.001779592226878588,64,0.00017403988437980985,2000,adam,1.4404984770476036e-06,251.8452810025839,15.627292482352836,101084.48433055345,312.90064783262665,-1.7551919888854854,1.2112241557377383,87.41677,2026-02-01T00:28:41,321.0
26,12,37,32,8,3,0.6,64,0.0007620573867833738,2000,adam,4.65182316132231e-05,222.25004458967885,14.263565769894555,81910.54867003583,285.2271507203049,-1.4120871399737045,2.635902425597245,51.803468,2026-02-01T00:30:10,218.0
27,12,42,32,4,3,0.2643670739481018,64,0.0003015361407782491,2000,adam,0.0008198416705570649,184.33714703124383,11.538165900734624,59706.21510059779,234.52745578091154,-0.5183980409997421,1.8653145486490355,73.238911,2026-02-01T00:31:02,313.3333333333333
