trial_index,test_size,window_size,d_model,n_head,num_layers,dropout,batch_size,lr,epochs,optimizer,weight_decay,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
1,4,2,64,2,3,0.5444604177027941,64,6.0551919771986076e-05,2000,adam,0.00045466977932026635,214.44189735637815,12.021063989557973,77847.42528748768,262.3816643160564,-2.6272800645932626,3.4365009621888043,57.181932,2026-02-01T02:55:50,223.0
2,4,3,256,2,1,0.3739149358123541,128,3.971649256442804e-05,2000,adam,0.00043906803761621074,247.20954119924002,13.324213669077274,104320.45472404496,317.45325979531924,-6.566399588289779,1.5499610400161434,58.904429,2026-02-01T02:56:47,722.6666666666666
3,4,1,128,2,1,0.01690367516130209,128,0.00024773184372888884,2000,adam,1.5271306775745056e-06,315.80004458428914,16.786378771655535,187148.32380048008,410.8550280413556,-7.482213611368121,2.727817073829441,27.92513,2026-02-01T02:57:46,373.0
4,4,4,32,2,3,0.10783789213746786,128,7.896413283942715e-05,2000,adam,0.000921042967682426,328.32113671462395,18.11728670919648,255471.5154505745,427.010522422383,-12.896221830482965,13.32527593981392,53.685931,2026-02-01T02:58:14,334.6666666666667
5,4,3,256,8,2,0.21182141974568366,128,5.491903202975857e-05,2000,adam,2.8576616607875774e-05,207.35750464085262,11.190852313888284,69635.56739272022,256.55540927882754,-3.1483382035627887,0.4830010238435357,82.456616,2026-02-01T02:59:08,740.0
6,4,3,64,2,1,0.4330084629356861,64,1.997059804397686e-05,2000,adam,8.475461405084288e-06,220.04889142438694,12.252094804234,155317.8417168796,333.51128619499656,-6.519451904346227,8.38062262235432,102.795466,2026-02-01T03:00:30,767.3333333333334
7,4,4,128,2,1,0.10866839736700058,128,2.362971888303378e-05,2000,adam,8.266120113120286e-06,254.34773787022291,13.232066918265723,131362.10711417685,359.5066736222029,-8.860009705860996,1.440313407569035,49.508353,2026-02-01T03:02:13,604.0
8,4,4,128,4,3,0.19523876644670962,128,1.7728705831833313e-05,2000,adam,3.983885552156003e-06,411.4399803924022,24.405974588510002,340220.46729440853,487.12520118891433,-24.15427680946299,19.13155318467336,38.007277,2026-02-01T03:03:03,213.66666666666666
9,4,2,32,4,1,0.25936237201094625,128,1.7128216148838644e-05,2000,adam,9.145371836388416e-06,263.0042765747235,14.12168387614779,125286.92069239856,347.29788861952414,-7.070155641005321,3.010769075493562,81.373147,2026-02-01T03:03:41,891.0
10,4,1,128,8,4,0.08546364326030016,128,0.0009792275135186257,2000,adam,0.0006238703671216067,209.9379428732832,11.197745035490343,129681.60243101616,318.21460593958915,-3.525743669654963,5.559352543737865,61.424209,2026-02-01T03:05:02,308.6666666666667
11,4,4,32,8,1,0.3303179835900664,128,0.00012631657928897718,2000,adam,5.281578041004603e-06,314.859537134203,17.437179777574176,202308.92563200812,398.80812769189515,-9.952301032432183,10.32662384381256,24.582355,2026-02-01T03:06:03,231.66666666666666
12,4,5,64,2,4,0.3352524597197771,64,0.000441350271554349,2000,adam,0.0005933901300479671,234.08195737762546,12.220530384142828,100344.85267291665,282.6838253117709,-2.0603253792507785,5.623426667524162,162.235378,2026-02-01T03:06:28,378.3333333333333
13,4,1,32,4,2,0.5421613471582531,64,0.00019409455913163326,2000,adam,0.00010425221335684141,280.1595388708784,15.50171460937675,168961.3310021919,364.82052452855424,-6.787846087333629,10.214777674646193,110.265642,2026-02-01T03:09:10,488.3333333333333
14,4,2,128,2,2,0.437937412597239,64,0.000553068677163337,2000,adam,6.388831982570442e-05,171.69675613056495,9.065311173492463,55930.581665317266,213.11765039397142,-0.7125580433571049,3.7344986328166527,119.518944,2026-02-01T03:11:01,508.0
