trial_index,test_size,window_size,d_model,n_head,num_layers,dropout,batch_size,lr,epochs,optimizer,weight_decay,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
1,12,22,64,2,3,0.5444604177027941,64,6.0551919771986076e-05,2000,adam,0.00045466977932026635,225.82757503244144,14.43930733732871,82760.30431180703,279.554772759866,-1.442620542408129,4.342916693998055,191.960495,2026-02-05T19:21:42,315.4
2,12,12,256,8,2,0.504822981543839,64,4.357078050663996e-05,2000,adam,0.0006550021051308684,248.95837646254125,16.313366379854443,94761.2897659503,303.7958775644698,-2.0950175778111504,3.8325293073397515,409.673738,2026-02-05T19:24:54,853.8666666666667
3,12,35,64,4,1,0.2205297326669097,128,0.0001849399438902766,2000,adam,3.3383116575409884e-05,246.56853624941593,15.92214558358737,100376.43909514399,296.73778704936996,-2.0740792737447467,7.176255019649119,92.589014,2026-02-05T19:31:44,510.1333333333333
4,12,25,32,4,4,0.35904751550406216,64,0.000284047818901723,2000,adam,6.693284757411677e-05,208.97626262474958,13.297848977191,73094.98698498133,261.6657744046954,-0.9962736321984075,2.919992210798261,241.021395,2026-02-05T19:33:16,343.93333333333334
5,12,17,128,8,4,0.5298187309876085,128,0.0006597256371396657,2000,adam,2.4639506258195874e-06,185.48946181023516,11.693296747151212,60621.082454907526,238.93114462062368,-0.6633149689594343,2.8781707248078803,217.099687,2026-02-05T19:37:17,504.2
6,12,26,256,2,4,0.00880995523184538,64,1.3638373199079388e-05,2000,adam,0.00021876897780696795,235.12449927800245,14.868349009822952,86145.52918485671,288.72011355583874,-1.4370377785375532,2.0862196456950923,380.035874,2026-02-05T19:40:54,467.2
7,12,30,64,4,2,0.10261573288589716,128,5.214738853379933e-05,2000,adam,0.0002887330250801609,217.40928012375656,13.983168624362095,78931.06200397703,272.9482519826259,-1.3087000532461053,4.0015618154843615,135.084653,2026-02-05T19:47:14,521.6
8,12,24,128,4,1,0.4986244339495897,64,7.241153066229123e-05,2000,adam,0.0008345471860674076,235.60349717143356,15.405913781514775,80870.58722382279,282.0521323946005,-1.4533706934261332,2.726757090609193,265.689777,2026-02-05T19:49:29,868.5333333333333
9,12,23,32,2,2,0.12069034874439238,128,0.00014191641885417044,2000,adam,8.964610625094695e-05,226.40884527262367,14.747996152015855,91698.73531372336,287.9108706247024,-1.8986787856920089,7.057921757957,120.64536,2026-02-05T19:53:55,378.26666666666665
10,12,39,256,4,2,0.153606647439301,64,0.00044685274968397036,2000,adam,6.860198608370928e-05,220.22110631924113,13.982959164637519,73640.56203380362,268.5900072619085,-1.1548583603910119,2.277402871101374,216.233243,2026-02-05T19:55:56,337.06666666666666
11,12,30,32,8,3,0.40757858511060474,128,1.5577857978512516e-05,2000,adam,3.1739248245894075e-06,207.22067797479446,13.062047773925682,76718.79780250689,267.0219301019393,-1.130498639069228,4.055836165363824,358.182381,2026-02-05T19:59:32,862.2
12,12,30,64,4,3,0.24354332517832517,64,0.0006601312937455251,2000,adam,0.0003278022525271529,208.02363814022618,13.274399176313024,76395.66262012189,267.82831122092983,-1.1763323487552202,4.33362313526163,123.761599,2026-02-05T20:05:30,227.93333333333334
13,12,24,128,2,1,0.11452339589595795,128,0.0003991352653387899,2000,adam,3.0968964143376084e-05,231.23531082767315,14.951729527816733,77282.81673115396,275.865980492751,-1.3658907131086755,2.7386890195259443,75.797598,2026-02-05T20:07:34,414.2
14,12,39,256,2,3,0.21245838347822427,128,0.0002248884023130508,2000,adam,0.00012846205387707707,192.17408321960562,12.049907337960063,61934.678001476066,243.39756065155586,-0.6838470401101593,2.1579379410310744,233.259773,2026-02-05T20:08:50,389.4
15,12,23,256,2,2,0.10344744063913822,64,2.0842182531832007e-05,2000,adam,4.535903895472589e-05,240.06054473629095,15.390949020926929,101766.02761783243,305.7067853278286,-2.280394198323828,4.966066507091424,309.189142,2026-02-05T20:12:43,470.8
16,12,24,256,2,2,0.23761159423738717,128,8.788472692422994e-05,2000,adam,6.403666888835983e-06,233.3124526360613,14.772506728254678,84225.4891795135,284.2019121075403,-1.4729050765409748,3.4368067009136904,139.397047,2026-02-05T20:17:52,369.6666666666667
17,12,21,128,8,4,0.48414254115943794,128,0.0005049530191958558,2000,adam,4.369533528628504e-06,199.78967340936717,12.600588533554768,70008.8360591267,256.1664868201959,-0.8656592365348748,2.726969138681492,187.024283,2026-02-05T20:20:12,410.8
18,12,14,128,8,4,0.5700113034346903,128,0.0007879301636531728,2000,adam,1.442000044453064e-06,187.45286460519426,11.954537952922514,59773.97352278695,237.9834939932803,-0.6777705497308468,2.6783174314565397,217.385616,2026-02-05T20:23:20,501.4
19,12,14,128,8,4,0.5218032594109572,128,0.001,2000,adam,3.4840472655231926e-06,186.72547592575899,11.819568656124192,60507.528032326656,240.06600451925323,-0.7071645605695893,3.208061650234525,181.202678,2026-02-05T20:26:59,442.6666666666667
20,12,15,64,8,4,0.5295172829613866,128,0.000736132884808841,2000,adam,2.473979641965077e-06,198.26975709027744,12.675342539954329,67516.47333839888,255.47211098182703,-0.9623278407881413,3.1627206977531364,173.860355,2026-02-05T20:30:02,449.53333333333336
21,12,16,128,8,4,0.5349043000386522,128,0.0008742099494024667,2000,adam,2.328308863487069e-06,172.7372534741675,10.990895102667881,54551.64010418494,229.79261719181855,-0.5640897418341451,2.6609245017944394,217.519594,2026-02-05T20:32:56,520.5333333333333
22,12,18,128,8,4,0.518022781940373,128,0.001,2000,adam,1.5415358285554087e-06,191.6207626406871,12.02052592783245,71457.96975465427,254.11581171451834,-0.9921276822387338,4.6162012111409805,189.500631,2026-02-05T20:36:35,446.6666666666667
23,12,17,128,8,4,0.6,128,0.001,2000,adam,3.62939215063076e-06,173.33474064896876,10.850192150375952,56843.87289645079,232.84428743071325,-0.5722472785323708,2.4111737051446642,208.76373,2026-02-05T20:39:46,491.3333333333333
24,12,40,256,2,4,0.2502775386479541,128,0.00043620940282210565,2000,adam,0.0002010488799297564,200.71747071462502,12.603371657425095,67771.61141606992,254.990268694433,-0.858621235090825,2.0199293221584433,229.906612,2026-02-05T20:43:16,300.26666666666665
25,12,46,256,2,3,0.1639317694088654,128,0.0003223187749904016,2000,adam,0.0004904390866992655,198.78530112251926,12.677415783068872,66055.15728919263,251.4836936526611,-0.8282766189886889,2.7383634385852336,235.557176,2026-02-05T20:47:07,355.2
26,12,17,128,8,4,0.6,128,0.001,2000,adam,3.920085101375709e-06,179.3965265943514,11.212043699045811,59678.84187799923,237.518368036251,-0.6298636814628279,2.594806081752665,193.052829,2026-02-05T20:51:04,441.6
27,12,45,256,2,3,0.24535506551461783,128,0.00014312680675416888,2000,adam,0.00010991659837304756,190.7706141057802,11.978380807665362,61365.01060476766,243.16411676305702,-0.7014490132480193,1.3444283551837004,235.79376,2026-02-05T20:54:18,366.46666666666664
28,12,17,128,8,4,0.6,128,0.001,2000,adam,3.5229679133992743e-06,177.62512452787723,11.11774619543086,58025.39352215375,235.28057571550545,-0.5943718223037774,2.3252736399023446,206.445174,2026-02-05T20:58:15,480.8
29,12,17,128,8,4,0.6,128,0.001,2000,adam,3.2279133787589e-06,186.81547671502477,11.701961942643681,63318.69337860032,244.5960028655712,-0.6987955552829769,2.1666669481910805,220.227272,2026-02-05T21:01:44,524.3333333333334
30,12,16,128,8,4,0.6,128,0.001,2000,adam,4.363169357209171e-06,182.05389012642055,11.533494088012935,55672.2739465313,231.1879462490501,-0.558851100855948,2.1906655395037675,217.50481,2026-02-05T21:05:25,509.1333333333333
31,12,44,256,2,3,0.2556719951741512,128,0.00015955295627955552,2000,adam,0.00011394229686565616,201.96262133121354,12.520482389986908,71634.79099575702,262.35047667962056,-0.9812295557188431,2.1998281989284623,248.115017,2026-02-05T21:09:05,306.26666666666665
32,12,44,256,2,4,0.10100831493205133,128,0.00015246147322667934,2000,adam,8.2249238783662e-05,197.0339661102821,12.17719491334226,69935.72717771017,257.43505895689407,-0.9482097720438903,3.1676660178147595,425.222225,2026-02-05T21:13:14,327.6666666666667
33,12,40,256,2,3,0.14540127770741854,128,0.0001462184447923472,2000,adam,0.00014639585130430576,195.89067520532342,12.166242696452722,68539.34768547628,255.58359141938382,-0.9299286037868607,2.5840910263677523,256.403056,2026-02-05T21:20:20,285.06666666666666
34,12,43,256,2,3,0.15492803454911583,128,0.00018061271611289638,2000,adam,0.0001025488290658034,222.4200920343206,14.219106186149958,76113.7135557571,272.4355294527,-1.2607846338584952,2.589807843138272,336.990703,2026-02-05T21:24:38,346.3333333333333
35,12,16,256,8,4,0.6,128,0.001,2000,adam,3.840502223676542e-06,178.45145474420184,11.296579881067872,61133.100710247956,238.69935134756298,-0.743096710079744,3.705573176534069,282.684926,2026-02-05T21:30:16,390.46666666666664
36,12,39,256,2,4,0.26776076163776363,128,8.734469219790076e-05,2000,adam,0.00037902532211427564,198.91914722166803,12.393671261352807,68979.85439285636,255.74223335690206,-0.8922638776743378,2.492947650573525,258.014025,2026-02-05T21:35:00,343.46666666666664
37,12,18,128,8,4,0.6,128,0.001,2000,adam,3.3206266310887307e-06,243.56086224363847,15.560808281381915,143370.18925205508,304.36220740604534,-3.3171276234757587,13.961282678973665,198.211715,2026-02-05T21:39:19,466.26666666666665
38,12,12,256,8,4,0.5292595904419936,128,0.0009718871258245634,2000,adam,3.5682585480236112e-06,186.89247854554273,11.64065032444953,65885.56691400032,248.9199182085685,-0.8220945797297821,3.17955349621695,185.012631,2026-02-05T21:42:38,383.06666666666666
39,12,12,128,8,4,0.6,128,0.0006219954831792905,2000,adam,4.830235799877504e-06,193.4311545308479,12.41327029310884,65542.05426507094,249.40261887136518,-0.8781903647782593,3.017478617471126,238.522524,2026-02-05T21:45:44,436.0
40,12,14,256,4,4,0.5373181881390992,128,0.001,2000,adam,3.480392076344476e-06,179.2849030411511,11.39550826584127,60690.66479325139,237.4684677239525,-0.8530843321213921,4.9068212637370126,347.671522,2026-02-05T21:49:44,512.5333333333333
41,12,14,256,8,4,0.5289849759636188,128,0.001,2000,adam,2.817069505971008e-06,186.4237877446603,11.861791235926281,66170.69818072389,248.54396837843692,-0.9253986634837742,4.214867602705257,283.786601,2026-02-05T21:55:33,478.53333333333336
42,12,46,256,2,4,0.37889331779700813,128,0.0001652693776150656,2000,adam,0.00012748664767633875,188.17651086228994,11.939156399637849,62722.53145926198,245.73196980795865,-0.7583606905398905,2.0463496434613075,362.106113,2026-02-05T22:00:18,415.3333333333333
43,12,13,128,4,4,0.4748807057177601,128,0.001,2000,adam,5.112534589382671e-06,237.9941561836482,15.293093973923126,89911.30628207405,291.9159581750555,-1.6707614700069895,5.275223053411337,174.128233,2026-02-05T22:06:21,397.26666666666665
44,12,16,256,8,4,0.6,128,0.0007600565332052301,2000,adam,1.1641199740831878e-06,172.43911106083962,10.741230802992847,55961.4419394575,227.90658280111066,-0.470313229674188,2.4415254133784603,264.54283,2026-02-05T22:09:16,487.93333333333334
45,12,12,256,8,4,0.6,128,0.001,2000,adam,1.3678093950497697e-06,187.60854074257495,11.755966669679307,69425.88051429337,253.63229692203953,-1.0307620088357898,4.641852543188909,198.536995,2026-02-05T22:13:43,437.6
46,12,18,256,8,4,0.5917289776943725,128,0.0006247552695419256,2000,adam,2.4159663954493175e-06,174.7874099797645,10.999525064996815,56589.95782620644,231.10581255472374,-0.5704144367951524,2.9159124103174436,266.491763,2026-02-05T22:17:02,507.4
47,12,19,256,8,4,0.6,128,0.0008525879698774221,2000,adam,1.1260006061894181e-06,177.9009300174071,11.242730018838841,59606.45355473729,237.8113570027406,-0.6392895524555974,2.6537481824787696,233.438921,2026-02-05T22:21:31,435.8666666666667
48,12,48,256,2,4,0.2810400167869815,128,0.0001006484499959141,2000,adam,0.0006725861111514885,210.30458330484498,13.105285162883538,76173.34712566991,269.3256700346185,-1.0697086134775255,1.6985635850520109,299.256488,2026-02-05T22:25:25,348.4
49,12,16,256,8,4,0.6,128,0.0005344011914827713,2000,adam,1.4519716831257549e-06,199.04673778489388,12.677152011650383,70929.13128015788,257.6103010182229,-1.0262618695427386,3.971981135076022,231.42622,2026-02-05T22:30:26,456.26666666666665
50,12,38,256,4,4,0.40176928204088636,128,0.000289863694975851,2000,adam,2.383434612522102e-05,195.74301180901924,12.276968605788237,69648.72220174021,258.05450400118974,-0.8946484352624124,2.405082330471495,224.314765,2026-02-05T22:34:18,308.53333333333336
51,12,19,256,8,4,0.5217330872022724,128,0.001,2000,adam,1e-06,190.83776812668464,12.109567540780887,64990.575592249304,248.62545118417333,-0.8442523175834518,3.312458091065713,224.728705,2026-02-05T22:38:03,418.4
52,12,22,256,8,4,0.6,128,0.000878872209996716,2000,adam,5.113389245367558e-06,187.98720103975336,11.719438055353407,65390.70532924788,246.14967525910245,-0.7475180902977475,3.2821115459054244,257.646311,2026-02-05T22:41:49,456.3333333333333
53,12,39,256,2,4,0.4191733965137322,128,0.0001414913843092048,2000,adam,8.450836026528204e-05,204.18303081488358,12.78745871402356,70702.99142214208,260.29591988728777,-0.9944201763402631,2.509435978726625,260.568736,2026-02-05T22:46:07,349.06666666666666
54,12,43,256,4,4,0.24404305471627136,128,0.0001444074773191315,2000,adam,7.308174736687276e-05,219.8732182473559,13.939439436994617,79337.31640474733,277.63311734029736,-1.2396639185089215,2.21394192681686,292.773082,2026-02-05T22:50:29,363.3333333333333
55,12,18,256,8,4,0.6,128,0.001,2000,adam,2.1814439142825137e-06,177.97568024822337,11.211075103960074,59340.17453349281,237.67872889601549,-0.649954312448391,2.3930840885657068,211.034302,2026-02-05T22:55:22,402.0
56,12,46,256,2,4,0.4648335701722456,128,0.0005565210326201862,2000,adam,2.4282408287369183e-05,198.8562621083286,12.282276016234288,71762.18864388014,256.4759488501206,-0.756841569340844,2.022719717947683,293.436743,2026-02-05T22:58:55,349.1333333333333
