trial_index,test_size,window_size,d_model,n_head,num_layers,dropout,batch_size,lr,epochs,optimizer,weight_decay,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,12,5,256,4,1,0.3551354169845581,128,0.0008281419179012578,2000,adam,2.5784219546577537e-06,202.84373189081597,18.163899320784644,57563.8442900608,239.5513320872666,-13.355395712869267,1.3957105470526467,22.627296,2026-02-01T13:02:39,354.0
1,12,20,256,4,2,0.10288137383759022,64,0.00023427539777840143,2000,adam,0.0005738773616333484,119.33969286463444,10.527994172269832,22811.232037999944,148.30291376836342,-4.225700752932646,2.693305778782029,75.638018,2026-02-01T13:03:01,395.0
2,12,1,64,2,4,0.08748571816831827,128,0.0001865138995306816,2000,adam,6.973098786111845e-05,197.2077976408218,18.066927687759986,54959.50309509871,212.44125177894594,-14.46389181256547,10.199570349762016,30.786858,2026-02-01T13:04:17,237.66666666666666
3,12,46,128,2,1,0.005751978792250157,128,5.109401616989785e-05,2000,adam,1.5923270802401008e-06,179.40069430540643,15.777413897585935,45675.388242014065,207.8581109720238,-9.46065530451121,4.422137958575651,55.989118,2026-02-01T13:04:48,567.6666666666666
4,12,25,64,2,4,0.5217739345505833,128,0.0004253769763033388,2000,adam,0.0004974628551946958,118.16370829895932,10.041696427660009,21049.855812680278,139.32737789766898,-3.1127374619015504,2.755377453799181,42.083329,2026-02-01T13:05:44,248.33333333333334
5,12,42,64,4,1,0.40049006938934323,64,1.1240922347588235e-05,2000,adam,3.8374054054352935e-06,184.59074825890514,16.634096093928232,49944.41755147301,221.6454829277553,-12.15469265552432,3.390201904868329,174.425008,2026-02-01T13:06:26,1771.3333333333333
6,12,30,128,2,2,0.46676152031868695,64,0.00019308170129594257,2000,adam,0.00018505050936380564,155.951467465663,13.65082495743716,35494.99942447393,184.90326472360823,-6.588849397054433,3.580485747563635,55.561843,2026-02-01T13:09:20,365.3333333333333
7,12,4,128,2,1,0.26757931150496006,64,0.0001593416553344234,2000,adam,4.542080920799168e-06,162.65601229476354,14.725313423204867,35729.3577728474,182.42959480130972,-9.178619806184523,4.434602238377861,34.568603,2026-02-01T13:10:16,357.3333333333333
8,12,9,64,2,3,0.05358773991465569,128,3.116392309593417e-05,2000,adam,0.0003223995546271504,107.92207547047475,9.470642044901643,17517.459376230196,126.39676115966404,-2.0811533425923296,2.7772449767396026,86.50393,2026-02-01T13:10:50,823.6666666666666
9,12,10,64,2,2,0.5152899719774723,128,0.00022133881790998672,2000,adam,5.1999351990873326e-05,139.69666148576428,12.435144580205046,27196.69597550361,164.08209385948714,-5.412220958580406,1.3092140968683255,19.037813,2026-02-01T13:12:17,264.6666666666667
10,12,16,256,2,3,0.24485287126153707,64,0.0001318881863024539,2000,adam,7.699731429361205e-05,91.69217544606776,7.899838481577436,13795.631365121786,111.89683646811164,-1.3278457434283035,2.342660966162552,96.552843,2026-02-01T13:12:36,402.3333333333333
11,12,16,256,4,4,0.4074297476559877,128,2.7638917879169252e-05,2000,adam,6.528476124273024e-06,100.34349056794339,8.819525535829934,14313.203491453996,117.90259568835829,-2.203865073815836,1.0115726883951406,112.714679,2026-02-01T13:14:13,492.0
12,12,1,64,4,1,0.4093012847006321,64,0.00026191754327752797,2000,adam,0.0003501656456639163,161.60217254644908,14.541621243467034,37164.05801452673,187.75485912276557,-8.13102504521059,4.303357607872614,89.105006,2026-02-01T13:16:05,774.6666666666666
13,12,38,64,2,2,0.39586887471377846,64,0.0007933783799215935,2000,adam,3.32672147303399e-06,143.9992560111712,12.375645307367854,29783.4615166557,167.39320983980454,-4.556300242963762,1.6576338852400443,37.347713,2026-02-01T13:17:34,230.66666666666666
14,12,45,32,2,2,0.3862364564090967,128,4.0885041462367e-05,2000,adam,0.0002601277913341496,163.57858550084924,14.25624125302028,37814.39687071056,191.52503431315003,-9.74411870716533,1.9237859581602024,82.651634,2026-02-01T13:18:12,701.0
15,12,30,128,8,2,0.16511659640818835,128,0.00015111104292297612,2000,adam,0.0005355968469001058,136.32948857339736,11.674361231892119,29354.749747214897,162.53545459673964,-3.8281384800603377,2.785804872258639,49.127538,2026-02-01T13:19:34,390.6666666666667
16,12,18,256,2,3,0.24741682663740178,64,7.454271786786829e-05,2000,adam,9.275907571310795e-05,131.20675811852604,11.372903211492314,23907.514937899177,149.85385919719747,-3.5073814830152266,2.4673012716195766,83.889938,2026-02-01T13:20:24,313.0
17,12,17,256,2,3,0.2152459696751534,64,0.0002441475551543633,2000,adam,0.00013467597186627524,97.57068763583602,8.600675919123626,14469.037617772185,120.1515800962344,-2.67945769464683,0.5953784486185495,77.838196,2026-02-01T13:21:48,264.0
18,12,15,256,2,3,0.24984626725948386,64,0.00019628231504075568,2000,adam,6.237687798585924e-05,115.27901848545002,10.20346696988405,17423.55432496496,131.55040442481288,-3.260891847459494,0.9646627963468938,123.014604,2026-02-01T13:23:07,394.3333333333333
19,12,18,256,4,3,0.19668424563063847,64,0.00017024703479924828,2000,adam,0.0002240352700133436,119.47621661139802,10.33096623024494,21836.835665644856,145.7056919739268,-3.6337965974225903,1.2535930932614279,95.082414,2026-02-01T13:25:10,300.6666666666667
20,12,17,256,2,3,0.17056379502549837,64,0.00016634678051636166,2000,adam,0.0002787665875262524,120.67972763428827,10.628922758457596,20494.053858142957,142.5499558422855,-3.849640839799523,0.5781750683961665,88.066893,2026-02-01T13:26:46,284.0
21,12,18,256,4,4,0.3632825690509897,128,6.29768853394007e-05,2000,adam,2.6551588107921348e-05,118.97137655611051,10.225537326930713,21328.102401999666,141.9576893365041,-3.0443833664656625,2.05008583588985,117.465093,2026-02-01T13:28:15,394.0
22,12,16,128,2,3,0.1791400666494726,128,4.080209488026481e-05,2000,adam,0.00019723710216384418,106.53835083390852,9.197448222629893,17741.621388647993,123.2705893631747,-1.7228118140576132,3.557768865411028,96.34257,2026-02-01T13:30:13,615.3333333333334
23,12,15,128,4,3,0.3043733380588773,128,2.5331220150397883e-05,2000,adam,2.7252225229076464e-05,125.39384028508475,11.224613412764947,21955.439136944045,145.62581611385878,-4.183167004846664,2.601309077501599,100.826452,2026-02-01T13:31:50,668.3333333333334
24,12,18,128,2,3,0.27115573412467,128,0.00017761012381205143,2000,adam,0.00011911021933499329,117.64743246453605,10.330914220797062,20192.58530334008,139.68546628482457,-3.2316475429764253,1.781872666019744,49.833641,2026-02-01T13:33:31,341.6666666666667
25,12,19,256,2,4,0.3180439328655378,64,0.0002434305982543302,2000,adam,9.087943473558966e-05,103.32615077189247,8.898935394123798,15274.48946659764,117.9455495442701,-1.7712023357482618,2.4099355366843644,101.973584,2026-02-01T13:34:22,310.3333333333333
26,12,18,128,2,4,0.3470010648117428,64,0.0002072142046656457,2000,adam,0.0001253112158602771,124.4992671944327,10.75716880354067,21569.339602533604,143.63253010977706,-3.2703416744164695,1.624256990033643,77.655605,2026-02-01T13:36:06,291.3333333333333
27,12,15,64,2,3,0.0982194725078138,128,3.5404147156491916e-05,2000,adam,0.0008432223923371045,116.2601455485907,10.230445580594788,19404.911036218607,133.314812059177,-2.443943355643178,3.1764723144695446,58.010764,2026-02-01T13:37:25,424.3333333333333
28,12,16,256,2,4,0.3484655260302405,128,4.932078466066515e-05,2000,adam,1.7701087907694994e-05,98.73620638979885,8.641549951565224,14149.253005095838,116.01396067602235,-1.9098686610889741,1.5026159660064,111.81433,2026-02-01T13:38:24,436.0
29,12,18,256,2,4,0.2735367673370258,128,0.00016634230839515063,2000,adam,4.623500948202468e-05,118.27651856954787,10.157155911230985,20527.25347413139,139.46207000833502,-2.9367312657842635,1.462002579837617,65.960756,2026-02-01T13:40:16,287.3333333333333
30,12,15,256,2,4,0.3726089828184818,64,6.529695809197752e-05,2000,adam,1.2499838391975842e-05,97.43920789192164,8.299185697813678,15806.303263267424,115.55340629411911,-1.226513646180692,3.37176769995731,128.390537,2026-02-01T13:41:23,406.3333333333333
31,12,15,256,2,4,0.4169327073936913,64,5.5795894016928424e-05,2000,adam,1.303222869693534e-05,91.18656689790349,7.860908731380211,13142.674253360252,110.30773349226313,-1.3456567925034395,1.7109358019648293,112.031172,2026-02-01T13:43:33,320.6666666666667
32,12,15,256,2,4,0.4584798077599122,64,4.5673295887568924e-05,2000,adam,1.0757824708234152e-05,90.26703663171465,7.856779209667661,13688.496422433236,109.29636523869613,-1.2777965279600847,2.869619096152665,170.369124,2026-02-01T13:45:26,502.0
33,12,15,256,2,4,0.4509653072280706,64,4.5465259158076244e-05,2000,adam,9.749441258293997e-06,102.17394324368162,8.794336275191151,16212.914889303009,121.83365005692092,-1.7819948394688179,2.416369957885805,160.21286,2026-02-01T13:48:17,445.3333333333333
34,12,14,256,2,4,0.44867410168147354,64,5.3306182218117515e-05,2000,adam,1.86552391017225e-05,111.34275416437599,9.652723696999484,17974.234336052352,129.6726294133499,-2.3374512288939897,2.3208946771716237,127.164633,2026-02-01T13:50:58,361.6666666666667
35,12,17,256,2,4,0.3939906502311335,64,5.316290549939119e-05,2000,adam,4.51462329507042e-06,116.75577717425801,9.976872287190192,19825.078073634086,135.14535376495257,-2.725027897900605,2.394419276176787,104.2427,2026-02-01T13:53:07,285.3333333333333
36,12,15,256,2,4,0.40587501141791904,64,4.4841575527934886e-05,2000,adam,1.3841156497862402e-05,99.18383776631025,8.530578463019502,14533.289017646386,115.91905037336916,-1.5736099320626096,2.0471695502546927,125.8882,2026-02-01T13:54:53,366.0
37,12,15,256,2,4,0.42703825418962665,128,5.32467644317469e-05,2000,adam,1.3126253200643428e-05,110.1458065450118,9.413541596489443,16610.04456588745,123.90668700765379,-1.9567387417483328,1.5621959328936943,83.78097,2026-02-01T13:57:00,316.0
38,12,15,256,2,4,0.32039270823465643,64,3.8437097389460826e-05,2000,adam,1.3813238377178785e-05,112.07339306030907,9.620410878301982,18194.95256712291,127.72710517604371,-1.9640546314668808,2.4643708515532223,108.870981,2026-02-01T13:58:26,286.6666666666667
39,12,16,256,2,4,0.42843465850958573,64,9.480373773052196e-05,2000,adam,1.977357622111665e-05,100.23220775223903,8.599037200153136,17040.503864585404,123.75875770221704,-1.9332802592448834,2.0868208796452796,148.568471,2026-02-01T14:00:16,367.0
40,12,15,256,2,4,0.4259444790588917,64,5.79427265682795e-05,2000,adam,1.5049829247989048e-05,105.10488136195579,9.05941179705748,15943.744916949305,119.98279010472993,-1.6699041276024473,2.6291612149420756,127.316073,2026-02-01T14:02:46,338.0
