trial_index,test_size,window_size,d_model,n_head,num_layers,dropout,batch_size,lr,epochs,optimizer,weight_decay,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,12,44,128,4,2,0.41769386529922486,128,6.849020244608682e-05,2000,adam,0.00034606728806318917,161.4967646711635,13.876084376064506,34953.240725422824,180.48973630792855,-5.3683984309088215,2.9123287362201293,92.660561,2026-02-01T13:02:39,638.0
1,12,29,128,2,2,0.3736815590411425,128,0.0004171475420376107,2000,adam,3.3773344570081393e-06,151.91027626928621,13.126084165348592,32637.75515581407,176.98545181954333,-5.627193846713653,2.3536777943316283,35.356772,2026-02-01T13:04:11,345.6666666666667
2,12,35,256,4,2,0.3972770484164357,128,0.00038380036845515826,2000,adam,3.701687595951403e-05,124.45521629480932,10.593970460250935,27769.263015062428,159.66121133045272,-3.8426345192820683,2.89663718159158,49.581596,2026-02-01T13:04:47,265.3333333333333
3,12,32,32,8,4,0.05918130241334438,64,0.0005973284098698918,2000,adam,1.168364530719321e-05,108.39027589496597,9.039264063396418,20713.667351299253,128.8682867607396,-1.5726533650709984,3.7320387320841863,75.683891,2026-02-01T13:05:36,312.3333333333333
4,12,24,64,2,4,0.3695445505902171,128,0.00011902717105327556,2000,adam,0.0003648668689091035,100.45087081949272,8.599810970733376,16865.682528419053,123.53591708975289,-1.8171450291437559,2.5843262348276306,59.934574,2026-02-01T13:06:52,389.3333333333333
5,12,41,32,2,2,0.4634602976962924,64,1.1154952022594876e-05,2000,adam,2.0791475523903933e-05,247.7534308723682,22.183967782765265,111610.72232642793,291.88038517843876,-44.198716060032815,12.24449457860174,99.80752,2026-02-01T13:07:52,762.6666666666666
6,12,34,32,2,1,0.5923054251819849,64,0.0001175598293799689,2000,adam,0.0004005193483222228,158.44516785079006,14.331227855806793,37597.74998907495,183.53391358850016,-8.547540282710353,6.121794511215716,104.56477,2026-02-01T13:09:32,1152.0
7,12,18,32,2,4,0.4791940592229366,128,2.5743798052396625e-05,2000,adam,6.579786378554791e-06,221.5148506451139,19.89263400905335,73793.6526136112,238.28323195207994,-18.333021192953296,13.460717782519316,50.566884,2026-02-01T13:11:16,376.6666666666667
8,12,42,64,2,1,0.10151388198137283,64,0.00093689101768697,2000,adam,2.8750602505290946e-05,151.0138009095069,13.416825515842389,35116.32322823283,185.9705423159334,-6.948595694695276,1.192250947226493,29.281449,2026-02-01T13:12:07,329.3333333333333
9,12,31,128,2,4,0.44079605005681516,64,2.5511837731585843e-05,2000,adam,3.5789177320892473e-06,97.35013600049952,8.090869116188419,16566.79604895342,115.13876629545769,-1.1118159451207277,3.7701644611684615,100.180637,2026-02-01T13:12:36,355.3333333333333
