trial_index,test_size,window_size,d_model,n_head,num_layers,dropout,batch_size,lr,epochs,optimizer,weight_decay,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
1,12,22,64,2,3,0.5444604177027941,64,6.0551919771986076e-05,2000,adam,0.00045466977932026635,133.62023396983292,11.558177838586078,26093.943599918173,149.68571105001442,-3.4558991992236323,4.436016874902982,126.989243,2026-02-01T13:02:39,647.3333333333334
2,12,15,128,2,3,0.2988170625641942,64,0.00034853649560920394,2000,adam,9.007304311948489e-06,122.09656934040167,10.731388417076195,22806.71409627866,142.67966058487713,-3.5287601562421798,4.0671150353230585,56.595603,2026-02-01T13:04:46,266.0
3,12,45,128,2,1,0.4772870348766446,128,7.691412303788223e-05,2000,adam,2.8290801428783778e-05,215.74092114873108,19.031722770340732,61491.73135440655,239.7283744363431,-12.490339678744656,6.182687180278252,77.154823,2026-02-01T13:05:43,762.0
4,12,36,128,4,3,0.445024292729795,64,0.00024151618491623312,2000,adam,0.0009065995006381616,175.05311257070335,15.250046564494847,44938.999350580496,201.9242648970525,-7.614515880415016,5.363279769975516,83.607071,2026-02-01T13:07:00,335.3333333333333
5,12,34,64,8,3,0.11910527441650628,64,0.0006664345656896482,2000,adam,1.4539240705502093e-06,120.41516180537063,10.237522869698795,24071.813745168838,144.8701196730989,-2.6473611187512573,3.2276017287232803,64.639224,2026-02-01T13:08:23,261.0
6,12,16,128,8,4,0.010226371698081493,128,1.53730970870829e-05,2000,adam,1.742283041964112e-05,100.88030591366108,8.816961898841642,17761.770540724647,121.86941412508209,-1.6122735541125923,3.797660290260995,122.661802,2026-02-01T13:09:28,591.6666666666666
7,12,29,64,8,2,0.38788712248206136,64,0.00044211484963158396,2000,adam,1.885286975756678e-05,124.44665844526453,10.95660836457967,21084.624521872855,143.9684117038423,-3.7208417434463215,0.625148624937796,52.39768,2026-02-01T13:11:31,261.0
8,12,32,32,4,3,0.4348620716482401,128,3.380644556760373e-05,2000,adam,0.00044684291811485636,110.73546553301907,9.576125699693106,21984.394230181366,133.46213635351512,-2.5480428591699327,4.538148711148328,92.616085,2026-02-01T13:12:23,651.3333333333334
9,12,37,64,2,3,0.0072751231491565704,128,0.00031105954137942656,2000,adam,0.0006354508419876569,116.23016038998054,9.854886380021535,19281.116900236942,133.8420918012188,-2.495325357567913,1.5291478072450435,63.512853,2026-02-01T13:13:56,385.3333333333333
10,12,40,32,2,3,0.3274923088029027,64,7.836714648575461e-05,2000,adam,2.2429731982159074e-05,112.20505553528113,9.367691744870752,22909.210026452554,131.4097357571727,-1.6322572300820486,4.862156190330566,92.164983,2026-02-01T13:14:59,419.3333333333333
11,12,14,32,8,4,0.5437504319474101,128,0.0009760737637295026,2000,adam,1.6361460165605649e-06,136.81554380982206,11.738365746919376,30798.88975368328,162.60802849855375,-4.083278708051993,4.739274134969551,66.858254,2026-02-01T13:16:31,434.3333333333333
12,12,26,256,8,4,0.02138502225279808,64,0.00010496951034226924,2000,adam,1.7312545114323275e-05,122.06442782011477,10.383924401936136,20931.973760142402,139.45470879666118,-3.050472368976601,2.404456070795797,125.310987,2026-02-01T13:17:38,358.0
13,12,22,32,2,1,0.599665955454111,64,2.7112232850466834e-05,2000,adam,1.0632066593463893e-05,155.0991377907139,14.165314598106107,36500.4842918781,178.11420501941078,-7.753335693323535,6.7831536915652615,160.338467,2026-02-01T13:19:44,1473.3333333333333
