trial_index,test_size,window_size,d_model,n_head,num_layers,dropout,batch_size,lr,epochs,optimizer,weight_decay,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
1,12,2,64,2,3,0.5444604177027941,64,6.0551919771986076e-05,2000,adam,0.00045466977932026635,178.29000591303134,15.860308842314785,42986.479663298436,206.21918552922978,-11.093858246438144,2.5014123416464304,66.088072,2026-02-01T13:02:39,312.6666666666667
2,12,5,128,2,4,0.4994634954258799,64,3.2236364965735226e-05,2000,adam,1.4132523312972291e-05,131.1705743804895,11.241123954037855,23593.642569361236,148.19925846909302,-3.7567268297857583,2.600450890393784,107.448612,2026-02-01T13:03:45,398.0
3,12,4,32,2,3,0.13457125313580034,128,0.0009264275575147513,2000,adam,8.496854796399353e-05,193.58067626166937,16.7240304672917,46339.602061001344,212.692552798286,-9.009737191210244,1.0756040065707868,34.042174,2026-02-01T13:05:33,225.66666666666666
4,12,4,128,2,4,0.5849685318768024,128,0.0002746458562271824,2000,adam,0.00035945779577076806,186.52267136400368,16.197610757462154,45502.48460710087,206.91117665902092,-11.779186120059348,4.212554593614005,58.748211,2026-02-01T13:06:07,314.6666666666667
5,12,4,64,2,2,0.30473893973976374,64,0.00020460165254066875,2000,adam,8.66236015952181e-06,152.08087671142937,13.615897449345695,29358.522243964388,171.13027353337114,-6.95222180580172,1.0946938051551764,56.978536,2026-02-01T13:07:05,263.3333333333333
6,12,4,128,4,2,0.4387560015544295,64,0.0006285490591500861,2000,adam,8.53622403893825e-05,182.3416860844135,16.307920522392802,40319.98692260424,199.2253947406632,-10.591232432307509,2.971539156093583,56.234215,2026-02-01T13:08:02,280.0
7,12,2,128,2,1,0.188674677349627,128,1.5579230421357997e-05,2000,adam,0.00020722689818635916,181.34215335891562,16.4304640435772,49759.792645910784,218.74475016411756,-13.036156663723133,4.532939113905786,94.414021,2026-02-01T13:08:59,1140.0
8,12,4,64,8,2,0.20155762173235417,128,0.00014646094181356347,2000,adam,1.0699467352786202e-05,178.55588127137435,15.996555886247988,40429.96004969009,200.01849554023966,-11.087671294419176,2.246271859891736,34.74692,2026-02-01T13:10:33,300.0
9,12,5,256,8,4,0.36133433394134046,128,0.0001315487686006022,2000,adam,4.0277663316828806e-05,156.7594924577763,13.503323532192086,33702.576652389616,179.84417844107816,-6.214262028566115,1.666307154066569,67.473091,2026-02-01T13:11:08,346.6666666666667
10,12,1,32,4,2,0.34751883801072836,64,0.0002895566356251024,2000,adam,0.0002892079019712572,162.66254710484893,14.792458914020536,38486.01078844265,181.3740461025967,-8.381501189119435,7.6620511813286125,53.950184,2026-02-01T13:12:15,296.6666666666667
