trial_index,test_size,window_size,d_model,n_head,num_layers,dropout,batch_size,lr,epochs,optimizer,weight_decay,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,12,2,256,2,1,0.4396018624305725,128,3.673022100129519e-05,2000,adam,1.3914609807348236e-05,190.95998125927508,16.849388288731603,51064.27798240114,222.31503008179905,-10.29003181263439,3.524653943096309,57.421675,2026-02-01T13:02:39,830.3333333333334
1,12,5,32,4,3,0.4677540997043252,64,0.00034249559765688525,2000,adam,6.038263088647758e-06,168.74401142605737,14.5795988237295,39826.329372125605,195.39040961403578,-7.004969735736128,2.0159664352735946,77.943487,2026-02-01T13:03:36,315.0
2,12,4,256,2,2,0.08550399597734212,64,0.00017749040630857385,2000,adam,2.4173600125691844e-05,142.01573232793803,12.390479136434017,31461.775126198667,174.31477526997529,-5.618269460170364,1.7717454540265005,51.972134,2026-02-01T13:04:54,268.0
3,12,1,256,2,4,0.22744439765810964,64,0.0004733751341368947,2000,adam,2.2763484866467247e-05,175.27209963898636,15.486476829308744,45293.15480543994,199.50170457423397,-9.673947478842118,7.349457886370575,72.347731,2026-02-01T13:05:46,244.33333333333334
4,12,2,64,8,2,0.29874379131942985,64,0.0004432030272784731,2000,adam,0.00019872365955922987,164.75401042963287,14.964696982146739,39728.87621562427,191.03473437222544,-9.71102251068175,5.191776402558526,44.491408,2026-02-01T13:06:58,253.0
5,12,1,128,2,3,0.4097102344036102,128,2.6190760417257504e-05,2000,adam,1.5440434654977862e-06,173.24718905249713,15.478551062790919,36097.501114962535,188.0024073535101,-10.315690329908925,3.4376517985002626,60.606026,2026-02-01T13:07:43,577.3333333333334
6,12,1,32,8,3,0.3968419823795557,128,9.66763774816939e-05,2000,adam,4.833935902382146e-05,161.5247401955917,14.736437149836435,39114.30969307897,181.23778061401117,-9.183767757050163,7.9667290046138834,50.554553,2026-02-01T13:08:44,474.6666666666667
7,12,5,128,4,3,0.502508438564837,128,2.574897040611893e-05,2000,adam,1.888073954854883e-05,138.3664818997477,12.295373017948732,24725.320088852284,156.93245020505242,-5.479480939446739,0.8286765525403841,77.105547,2026-02-01T13:09:34,755.3333333333334
8,12,4,256,8,3,0.5664793152362108,128,3.188244950978253e-05,2000,adam,2.4299950414179372e-06,125.15329705461022,10.761515200658316,24061.591543169616,149.2090030489043,-4.320008847360501,2.5549563598144207,49.471256,2026-02-01T13:10:51,430.6666666666667
9,12,4,32,2,1,0.42492501698434354,64,0.00010661900104923388,2000,adam,0.0001621182181463406,195.7854393372918,17.78054111307779,52260.47746433202,220.71795452437348,-12.560382763032669,6.424025585227663,114.834374,2026-02-01T13:11:41,981.3333333333334
