trial_index,test_size,window_size,d_model,n_head,num_layers,dropout,batch_size,lr,epochs,optimizer,weight_decay,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,12,36,256,8,2,0.1094693899154663,128,0.00012409810208079087,2000,adam,0.0007912356257507705,145.7471970408616,12.522059915799897,32498.896821904393,173.43664061345822,-5.214918926439966,3.10429392276343,132.999289,2026-02-05T02:28:24,315.4
1,12,37,32,4,3,0.5277405805885792,128,3.8208509195641724e-05,2000,adam,4.0585225097846485e-06,209.60336643232415,13.405870977744717,74653.38522876646,267.7826943629868,-1.1403901742320441,3.0934076890667983,248.549374,2026-02-05T02:30:37,712.4666666666667
2,12,20,128,2,4,0.3021806560456753,64,1.6990641527243944e-05,2000,adam,3.873425254120268e-05,188.793748896661,11.965943846876293,59589.29842925771,239.0243599367596,-0.7125939317522189,2.578539562086044,357.77817,2026-02-05T02:34:46,502.53333333333336
3,12,40,256,4,3,0.5995290420949458,64,6.51811716490758e-05,2000,adam,2.648793950488994e-06,218.41701622050581,13.59571032022156,79474.33393157269,274.40650804094736,-1.226457300412476,2.859702977646647,276.641188,2026-02-05T02:40:44,365.93333333333334
4,12,39,64,8,2,0.34324505422264334,64,0.00032035070617316113,2000,adam,1.0849019358798589e-05,224.9671862561827,14.506830607564385,82636.56059603477,280.9593135527165,-1.535690626801912,4.433728139381918,156.001482,2026-02-05T02:45:20,366.8
5,12,36,128,2,3,0.2377625288441777,64,0.00044595606825086813,2000,adam,4.581590863495255e-05,183.26505552756603,11.636344760215927,56387.402129931455,230.8983518934468,-0.5809872923673616,2.9105067465129633,185.392041,2026-02-05T02:47:56,306.8666666666667
6,12,29,32,2,4,0.5284773727878928,128,4.4250722125516866e-05,2000,adam,0.0007726538093293104,212.31854910701432,13.499936538985672,75363.75602970569,270.6393445042848,-1.198882875691677,2.891691987506371,235.37344,2026-02-05T02:51:02,575.9333333333333
7,12,43,256,8,3,0.4397602709010243,64,4.068367380541255e-05,2000,adam,2.176491687381242e-05,222.13202726836053,13.937195634292305,82846.53760002847,279.3213706411826,-1.2834861543979992,2.7339876366259785,288.940476,2026-02-05T02:54:57,385.1333333333333
8,12,28,64,8,2,0.5659227741882205,64,2.069749224150147e-05,2000,adam,0.00025686397267399915,229.13223262967577,14.829170885876161,90289.01232813248,286.1527237304332,-1.7763229068246587,6.1126830960946625,352.6003,2026-02-05T02:59:46,848.8666666666667
9,12,32,256,4,3,0.41079768687486645,128,9.579538889953233e-05,2000,adam,1.4534370228866104e-05,195.67829269764454,12.226741469814142,66020.90590061534,248.36855671205794,-0.752931861678303,2.9868601381528883,171.099423,2026-02-05T03:05:39,333.0
10,12,15,256,8,3,0.13098193556070328,128,1.5722630316976764e-05,2000,adam,7.241689930064783e-05,210.2340255292149,13.317028313150447,71222.12513739106,262.7776463207479,-1.1249898852160518,3.2728965538787844,345.381301,2026-02-05T03:08:30,872.8666666666667
11,12,26,128,4,4,0.19875373598188162,64,4.841284175568117e-05,2000,adam,2.0763406654295155e-06,198.89305216744233,12.446419291211214,72518.5280149611,262.411435629928,-0.9646665194193302,2.156396785176802,294.103783,2026-02-05T03:14:15,400.1333333333333
12,12,48,128,2,2,0.006834398210048676,64,1.298546690885716e-05,2000,adam,0.0007937334174463362,229.69139881582942,14.643693927076276,93719.80894400176,294.3561596675925,-1.8585115225868238,4.607473893787992,270.728574,2026-02-05T03:19:09,649.2666666666667
