trial_index,test_size,window_size,hidden_size,num_layers,batch_size,lr,epochs,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,12,30,64,1,32,4.382668811033021e-05,2000,881.1695259583457,48.227026207295985,1172093.6503178102,986.6632306346863,-31.533319778221596,8.711212635573707,5.02302,2026-01-02T08:17:32,119.33333333333333
1,12,42,256,4,64,1.5598092318875664e-05,2000,676.197689005514,31.299002086677415,876196.9034237823,725.5520183640451,-11.112555026305337,16.493903300158756,18.623645,2026-01-02T08:17:37,133.66666666666666
2,12,48,256,3,64,1.278217558822656e-05,2000,723.3554968713005,34.17774461862007,931434.8840308492,774.6960390121139,-12.452042598805912,16.045987033342318,16.915367,2026-01-02T08:17:56,141.66666666666666
3,12,46,64,4,64,1.872813672547167e-05,2000,725.6605539700313,34.969952429589775,926368.4144824868,787.9009202340817,-13.843776939235068,14.413680760771413,6.357034,2026-01-02T08:18:13,187.66666666666666
4,12,40,256,1,128,4.779878953906169e-05,2000,737.513579298079,35.08560326086954,943915.500198498,781.0539825714599,-13.460105435035805,15.714175051696166,3.83794,2026-01-02T08:18:19,121.0
5,12,38,256,3,128,4.182008159655227e-05,2000,741.0111625599629,35.60868426291928,958546.2640310674,803.5125917625292,-14.841544372546215,16.3031275305692,9.00699,2026-01-02T08:18:23,123.66666666666667
6,12,32,128,2,128,0.0005149253016755619,2000,752.3533714313694,38.9253022606093,870999.1339672332,806.9635500029952,-20.182427834809157,13.401872496610611,2.225116,2026-01-02T08:18:32,112.33333333333333
7,12,39,128,3,32,0.0002507442351903565,2000,764.197300762134,36.7237718905673,978839.7432110518,816.3720513103464,-13.577869883874678,13.528914590454452,6.059022,2026-01-02T08:18:34,116.0
8,12,46,512,1,32,4.514914336934023e-05,2000,647.2475529506746,28.56304860808717,877470.2250920963,708.0888661447287,-8.850188019068632,17.90728441548728,10.433694,2026-01-02T08:18:40,104.33333333333333
9,12,35,32,4,32,8.708980823516812e-05,2000,857.5428102654778,44.983258782863224,1175679.8278009838,964.5979181658716,-27.39312894804176,12.120537869770146,6.454412,2026-01-02T08:18:51,117.0
10,12,44,512,2,32,4.733925423922981e-05,2000,724.2510205672253,34.98167027289016,935592.7412725965,766.7500155804652,-15.599937797772574,18.597894688549665,18.662967,2026-01-02T08:18:58,112.66666666666667
11,12,49,512,1,32,4.3026504665164473e-05,2000,658.8566905496201,28.895504637694824,912526.3068545455,719.5624852702681,-8.860767997468756,18.569370235517344,9.767831,2026-01-02T08:19:17,104.33333333333333
12,12,45,256,4,128,1e-05,2000,693.761168958856,31.896877988187033,931351.8873450091,747.7635659631936,-11.295423754754156,16.711301707210914,18.193905,2026-01-02T08:19:27,188.66666666666666
13,12,50,256,4,64,2.3323874730013134e-05,2000,693.7887280273238,31.766360387486717,941049.9177470255,745.0601895325302,-11.373438142705153,17.48762282603361,19.994598,2026-01-02T08:19:46,123.0
