trial_index,test_size,window_size,hidden_size,num_layers,batch_size,lr,epochs,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,12,30,1024,3,128,0.0005889320485151286,2000,220.64798763688714,18.356486085878398,66024.86026439052,237.580846516228,-27.997856347617773,9.330027736319108,19.054311,2026-01-02T09:34:38,110.0
1,12,41,512,1,128,0.0008789762448645981,2000,221.9092370427655,18.36360144779542,60132.74064288914,237.66017160036282,-17.542398827055596,6.519835565248742,4.890065,2026-01-02T09:34:57,141.66666666666666
2,12,48,512,1,64,1.1919474981496094e-05,2000,150.4200831370386,12.281323552900064,31922.753925230045,177.42928199589005,-7.992838740018624,3.3729096490301074,15.796788,2026-01-02T09:35:02,291.0
3,12,47,32,2,64,2.8992235887901517e-05,2000,219.87545799934017,18.2663963152993,66113.61446694566,246.57286382391226,-24.473772853282426,8.149024383881857,8.163396,2026-01-02T09:35:18,323.0
4,12,29,512,2,32,0.000358394450539596,2000,200.94657452777093,16.67843137958535,50853.04476624705,214.08501738796784,-15.293949801048711,7.033372839861482,18.342897,2026-01-02T09:35:26,150.66666666666666
5,12,51,1024,2,128,8.47272620648645e-05,2000,215.66638447408624,17.8993336139834,55870.616807843675,231.5975075751745,-14.5326601041712,5.4055085354950405,28.092564,2026-01-02T09:35:44,175.66666666666666
6,12,29,64,3,32,8.516368527728104e-05,2000,278.4982294766474,23.12819902182028,91361.78911868576,292.1325212813001,-30.31963891239774,7.861865869425292,5.975396,2026-01-02T09:36:12,123.0
7,12,51,256,4,64,0.00036823929747817905,2000,291.7617419820728,24.220719494865318,97333.3125873023,305.28840021964,-29.161050988647617,6.594629751593981,30.019111,2026-01-02T09:36:18,171.33333333333334
8,12,42,1024,4,128,0.00014120430990126128,2000,181.75116491708607,15.046812415317198,41527.497355726264,200.88027224484492,-11.837418553600173,4.302182282117869,58.0771,2026-01-02T09:36:48,193.0
9,12,47,512,4,128,9.005646056465454e-05,2000,271.0065258786938,22.64797433697184,91219.10015565263,287.2056473467281,-24.863056447378966,9.059102125884102,16.560335,2026-01-02T09:37:46,132.0
10,12,46,1024,1,64,1.2967831885385265e-05,2000,163.7800124693456,13.450537153810572,33995.60181030936,179.7987055374632,-10.03742686323731,4.468322922021946,17.540742,2026-01-02T09:38:04,208.66666666666666
11,12,48,512,1,64,1e-05,2000,148.8505664965503,12.145530346100818,31330.638525219187,175.87323537445025,-7.697419423863528,3.25533075344928,18.329836,2026-01-02T09:38:22,329.6666666666667
12,12,49,512,1,64,1e-05,2000,149.43840865756775,12.186694565757648,31639.15720550663,177.00751829515835,-7.659351572138153,3.12832827305006,17.852505,2026-01-02T09:38:42,330.3333333333333
13,12,35,1024,4,128,8.55229067895769e-05,2000,189.72874569843557,15.749698667464026,44986.32592451879,206.9546881227768,-13.254748871157341,5.0513465768499275,35.547523,2026-01-02T09:39:01,133.0
14,12,52,32,1,32,0.001,2000,324.2473096270009,26.80366228067577,133966.39078345543,350.9967546878438,-45.09979692473891,10.35420221352861,4.933474,2026-01-02T09:39:37,135.66666666666666
15,12,52,32,2,128,1e-05,2000,230.963375400346,19.14323227451801,72707.77767036855,261.208382976377,-26.129785694826527,7.828999102010115,18.096759,2026-01-02T09:39:43,1231.6666666666667
16,12,41,1024,4,64,0.00010786496008719739,2000,138.17932629688622,11.19321091739405,25975.36752869001,160.91433925003128,-5.83409816866515,2.116199726871441,60.254125,2026-01-02T09:40:02,177.0
17,12,47,512,1,128,1e-05,2000,158.10410185905522,12.918171510136602,35625.79301578199,188.50618788612073,-8.323746332015423,2.920115726650107,14.090126,2026-01-02T09:41:03,391.6666666666667
18,12,41,1024,4,64,0.00010243707255689044,2000,131.41278916038448,10.63746325483393,24175.904971694505,154.5588225733934,-5.654143196923028,2.5374072344769902,39.220536,2026-01-02T09:41:18,118.66666666666667
19,12,41,1024,4,64,6.0067039624603694e-05,2000,182.6259512940392,15.108169554095012,42757.27894152506,199.2003004761482,-14.718072310379887,5.947683378351993,43.123604,2026-01-02T09:41:58,131.0
20,12,39,1024,4,64,0.00013718266840671243,2000,157.71641871767613,12.865566133499556,33919.412961902126,180.0596773930874,-10.84471246542575,4.774689188973373,55.406606,2026-01-02T09:42:42,162.33333333333334
21,12,48,512,2,64,1.0036644753384409e-05,2000,152.0491242471302,12.514513120926644,29571.030245323742,168.98065642638687,-7.721292661104702,3.677508662279943,29.456397,2026-01-02T09:43:38,300.6666666666667
22,12,41,512,1,64,1e-05,2000,149.18491369164576,12.183380803437563,31616.718864270715,176.06627632783486,-8.122095463954858,3.68985647581134,16.351179,2026-01-02T09:44:08,329.3333333333333
23,12,45,256,1,64,1e-05,2000,169.9804648591694,13.881173622240112,35883.139296341746,185.67444308909862,-10.511962748434252,3.9763173772911036,17.4269,2026-01-02T09:44:26,378.3333333333333
24,12,44,512,1,32,1e-05,2000,147.15334156165446,11.995543001072297,30678.965422881156,173.43335873370202,-7.741943495500119,3.6142740676688443,21.700841,2026-01-02T09:44:44,235.66666666666666
25,12,41,1024,2,32,1e-05,2000,158.59865714255207,13.072548355905319,32702.40021598256,175.55126099088355,-9.243364603915774,4.7078006508583305,50.164802,2026-01-02T09:45:07,189.33333333333334
