trial_index,test_size,window_size,hidden_size,num_layers,batch_size,lr,epochs,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,4,34,256,4,64,4.378269255783251e-05,2000,158.87606497837103,7.444293952653928,94376.9432635077,232.7979295792112,-0.10205948396196385,3.833362904427814,16.200778,2026-01-19T23:10:20,112.0
1,4,43,64,4,32,3.138457887818323e-05,2000,203.4697148085867,9.754501142062255,119234.97857781644,276.503527589185,-1.0105688443488763,4.963213540143676,24.028613,2026-01-19T23:10:36,360.6666666666667
2,4,33,512,4,64,1.1827763572421812e-05,2000,170.85450255699834,8.098649691779388,96347.27218923585,242.97402409167876,-0.32333449491724897,4.201587134471197,18.808517,2026-01-19T23:11:00,121.0
3,4,35,256,2,128,0.0004405304418370515,2000,182.6994201479406,8.808475744563907,101795.23191076408,269.8449141776045,-1.3644526090322948,3.933855760106349,9.496594,2026-01-19T23:11:19,187.33333333333334
4,4,40,256,3,64,1.0231682126051438e-05,2000,162.23018008657195,7.546832356547827,106188.94242977427,234.61001856536268,-0.13092403462122573,5.31628425390172,17.44218,2026-01-19T23:11:28,140.66666666666666
5,4,36,1024,2,128,1.7824950285928812e-05,2000,189.2857860359129,9.00222644596217,111179.57192049352,266.8828419060419,-0.8222090972368518,4.737106045949128,16.157328,2026-01-19T23:11:46,111.0
6,4,46,256,4,128,9.5274100738687e-05,2000,169.75387259555853,8.044169415009266,98562.0796622011,244.08387896207432,-0.32191949102455425,4.139318828613628,28.000061,2026-01-19T23:12:02,221.66666666666666
7,4,27,256,1,64,0.00034367177311158336,2000,267.85968930395865,13.704474747925259,151012.48170485758,324.40493219996563,-1.8966810735725639,7.029246354727071,7.070017,2026-01-19T23:12:30,158.0
8,4,36,512,4,128,0.0002532131747526733,2000,233.4917078098888,11.35822739222253,139836.47489778345,301.361466077848,-1.4886832018560126,6.177244674355505,22.474266,2026-01-19T23:12:37,188.33333333333334
9,4,31,64,3,64,2.962890243614733e-05,2000,162.76567374265912,7.409932919811593,113282.43576537014,252.33679614662694,-0.31477587475406343,3.690188774615735,4.454302,2026-01-19T23:13:00,144.0
10,4,36,128,3,64,2.13634743870809e-05,2000,203.15781676598272,10.114837184020047,97751.5533550118,260.0330217809521,-0.9889206992038373,3.8169830362908166,4.647219,2026-01-19T23:13:04,135.0
11,4,27,128,4,64,2.324559237580172e-05,2000,167.79215698174878,7.609062556901958,126326.32419143325,255.3546684738576,-0.29466687263374,4.979524858365602,5.343039,2026-01-19T23:13:10,134.66666666666666
