trial_index,test_size,window_size,hidden_size,num_layers,batch_size,lr,epochs,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,12,49,256,2,128,0.0004933267503820884,2000,266.71640744954436,23.314033106968008,92170.9961335367,298.9214485533356,-8.539822135353022,5.752536428570809,11.224461,2025-12-13T19:40:20,169.33333333333334
1,12,27,128,3,128,0.00029347156513976247,2000,168.6804902929922,14.813604579245245,39581.94205485701,194.74862836145408,-3.2460625414394912,3.4789630083655116,3.119287,2025-12-13T19:40:31,123.0
2,12,52,64,2,64,2.5308401863464142e-05,2000,163.59107213053565,14.103981422055165,44375.545953878864,207.07508396944175,-2.62788126986855,2.29446363324918,4.416848,2025-12-13T19:40:34,166.66666666666666
3,12,30,1024,1,32,0.0008204712471978649,2000,135.44669947326707,11.971637752595122,26546.051492592913,162.63305263581103,-1.7619180080020762,0.9610687016681163,12.697795,2025-12-13T19:40:38,112.33333333333333
4,12,37,64,3,128,5.8849899836132234e-05,2000,173.18864570427021,14.659374860301169,44965.63595122803,204.98586131746592,-2.28414785578526,4.039291826489573,3.103073,2025-12-13T19:40:51,144.33333333333334
5,12,33,32,2,64,0.0004175506589367414,2000,169.729316168447,15.019407486562068,46950.441827253555,208.00349556804312,-2.924007315579822,4.628984786880602,4.091521,2025-12-13T19:40:54,135.66666666666666
6,12,50,32,3,32,1.0049738384925705e-05,2000,138.3981412412943,12.180133037340468,31276.852051215774,172.21761428766328,-1.4169564736130102,2.8390912880268906,18.440186,2025-12-13T19:40:58,344.6666666666667
7,12,46,256,1,64,1.4015889254589475e-05,2000,111.1826389350587,9.80250900687236,20798.586487159508,142.95846113509737,-0.8424359907627936,1.29872557326,12.311996,2025-12-13T19:41:17,230.0
8,12,48,1024,4,64,6.64612734951199e-05,2000,124.97665569079597,11.117469823075018,24535.840046555502,154.44870117306218,-1.0595089208362163,1.4239719872462953,47.847606,2025-12-13T19:41:29,115.33333333333333
9,12,27,512,1,64,2.6702467210249543e-05,2000,122.2190977450868,10.839451752630781,27159.504053783534,160.3159000643216,-1.1590506707781272,2.415160210589181,8.425485,2025-12-13T19:42:17,173.0
10,12,39,512,1,64,1.1356281898967066e-05,2000,124.1321947445744,10.951885515875725,26289.054074093554,160.11361329814346,-1.3161609171844464,1.6855681520736117,14.140627,2025-12-13T19:42:26,257.6666666666667
11,12,41,256,1,64,1.5592463419053707e-05,2000,133.32455613235086,11.868936253170771,31595.49480575447,169.7757448836514,-1.4864394929953997,3.7477448243917837,14.190315,2025-12-13T19:42:41,270.6666666666667
12,12,51,512,1,64,1e-05,2000,127.37844014355522,11.219200706155346,28283.249515456177,164.87088307931828,-1.2805670123799433,2.0623517939248415,16.780117,2025-12-13T19:42:55,265.3333333333333
13,12,48,256,1,32,1e-05,2000,124.56100594464931,11.094338218830375,28424.276375532543,161.13430798779686,-1.1754215139334343,3.3464824202443535,24.133747,2025-12-13T19:43:13,251.33333333333334
14,12,33,1024,1,32,2.7916139613168948e-05,2000,122.87452809633884,10.908143601395745,24472.59065756611,150.852872725333,-0.9626423028444342,2.7408153555687083,16.108417,2025-12-13T19:43:37,135.66666666666666
15,12,38,1024,2,32,1e-05,2000,114.06231943233082,10.129833033657762,22530.821739966766,140.95820782315369,-0.5861030655919288,3.455413358885124,40.052957,2025-12-13T19:43:54,146.66666666666666
16,12,41,1024,3,32,1.82098970796318e-05,2000,122.59800672929828,10.82789261808147,21900.712706426366,146.7898253026058,-1.161971880105731,1.393107462396229,52.995645,2025-12-13T19:44:35,128.33333333333334
17,12,31,1024,2,64,1.5182253691284354e-05,2000,119.91329303837773,10.67318645196788,25472.148872054226,147.41791285179235,-0.7054236050674878,4.323777531080373,27.052358,2025-12-13T19:45:28,170.33333333333334
18,12,28,512,2,32,1e-05,2000,130.64465568944402,11.543866768724698,26182.1813389056,157.0097609835162,-1.3628894390469253,2.6084902943369186,23.272069,2025-12-13T19:45:56,174.66666666666666
19,12,44,1024,2,64,2.048940906993483e-05,2000,147.3834561248054,13.017433471904665,32410.978367469466,173.53763367418867,-1.7240612469650127,3.5456992186817136,30.382299,2025-12-13T19:46:20,149.0
20,12,28,1024,1,64,1e-05,2000,152.50713575688465,13.31308268400148,32702.58276716431,176.66802034514868,-3.3614464097236976,3.670017468356312,18.031307,2025-12-13T19:46:50,264.3333333333333
21,12,33,1024,2,32,3.060071339248954e-05,2000,118.9336440854572,10.579738256215231,24728.392553855974,147.54084989182073,-0.679770947492177,3.6450712125833946,29.953749,2025-12-13T19:47:09,115.33333333333333
22,12,40,512,2,32,1.8456446002057373e-05,2000,110.77251002586463,9.76374026262156,21362.739451379304,136.02384442330063,-0.4305822518396538,3.728519678048791,23.362376,2025-12-13T19:47:39,144.66666666666666
23,12,34,512,3,32,2.0977438155632354e-05,2000,132.9519041154741,11.524661209567588,23783.317243534097,152.76352737105097,-1.7253009622286717,1.9932980604472519,28.919332,2025-12-13T19:48:03,146.0
24,12,42,1024,2,32,1.8209362171995398e-05,2000,118.665451071492,10.504695579837694,21147.624701448633,142.6053142994671,-0.8054573083266682,1.7380503955153455,40.444254,2025-12-13T19:48:33,137.33333333333334
25,12,27,1024,3,64,5.700435836789997e-05,2000,120.3491216247066,10.76943675748842,23854.224702722462,149.8278778754279,-0.8176570693885091,2.465594264552528,24.96698,2025-12-13T19:49:14,116.33333333333333
26,12,42,512,1,32,1.4304401268636663e-05,2000,146.4762116326597,12.863565019913478,33228.71112121949,181.18394513822963,-2.9696693811799975,2.349220197034946,17.811302,2025-12-13T19:49:40,194.33333333333334
27,12,34,1024,3,32,8.165652511548939e-05,2000,100.86414996269347,8.755699115502797,17796.844706660806,130.0602440409517,-0.383082443174839,2.6689363689169268,41.272186,2025-12-13T19:49:58,111.66666666666667
28,12,28,1024,3,32,9.276660481170799e-05,2000,119.92387824961617,9.989313654480474,20282.392460130035,137.71603828091938,-0.5123269114564589,2.2932971293265147,34.708443,2025-12-13T19:50:40,106.0
29,12,38,1024,3,32,0.00010444836502677636,2000,110.01131651272244,8.935447732870122,17714.053992314683,127.43374782742346,-0.2587256791972847,3.0503823622483495,40.992681,2025-12-13T19:51:15,106.0
30,12,37,1024,3,32,0.00011611075116466279,2000,101.92981773566783,8.637619177998994,15159.50893867151,117.88985727079098,-0.055666669923322476,2.5618000964067633,42.097913,2025-12-13T19:51:57,110.66666666666667
31,12,37,1024,3,32,0.00013845008341103744,2000,121.22820098129687,10.796199413482917,27534.853192197017,151.35608619850356,-0.7463957541380827,4.992212751311008,42.460113,2025-12-13T19:52:40,112.0
32,12,37,1024,3,32,7.310391498290924e-05,2000,116.26699199083997,10.292737712634453,20828.512758660145,141.50894629358285,-0.745098978059508,1.9110706719573263,40.595091,2025-12-13T19:53:23,107.0
