trial_index,test_size,window_size,hidden_size,num_layers,batch_size,lr,epochs,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,4,28,256,4,32,0.00010667887739126355,2000,90.03641445622897,5.365005607373159,12566.806731470764,105.90768037111111,-1.8751907726781385,1.362305949459572,32.708223,2026-01-19T21:14:53,158.33333333333334
1,4,33,512,3,128,0.0009822181512495406,2000,218.95343550157563,13.295837273407827,54488.098527845075,228.38109740668347,-13.826760841717594,2.440871911286655,12.802367,2026-01-19T21:15:26,137.0
2,4,38,1024,4,32,0.00016206033812530863,2000,280.93519616238285,17.19883656985247,89885.3535227559,288.36440475656894,-23.75879898797859,5.2520823253485585,117.342989,2026-01-19T21:15:38,194.33333333333334
3,4,35,1024,2,128,0.00020892296174766537,2000,158.689972475279,9.692977601690353,33600.32397944372,175.56733704535705,-8.46360408977254,3.2669033955138214,24.845139,2026-01-19T21:17:36,158.0
4,4,42,128,2,64,1.693840822348579e-05,2000,111.99591139408295,6.567434080050752,27659.430857853255,141.52846801084817,-4.907831499152386,3.5903773736871116,4.427276,2026-01-19T21:18:01,137.0
5,4,43,512,2,32,3.808732523578143e-05,2000,117.58903049936754,7.076522305028843,20099.202669410548,135.21255567148322,-3.870199958474608,1.9606095020553298,35.812284,2026-01-19T21:18:05,182.33333333333334
6,4,39,32,1,128,6.762611738779449e-05,2000,548.342913465384,33.96519821554818,374428.05900831317,611.8741124447715,-133.61097710208506,0.7138805019230543,2.48674,2026-01-19T21:18:41,130.66666666666666
7,4,45,1024,3,32,0.00015439689901997758,2000,232.37761966498707,14.199843719756934,62188.35104284351,241.53692471529772,-16.368473306783553,3.861319022031043,76.120037,2026-01-19T21:18:43,146.66666666666666
8,4,26,1024,4,128,0.0001109809051566397,2000,89.05853521862251,5.350067921264041,11577.031837446664,105.5019095457208,-2.201798820592637,0.7971285806753365,42.872346,2026-01-19T21:20:00,167.33333333333334
9,4,46,512,3,32,6.071855104523041e-05,2000,162.80432661485685,9.835785104139326,32008.28084413487,175.43491131958316,-7.808593078210779,1.4280621118783703,43.255979,2026-01-19T21:20:42,151.0
10,4,34,256,3,32,2.7412592097944206e-05,2000,88.62813822928916,5.290556686455314,16366.928110236748,107.99401332294866,-1.7382854945104675,2.7352022486904533,39.180455,2026-01-19T21:21:26,200.0
11,4,32,256,3,64,3.0502484356088996e-05,2000,121.6113178961666,7.1954260397606005,29359.529072643145,155.04853247197943,-7.400098009571193,3.010719871043193,11.902652,2026-01-19T21:22:06,113.33333333333333
12,4,42,256,2,32,1.2178760546405945e-05,2000,112.83127529607272,6.766026628267976,19250.083508765816,127.5154212699809,-3.3670133647562603,2.7974596361810677,19.215184,2026-01-19T21:22:18,115.66666666666667
13,4,29,128,3,32,6.056088782871702e-05,2000,192.16503421576832,11.656810341181915,41689.11775093648,202.7674456585687,-11.992178106117592,0.5020104171928959,12.408766,2026-01-19T21:22:38,193.0
14,4,42,256,2,64,2.9539066096680466e-05,2000,122.45264399687223,7.379411607687416,21754.60512980654,139.88623341303415,-5.326307747527456,2.4076329129498215,9.836162,2026-01-19T21:22:51,112.33333333333333
15,4,26,512,4,32,3.740223789905415e-05,2000,147.29881310574225,8.863829320057917,26976.041851634363,160.25107839864734,-6.2955122987691725,1.4442162840164379,53.682778,2026-01-19T21:23:02,211.0
16,4,26,1024,4,128,3.8761058363272864e-05,2000,76.78583014049751,4.606985040356904,8878.855334684164,90.70108348288403,-1.2011103176541582,1.1115865457854435,51.017699,2026-01-19T21:23:56,202.33333333333334
17,4,33,256,4,32,2.9867355659581973e-05,2000,54.42860452079782,3.2771937605708814,5829.009526461119,69.08666691725585,-0.16030967278878513,1.4706065689260743,54.467743,2026-01-19T21:24:48,219.0
18,4,35,256,4,32,1.654923199613744e-05,2000,95.63440908157348,5.7002783572926985,18856.228564355126,111.48934046261608,-2.0397108338327636,4.396180168115343,54.332231,2026-01-19T21:25:44,205.0
19,4,34,256,4,32,5.520213843898631e-05,2000,59.40727540863446,3.5531900369187928,6959.559345452729,74.21287068907664,-0.3072620356182746,1.491139598015227,45.704602,2026-01-19T21:26:39,173.0
20,4,31,256,4,32,4.125975909540871e-05,2000,58.73713723564157,3.545996950498617,5634.3530775926565,68.86842653197438,-0.16316050669571772,1.4873597287124798,44.176374,2026-01-19T21:27:26,196.33333333333334
21,4,35,512,1,32,1.5602820728339932e-05,2000,109.90382604439827,6.57364487326572,22350.435679221366,127.11529606295403,-2.832089641693075,3.8594635113384963,11.15226,2026-01-19T21:28:11,107.66666666666667
22,4,42,256,1,32,5.220844839301703e-05,2000,165.86613674109316,10.113742950625793,38005.23165731753,193.81215017781514,-11.08889095273559,1.052132802809069,17.966683,2026-01-19T21:28:23,176.66666666666666
23,4,33,256,4,32,4.3447843272309544e-05,2000,59.34549765798342,3.5488468063919263,7217.43072601224,75.17335611646736,-0.3380754551816761,1.522657952811634,46.900922,2026-01-19T21:28:42,193.0
24,4,37,512,2,64,1e-05,2000,110.02718826770557,6.573077246099982,19059.988464428963,126.08095017868028,-3.7814178909876532,2.4076528573215583,12.597897,2026-01-19T21:29:29,123.33333333333333
25,4,50,512,1,32,1e-05,2000,134.0976180636746,8.119688081320199,25814.010306771936,155.02203802757853,-5.472706213485533,1.8260328495170708,28.440975,2026-01-19T21:29:42,225.66666666666666
26,4,52,128,3,64,1e-05,2000,145.99185908476286,8.85566248819473,30052.77290584413,169.8209166134395,-8.105168197791548,2.251120438695494,6.953738,2026-01-19T21:30:12,168.33333333333334
27,4,35,256,1,64,1e-05,2000,141.5371776882785,8.694096239787536,22297.957826509344,148.74736435004306,-6.21013551593488,0.878354394810976,7.342385,2026-01-19T21:30:20,145.0
28,4,26,32,4,32,0.001,2000,105.2993643744764,6.276801255567726,16051.265988542766,120.06192281688489,-3.248961222780275,1.6505080874288434,8.609987,2026-01-19T21:30:28,123.0
29,4,41,128,2,128,1.4468415706178706e-05,2000,119.94968743574962,7.068370800567443,29879.79772602954,151.27808282068443,-5.550661259344348,3.2344628480513835,3.753592,2026-01-19T21:30:37,158.0
30,4,36,32,4,32,0.001,2000,128.61974612983082,7.734312112353872,21133.000597051043,142.83628295140343,-5.067152378417284,0.8604659011087583,8.329119,2026-01-19T21:30:41,122.66666666666667
31,4,26,32,4,64,0.001,2000,86.84406103091914,5.281792591491005,10000.08009647418,96.4693359995626,-1.8013485177034798,1.4898750425205756,4.858198,2026-01-19T21:30:51,133.33333333333334
32,4,26,128,1,128,0.001,2000,224.36082005014882,13.7348404696399,65827.45242898559,256.42550136050517,-23.25446880943919,1.1906099710669784,2.832542,2026-01-19T21:30:56,152.66666666666666
33,4,26,128,1,128,1e-05,2000,197.64893697265143,12.099755709429445,54007.84280825779,229.714104360969,-17.891662467496435,2.368427780288348,3.471166,2026-01-19T21:31:00,192.0
