seed,test_size,a,b,c,d,e,f,g,Target,MAE,MSE,RMSE,r2
1048596,4,1,1,0,0,1,0,7,SAE,0.6467736654791384,0.5765049542944707,0.7592792334144736,-41.19678545543831
1048596,4,1,1,0,0,1,0,30,SAE,0.13313228319317066,0.023778641994235447,0.1542032489743178,-0.7404572973364514
1048596,4,1,1,0,0,1,0,60,SAE,0.5296221364161159,0.3373908856718265,0.5808535836782162,-23.695036376118313
1048596,4,1,1,0,0,1,1,7,SAE,0.17228944610548716,0.05083940526209976,0.2254759527357624,-2.721146645048841
1048596,4,1,1,0,0,1,1,30,SAE,0.5333943610636022,0.3043840214570293,0.5517100882320617,-21.27912727168906
1048596,4,1,1,0,0,1,1,60,SAE,0.32889782193303796,0.14362434235209026,0.37897802357404614,-9.512460500580474
1048596,4,1,1,0,1,1,0,7,SAE,0.42178667945586656,0.21499081667648628,0.46367102203662275,-14.736068352247585
1048596,4,1,1,0,1,1,0,30,SAE,0.2373561295743209,0.07290886696132229,0.27001641979946756,-4.336501957266039
1048596,4,1,1,0,1,1,0,60,SAE,0.397550299198045,0.1840187053501622,0.4289740147726459,-12.469091239556043
1048596,4,1,1,0,1,1,1,7,SAE,0.2237333274481252,0.06643369079878159,0.25774733907216496,-3.862556994119485
1048596,4,1,1,0,1,1,1,30,SAE,0.43062829920234913,0.23307833677926665,0.4827818728776658,-16.059968866046294
1048596,4,1,1,0,1,1,1,60,SAE,0.4003804592491085,0.1876933481987079,0.43323590363531495,-12.73805356980211
1048596,4,1,1,1,0,1,0,7,SAE,0.4996090703433367,0.32334818670185483,0.5686371309559857,-22.66719307444821
1048596,4,1,1,1,0,1,0,30,SAE,0.13269714312856268,0.023323949671722848,0.15272180483389675,-0.7071764829420986
1048596,4,1,1,1,0,1,0,60,SAE,0.5386798525506616,0.3409861993038708,0.5839402360720408,-23.958192272431553
1048596,4,1,1,1,0,1,1,7,SAE,0.1443451756262025,0.037297652711335866,0.19312600216267065,-1.7299696866920424
1048596,4,1,1,1,0,1,1,30,SAE,0.24909558602004475,0.083654302115179,0.2892305345484446,-5.123004863156098
1048596,4,1,1,1,0,1,1,60,SAE,0.2303041160947008,0.08813614746958603,0.29687732730807526,-5.451049688192877
1048596,4,1,1,1,1,1,0,7,SAE,0.3649234780415027,0.16668465571049285,0.4082703218585608,-11.200340349784096
1048596,4,1,1,1,1,1,0,30,SAE,0.2445151043807685,0.07272973195942307,0.26968450448519116,-4.323390324510079
1048596,4,1,1,1,1,1,0,60,SAE,0.3880215945838832,0.17833967716654087,0.4223028263776373,-12.0534196445861
1048596,4,1,1,1,1,1,1,7,SAE,0.1954774664556243,0.050934521583932156,0.22568677760101977,-2.7281086026101318
1048596,4,1,1,1,1,1,1,30,SAE,0.3269889916340711,0.14539999071544552,0.38131350712431566,-9.64242755892865
1048596,4,1,1,1,1,1,1,60,SAE,0.39224878611496294,0.17468062325868128,0.417948110725101,-11.78559833347735
1048596,4,2,1,0,0,1,0,7,SAE,0.5705800529385898,0.3792943340908881,0.615868763691493,-26.76212332760182
1048596,4,2,1,0,0,1,0,30,SAE,0.18230823397934773,0.048265865056933956,0.21969493634795945,-2.532778577976069
1048596,4,2,1,0,0,1,0,60,SAE,0.5465117076712969,0.3462137249483056,0.5883992904043186,-24.340816526460678
1048596,4,2,1,0,0,1,1,7,SAE,0.19901805204179535,0.06115161821821831,0.24728853232250442,-3.4759402239048196
1048596,4,2,1,0,0,1,1,30,SAE,0.4416818131839523,0.21710554732685125,0.46594586308588604,-14.890854247641487
1048596,4,2,1,0,0,1,1,60,SAE,0.27667226399903666,0.1044181332154187,0.32313794765613446,-6.6427956639862975
1048596,4,2,1,1,0,1,0,7,SAE,0.34597788531273244,0.1444982568635043,0.3801292633611681,-9.57642592337491
1048596,4,2,1,1,0,1,0,30,SAE,0.1217692167626329,0.021180818749103644,0.14553631419375593,-0.5503118539896021
1048596,4,2,1,1,0,1,0,60,SAE,0.5316631650901135,0.3384673293058983,0.581779450742202,-23.773825744264137
1048596,4,2,1,1,0,1,1,7,SAE,0.13299727116988572,0.03131664272758114,0.17696508900792027,-1.2921947929789508
1048596,4,2,1,1,0,1,1,30,SAE,0.24192816797800606,0.07752724261360326,0.278437143020832,-4.674540000304916
1048596,4,2,1,1,0,1,1,60,SAE,0.23029928292101975,0.08813519510264746,0.2968757233298935,-5.450979980511994
