seed,test_size,a,b,c,d,e,f,g,Target,MAE,MSE,RMSE,MAPE,r2
1048596,24,1,1,0,0,1,0,7,FE,2901.143972375948,12732393.8698703,3568.2480112613107,89.05246478655523,-16.453006322666905
1048596,24,1,1,0,0,1,0,30,FE,1045.685951107236,1519750.8172485076,1232.7817395015663,27.43290470684529,-1.0832076743308123
1048596,24,1,1,0,0,1,0,60,FE,651.9142820480268,549400.171532377,741.2153341184847,17.407080630803428,0.24690637397580495
1048596,24,1,1,0,0,1,1,7,FE,974.4080361110509,1198382.3317769861,1094.7065048573459,27.299159891885388,-0.6426898686326221
1048596,24,1,1,0,0,1,1,30,FE,797.115101505523,942110.5323360435,970.623785169127,19.002436232364957,-0.2914037411630548
1048596,24,1,1,0,0,1,1,60,FE,636.5888853755283,555492.0966400487,745.3134217495675,17.131978733731053,0.2385558305895369
1048596,24,1,1,0,1,1,0,7,FE,1997.0132196610948,5718503.924922193,2391.339357958672,60.214307070986465,-6.83867402924437
1048596,24,1,1,0,1,1,0,30,FE,875.5180828995086,977967.0424636618,988.9221619842796,23.103330701238637,-0.3405542704635174
1048596,24,1,1,0,1,1,0,60,FE,870.0638139020517,1022645.0027137919,1011.2591174935294,21.059652226607106,-0.4017968561625509
1048596,24,1,1,0,1,1,1,7,FE,1186.8883373070755,1858378.8355247255,1363.22369240148,34.340130400878756,-1.5473840895760622
1048596,24,1,1,0,1,1,1,30,FE,829.5367457497847,1056677.6534524409,1027.9482737241408,19.10312174839702,-0.4484473191147156
1048596,24,1,1,0,1,1,1,60,FE,797.8401778357348,951051.6368149697,975.2187635679338,18.624599045259234,-0.3036598144982974
1048596,24,1,1,1,0,1,0,7,FE,2850.9479970834204,12288384.22239347,3505.4791715817496,87.50354583269186,-15.844377398370426
1048596,24,1,1,1,0,1,0,30,FE,1043.979453616392,1519751.2205118323,1232.7819030598366,27.292442504915776,-1.0832082271064665
1048596,24,1,1,1,0,1,0,60,FE,652.3353497278564,549428.4586076293,741.2344154231031,17.436319349261588,0.2468675992953896
1048596,24,1,1,1,0,1,1,7,FE,960.2684617734194,1161021.6739143115,1077.507157245051,26.75836040606443,-0.5914775196776256
1048596,24,1,1,1,0,1,1,30,FE,804.053674974778,960669.1116942177,980.137292267883,19.10973707964366,-0.31684302667278175
1048596,24,1,1,1,0,1,1,60,FE,663.688245167976,578335.1769356198,760.4835152293703,17.38102354245373,0.20724353936587137
1048596,24,1,1,1,1,1,0,7,FE,1990.1607699206097,5670049.889524494,2381.1866557505514,59.98240556322849,-6.772255365574537
1048596,24,1,1,1,1,1,0,30,FE,875.6653643691869,981832.3205017765,990.8745230864383,23.06235220033117,-0.34585262383897497
1048596,24,1,1,1,1,1,0,60,FE,1002.8357303847483,1340616.3176358158,1157.8498683490084,24.17286074374414,-0.837657969671862
1048596,24,1,1,1,1,1,1,7,FE,1107.4032011918605,1584711.4157141254,1258.8532145226961,31.602481352056188,-1.1722528097022176
1048596,24,1,1,1,1,1,1,30,FE,835.1955285659172,1072519.3683674682,1035.6251099541128,19.214495846871063,-0.4701624461677778
1048596,24,1,1,1,1,1,1,60,FE,948.0797340145037,1269526.2663449398,1126.7325620327745,22.28800710640233,-0.7402108495671009
1048596,24,2,1,0,0,1,0,7,FE,2871.7361553948917,12472699.420804227,3531.67091060368,88.14744813090066,-16.097028577410594
1048596,24,2,1,0,0,1,0,30,FE,1044.9946214640092,1519821.4379097873,1232.8103819768016,27.388014649407328,-1.0833044780317045
1048596,24,2,1,0,0,1,0,60,FE,652.3749107307323,549434.2703775993,741.238335744718,17.43855896042418,0.2468596327763618
1048596,24,2,1,0,0,1,1,7,FE,969.4998055428896,1186490.3266466174,1089.261367462657,27.097228142482038,-0.6263888302850211
1048596,24,2,1,0,0,1,1,30,FE,801.2518688463409,953099.1638755874,976.2679774916247,19.063284223555314,-0.3064664746676278
1048596,24,2,1,0,0,1,1,60,FE,648.2646628152486,562732.0871780826,750.1547088288405,17.246568106512747,0.22863156953322672
1048596,24,2,1,1,0,1,0,7,FE,2856.7228662831258,12339480.116019538,3512.759615461829,87.68258151140431,-15.914417405271905
1048596,24,2,1,1,0,1,0,30,FE,1043.9081030232026,1519743.8487743193,1232.7789131771842,27.28619280654504,-1.0831981222524432
1048596,24,2,1,1,0,1,0,60,FE,1141.2022740611217,1850073.4835572296,1360.1740636981833,34.464136389059405,-1.5359994778618664
1048596,24,2,1,1,0,1,1,7,FE,960.2671760205853,1161018.026733838,1077.50546482783,26.758307520473572,-0.591472520282813
1048596,24,2,1,1,0,1,1,30,FE,808.415411737978,928353.5678287515,963.5110626395275,19.981184181640852,-0.2725462984087397
1048596,24,2,1,1,0,1,1,60,FE,663.7435590615581,578405.0311718393,760.5294413576895,17.38152284029415,0.20714778624679075
