trial_index,test_size,window_size,d_model,n_head,num_layers,dropout,batch_size,lr,epochs,optimizer,weight_decay,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,12,2,32,2,2,0.5293647408485412,128,1.533202402097022e-05,2000,adam,2.6302348820536068e-05,293.2136719567859,19.69049573661999,129755.03000230633,357.18845292760403,-3.4214709280160633,5.8219312575635245,78.425559,2026-01-27T22:03:37,1576.0
1,12,3,32,2,1,0.003098282217979431,128,1.2690134846292715e-05,2000,adam,2.1524882476882545e-06,499.53197540341097,33.31170397181743,354161.2912710854,554.3573479242086,-12.296393308710803,15.636423446135746,28.486425,2026-01-27T22:04:56,714.0
2,12,5,32,8,1,0.3228814076632261,32,0.0003586898848073345,2000,adam,1.821381589950356e-05,230.93583623518225,15.066659523863876,87534.48306045914,295.71638496713206,-1.6572691464374791,3.463769819094726,39.555801,2026-01-27T22:05:24,346.3333333333333
3,12,3,64,2,1,0.5772566305473447,128,2.5907790911564097e-05,2000,adam,6.182393595756719e-06,272.5404758402688,18.210342640659125,104040.39839399,316.73727087560815,-2.278112820816322,4.983782928463524,57.486418,2026-01-27T22:06:04,1618.3333333333333
4,12,5,256,4,4,0.5413883551955223,64,2.754501643875596e-05,2000,adam,0.00011722264760441699,197.3760239553504,12.989759485694988,60154.88381582586,243.5885951745034,-0.734181004936976,0.9463557281899169,140.172258,2026-01-27T22:07:01,923.0
5,12,3,64,8,1,0.3184072310104966,32,7.049925443020117e-05,2000,adam,0.0007685138016106289,249.8563166228614,16.467356561688735,84319.43258414905,287.4285171684871,-1.405854761609178,1.9884732070779034,67.571342,2026-01-27T22:09:22,645.3333333333334
6,12,2,256,2,2,0.1830535126850009,64,0.000725543396101697,2000,adam,0.00017549309513162744,202.5763440790959,13.214662671551041,64428.786307512004,250.95734675925698,-0.9729702398575061,2.3468213512353753,29.936844,2026-01-27T22:10:29,313.0
7,12,5,128,2,4,0.5237776150926947,64,0.00013226799823732606,2000,adam,6.249593177558489e-05,243.80825890441625,16.02889486036106,81338.83975238784,283.79846668515376,-1.7096482352280926,3.161582362597517,39.275032,2026-01-27T22:10:59,250.0
8,12,2,128,4,3,0.509690324217081,32,0.00032326359629160107,2000,adam,4.858155201844702e-06,246.75804491263216,16.312590234924784,81515.97489451164,285.37032329317407,-1.4927735926285362,1.4423051575789274,78.365679,2026-01-27T22:11:38,350.0
9,12,5,64,4,2,0.2137815088033676,64,0.0008673542335685082,2000,adam,0.0003535634994671323,198.04938973354618,13.127995620291893,60027.62942502443,234.04988302308575,-0.9254821292964387,5.0543370852011185,24.425271,2026-01-27T22:12:57,282.0
10,12,3,32,2,3,0.16400763541460037,64,0.00030659687273562093,2000,adam,0.00018739651646560896,232.7532987324113,15.48810608218148,79210.96202455972,277.03444002529295,-1.5370002738658857,4.760279565761782,29.40334,2026-01-27T22:13:21,252.0
11,12,5,128,8,4,0.018380172550678253,32,0.00013905040571722822,2000,adam,7.484939633558644e-05,219.62067824358704,14.396259390078455,72275.60207193698,266.7609360357214,-1.2637415659854732,3.6248665804905857,75.724173,2026-01-27T22:13:51,275.6666666666667
12,12,5,64,8,3,0.4215447748079896,32,0.0009900197146630748,2000,adam,0.0007150953878443092,189.83820989758524,12.467884243410253,57669.280317321674,238.07637555320184,-0.6386573167824311,1.2979482905202642,62.936849,2026-01-27T22:15:06,302.3333333333333
13,12,4,256,2,4,0.24246258605271576,32,0.0002796315831323142,2000,adam,0.0002584758377034776,208.8837957455813,13.44345305435234,73204.52031788611,268.6292578552736,-1.1738251919750635,1.8852976661337506,72.904936,2026-01-27T22:16:09,247.33333333333334
14,12,4,64,4,2,0.16561911944299937,32,0.00018572350952892448,2000,adam,4.661474927000324e-06,222.3980569168319,14.698312581056333,66777.70336800544,254.31321607819152,-1.0971450770487965,2.780734544578557,49.750481,2026-01-27T22:17:22,282.6666666666667
15,12,2,64,8,3,0.33853414580225943,128,0.0002971049135283861,2000,adam,3.738578978534709e-06,281.4866075944091,18.349120840888478,116410.34812782616,317.86920173264735,-2.6042820938593647,7.108220372058637,15.483845,2026-01-27T22:18:12,230.33333333333334
16,12,5,128,4,3,0.28694458595483646,32,0.0006147019993122256,2000,adam,0.0003356491696012285,213.59542216012895,13.937021914325236,58897.64698466568,241.48491922688353,-0.7567483070792607,1.6401696339434388,85.667997,2026-01-27T22:18:28,376.3333333333333
17,12,5,64,8,3,0.28966819614052225,32,0.001,2000,adam,0.0005278380418271662,207.34862108263974,13.621487803646888,67787.77086525506,254.6273560816105,-1.1125603526027181,4.2959389713178675,49.42485,2026-01-27T22:19:54,231.0
18,12,5,64,8,3,0.4776368490713092,64,0.0009624038244109667,2000,adam,0.000817859268962117,182.3668276770551,11.960585471030827,50118.82298852974,222.60939344514415,-0.4900063402898685,2.0724673270730682,32.438149,2026-01-27T22:20:44,274.0
19,12,5,64,8,2,0.5144261982018434,64,0.001,2000,adam,0.0009795566296920122,232.47508270995593,15.596114035524648,78747.81211775389,280.18987527972155,-1.3756596620782886,1.583174393013996,43.462259,2026-01-27T22:21:17,431.6666666666667
20,12,3,256,2,3,0.1853903904411168,64,0.0006518202702249417,2000,adam,0.00033172861944629677,210.0561979871321,13.57763034461376,61042.1135412374,245.37931059437497,-0.7505494280861625,1.0038638706238796,27.620715,2026-01-27T22:22:01,219.33333333333334
21,12,4,128,4,2,0.15940381761872727,64,0.0009631632536985719,2000,adam,0.0002332692953522248,209.13711661417628,13.819601414865863,60855.27108446371,242.82651252251262,-0.8718104525766451,3.0855777204500106,36.228728,2026-01-27T22:22:30,362.3333333333333
22,12,3,256,2,2,0.14890365546516507,32,0.00037167784541968445,2000,adam,0.00016017115208739416,259.1033325612203,16.73325426636279,93412.65251801866,305.3451740139685,-1.8702749235608607,1.1980903024149523,70.799691,2026-01-27T22:23:07,399.0
23,12,2,256,2,2,0.23065230539488282,128,0.001,2000,adam,0.000547159722572913,199.75595067247602,13.135925104690372,63230.49836788505,250.97567385164996,-0.9131608453150598,1.639852578195747,16.908034,2026-01-27T22:24:18,337.0
24,12,5,64,8,3,0.47654472736626086,64,0.0008539910502045163,2000,adam,0.0008194941379581919,187.54172412979804,12.35142033182244,50359.23725698099,222.47906653433589,-0.5605481705567151,2.7919270803947764,35.460919,2026-01-27T22:24:36,293.3333333333333
25,12,5,256,4,4,0.38961568347647835,64,8.746898434608634e-05,2000,adam,0.0003914258192517697,193.08389361217772,12.651009629969785,55815.65762137683,235.90998967797012,-0.6691833247949974,0.7595606398046785,73.255722,2026-01-27T22:25:12,457.6666666666667
26,12,2,256,2,3,0.17589130883816587,64,0.001,2000,adam,0.0003729135927557244,209.14275085278157,13.725706882546758,62778.51850416569,244.80767143239677,-1.0824599614522379,4.715692434092019,37.611159,2026-01-27T22:26:27,300.0
27,12,5,64,8,3,0.4806408900430749,64,0.001,2000,adam,0.0008284112873956108,180.7270402150326,11.879500826911565,49342.72507055883,220.95316646437155,-0.4806054298676954,2.246064887168358,32.906935,2026-01-27T22:27:05,274.0
28,12,5,256,4,4,0.35093727398305685,32,4.769921844600666e-05,2000,adam,0.00023207867070624275,191.17071716699397,12.466443305356725,58344.26886694456,239.773912154587,-0.7388353851592249,1.6042912857357512,103.646812,2026-01-27T22:27:39,368.6666666666667
29,12,5,256,4,4,0.3598556383702339,64,4.578283993764916e-05,2000,adam,0.00024021432417196175,187.46950547046072,12.140154323638845,56988.56013132661,234.27979045170855,-0.5343903980204172,1.7694920430756824,65.333673,2026-01-27T22:29:23,429.6666666666667
30,12,5,64,8,3,0.47914294937341206,64,0.001,2000,adam,0.000652516791473855,199.93224699138523,13.083778257810053,55514.79802562479,235.05604334295958,-0.6436151408966176,1.471897384286181,31.213987,2026-01-27T22:30:30,272.0
31,12,5,256,8,4,0.36887431039883084,64,4.2953686183540896e-05,2000,adam,0.00037108867306318575,191.82834017665746,12.686590713908272,63449.14258338404,251.0576095525404,-0.8665323829559805,0.833922033966646,78.961549,2026-01-27T22:31:02,534.3333333333334
32,12,4,256,4,4,0.34025716616769275,64,4.228384606587096e-05,2000,adam,0.0002860429198300946,204.67077463516048,13.036696022643268,68127.24327774091,258.5869659090876,-0.9839704725972939,2.003578424736131,46.433103,2026-01-27T22:32:22,308.3333333333333
