trial_index,test_size,window_size,d_model,n_head,num_layers,dropout,batch_size,lr,epochs,optimizer,weight_decay,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,12,3,32,8,4,0.4896044254302978,128,0.00038976056946900066,2000,adam,0.00013858401596093724,746.2498441011725,48.65207243848784,793884.7442315166,771.5505601714082,-25.016129650710226,28.845207096977834,17.261548,2026-01-27T22:03:37,224.66666666666666
1,12,4,128,4,2,0.07538018245249986,64,4.802848802926557e-05,2000,adam,3.541277270618705e-05,256.37396394223623,16.78010515142321,94765.24179456693,306.93904588558263,-1.7931001297612186,1.3669202061382106,40.990642,2026-01-27T22:03:55,508.6666666666667
2,12,5,32,4,3,0.4859139801934361,128,0.0006199238315977473,2000,adam,1.711840047059578e-05,207.0692350840171,13.82503173577822,65736.7683852683,255.90657832050897,-1.1363294898834184,3.336333555906002,16.62209,2026-01-27T22:04:36,276.6666666666667
3,12,3,64,2,4,0.09252549335360527,32,1.8881488606060113e-05,2000,adam,1.0321160309725422e-06,181.7239165952079,12.015321578511534,52524.7391160481,228.67412083615886,-0.608417861822825,2.009215002326529,130.303946,2026-01-27T22:04:52,516.6666666666666
4,12,2,64,4,4,0.10734004229307174,32,1.1778073405242754e-05,2000,adam,3.740721088657824e-05,264.5314434123641,17.469529546150188,95745.897869288,307.8228822633933,-1.864821015891974,1.485492389338226,94.726914,2026-01-27T22:07:03,355.3333333333333
5,12,3,256,8,2,0.15164362527430056,32,3.816547743830667e-05,2000,adam,4.0326039864057356e-06,189.6106517948532,12.251743142485763,54649.616763580736,233.29376806880336,-0.6265351107050089,0.8745970892112855,58.502369,2026-01-27T22:08:37,386.0
6,12,3,32,4,1,0.32028556410223247,32,1.594945465039402e-05,2000,adam,2.7254763501203502e-06,444.68942347827755,29.89988355906195,296662.5387779199,508.38566886794297,-10.356589315287605,14.92361198997775,62.757047,2026-01-27T22:09:36,695.6666666666666
7,12,2,32,2,4,0.3086235338822007,32,9.132579079950744e-05,2000,adam,6.076324962078102e-06,247.67999570255517,16.692235080890836,91962.00627424096,295.7323469813272,-2.277019798269648,6.9316442852710285,84.790692,2026-01-27T22:10:39,337.3333333333333
8,12,4,256,4,1,0.2131830045953393,128,8.189490749001931e-05,2000,adam,4.54098699698454e-06,271.5657947490125,17.361792285835435,119270.20910579967,332.4546614983039,-1.99798497159113,3.4560532452812835,21.678531,2026-01-27T22:12:03,683.6666666666666
9,12,4,256,2,2,0.5091072991490364,32,0.00017318510377017503,2000,adam,0.00017697793015775744,255.26160240134797,16.09194055376643,104638.31514625001,307.16400962322456,-1.4880388355001053,4.3642329890150755,63.863652,2026-01-27T22:12:25,423.6666666666667
10,12,2,64,4,3,0.29203122239559887,128,0.00022019425580156586,2000,adam,0.00021414376503225011,275.85875625680814,18.11273603172212,110457.12227629569,317.348473488599,-2.3901288199055633,6.291468242099845,15.26964,2026-01-27T22:13:29,255.0
11,12,2,128,2,1,0.047771035507321355,64,0.000739982712240579,2000,adam,3.3971972955578634e-06,273.02455977495464,17.848958287229756,111003.08127222296,332.9773469743988,-2.5044585012600145,1.6544566871481738,16.146415,2026-01-27T22:13:44,302.3333333333333
12,12,3,32,8,1,0.4387901673093438,32,2.699957345679835e-05,2000,adam,2.397637334415504e-05,437.6399875164762,29.406648391870988,284558.3842099135,500.8762589515483,-9.84905365600727,14.461971151732223,65.713765,2026-01-27T22:14:00,715.0
13,12,5,64,2,1,0.19982874244451523,128,3.108924445236103e-05,2000,adam,2.8095529052803053e-05,276.7800180028729,18.578938292661604,102470.28429343457,314.7798790163181,-2.504270456918753,4.651252037462419,21.607088,2026-01-27T22:15:06,712.3333333333334
14,12,2,64,4,3,0.009490293636918067,64,0.0001990860234257995,2000,adam,1.6991431541689477e-06,218.21932480213727,14.505592470592836,70102.68872522375,264.3788617626805,-1.0956230046196487,1.5234703690229432,30.795337,2026-01-27T22:15:28,287.3333333333333
15,12,5,128,4,1,0.22682217266410587,128,0.00015614446499100394,2000,adam,1.4135592541206996e-05,287.5989505674992,19.095079088002233,121251.42644840294,342.1351279062867,-3.0480886633012463,4.913293413727774,11.156165,2026-01-27T22:15:59,361.3333333333333
16,12,3,64,2,4,0.06357174164592314,32,4.305453420619072e-05,2000,adam,1e-06,172.4223809476042,11.173803895987888,49061.158000687974,220.43254276860702,-0.4661056872580442,2.0674705686801462,96.254708,2026-01-27T22:16:10,364.6666666666667
17,12,3,128,2,4,0.05643042488568314,32,5.085546577848129e-05,2000,adam,1e-06,214.41634500479017,14.142533373860383,64682.21068062049,250.52629815411782,-0.9786615661371972,3.0602202803030005,87.760712,2026-01-27T22:17:47,342.0
18,12,3,256,8,3,0.0839518866294081,32,5.750338454254171e-05,2000,adam,1.9960788141093124e-06,200.4131212081252,12.779430357433474,59421.96282129863,241.48362281046795,-0.6794223734853112,1.9790371457122764,52.289672,2026-01-27T22:19:16,257.3333333333333
19,12,3,256,4,2,0.06281996620763995,32,4.465135744153116e-05,2000,adam,1.940657104645653e-06,226.43426001158184,14.392648798019982,75861.37951440447,273.1384320247589,-1.2150101185462454,1.395433568553597,65.658222,2026-01-27T22:20:09,432.3333333333333
20,12,3,64,2,4,0.013921710757718888,32,4.4536987805196155e-05,2000,adam,1e-06,191.73630888123023,12.46824510957432,58352.767903498876,237.9036219042587,-0.8111850749315002,3.506919987793269,144.614722,2026-01-27T22:21:15,567.3333333333334
21,12,3,64,2,4,0.1298832667235026,32,5.7846499448462454e-05,2000,adam,1e-06,191.13546081655105,12.529053035759523,55718.99990778037,235.64619269571105,-0.6544246316587188,1.146695199053614,80.437621,2026-01-27T22:23:41,313.6666666666667
