trial_index,test_size,window_size,d_model,n_head,num_layers,dropout,batch_size,lr,epochs,optimizer,weight_decay,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,12,20,64,2,3,0.31707934141159055,128,5.896232894206982e-05,2000,adam,9.810577425338397e-06,200.39305378313483,13.098428207545163,71493.30777299615,266.8246966843805,-1.1544998290809196,3.243642998053599,34.178791,2026-01-27T16:24:02,395.0
1,12,32,256,2,2,0.5951554683968424,32,1.9696657605223956e-05,2000,adam,1.960045410484457e-05,239.35323213039305,15.188431476214134,86491.60804657507,289.76390274873273,-1.6275499217944878,3.2053307817582564,145.881226,2026-01-27T16:24:36,668.3333333333334
2,12,41,64,4,1,0.36604725345969197,64,0.0005324435018389988,2000,adam,3.2013059437089613e-06,228.73537927273784,15.0323263753658,89791.48879325518,297.335018908053,-1.7162098465902187,1.4265652492561092,22.017826,2026-01-27T16:27:02,255.33333333333334
3,12,52,128,2,4,0.24531382732093332,128,1.1595188688065565e-05,2000,adam,1.3308957384940259e-05,200.04491599173957,12.297243886809092,74710.92413214163,267.3437979382831,-1.0692744794209852,2.447643685158406,168.917643,2026-01-27T16:27:24,794.3333333333334
4,12,16,256,2,4,0.17512815669178963,32,0.00011631835911825375,2000,adam,2.4832421335557944e-05,204.7922737798865,13.372079414043979,67486.66872324869,253.7024678710629,-1.1617297060752658,4.492227223201473,91.277969,2026-01-27T16:30:13,286.3333333333333
5,12,43,128,8,1,0.11873231269419193,128,1.0322761771470421e-05,2000,adam,1.2982631786133295e-06,240.14529748404394,15.775672521968668,88837.99769886752,293.7178847689513,-2.10938597563811,3.927867292020719,61.107311,2026-01-27T16:31:44,930.3333333333334
6,12,38,32,2,4,0.11077658683061599,64,1.3483435784144642e-05,2000,adam,0.00023334701157460674,181.71643068376932,11.590101994171825,65347.93340778215,247.87383696673464,-0.7048160032975209,0.6892542722256522,167.210439,2026-01-27T16:32:45,902.3333333333334
7,12,16,256,8,1,0.1806786624714732,64,0.0002190416930232884,2000,adam,0.0007157513089230043,237.78724987303858,15.496152655281074,73744.19127314545,270.4447726962948,-1.1645182096735958,1.3827160564805445,51.142699,2026-01-27T16:35:32,610.6666666666666
8,12,12,64,2,3,0.4371647614985704,128,1.2310529601372404e-05,2000,adam,0.00047069106638176675,228.80915457425866,14.972900405998724,77776.53141163709,275.4169344465472,-1.526487171052332,4.465450200232232,99.232224,2026-01-27T16:36:24,1140.6666666666667
9,12,39,128,4,4,0.24854813665151596,64,5.351567914760505e-05,2000,adam,0.00040980615311741884,218.65831712884633,13.423692439084041,85154.94516659749,280.1706785220936,-1.200497139657686,3.2625532661553525,79.293723,2026-01-27T16:38:03,322.3333333333333
10,12,28,64,8,2,0.5023592915385962,32,0.0003058123508296306,2000,adam,1.1246330797289682e-05,175.20793726350735,11.405479374304122,48115.85744391126,219.20468508172635,-0.47871037101770963,1.5811367581778795,54.723978,2026-01-27T16:39:22,282.6666666666667
11,12,18,256,8,4,0.09582920093089342,32,0.0004888711735098945,2000,adam,0.000245298418633087,177.07699600408202,11.431434220367152,54783.704023952945,231.67433405654742,-0.6460241099363954,2.1786975905002395,110.710381,2026-01-27T16:40:17,292.3333333333333
12,12,31,32,8,2,0.4896121708676219,64,0.00024845512870820796,2000,adam,3.277572411677375e-06,280.72587692638206,18.39656123821985,113782.38638078247,327.81162015794945,-2.656136877887785,7.0458406738933705,59.688235,2026-01-27T16:42:08,525.6666666666666
13,12,39,256,4,4,0.5509628919884563,128,2.344763552131782e-05,2000,adam,4.7961696640933996e-05,202.8969879314725,12.64104789907278,75466.36275150023,271.4370498820571,-1.1736471457625706,2.0250763529445033,111.694074,2026-01-27T16:43:07,384.0
14,12,15,128,2,2,0.5513661839067936,32,7.652399364039558e-05,2000,adam,1.7036536947856837e-06,239.63275700180463,15.838391650944141,88227.4470120049,293.2673632767447,-1.9814288786232532,4.5815392499156795,106.353741,2026-01-27T16:44:59,513.0
15,12,27,32,8,4,0.5240566112101078,128,5.36050400880618e-05,2000,adam,0.00014287776995035203,257.7015441288949,16.864097962655396,107066.77623179706,317.2767011155535,-2.310435807182603,6.254600804631922,64.96404,2026-01-27T16:46:45,496.3333333333333
16,12,21,128,8,4,0.20085414335341087,32,0.00039882971926292224,2000,adam,9.798415442367974e-05,190.31775074953816,12.227244793435695,71772.36503993557,260.4614504849517,-1.2019971888245864,4.64765435661187,81.786546,2026-01-27T16:47:51,266.6666666666667
17,12,42,64,2,4,0.1466833954580543,64,1.3890367838032607e-05,2000,adam,8.478722802710184e-05,192.5455951235967,12.20873409968649,58725.693782190116,240.578367785042,-0.6574657699713841,1.5766783933689186,258.445502,2026-01-27T16:49:14,1331.3333333333333
18,12,20,256,8,3,0.1682111649484374,32,0.00046722429648769916,2000,adam,0.00012694477144461789,181.77144206203602,11.700359125133375,58807.43414893773,233.6103305751441,-0.6629588092616637,3.475155701484078,75.223723,2026-01-27T16:53:33,262.6666666666667
19,12,26,128,8,2,0.42972571721687913,32,0.00038142373511927013,2000,adam,2.4653796143398263e-05,201.3933280911787,13.162992952858446,57502.286115727686,239.63084034570866,-0.7528181235590515,1.2754642489169195,65.842776,2026-01-27T16:54:49,334.0
20,12,29,32,8,2,0.5231598629848145,32,0.00030274390770093434,2000,adam,1.1004438905448107e-05,245.95966521158903,16.197986382527993,89223.93432619904,298.67390156056854,-1.7703041581614718,2.914442990526335,41.017185,2026-01-27T16:55:56,229.66666666666666
21,12,21,256,8,4,0.16166336404207746,32,0.0004479404737481624,2000,adam,7.741855479256773e-05,207.83701336898912,13.716636336278114,67080.83584132484,251.774051791993,-1.21395698658574,5.214899952752913,99.802369,2026-01-27T16:56:38,278.6666666666667
22,12,17,256,8,3,0.09806382767155065,32,0.0005471720718444597,2000,adam,0.00047083840686730244,218.5805730537077,14.313680093812842,81305.43484604514,284.4438414689061,-1.4180528959594076,2.7116769603323467,88.657459,2026-01-27T16:58:19,316.3333333333333
23,12,37,64,2,4,0.12688872462928869,128,2.3790981133495192e-05,2000,adam,6.0041203276605946e-05,243.04284517649822,15.486104579323671,106247.61162173707,321.7646045658677,-2.1746844559023173,2.528712466422066,84.401818,2026-01-27T16:59:49,570.6666666666666
24,12,25,128,8,3,0.2360640237227975,32,0.0002634898836111253,2000,adam,7.568727823950142e-05,192.50623191922645,12.376175939902291,54212.6913615905,232.37454233611348,-0.6932587064313868,3.3373607820732767,84.456321,2026-01-27T17:01:14,323.3333333333333
