trial_index,test_size,window_size,d_model,n_head,num_layers,dropout,batch_size,lr,epochs,optimizer,weight_decay,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,12,20,32,8,1,0.25369420051574704,128,0.00029115464686290754,2000,adam,2.361605832124957e-06,310.2801320410064,20.56024306462101,141318.74149600617,372.64668315913053,-3.810622311011388,6.585575535066412,37.001144,2026-01-27T16:24:02,787.6666666666666
1,12,40,32,8,4,0.09774552527815103,32,4.7909209952603566e-05,2000,adam,2.949907245321193e-06,194.79731309816444,12.38377718012301,67325.23173535518,256.1267912621365,-0.9174805453554814,2.4676341269766993,143.012219,2026-01-27T16:24:39,439.0
2,12,48,32,2,2,0.2064762745052576,128,2.124329142982796e-05,2000,adam,2.39648554555046e-05,184.17782270949195,11.952134145431792,58534.67753669927,241.3444743225181,-0.7292389922013017,2.3054135293954134,92.727343,2026-01-27T16:27:02,865.0
3,12,35,32,8,1,0.525749989785254,32,1.0952082223231546e-05,2000,adam,2.9716515293442835e-05,254.2713115683683,16.803893712094446,96788.0388547734,303.3853112648181,-2.2252824586347124,5.055001139391667,215.575781,2026-01-27T16:28:34,1571.6666666666667
4,12,48,32,4,2,0.3414382187649608,64,0.00011865255933883332,2000,adam,0.00014973590009219207,187.5029857924138,12.293244053590195,58758.093217253045,242.27228083972167,-0.7819661022678641,2.5372553299364755,33.764165,2026-01-27T16:32:10,287.6666666666667
5,12,44,128,4,2,0.01533653475344181,64,1.1615501016324671e-05,2000,adam,3.6660881938369074e-05,255.54854301834288,16.10680958431208,89332.16988588893,296.20815421624144,-1.4933371211522128,2.0071231529011597,67.54563,2026-01-27T16:32:44,500.0
6,12,35,32,8,4,0.04713927023112774,32,1.5132519195504977e-05,2000,adam,1.437260664953916e-06,170.4566470034599,10.754381984403446,51093.95781487294,225.83839321452513,-0.5566976771987105,2.5415710079883396,149.150456,2026-01-27T16:33:51,491.0
7,12,4,128,2,4,0.14944628309458494,128,0.00040134129878325144,2000,adam,3.3171988649336936e-06,213.87459565860138,14.245213662797207,59842.43325299921,243.86698214977056,-0.8519657563402708,1.6951870422070598,39.383063,2026-01-27T16:36:21,423.0
8,12,12,256,2,4,0.37139190696179863,64,1.6515483508349495e-05,2000,adam,0.0002126009366832643,183.8182930657973,11.897897007530931,56956.06744253489,230.8891728224838,-0.6304359109849512,3.6834904360939467,131.51216,2026-01-27T16:37:00,576.3333333333334
9,12,10,64,2,2,0.08380380403250455,128,2.950382993394482e-05,2000,adam,8.398115715036367e-06,253.48527036353562,17.011042533313617,103679.38350976915,315.1906913873895,-2.7185899207446624,6.440621974365466,29.28359,2026-01-27T16:39:11,479.6666666666667
