trial_index,test_size,window_size,d_model,n_head,num_layers,dropout,batch_size,lr,epochs,optimizer,weight_decay,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,12,44,256,8,3,0.24277607202529905,128,1.1958472048015944e-05,2000,adam,2.6750036839097036e-05,409.40187870490064,27.180746409774404,255580.29799645394,502.32047953994226,-7.519113503751638,3.6825460198841835,25.001457,2026-01-27T16:24:02,203.0
1,12,44,128,4,2,0.01798350792378187,64,0.00040774220533179876,2000,adam,3.354830174203903e-06,186.18703821495714,11.958697887442327,58470.39435525223,240.01791364600157,-0.6787002832833043,0.2848452551872026,27.139034,2026-01-27T16:24:27,324.0
2,12,28,256,8,3,0.08134059850126504,128,0.00038517139282012887,2000,adam,8.665965822801308e-05,172.30262059084967,10.949438756418568,59050.41058500131,238.30014142788255,-0.7089614839474677,3.322949575372763,31.251776,2026-01-27T16:24:54,314.0
3,12,40,128,8,2,0.35078159663826225,32,2.3639525991122563e-05,2000,adam,7.449864154228981e-05,235.7794596388081,15.500178155566834,87410.4643915478,295.3313249702255,-1.8129271884659575,3.3299019994734693,117.864792,2026-01-27T16:25:25,821.3333333333334
4,12,16,128,4,4,0.24561472423374653,32,3.645306785865176e-05,2000,adam,1.3972655997392625e-05,177.25395408807188,11.62458143707381,52287.01793459882,225.7374845613983,-0.6174442409481947,3.423348891165897,126.713097,2026-01-27T16:27:23,508.0
5,12,44,256,2,3,0.31664749067276715,128,4.5639417703140225e-05,2000,adam,0.00019046797639459828,192.19606663291552,12.0584862700129,54995.047174012456,227.21195932435555,-0.47521801287608484,2.785703008691668,41.328677,2026-01-27T16:29:30,334.6666666666667
6,12,19,128,8,3,0.40722430553287264,128,0.00016267914235334384,2000,adam,0.000657424074189018,239.12191488214185,15.272438653098575,96953.6014108697,308.5467826583803,-1.7554600983118887,3.2692614970115352,21.629496,2026-01-27T16:30:11,311.3333333333333
7,12,50,256,8,3,0.09799206890165806,64,0.0002570001347145946,2000,adam,1.2041624700172248e-05,153.09830512003637,9.23748919183264,47319.68615217053,212.76419429696966,-0.23850544898676165,1.0894845589745314,34.451681,2026-01-27T16:30:33,218.33333333333334
8,12,8,32,8,2,0.43208246156573293,64,0.0002817124001591965,2000,adam,2.0998386277208165e-05,261.8149783183533,16.87124978128423,118381.30450399325,329.4636498903697,-2.487549630660937,6.913337076819969,19.874266,2026-01-27T16:31:07,238.66666666666666
9,12,51,64,8,4,0.26844917256385087,128,1.0262636019509968e-05,2000,adam,2.5095717202513456e-06,241.94582247979224,15.5453543289063,87321.45189152854,293.94946457831844,-1.5584561619089445,1.6986094610126894,41.966221,2026-01-27T16:31:27,388.6666666666667
10,12,34,64,8,3,0.588094724714756,32,3.469817308810377e-05,2000,adam,4.803416264960668e-06,177.2141785421427,11.296493050071374,58081.928686536026,240.60996987607265,-0.7694104976872932,2.1957906577483164,69.856478,2026-01-27T16:32:09,368.0
11,12,20,256,8,2,0.26034784521907567,32,1.6138295757034474e-05,2000,adam,0.00016594212051992857,250.93929787683473,16.220434238758116,95493.14381444873,303.20525357251853,-1.6399180434611325,2.693500775034249,67.399705,2026-01-27T16:33:19,450.6666666666667
12,12,42,64,2,1,0.2788910815492272,128,1.8860468792182718e-05,2000,adam,5.123680430482324e-05,229.0425862780304,15.006528806368948,82008.27228101886,285.53784980357767,-1.4339851681908538,1.3850824257673926,66.470259,2026-01-27T16:34:26,1810.6666666666667
13,12,39,64,2,3,0.0004448762163519859,32,0.0005675761146671243,2000,adam,0.0003563845887777881,182.3509468885471,11.702230525311192,55213.365913682406,232.6499768303166,-0.5827190633311409,1.8777977497137837,69.954933,2026-01-27T16:35:33,358.0
14,12,26,256,8,2,0.15452367067337036,32,3.1801431942904204e-05,2000,adam,8.191577989169985e-06,244.78590581169635,15.64212190173456,93127.28938881824,304.3757780122533,-1.8817030649530324,2.694459088416152,55.396413,2026-01-27T16:36:43,367.3333333333333
15,12,47,128,4,1,0.23322998117655513,32,0.0002544096224977374,2000,adam,0.000689917848057571,202.35860928654074,12.85217722554144,62631.37108964045,246.81610905218974,-0.7088617425890059,0.7534835580981124,45.510499,2026-01-27T16:37:38,505.0
16,12,44,256,8,3,0.07099508936826086,64,0.000372774231997505,2000,adam,2.5332344318898816e-05,176.5025284530752,11.022042421983777,55427.33429162068,234.143276110298,-0.6423064189085846,1.964179106922007,34.918445,2026-01-27T16:38:24,237.66666666666666
