trial_index,test_size,window_size,hidden_size,lstm_layers,num_attention_heads,dropout,batch_size,lr,epochs,grad_clip,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,12,34,128,2,2,0.34173152446746824,32,7.108360539625e-05,2000,1.5997884720563889,732.9644231667245,32.884318791930276,1200899.910157627,812.392368722375,-10.652045714727704,22.474156123825527,1934.734921,2026-01-16T13:43:30,315.0
1,12,21,64,2,4,0.5537170147523284,64,6.0551919771986076e-05,2000,2.7147467406466603,1219.1516280201856,79.31836784423275,1831526.0563599032,1352.9118937929868,-99.31477474751254,29.006521358362992,1581.27788,2026-01-16T14:15:45,442.6666666666667
2,12,11,128,3,2,0.43012282429262993,32,0.00012423087058477137,2000,1.800959661602974,2094.1063058260006,157.29487804689688,5934951.65404994,2197.757893462362,-536.1747304024719,107.8747051443362,586.775446,2026-01-16T14:42:06,131.66666666666666
3,12,31,32,1,4,0.1038826041854918,128,1.1322362108984185e-05,2000,0.8142561647109687,1699.953024164516,114.68442859283778,4196293.39823579,1951.3913805826407,-201.59875318964893,58.07559370599662,1720.583999,2026-01-16T14:51:53,591.3333333333334
4,12,37,128,2,4,0.16363934557884932,64,0.0002324410007852662,2000,2.173764786683023,2277.436672229495,159.63581058468515,5800756.071755699,2338.4112283902527,-391.10228072872695,77.68565608230013,625.623788,2026-01-16T15:20:34,140.33333333333334
5,12,17,32,4,2,0.3664521727710962,64,1.9125040359128024e-05,2000,0.6414997433312237,2397.4738208486237,158.71377667319388,7995622.18054049,2765.7964376814434,-424.44391791691396,67.19447821657967,1391.750868,2026-01-16T15:30:59,464.3333333333333
6,12,25,256,1,4,0.4928539813496172,32,0.00039310828438142746,2000,1.5303100920282304,1302.790122323848,76.27228949607252,2141084.7217647615,1408.6237858391924,-62.50953567166246,9.547850024047253,934.139479,2026-01-16T15:54:11,138.0
7,12,50,64,3,2,0.2911398614756763,128,3.5826466139201314e-05,2000,2.4980281684547663,2689.2639068365174,179.07575180779682,8803767.330307694,2948.0991836756384,-513.0078394644078,69.82722401207464,681.955801,2026-01-16T16:09:45,166.66666666666666
8,12,47,128,1,2,0.5914866806939244,128,0.000242381636713946,2000,2.2272043274715543,2796.0900879570077,189.7382955457842,8679168.561775042,2896.7350739012923,-624.4669945918307,90.40084036308318,754.349016,2026-01-16T16:21:07,142.33333333333334
9,12,27,32,3,4,0.2628196574747562,32,2.9360331324892923e-05,2000,0.7125659422017634,3303.8018353758416,231.7555881031226,12306492.187692285,3387.193256315369,-841.3253161148351,117.70319869705754,2320.252797,2026-01-16T16:33:41,497.0
10,12,15,256,2,2,0.13531915741041303,64,0.00045153396293813304,2000,1.6154902982525527,1713.2567899103742,130.35330465214878,5744349.732202268,1788.2821150091022,-678.7682946706196,148.81371240833587,632.147945,2026-01-16T17:12:22,141.66666666666666
11,12,41,64,4,4,0.4650848581455648,64,4.9707076400138e-05,2000,2.600830264389515,2664.448708582497,177.74903598757632,9808785.922201023,3096.6940696564366,-641.7903792555624,74.9561314599192,472.138514,2026-01-16T17:22:54,115.66666666666667
12,12,33,256,3,4,0.4037555068731308,128,0.0007652261454097486,2000,1.40250811772421,1889.4610907253234,130.51214617634503,5127644.525196519,2038.3613147528201,-502.5730395250641,93.21043407694587,726.710776,2026-01-16T17:30:46,108.33333333333333
13,12,8,64,1,2,0.2005624169483781,32,9.269723373402291e-05,2000,2.9360413243994117,2735.110466432654,191.19893711669366,8379491.028277037,2818.587927996849,-588.1973690489261,95.78053137289014,1304.777106,2026-01-16T17:42:53,331.3333333333333
14,12,24,128,4,4,0.32305803513154385,32,0.00014293583240777613,2000,2.0484234411269426,2453.8976487523328,169.2431892439089,6570424.768615637,2510.8788983160734,-429.34166313699615,76.70041277145859,988.414886,2026-01-16T18:04:37,175.66666666666666
15,12,44,32,2,2,0.527349713165313,64,1.5735579502125907e-05,2000,1.081935083027929,2145.265570295925,134.4027966746246,7048027.232537997,2653.9582026754047,-372.68647242142316,39.384062103778604,1247.215309,2026-01-16T18:21:06,340.3333333333333
16,12,33,128,2,2,0.38177369296071806,32,9.352251385281952e-05,2000,1.5747682253020283,1431.3922223604857,82.04474776603666,3211588.3405396915,1497.3700858058626,-52.04840274586596,67.32003846449943,1647.886089,2026-01-16T18:41:54,282.0
17,12,36,128,2,2,0.3092156113442805,32,5.353288810102715e-05,2000,1.594923713325445,1166.1061603859832,76.45215024946873,2071646.9594540354,1316.6365061950119,-167.82510248403148,53.76139091358417,918.661619,2026-01-16T19:09:22,149.0
18,12,32,128,2,2,0.33494722710274083,32,7.478744030795984e-05,2000,1.6321225041007261,1310.63197786015,79.68605543242104,2875999.020949561,1397.9255025505424,-53.623503996315264,72.86271725631234,1418.963556,2026-01-16T19:24:42,244.0
19,12,36,128,2,2,0.36878108200197834,32,7.45657500928104e-05,2000,1.5565202620010832,1220.2411242774924,76.18383931645587,2203293.852136445,1341.0882959919163,-155.32468477838736,50.64236208581206,1238.228173,2026-01-16T19:48:22,200.66666666666666
20,12,34,128,2,2,0.349088802206193,32,7.907155036789826e-05,2000,1.5679060465349235,749.6401718150195,34.633133615205274,1172197.979204633,829.9794039063901,-11.120280713873257,20.33699970448835,1586.302439,2026-01-16T20:09:00,266.3333333333333
21,12,35,128,2,2,0.32155985535704645,32,0.00010989581817204366,2000,1.390586821611262,2040.6666048509032,140.77491690936893,4671489.030617467,2115.128306455323,-293.51811394436817,63.8925482061972,794.525958,2026-01-16T20:35:28,131.33333333333334
22,12,35,128,2,2,0.36715208578910974,32,6.995734470828383e-05,2000,1.637458509950504,1085.0937868026476,66.72227457538129,1698835.9831697457,1204.4240849211844,-107.53373498410075,36.71765292541546,1112.106209,2026-01-16T20:48:44,185.0
23,12,15,64,2,4,0.6,64,5.338708406409337e-05,2000,2.7537092949954953,1301.5625320897022,91.54001289604459,2273372.6013166993,1423.4310099741567,-199.82681775973984,61.9267181897332,2227.265275,2026-01-16T21:07:18,776.3333333333334
24,12,22,64,1,4,0.5973790232753671,64,6.658310191854661e-05,2000,2.729368641001437,1678.911145479113,121.59348040334011,4107807.19834966,1863.9681719857053,-368.600326730944,78.67354618448634,1079.696137,2026-01-16T21:44:28,308.3333333333333
25,12,14,64,2,4,0.5221636632138835,64,7.721951045063374e-05,2000,2.7090565231799815,1861.0639006390677,134.81853324464905,4276397.55686862,1935.5463255016377,-355.96332918149324,81.44407303586623,1342.766218,2026-01-16T22:02:30,479.3333333333333
26,12,23,64,2,4,0.6,64,2.5000709705349374e-05,2000,2.815423592970241,1169.3655354061755,76.60304955117097,1991515.3091240476,1386.2431712974678,-123.4962777591639,37.84356604695405,2714.261878,2026-01-16T22:24:55,736.0
27,12,26,64,2,4,0.6,64,4.876435330453377e-05,2000,2.8026838174883433,1091.6785476844059,74.06360935362802,1778795.3515688896,1332.0908867485516,-98.13544478192874,31.166891890448408,1590.329707,2026-01-16T23:10:11,383.6666666666667
28,12,26,64,2,4,0.6,64,3.030732170662749e-05,2000,2.7461824733131954,990.3824233479562,60.9654339518496,1429023.7525438415,1175.1030237128302,-47.97409400067962,15.644375774516005,2413.151228,2026-01-16T23:36:45,577.0
29,12,26,64,2,4,0.6,64,3.2897170437672466e-05,2000,2.7101053096937213,1076.6141486720373,70.09075661329229,1566736.346247955,1248.4869079952634,-69.06280596184536,23.162116923926536,3205.82866,2026-01-17T00:17:01,815.0
30,12,35,32,1,4,0.17259375244996694,128,1e-05,2000,1.0661881128313078,1418.1837452904692,95.09772257894205,2998192.131799227,1715.4456182092017,-198.1700333414608,44.84959551293102,1579.159523,2026-01-17T01:10:29,514.0
31,12,32,64,1,4,0.15080361684600418,128,1.3164332896438978e-05,2000,1.0773266701790534,1567.7198429027621,96.68163318042765,5163043.323528487,2255.479333953576,-328.13801412206976,30.82010264656051,551.603779,2026-01-17T01:36:51,174.33333333333334
32,12,35,32,1,2,0.20164655785273913,128,1.0372101461554326e-05,2000,1.038396280932471,2449.5978965929703,156.28401985337578,7520328.1662659645,2740.0337980337004,-374.0436228409331,48.04786944682859,1790.874035,2026-01-17T01:46:05,592.3333333333334
33,12,52,256,1,2,0.1,32,0.001,2000,0.5,1912.332331041421,141.45332826824588,6157557.6899816105,1967.967956756773,-707.0807146705419,144.93849774221647,1260.644069,2026-01-17T02:15:59,133.33333333333334
34,12,8,256,4,4,0.1,128,0.001,2000,3.0,1527.805734835988,103.59988892714426,3530557.3339671046,1787.976900952548,-302.56052529387216,49.46788075349698,386.797261,2026-01-17T02:37:02,128.0
35,12,8,256,4,4,0.1,64,0.001,2000,3.0,2518.2607678690047,187.45698243566596,8210618.341488176,2612.541823844092,-721.6147141666852,121.71769181094473,793.768809,2026-01-17T02:43:31,215.66666666666666
36,12,24,64,2,4,0.6,64,2.308945916936922e-05,2000,2.6984844532212895,1217.780886408935,81.98126671006105,2154626.5436936785,1414.6797852673792,-158.9227304465435,49.15485694101259,2953.199744,2026-01-17T02:56:47,787.3333333333334
37,12,33,32,1,4,0.1,128,1.2685889071511376e-05,2000,1.0788608448260555,1223.857902670132,82.37127690440327,2476484.3025137293,1552.8025075111054,-168.3946125586757,39.64003611714182,1119.635872,2026-01-17T03:46:03,377.3333333333333
38,12,30,32,1,4,0.1,128,2.0292482157730864e-05,2000,1.1081078349582292,2055.247984487311,135.89158481005396,5613752.861648007,2294.4254634873546,-258.76710094673723,60.884614319972705,1324.01201,2026-01-17T04:04:45,471.0
39,12,43,64,1,4,0.1,128,1e-05,2000,1.0359421292980306,1602.76260540372,96.08798711028221,5727134.766341318,2386.8705170522267,-340.9375370128518,25.82524708559657,684.722809,2026-01-17T04:26:52,189.66666666666666
40,12,28,64,2,4,0.6,64,3.545746470912693e-05,2000,2.762059744895051,1288.012870554514,88.18129234817502,2252388.2289675833,1468.5525708442974,-168.01806882877455,48.42606740641344,1933.705425,2026-01-17T04:38:20,466.3333333333333
41,12,26,128,1,2,0.1,128,0.0009999742376770437,2000,0.5045007664269807,1491.9561502333606,91.46175159605087,3658580.0601493213,1534.608321280403,-69.22911866769944,84.48896291975763,569.9315,2026-01-17T05:10:36,166.0
42,12,31,256,1,2,0.10376557152914301,128,0.00043355147886056856,2000,0.5829840704144135,1597.0411445749005,110.76611698606519,3004577.0159630463,1668.6872732305399,-218.86698821303222,57.59117380161833,1222.04721,2026-01-17T05:20:09,207.66666666666666
43,12,28,64,1,4,0.1,128,0.0005401922401949461,2000,0.5,2076.1123421610037,147.23969800696096,6045032.550750651,2167.350490925836,-255.8832731247452,92.4092032110415,476.454035,2026-01-17T05:40:34,162.66666666666666
44,12,41,32,1,4,0.1,128,1e-05,2000,1.0293986777752235,1302.6522581694305,86.72173362819808,2524079.747127472,1575.758664668806,-160.2987916623804,37.84438759155037,1505.432018,2026-01-17T05:48:33,469.0
45,12,17,256,1,2,0.1,128,0.001,2000,0.5,1199.868125894646,69.1346352175061,1899421.0711566184,1252.3040505433141,-35.86464322361635,38.22283876379886,905.794052,2026-01-17T06:13:40,211.33333333333334
46,12,14,256,1,2,0.1,128,0.001,2000,0.5,926.3885721640331,67.12978108167,1537443.7669015785,1035.4016679076472,-167.03253063066563,65.72613768493596,609.142336,2026-01-17T06:28:48,163.0
47,12,52,256,4,2,0.1,32,1e-05,2000,3.0,2427.062885430918,176.08919677901213,7960907.3946890235,2622.4703927751384,-675.8190011271448,105.76858268745497,1779.372481,2026-01-17T06:39:00,164.0
48,12,24,64,2,4,0.6,64,3.411574115044731e-05,2000,2.74713363054932,891.6408271663954,57.313243690884995,1231371.9896610833,1102.426573627523,-49.078354252164644,18.23669761221196,2661.022606,2026-01-17T07:08:42,711.0
49,12,10,128,1,2,0.10003849458383408,128,0.0008387447045316419,2000,0.5397486660649673,1834.914349650705,117.76482850330326,4330055.158611337,1917.963834373184,-129.18603886532586,68.56033112204558,416.373954,2026-01-17T07:53:06,186.66666666666666
