trial_index,test_size,window_size,hidden_size,lstm_layers,num_attention_heads,dropout,batch_size,lr,epochs,grad_clip,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,8,28,128,2,2,0.332641601,32,0.001,2000,1.9338448643684387,165.48605429433772,12.659433278635637,41009.25731929001,194.71192131616772,-4.881278965549163,4.052946444638637,1097.514026,2026-01-13T11:08:33,169.0
1,8,28,128,2,2,0.332641601,32,0.001,2000,1.131433657836169,168.6425438024852,12.855660552682275,43092.2866587352,198.29642243482326,-5.054322683243105,4.236503655221539,729.315772,2026-01-13T11:26:51,113.33333333333333
2,8,28,128,1,2,0.332641601,32,0.001,2000,2.0843942225910723,177.91658009161748,13.840393055899577,44247.3643481447,204.1389999892997,-5.442774766097089,2.8553776842475513,1662.281359,2026-01-13T11:39:00,261.3333333333333
3,8,28,128,3,2,0.332641601,32,0.001,2000,0.5276805483736098,119.58333453604787,9.25374426214844,21941.59717556415,142.2382792500717,-2.270005740985456,2.1270860361827473,1927.038816,2026-01-13T12:06:42,283.0
4,8,28,128,3,2,0.332641601,32,0.001,2000,2.035240754019469,173.3760299358875,13.80460343959193,44534.02907504254,208.7678134237132,-6.702854210016166,3.3615668818642117,1555.743825,2026-01-13T12:38:49,231.66666666666666
5,8,28,128,4,2,0.332641601,32,0.001,2000,0.5,173.097923159385,13.47495530657112,45809.39683427559,211.58274431066457,-6.266418754419912,2.210783703928701,2003.214424,2026-01-13T13:04:45,296.6666666666667
6,8,28,128,1,2,0.332641601,32,0.001,2000,0.5,146.24792959282073,11.358285936932399,31524.83117856192,172.55348006873137,-3.566399606955868,3.2676988307071313,1028.716971,2026-01-13T13:38:09,162.33333333333334
7,8,28,128,2,2,0.332641601,32,0.001,2000,0.5,178.57624782923085,13.740843922353497,44923.70387538995,207.52609222990222,-5.619426713429308,2.5988516081547077,930.043826,2026-01-13T13:55:18,144.0
8,8,28,128,4,2,0.332641601,32,0.001,2000,3.0,215.01676614403905,16.929748308882505,62817.91201306013,250.29972854004473,-8.974257898002145,0.6105050015803513,2061.868286,2026-01-13T14:10:48,309.3333333333333
9,8,28,128,3,2,0.332641601,32,0.001,2000,0.5,157.8465771768681,12.41103510720644,36247.13037365646,189.73029526206912,-5.002946458564524,0.7417552519567545,1458.010301,2026-01-13T14:45:10,222.66666666666666
10,8,28,128,3,2,0.332641601,32,0.001,2000,1.0243594406802816,182.12456499773543,14.185206611768919,47110.65543519318,215.56491179668413,-6.434772729684525,1.594789401419746,1649.002777,2026-01-13T15:09:28,252.33333333333334
11,8,28,128,1,2,0.332641601,32,0.001,2000,3.0,130.85534493208831,10.35456305312628,29241.092165074315,170.15134295027735,-3.557693519858748,1.2136421944908444,2053.965149,2026-01-13T15:36:57,326.0
12,8,28,128,2,2,0.332641601,32,0.001,2000,3.0,162.37655560756858,12.436382466299802,41958.691234815844,196.63319772136686,-5.085254054247458,4.106027000622961,1078.691297,2026-01-13T16:11:12,164.0
13,8,28,128,1,2,0.332641601,32,0.001,2000,1.0427577492066613,140.5138122984615,10.84888856180446,29602.179500248854,167.09454419369936,-3.3892700263182594,2.34119405133103,2045.297968,2026-01-13T16:29:11,316.0
14,8,28,128,3,2,0.332641601,32,0.001,2000,3.0,161.65958196307892,12.626821649784782,37083.51249459404,189.1861954082651,-4.509744106023734,1.9422409860673868,1847.331646,2026-01-13T17:03:16,280.6666666666667
15,8,28,128,1,2,0.332641601,32,0.001,2000,3.0,161.98979751941255,12.458056803945034,47963.74509318875,213.28200870970568,-6.135083346309044,4.066880233653281,940.440263,2026-01-13T17:34:04,148.66666666666666
16,8,28,128,1,2,0.332641601,32,0.001,2000,1.3973737835385318,163.02574237135377,12.836732288134009,42032.60402878056,202.9618294994796,-5.379188469407496,1.8147102390481513,1695.803819,2026-01-13T17:49:44,267.6666666666667
17,8,28,128,4,2,0.332641601,32,0.001,2000,1.1726660671508733,324.9036018887144,26.656676755016676,167922.29714863392,388.3003160375561,-27.737215362467026,10.913816447758784,1809.807525,2026-01-13T18:18:00,264.3333333333333
18,8,28,128,1,2,0.332641601,32,0.001,2000,0.7107762297114643,147.11559072021228,11.554656923115004,35779.35266387508,184.6650046060664,-4.265647019552428,3.0600358811889268,1187.61686,2026-01-13T18:48:10,187.0
19,8,28,128,2,2,0.332641601,32,0.001,2000,1.6485797678368876,212.08260615577214,16.816851008528634,61228.49874679625,243.22097111178257,-9.424837773517716,4.2620411212126,1276.753094,2026-01-13T19:07:58,192.33333333333334
20,8,28,128,1,2,0.332641601,32,0.001,2000,2.6776057534219366,145.6782088427686,11.103190681768814,35380.53789550179,183.80676216820333,-4.180900480053541,3.153146437989664,1835.705739,2026-01-13T19:29:15,290.0
21,8,28,128,4,2,0.332641601,32,0.001,2000,2.210292734287555,199.65781657166076,15.95093636913171,58037.86617444159,238.60228898543127,-8.953419650908073,2.896511138735878,1284.430502,2026-01-13T19:59:51,193.33333333333334
