trial_index,test_size,window_size,hidden_size,lstm_layers,num_attention_heads,dropout,batch_size,lr,epochs,grad_clip,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,8,28,128,4,2,0.332641601,32,0.001,2000,2.689978212118149,129.80645163345915,10.355506570302481,24241.49037931547,145.61568325951464,-2.262724045180984,4.4253774476461665,1519.135467,2026-01-14T08:57:00,229.33333333333334
1,8,28,128,2,2,0.332641601,32,0.001,2000,1.131433657836169,171.54412671879888,13.912140677489667,49916.4316263672,197.91618688520012,-6.698164622239467,6.3263991034752465,955.961296,2026-01-14T09:22:19,149.33333333333334
2,8,28,128,1,2,0.332641601,32,0.001,2000,2.0843942225910723,156.34551231584882,12.761373683683765,41969.769828774035,187.4065256804765,-5.705385122617219,6.1372998738114655,1478.567813,2026-01-14T09:38:15,229.66666666666666
3,8,28,128,3,2,0.332641601,32,0.001,2000,0.5276805483736098,189.62097236791533,15.372762658856459,75234.05918515449,268.5408356390673,-9.492183207064238,2.958372728743161,848.211507,2026-01-14T10:02:54,126.66666666666667
4,8,28,128,3,2,0.332641601,32,0.001,2000,2.035240754019469,111.60978474643314,9.276619180264285,17975.68767857754,133.43956303734876,-1.6791014579381056,0.9615544309653976,1182.132129,2026-01-14T10:17:02,176.0
5,8,28,128,3,2,0.332641601,32,0.001,2000,2.4928510931329795,144.69642475123592,12.095279877984417,31133.757554528464,174.03577896339087,-4.446394222316855,1.8062198944637908,944.60353,2026-01-14T10:36:45,135.0
6,8,28,128,4,2,0.332641601,32,0.001,2000,2.0167622710909265,162.3134644416792,13.446777523290265,38014.24616956158,187.42169094804012,-5.869469669993291,3.9123294711113203,1021.257073,2026-01-14T10:52:29,146.0
7,8,28,128,2,2,0.332641601,32,0.001,2000,3.0,149.9114215659114,12.242830858441266,38112.57729170225,171.81830495854754,-4.844831500830214,6.213829694588268,830.268932,2026-01-14T11:09:31,128.33333333333334
8,8,28,128,4,2,0.332641601,32,0.001,2000,3.0,129.26498539141235,10.599880622363722,27969.66041473817,160.59153072777295,-3.8486861286096627,3.632827838043364,942.104373,2026-01-14T11:23:21,140.66666666666666
9,8,28,128,1,2,0.332641601,32,0.001,2000,3.0,144.36461147960065,11.704278106404196,32238.975682200544,171.23536883256372,-3.931988865306527,3.9842028079637632,1164.696564,2026-01-14T11:39:03,182.66666666666666
10,8,28,128,1,2,0.332641601,32,0.001,2000,0.5,178.63954816279156,14.659997317232905,49830.21681777042,213.9538779685602,-6.952939147253761,4.689997529106528,1113.744458,2026-01-14T11:58:28,176.0
11,8,28,128,2,2,0.332641601,32,0.001,2000,2.1028127500153433,174.24548877192345,14.169606489869032,46971.655374149144,202.20630478394074,-6.725989163628205,5.4002052189612515,896.153695,2026-01-14T12:17:02,139.66666666666666
12,8,28,128,4,2,0.332641601,32,0.001,2000,0.5,141.1833686212957,11.712764355397056,27825.242399019644,160.50288250414005,-4.166995260963327,3.804482093545463,973.821535,2026-01-14T12:31:59,146.66666666666666
13,8,28,128,4,2,0.332641601,32,0.001,2000,3.0,164.90932923370528,13.58606028087867,43696.394565936025,198.47166514429514,-6.865909271122033,4.39728711354465,874.595785,2026-01-14T12:48:13,131.66666666666666
14,8,28,128,3,2,0.332641601,32,0.001,2000,3.0,204.73686589816324,16.584252755567967,57088.048808299754,223.2586902599251,-7.430708090088999,6.362349802423553,1488.066517,2026-01-14T13:02:47,227.0
15,8,28,128,4,2,0.332641601,32,0.001,2000,1.1088144714068526,120.57778854361182,10.026699752929453,23695.024105139844,148.1790374819917,-3.4143365680771076,3.70811264481481,944.941273,2026-01-14T13:27:36,142.33333333333334
16,8,28,128,1,2,0.332641601,32,0.001,2000,1.5080391299484923,120.10917665841977,9.733539366387616,20145.059616443003,141.39683036295295,-2.0725370502174947,0.8712713979074772,919.346161,2026-01-14T13:43:21,146.33333333333334
