trial_index,test_size,window_size,hidden_size,lstm_layers,num_attention_heads,dropout,batch_size,lr,epochs,grad_clip,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,12,9,256,1,2,0.11106766797602177,32,0.0001992036688261003,2000,1.636849820613861,1511.9134775475698,100.74735300248084,2757523.6557278205,1616.7703299861678,-156.67136596840757,45.66959863698116,795.116671,2026-01-17T09:19:55,183.0
1,12,21,64,2,4,0.5537170147523284,64,6.0551919771986076e-05,2000,2.7147467406466603,1640.1251056131823,112.24439527094648,3337431.759310355,1758.301668781326,-272.37381948930647,68.67353273680493,2818.722559,2026-01-17T09:33:11,806.0
2,12,11,128,3,2,0.43012282429262993,32,0.00012423087058477137,2000,1.800959661602974,2374.614382914436,171.50875841695645,6947970.41375,2442.2045042898026,-631.1382072298586,110.96107526143138,842.108469,2026-01-17T10:20:09,187.0
3,12,31,32,1,4,0.1038826041854918,128,1.1322362108984185e-05,2000,0.8142561647109687,1249.6562070659522,84.81033894041123,2548716.1409712434,1572.8233554647704,-175.99418408025608,42.56370838182808,1106.800294,2026-01-17T10:34:11,378.0
4,12,37,128,2,4,0.16363934557884932,64,0.0002324410007852662,2000,2.173764786683023,2198.5557525843165,136.12235434124864,5182134.85565322,2265.707817438436,-218.60031556985032,31.51278498699146,629.816229,2026-01-17T10:52:38,137.33333333333334
5,12,17,32,4,2,0.3664521727710962,64,1.9125040359128024e-05,2000,0.6414997433312237,2881.151172491307,199.44263585934857,10569610.66217192,3151.3426209451136,-716.1497808745148,98.47627809831492,2271.211093,2026-01-17T11:03:08,752.6666666666666
6,12,25,256,1,4,0.4928539813496172,32,0.00039310828438142746,2000,1.5303100920282304,1542.6354900476388,113.76329433840357,3246487.917760451,1713.8452721143312,-244.5171299405097,63.09850846440429,1000.895058,2026-01-17T11:40:59,149.0
7,12,50,64,3,2,0.2911398614756763,128,3.5826466139201314e-05,2000,2.4980281684547663,2658.6535232021065,176.9058276601726,8650552.062527588,2923.1354598640714,-518.7181416395963,69.71189894271302,679.080487,2026-01-17T11:57:40,160.0
8,12,47,128,1,2,0.5914866806939244,128,0.000242381636713946,2000,2.2272043274715543,2103.2396839213557,139.1529957751534,5102641.721087729,2245.634239400291,-260.100786203146,52.88577828844873,814.457565,2026-01-17T12:08:59,151.33333333333334
9,12,27,32,3,4,0.2628196574747562,32,2.9360331324892923e-05,2000,0.7125659422017634,2663.432566808322,188.5354929039288,8436403.596914927,2801.390205279901,-654.7648969579014,106.13512565026686,3095.79555,2026-01-17T12:22:34,653.6666666666666
