trial_index,test_size,window_size,hidden_size,lstm_layers,num_attention_heads,dropout,batch_size,lr,epochs,grad_clip,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,12,46,256,4,2,0.22637823820114136,128,0.0007359096666678943,2000,1.2014334201812744,833.8657866380012,68.2063784671975,865035.8088884116,914.9262197614556,-269.5867805750697,14.685194958484585,961.69365,2026-01-18T21:51:21,109.33333333333333
1,12,21,64,2,4,0.5537170147523284,64,6.0551919771986076e-05,2000,2.7147467406466603,708.8500959048775,57.420589554803364,670935.2919658902,812.0899962088415,-142.9200027593736,9.523099927148001,1060.218014,2026-01-18T22:07:23,287.0
2,12,11,128,3,2,0.43012282429262993,32,0.00012423087058477137,2000,1.800959661602974,153.40714076047573,11.91166132371959,39630.00807342111,194.72700899008873,-6.718176947612508,2.116836495211631,1319.7485,2026-01-18T22:25:03,266.6666666666667
3,12,31,32,1,4,0.1038826041854918,128,1.1322362108984185e-05,2000,0.8142561647109687,486.4075067533254,38.43707882771846,389742.9504558965,616.679917988171,-95.27828938882264,9.13378435764833,1145.536927,2026-01-18T22:47:03,368.6666666666667
4,12,37,128,2,4,0.16363934557884932,64,0.0002324410007852662,2000,2.173764786683023,349.0013420266755,28.339110426888386,172496.93591367593,393.19919466712804,-67.75349842575021,12.225287446154153,600.804133,2026-01-18T23:06:08,124.0
5,12,17,32,4,2,0.3664521727710962,64,1.9125040359128024e-05,2000,0.6414997433312237,861.5176676166046,69.83536293777162,1009112.8353326116,1002.7724149408062,-256.5417434488802,6.6133481497882896,1228.062589,2026-01-18T23:16:09,375.6666666666667
6,12,25,256,1,4,0.4928539813496172,32,0.00039310828438142746,2000,1.5303100920282304,902.80334494858,73.47302040609324,900900.3538976939,944.4577287399296,-241.26801690026718,10.452720741827981,937.984475,2026-01-18T23:36:37,128.66666666666666
7,12,50,64,3,2,0.2911398614756763,128,3.5826466139201314e-05,2000,2.4980281684547663,1065.09247173089,86.15158098015091,1329359.2071232188,1150.882125816481,-345.8232972623946,10.398267793654313,804.498415,2026-01-18T23:52:15,169.33333333333334
8,12,47,128,1,2,0.5914866806939244,128,0.000242381636713946,2000,2.2272043274715543,737.2332507128716,60.490765161873206,799201.6127525773,837.527484047152,-230.36229690562433,23.81325636485592,906.186176,2026-01-19T00:05:40,153.66666666666666
9,12,27,32,3,4,0.2628196574747562,32,2.9360331324892923e-05,2000,0.7125659422017634,673.7826467583694,55.268082972695595,635942.4424602274,779.3356664791569,-181.06165836544918,15.18423761181821,1824.569896,2026-01-19T00:20:46,347.6666666666667
10,12,15,256,2,2,0.13531915741041303,64,0.00045153396293813304,2000,1.6154902982525527,381.5249553898111,31.60417399517033,263610.60862571193,422.61103319771115,-140.33533273329664,25.411615176471436,711.479137,2026-01-19T00:51:10,144.0
11,12,41,64,4,4,0.4650848581455648,64,4.9707076400138e-05,2000,2.600830264389515,967.4239352196619,78.39975480477115,1190001.80363985,1084.4948734885738,-294.05118587073224,12.499797795183511,1002.305204,2026-01-19T01:03:02,223.66666666666666
12,12,33,256,3,4,0.4037555068731308,128,0.0007652261454097486,2000,1.40250811772421,712.8524644182966,58.02353877861131,603950.9867447967,770.0619062437887,-176.1904996054566,9.810142671020587,932.452621,2026-01-19T01:19:44,128.0
13,12,8,64,1,2,0.2005624169483781,32,9.269723373402291e-05,2000,2.9360413243994117,272.5836707958295,22.165904056169335,115828.79813347229,325.94685913851634,-26.126230878911873,7.44168370603243,908.400989,2026-01-19T01:35:17,217.33333333333334
14,12,24,128,4,4,0.32305803513154385,32,0.00014293583240777613,2000,2.0484234411269426,188.50487979758836,15.109218946640631,66979.41573627359,249.85860248093437,-22.73932826354986,4.2338119917137345,1018.40986,2026-01-19T01:50:25,166.0
15,12,44,32,2,2,0.527349713165313,64,1.5735579502125907e-05,2000,1.081935083027929,834.7890022507736,66.20374834227624,1050018.9220896757,1024.5883582939707,-251.43993105308675,2.98716853271859,1328.845765,2026-01-19T02:07:24,331.0
16,12,15,128,3,2,0.32686632792385817,32,0.00014314940063468672,2000,2.0081670886223546,191.48761772094701,14.742028206818768,60983.8717248855,239.1205201845186,-8.278247052162985,2.7294938827347464,559.476161,2026-01-19T02:29:33,114.66666666666667
