trial_index,test_size,window_size,hidden_size,lstm_layers,num_attention_heads,dropout,batch_size,lr,epochs,grad_clip,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,12,46,256,4,2,0.22637823820114136,128,0.0007359096666678943,2000,1.2014334201812744,1208.8733254500048,99.05446116074886,1596350.4353577336,1258.2596464883575,-390.870335080545,13.885246708957746,1056.234395,2026-01-19T09:27:03,122.33333333333333
1,12,21,64,2,4,0.5537170147523284,64,6.0551919771986076e-05,2000,2.7147467406466603,1220.631896368951,99.04440247940228,1765391.0976069197,1314.428959961406,-428.10587557093976,8.515310033937647,1461.703833,2026-01-19T09:44:39,410.0
2,12,11,128,3,2,0.43012282429262993,32,0.00012423087058477137,2000,1.800959661602974,1179.3204772670467,96.21040009187847,1491435.0607565527,1207.1324634179448,-333.6478333773733,15.369090241309223,1001.829828,2026-01-19T10:09:01,226.0
3,12,31,32,1,4,0.1038826041854918,128,1.1322362108984185e-05,2000,0.8142561647109687,682.5149176495702,55.81159700642669,741254.6040182243,860.891871600944,-179.06055016599316,1.5946675498729384,1033.347844,2026-01-19T10:25:43,355.6666666666667
4,12,37,128,2,4,0.16363934557884932,64,0.0002324410007852662,2000,2.173764786683023,476.9253619560295,40.48158006804708,466282.1229800344,515.5385694437571,-127.3944486093152,39.9803065463507,595.57894,2026-01-19T10:42:56,130.33333333333334
5,12,17,32,4,2,0.3664521727710962,64,1.9125040359128024e-05,2000,0.6414997433312237,1336.5849758143179,109.84644195431842,2307752.2455024514,1508.93085702938,-578.9590475413121,24.96498548451363,1511.803696,2026-01-19T10:52:52,465.3333333333333
6,12,25,256,1,4,0.4928539813496172,32,0.00039310828438142746,2000,1.5303100920282304,1318.121758002645,108.33361152192411,1943971.9877037376,1350.7735265070094,-510.487660716294,32.71755021620841,744.203315,2026-01-19T11:18:04,111.0
7,12,50,64,3,2,0.2911398614756763,128,3.5826466139201314e-05,2000,2.4980281684547663,1412.2222363822955,115.33235286638516,2412460.701836333,1551.745027327015,-575.9314608190313,6.295979515538666,680.349277,2026-01-19T11:30:28,160.66666666666666
8,12,47,128,1,2,0.5914866806939244,128,0.000242381636713946,2000,2.2272043274715543,916.7107162751867,72.4070855822783,1351688.2933044115,972.1902292884337,-358.3537133771199,47.84421211217594,1702.152438,2026-01-19T11:41:48,314.6666666666667
9,12,27,32,3,4,0.2628196574747562,32,2.9360331324892923e-05,2000,0.7125659422017634,1699.5204151700873,138.99965487219254,3012485.7905993816,1728.875481575648,-728.7950413970248,19.14131157445344,2331.92381,2026-01-19T12:10:10,459.0
10,12,15,256,2,2,0.13531915741041303,64,0.00045153396293813304,2000,1.6154902982525527,999.0950118732395,80.60477380198485,1140558.1705935292,1035.8817035067316,-276.88934722063306,18.33519290097157,619.783217,2026-01-19T12:49:02,132.66666666666666
11,12,41,64,4,4,0.4650848581455648,64,4.9707076400138e-05,2000,2.600830264389515,1694.2447261525315,138.26326493628744,3321219.5031598485,1820.8135020527818,-814.4131548381578,15.505786655740064,1281.541491,2026-01-19T12:59:22,300.0
12,12,33,256,3,4,0.4037555068731308,128,0.0007652261454097486,2000,1.40250811772421,1285.3987786160753,105.10920639194372,1764073.6303894364,1322.5452638380968,-413.46212440023623,13.820180873671077,782.606188,2026-01-19T13:20:44,114.0
13,12,8,64,1,2,0.2005624169483781,32,9.269723373402291e-05,2000,2.9360413243994117,982.8919163647893,79.3671663667875,1067075.5559769974,1016.029414819126,-271.76416623806085,12.000438139682341,1040.577565,2026-01-19T13:33:46,248.33333333333334
14,12,24,128,4,4,0.32305803513154385,32,0.00014293583240777613,2000,2.0484234411269426,893.5499426932219,73.76502758890518,930346.7923952369,922.1836916709007,-230.1176791322985,27.308278370594884,1003.948595,2026-01-19T13:51:07,168.0
15,12,44,32,2,2,0.527349713165313,64,1.5735579502125907e-05,2000,1.081935083027929,1108.1725349823084,90.64243066487131,1883949.5292362713,1369.2414039495686,-460.22959013214745,10.058394139525273,999.267774,2026-01-19T14:07:51,259.6666666666667
16,12,31,128,2,4,0.1386006338116738,64,0.0002515474120135781,2000,2.2279320588215157,555.0228796093983,45.13397582461025,693344.7221462709,581.7491942852139,-106.72826493239519,49.309662557270705,717.010709,2026-01-19T14:24:31,133.33333333333334
17,12,32,64,1,4,0.1,128,2.3299203936386545e-05,2000,1.1582594996763742,573.1240581849038,46.433734916034666,623067.1550250497,776.6193637822904,-162.17225987611087,9.832798916526023,523.028957,2026-01-19T14:36:29,158.0
18,12,36,128,2,4,0.13347864692688724,64,0.00013940162490403614,2000,1.9398577939352482,1024.5492386165795,81.7424868824979,1453195.3436665472,1061.0786233965491,-336.3994674578411,45.56936574399234,653.404874,2026-01-19T14:45:12,139.33333333333334
19,12,38,128,2,4,0.18028794529105158,64,0.0003106432992761566,2000,2.338954104588283,401.3043534642159,32.831921812605934,209035.60722328804,450.8375079345304,-45.73103894997169,6.018313238812755,577.28854,2026-01-19T14:56:07,120.0
20,12,37,128,2,4,0.17960701359943004,64,0.0003389761034305198,2000,2.2270630064666523,222.79581464769058,18.445838710773405,89238.60550624692,269.45150594629723,-15.491416006700405,10.558071434985647,643.072184,2026-01-19T15:05:45,135.66666666666666
21,12,36,128,2,4,0.18054736314052347,64,0.00045662263519532083,2000,2.090282231490595,303.0563756087004,25.16015487627696,157106.8451296492,361.4175301705114,-28.842207507789297,13.812907980283734,607.696647,2026-01-19T15:16:30,129.33333333333334
22,12,34,128,2,4,0.20879749260090502,64,0.00038144228303131996,2000,2.1769073267495207,590.4594724527157,48.05557916841543,404574.94966139644,631.6833011821958,-103.55126595890884,4.910558441266612,703.176701,2026-01-19T15:26:39,124.0
23,12,38,128,2,4,0.15796832046658021,64,0.00045165362535458625,2000,2.2521039840220496,420.7899362509774,34.93291348279376,235102.3561509296,461.5176198757634,-53.59649544434469,12.233458358631347,588.560712,2026-01-19T15:38:24,122.33333333333333
24,12,33,128,2,4,0.17126744305314573,64,0.0003885992272364616,2000,2.212242871955376,549.6610494603664,43.466707880709656,524165.88085528015,592.382679619389,-149.39403417008947,32.15708881607714,692.487412,2026-01-19T15:48:17,125.66666666666667
25,12,41,128,2,4,0.16776342951159007,64,0.0003889875364887364,2000,2.0605420190595227,320.0165633616535,25.835552689322324,157374.83057619174,370.927564149779,-43.487665485422816,10.340290950157211,602.137807,2026-01-19T15:59:51,122.66666666666667
26,12,40,128,2,4,0.16699958873486243,64,0.0003791580506719429,2000,2.131466593549386,551.147415422957,43.13456803869983,673597.8951791736,593.813041559146,-200.35681755450176,43.640237709136976,644.322436,2026-01-19T16:09:55,130.66666666666666
27,12,40,128,2,4,0.17403603619448788,64,0.0003983731502340605,2000,2.289463896645255,632.4288594227168,50.21468586318944,700746.4572839792,685.0901647275927,-204.1616860484622,36.79789189942994,646.269828,2026-01-19T16:20:41,130.0
28,12,37,128,2,4,0.16410753623404284,64,0.0003902255374052919,2000,2.0527587467443005,222.47871142900559,17.761736214392183,87178.35901520489,271.7673207492713,-23.10317581297248,8.275060121335386,601.791359,2026-01-19T16:31:29,126.66666666666667
29,12,37,128,2,4,0.14954678735356988,64,0.0004037675389988517,2000,1.8457700306809843,1051.5349282049,83.6917662238551,1539117.0373202153,1078.212791011774,-358.8823339894695,48.86670229008338,606.76745,2026-01-19T16:41:33,127.33333333333333
