trial_index,window_size,batch_size,hidden_size,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at
0,107,64,70,5,135,0.00047394931220294805,1096.1487579453126,31.78923489069158,1471109.4253463552,1212.892998308736,-1.016532190593186,0.96006,2025-11-09T19:43:34
1,155,16,234,2,150,2.4513217689771093e-05,836.5349808177084,19.42125018166214,1060504.7823690362,1029.8081289099616,-0.45369337934986587,4.125566,2025-11-09T19:43:35
2,77,16,114,2,86,3.906162991469829e-05,763.7413522630209,19.096715912928182,795714.6155415522,892.0283714891316,-0.090730647985102,0.972107,2025-11-09T19:43:39
3,119,16,172,2,111,0.0006560001146173416,759.4039480755209,18.120950059261773,841708.8853680193,917.4469387207193,-0.153777573040363,4.951433,2025-11-09T19:43:40
4,26,16,210,4,138,0.03753901534445191,5853.070221624999,151.38961685067375,34987954.96256381,5915.061704036892,-46.959952026290196,9.343984,2025-11-09T19:43:45
5,59,64,190,3,79,0.02960944101105606,1667.7484951438803,39.75938129588626,3486093.117074665,1867.1082231822195,-3.778583339122659,2.493645,2025-11-09T19:43:55
6,80,16,176,3,174,0.0001885191484814048,668.6511016119792,17.586229993827864,505438.2481036438,710.9418035983282,0.307167447847697,10.862159,2025-11-09T19:43:57
7,111,32,115,4,127,1.3999371960733487e-05,1586.7039089622397,37.514852009115266,3246751.122935427,1801.8743360554938,-3.4505038452203562,1.4443,2025-11-09T19:44:08
8,134,64,166,5,145,1.9990555646599136e-05,1846.6380215110678,44.4479607842797,4140393.4197500595,2034.795670270128,-4.675469457807648,6.463813,2025-11-09T19:44:10
9,167,16,84,1,130,0.0002088987474140193,695.518938467448,16.622669256062704,703835.3154419347,838.9489349429647,0.03521346134342673,0.345901,2025-11-09T19:44:16
10,113,128,41,5,180,0.0007820243963854229,1848.9314581972658,44.51198961290619,4148073.17691407,2036.6819037135058,-4.685996531640731,0.527008,2025-11-09T19:44:16
11,101,128,234,2,51,0.0008967309333558153,724.8910220481772,17.313534045648215,785377.3365590271,886.2151750895642,-0.07656075995892975,0.563378,2025-11-09T19:44:17
12,116,16,148,2,145,9.235092722487482e-05,793.1468088059896,22.011065344948666,747017.8309376886,864.3019327397623,-0.023979234364762902,5.254724,2025-11-09T19:44:18
13,133,32,159,1,83,0.00018430199459493202,779.9602291855468,18.22028467439011,895650.325334024,946.3880416267019,-0.22771812989104623,0.945029,2025-11-09T19:44:24
14,93,32,224,2,88,0.00018135678682977096,822.5426649388022,23.807326242776963,843285.3681929741,918.3057051946123,-0.155938546459244,2.787243,2025-11-09T19:44:25
15,142,16,119,1,82,0.00018527860931841952,803.3362973007812,19.944506827652372,843373.5653148418,918.3537255953404,-0.15605944320036969,0.364509,2025-11-09T19:44:29
16,168,16,183,1,134,0.00037637906194100667,682.0436947617188,16.629142105268798,612820.6297883716,782.8286081821306,0.15997239516231576,0.96388,2025-11-09T19:44:30
17,163,32,131,1,117,0.000714984360497535,767.2873334414063,20.05425589435033,736939.9826764674,858.4520852537242,-0.010164962577413617,0.787265,2025-11-09T19:44:31
18,138,16,240,2,174,0.0002736363624038656,743.6740018789063,19.330347776814673,697814.7690432923,835.3530804655552,0.04346616193024011,5.698932,2025-11-09T19:44:33
19,113,128,148,1,50,0.0006026252326246885,780.4457474192709,17.640013749024043,974582.1806201786,987.2092891682992,-0.3359144505082561,0.420901,2025-11-09T19:44:39
20,146,64,218,1,50,0.0007854836028055753,838.7309342356772,19.651528045466303,1014731.9872321706,1007.3390626954614,-0.3909500420721612,0.414288,2025-11-09T19:44:40
21,168,16,183,1,142,6.73036527085961e-05,780.5088476471356,17.922819502928277,939043.4501439532,969.0425430000239,-0.2871995195973547,1.039182,2025-11-09T19:44:41
22,111,128,241,1,50,0.0003211176918910586,816.5161922109377,18.8692738432796,1007243.2000675394,1003.6150656838205,-0.38068474152701337,0.45505,2025-11-09T19:44:43
23,168,16,141,2,136,0.0003874589851764974,760.8003936041667,20.37144265782547,690767.6174747759,831.1243092791691,0.05312608779643224,1.492665,2025-11-09T19:44:44
24,136,16,134,1,143,0.00043260022737779904,846.5860978098959,20.684782865812878,961565.8286525019,980.594630136481,-0.31807220689627513,2.280642,2025-11-09T19:44:47
25,152,16,256,1,114,0.0004746371812729182,857.3981200970052,20.13602247117437,1033410.0339184878,1016.5677714340977,-0.41655308814841985,1.68756,2025-11-09T19:44:50
26,124,128,193,2,50,0.0006778008481120378,878.4971660638021,20.060846985621282,1191764.3773536284,1091.6796129605189,-0.6336182673630986,0.672824,2025-11-09T19:44:52
27,96,128,212,1,50,0.002600950167856984,1562.1807054303388,37.02290574384246,3122244.8052884974,1766.9874943780721,-3.2798360531843276,0.346769,2025-11-09T19:44:53
28,168,32,156,1,126,0.00020263196188544238,674.2320395644532,17.32097424757661,573749.1770804845,757.4623271691368,0.2135298265547113,0.770134,2025-11-09T19:44:55
29,90,64,243,2,111,0.0007536013709843011,598.6909575690105,15.823727840123375,419021.17017677467,647.3184457257298,0.42562418291722015,2.370106,2025-11-09T19:44:56
