seed,test_size,a,b,c,d,e,f,g,Target,MAE,MSE,RMSE,r2
1048596,24,1,1,0,0,1,0,7,SAE,1524.3576367671046,3573521.2714127977,1890.3759603350857,-3.923482643013081
1048596,24,1,1,0,0,1,0,30,SAE,901.1013907794468,1203598.027879402,1097.0861533532368,-0.6582786415277717
1048596,24,1,1,0,0,1,0,60,SAE,2667.0775541051116,9332647.710841706,3054.938249922853,-11.85822177281145
1048596,24,1,1,0,0,1,1,7,SAE,1160.0671143596437,2049242.2692203652,1431.517470805147,-1.8233800717929802
1048596,24,1,1,0,0,1,1,30,SAE,1040.7178970542238,1666751.9714045066,1291.0274866959676,-1.2963972446632668
1048596,24,1,1,0,0,1,1,60,SAE,1096.621876549117,1998125.4585629196,1413.5506565252338,-1.7529529745621804
1048596,24,1,1,0,1,1,0,7,SAE,1568.6374068321284,3857513.920915732,1964.0554780646428,-4.314758579092286
1048596,24,1,1,0,1,1,0,30,SAE,1115.1325171463748,1896533.3252369938,1377.1468059858375,-1.612982601614291
1048596,24,1,1,0,1,1,0,60,SAE,954.9072283916281,1582075.2858427975,1257.805742490786,-1.1797324314533744
1048596,24,1,1,0,1,1,1,7,SAE,1041.97100732727,1658977.2253532028,1288.0128979762596,-1.285685449677282
1048596,24,1,1,0,1,1,1,30,SAE,1252.1492325247675,2302221.2092338023,1517.3072230875994,-2.1719263166881673
1048596,24,1,1,0,1,1,1,60,SAE,1006.1468181829788,1732854.4458205348,1316.3792940564413,-1.3874711073127153
1048596,24,1,1,1,0,1,0,7,SAE,1433.5407076926524,3185487.0517247617,1784.793279829561,-3.3888615786829224
1048596,24,1,1,1,0,1,0,30,SAE,901.2779665020438,1169436.8449258504,1081.4050327818206,-0.6112124626632172
1048596,24,1,1,1,0,1,0,60,SAE,1959.612874750015,5623153.577722163,2371.3189531824187,-6.7474000953592945
1048596,24,1,1,1,0,1,1,7,SAE,867.07487347945,1093233.7363438392,1045.578182798321,-0.5062222712101678
1048596,24,1,1,1,0,1,1,30,SAE,960.3735161495573,1383544.083370367,1176.241507246861,-0.9062025276889889
1048596,24,1,1,1,0,1,1,60,SAE,867.990819658432,1246315.3437114637,1116.3849442336025,-0.7171331850106244
1048596,24,1,1,1,1,1,0,7,SAE,1468.075629843802,3433044.480907308,1852.8476680254391,-3.7299382403722294
1048596,24,1,1,1,1,1,0,30,SAE,1088.8556280495511,1773432.9121112332,1331.7030119779836,-1.4433788127069969
1048596,24,1,1,1,1,1,0,60,SAE,918.6918700799464,1509633.456933026,1228.6714194336198,-1.0799244101275702
1048596,24,1,1,1,1,1,1,7,SAE,881.7110441939016,1142225.5646969595,1068.749533191458,-0.5737216361854602
1048596,24,1,1,1,1,1,1,30,SAE,1133.6970784628286,1901321.3254076743,1378.8840870093738,-1.619579354213379
1048596,24,1,1,1,1,1,1,60,SAE,916.1611421697872,1554000.642101369,1246.5956209217843,-1.1410520905035497
1048596,24,2,1,0,0,1,0,7,SAE,1525.0954420817761,3576025.4409232647,1891.0381912915627,-3.926932807202274
1048596,24,2,1,0,0,1,0,30,SAE,900.7269095537745,1189928.1998310434,1090.838301413662,-0.6394447922185555
1048596,24,2,1,0,0,1,0,60,SAE,2161.9659146734975,6661447.085526521,2580.9779320107564,-8.177927487185027
1048596,24,2,1,0,0,1,1,7,SAE,982.852605068213,1453191.6461865285,1205.4839883575926,-1.0021606990861232
1048596,24,2,1,0,0,1,1,30,SAE,967.6463560046781,1366869.3819051737,1169.1318924335158,-0.8832286604566701
1048596,24,2,1,0,0,1,1,60,SAE,894.7757702336461,1285058.2388868264,1133.6040926561734,-0.7705118995748614
1048596,24,2,1,1,0,1,0,7,SAE,1030.7267644433366,1594334.848038505,1262.6697303881585,-1.1966232618408603
1048596,24,2,1,1,0,1,0,30,SAE,897.479936744939,1167531.252565419,1080.523601114487,-0.6085869988143529
1048596,24,2,1,1,0,1,0,60,SAE,1948.4971234241177,5603477.052444582,2367.1664606538725,-6.720290411850771
1048596,24,2,1,1,0,1,1,7,SAE,905.3318156385636,1195847.0203406832,1093.54790491349,-0.6475995527007286
1048596,24,2,1,1,0,1,1,30,SAE,972.2582626814778,1424721.921914071,1193.6171588554141,-0.9629360288908915
1048596,24,2,1,1,0,1,1,60,SAE,884.3731909411957,1250337.2599535394,1118.1848058141102,-0.7226744518187784
