seed,test_size,a,b,c,d,e,f,g,Target,MAE,MSE,RMSE,MAPE,r2
1048596,24,1,1,0,0,1,0,7,FE,2901.143972375948,12732393.8698703,3568.2480112613107,89.05246478655523,-16.453006322666905
1048596,24,1,1,0,0,1,0,30,FE,1045.685951107236,1519750.8172485076,1232.7817395015663,27.43290470684529,-1.0832076743308123
1048596,24,1,1,0,0,1,0,60,FE,651.9142820480268,549400.171532377,741.2153341184847,17.407080630803428,0.24690637397580495
1048596,24,1,1,0,0,1,1,7,FE,974.4080361110509,1198382.3317769861,1094.7065048573459,27.299159891885388,-0.6426898686326221
1048596,24,1,1,0,0,1,1,30,FE,797.1148004021533,942109.7604913911,970.6233875666663,19.00243138134531,-0.2914026831523038
1048596,24,1,1,0,0,1,1,60,FE,636.5888465126509,555492.1051389055,745.3134274510995,17.13197948629418,0.23855581893967714
1048596,24,1,1,0,1,1,0,7,FE,1997.000266219001,5718395.607945614,2391.316710087899,60.2138205789066,-6.838525553090049
1048596,24,1,1,0,1,1,0,30,FE,875.5180828995086,977967.0424636618,988.9221619842796,23.103330701238637,-0.3405542704635174
1048596,24,1,1,0,1,1,0,60,FE,870.0636563510434,1022644.6543705153,1011.2589452610619,21.059647699242678,-0.4017963786688863
1048596,24,1,1,0,1,1,1,7,FE,1186.8777557870728,1858340.7851600845,1363.209736306224,34.33977111442586,-1.547331931807347
1048596,24,1,1,0,1,1,1,30,FE,829.5340045208686,1056670.6529220988,1027.944868619956,19.103057820425974,-0.44843772309517926
1048596,24,1,1,0,1,1,1,60,FE,797.6643964843682,950689.247547665,975.0329469036751,18.620267556734813,-0.3031630672064545
1048596,24,1,1,1,0,1,0,7,FE,2850.9479970834204,12288384.22239347,3505.4791715817496,87.50354583269186,-15.844377398370426
1048596,24,1,1,1,0,1,0,30,FE,1043.9794657518362,1519751.2146291148,1232.7819006738844,27.292443829177877,-1.083208219042696
1048596,24,1,1,1,0,1,0,60,FE,652.3372046220402,549428.729627091,741.2345982393772,17.436426905135715,0.24686722779381431
1048596,24,1,1,1,0,1,1,7,FE,960.2809517892489,1161055.8694188723,1077.5230250063673,26.75882566995293,-0.5915243933734446
1048596,24,1,1,1,0,1,1,30,FE,804.0532233793534,960667.9539831448,980.1367016815282,19.109726297476445,-0.3168414397332886
1048596,24,1,1,1,0,1,1,60,FE,663.6911140777964,578338.7991016197,760.4858967144754,17.38104867009711,0.20723857425980063
1048596,24,1,1,1,1,1,0,7,FE,1990.157706012548,5670021.769629851,2381.1807511463408,59.982283625361696,-6.772216820057958
1048596,24,1,1,1,1,1,0,30,FE,875.6655066795371,981831.2368717619,990.8739762814249,23.06237417455012,-0.3458511384465428
1048596,24,1,1,1,1,1,0,60,FE,1002.8079976620102,1340547.1037604974,1157.8199789952225,24.172213959645863,-0.8375630943313803
1048596,24,1,1,1,1,1,1,7,FE,1107.3959306827298,1584688.4818752941,1258.8441054694954,31.60223735749728,-1.1722213730031794
1048596,24,1,1,1,1,1,1,30,FE,835.1956063666886,1072519.5559938936,1035.6252005401827,19.214497815017182,-0.47016270335784127
1048596,24,1,1,1,1,1,1,60,FE,948.6919402663161,1270864.0178169732,1127.32604769737,22.303817415309823,-0.7420445805322422
1048596,24,2,1,0,0,1,0,7,FE,2871.7361553948917,12472699.420804227,3531.67091060368,88.14744813090066,-16.097028577410594
1048596,24,2,1,0,0,1,0,30,FE,1044.9946214640092,1519821.4379097873,1232.8103819768016,27.388014649407328,-1.0833044780317045
1048596,24,2,1,0,0,1,0,60,FE,652.3749107307323,549434.2703775993,741.238335744718,17.43855896042418,0.2468596327763618
1048596,24,2,1,0,0,1,1,7,FE,969.4998055428896,1186490.3266466174,1089.261367462657,27.097228142482038,-0.6263888302850211
1048596,24,2,1,0,0,1,1,30,FE,801.2505797063727,953095.6926348144,976.2661996785582,19.06326546281695,-0.3064617164432297
1048596,24,2,1,0,0,1,1,60,FE,648.2694191611346,562735.8609730707,750.1572241690876,17.246616941898832,0.22862639658079842
1048596,24,2,1,1,0,1,0,7,FE,2856.7690901519504,12339888.694922818,3512.817771379953,87.68401304911654,-15.91497746728814
1048596,24,2,1,1,0,1,0,30,FE,1043.9171505096726,1519739.3145320558,1232.7770741427892,27.287174773963134,-1.0831919069122882
1048596,24,2,1,1,0,1,0,60,FE,1141.2103748234333,1850107.1821055748,1360.1864512284978,34.46445900967859,-1.536045670351931
1048596,24,2,1,1,0,1,1,7,FE,960.2902928058274,1161080.5866418441,1077.5344944092715,26.759139465092304,-0.5915582746571384
1048596,24,2,1,1,0,1,1,30,FE,808.3967060753974,928340.6935711586,963.5043817083338,19.980137703639258,-0.27252865094185585
1048596,24,2,1,1,0,1,1,60,FE,663.8706728454697,578426.0990746439,760.5432920449986,17.38847233441216,0.20711890729090765
