trial_index,LR,epochs,gradclip,attention_heads,hidden_size,num_layers,window_size,mae,mape,mse,rmse,r2,runtime_s,started_at
0,0.050005,60,0.505,4,68,36,28,0.037515688920393586,119.34920630020504,0.001650745241317883,0.040629364274104546,-0.1241496493087979,114.923587,2025-11-07T21:19:04
1,0.09738355816006661,71,0.6066676253080369,1,85,16,14,0.0355537417344749,106.0710760996588,0.0015428434027038715,0.039279045338499144,-0.05066901098760157,79.126025,2025-11-07T21:20:58
2,0.04813847657813691,47,0.29557673824951053,4,40,39,43,0.0415882954839617,154.7765927022926,0.001893643994295941,0.04351601997306211,-0.28956254352367594,100.71484,2025-11-07T21:22:18
8,0.06776335155518336,73,0.6743158223095459,4,92,30,14,0.03607787354849279,110.17715409946875,0.0015641158483636409,0.03954890451534203,-0.06515544519308714,101.03901,2025-11-07T21:24:02
9,0.04344371762755012,45,0.5825424682650526,1,74,8,13,0.03672309895046055,120.42933360272181,0.0015503218432451216,0.039374126571203094,-0.055761793387574476,40.496898,2025-11-07T21:25:43
10,0.1,84,0.41673153437754584,1,72,8,8,0.03528188937343657,104.00159923936738,0.0015318374174593636,0.03913869463151989,-0.04317398744112522,85.402089,2025-11-07T21:26:24
11,0.1,94,0.3499286085369063,1,86,8,26,0.03553331550210714,105.9886224326222,0.0015411712857859197,0.039257754466932006,-0.04953030732826624,118.318302,2025-11-07T21:27:50
12,0.1,95,0.9303054910593481,1,75,8,8,0.036818097811192274,106.69844810242226,0.0016913872762512059,0.04112647901597225,-0.15182668158121304,100.345373,2025-11-07T21:29:49
13,0.1,87,0.01,1,79,40,8,0.03548033768311143,105.59162266207981,0.0015387116593139467,0.039226415325822814,-0.047855313412371814,148.519676,2025-11-07T21:31:30
14,0.1,83,0.01,1,82,8,8,0.03549383278004825,105.89375077885907,0.001539069937047593,0.03923098185168953,-0.048099298843044425,88.335025,2025-11-07T21:34:00
