trial_index,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,dropout,grad_clip,mae,mape,mse,rmse,r2,runtime_s,started_at
1,43,64,128,8,6,393,1.1860982902365682e-05,0.03793401690199971,0.03230204991996288,2651.1304524739585,65.8835995859164,7770071.014959633,2787.4847111615936,-9.650871066532131,185.818566,2025-11-10T02:23:37
2,43,64,96,2,7,937,0.0009870202449147871,0.00601072097197175,0.10197330825030804,2267.9464314778647,55.55446743096437,5916313.166229148,2432.3472544497317,-7.10982146770772,421.521016,2025-11-10T02:26:43
3,43,64,256,2,9,607,1.2731562754071112e-06,0.09476471459493041,0.3174774944782257,2624.4393615722656,64.99119837411209,7684104.37373545,2772.0217123492107,-9.533031781673762,342.455389,2025-11-10T02:33:44
4,42,16,512,8,6,625,0.0008308512387917592,0.23784331884235144,0.30392509512603283,1866.2322387695312,44.74291694437063,4543327.737780993,2131.50832458637,-5.227793524015284,1335.397926,2025-11-10T02:39:27
5,43,64,512,8,10,333,1.4343951721862596e-06,0.2299359948374331,0.18770631775259972,2835.3421325683594,70.7968707166058,8781583.963135483,2963.3737467851543,-11.037408457555545,270.456639,2025-11-10T03:01:42
7,42,64,256,4,13,160,1.5460654110930718e-05,0.4556594602763653,0.6489217076450586,2319.9395650227866,57.07137209078167,6115296.373936581,2472.912528565574,-7.3825788833885415,88.193391,2025-11-10T03:06:13
8,43,16,512,4,12,674,2.0501933179638373e-05,0.02244521165266633,0.669387455098331,2196.567637125651,53.44842227041177,5661617.842987862,2379.4154414452014,-6.760696338237361,1517.621091,2025-11-10T03:07:41
9,43,64,96,8,19,637,0.00013075931149794662,0.10224976344034076,0.8699564225971699,2339.310994466146,57.56097866928948,6213343.931342959,2492.6580052913314,-7.516978155970886,305.017101,2025-11-10T03:32:58
10,42,16,256,4,13,421,4.4996241376583415e-05,0.14974190341308713,0.4634115509688854,1536.2547200520833,35.648413022779565,3258468.3042552173,1805.1227947857778,-3.4665648121086337,766.180105,2025-11-10T03:38:03
11,42,16,128,8,10,140,0.0006968121674748909,0.04972168616950512,0.41604606714099646,1689.8340657552083,39.28745407892861,3910236.990882551,1977.4319181409385,-4.3599806165595245,243.332876,2025-11-10T03:50:50
14,42,16,64,4,4,172,5.298730215343805e-06,0.26337249483913183,0.9596199374645948,2512.7831013997397,62.367921898217695,7002693.929269518,2646.2603668704855,-8.598984361332043,266.645514,2025-11-10T03:54:53
15,42,64,256,8,3,123,1.524092340085227e-05,0.05006700428202748,0.6946401912719011,2799.7213439941406,70.01879130384147,8531433.707454966,2920.8618090308496,-10.694513506481913,62.782076,2025-11-10T03:59:20
17,42,16,256,4,1,300,2.9525397265406984e-06,0.39981785882264376,0.4569516573101282,2157.1253560384116,52.42136123908071,5485855.189023224,2342.1902546597753,-6.519768634734436,456.779703,2025-11-10T04:00:22
18,42,16,128,2,2,470,4.131867105166828e-05,0.28473839443176985,0.5823757434263825,1708.4319254557292,39.80822266630686,3975446.222362811,1993.8521064419024,-4.44936655852926,708.972053,2025-11-10T04:07:59
19,42,64,512,4,15,312,1.0596879926677583e-06,0.20460869697853923,0.03315846621990204,2831.1738891601562,70.59638032832488,8784690.272319233,2963.8978174557965,-11.041666449348053,257.054649,2025-11-10T04:19:48
21,42,64,128,2,12,251,9.636687092515306e-05,0.4750493415631354,0.6199141247197986,2798.8072916666665,69.96965770785879,8532660.073858628,2921.0717337748874,-10.69619455552517,114.700868,2025-11-10T04:24:05
22,43,64,128,8,5,833,3.020925729181052e-06,0.02841102099046111,0.9363017100840807,2243.311564127604,55.029239023150325,5764672.73907577,2400.973289954674,-6.901959450105184,360.522818,2025-11-10T04:26:00
23,42,16,256,4,8,561,1.2814050388291346e-05,0.3461009687744081,0.9718634281307459,1771.5575358072917,41.204713878166125,4285365.439778581,2070.112422014462,-4.874190169456457,946.205095,2025-11-10T04:32:00
24,42,16,256,4,8,452,8.446993101031362e-05,0.20916193961753565,0.5581836488842953,1779.8890584309895,41.30961743001401,4361517.861072928,2088.424731962569,-4.978576553962949,760.979489,2025-11-10T04:47:48
