trial_index,test_size,window_size,hidden_size,lstm_layers,num_attention_heads,dropout,batch_size,lr,epochs,grad_clip,mae,mape,mse,rmse,r2,runtime_s,started_at,epochs_ran
0,26,44,256,2,4,0.31369972229003906,64,0.00011766762628435,2000,1.0,825.6352073344832,42.22083108640381,1061346.033651474,1030.216498436845,-5.247801900402703,120.192745,2025-11-25T13:39:40,126
1,12,35,128,3,4,0.28129319846630096,32,0.0007689510534700794,2000,1.0,169.24391991785262,13.57338879137635,48020.84112358507,219.1365809799566,-5.193640805642034,81.677145,2025-11-25T13:41:41,125
2,12,46,256,1,4,0.1650997042655945,64,0.0003314239313750413,2000,1.0,257.87912734309685,20.701282416836207,106505.38300483675,326.3516247927023,-12.736870716229612,95.328093,2025-11-25T13:43:02,136
3,26,26,128,3,2,0.4658718317747116,32,0.00013356801317399134,2000,1.0,1113.4429315890536,53.463324426446526,1465592.6950289789,1210.616658992011,-7.627471658527224,99.531917,2025-11-25T13:44:38,151
4,26,42,128,3,2,0.3349954176694155,64,0.0004672033139884081,2000,1.0,754.6367143244742,35.134258140939906,772426.1188548009,878.8777610423425,-3.5470235156939074,81.015919,2025-11-25T13:46:17,153
5,12,30,256,1,4,0.23420546837151052,32,0.00011391997928788878,2000,1.0,994.8322325876121,82.03971139343587,1217755.9712255506,1103.5198100739065,-156.06395178056246,91.724947,2025-11-25T13:47:38,117
6,26,46,128,2,4,0.11295636184513569,64,0.00025829978031917405,2000,1.0,902.1206207165152,43.3055767859205,1103363.0266596777,1050.4108846825977,-5.4951423911027115,71.207112,2025-11-25T13:49:10,140
7,52,38,256,2,2,0.4184286672621965,32,0.0006298124876392537,2000,1.0,2936.616933599777,237.62005227043187,9983580.22053348,3159.680398479169,-28.05192189449688,120.375643,2025-11-25T13:50:21,105
8,52,43,128,1,4,0.4875690553337336,64,0.0004907742081304242,2000,1.0,3190.3698251416427,254.94494928891146,11533435.14337217,3396.0911565168817,-32.5619536838448,49.515476,2025-11-25T13:52:22,115
9,26,28,256,3,2,0.19303472079336645,32,0.00012162598679612341,2000,1.0,960.8270406444876,45.51229874414781,1095653.0044004512,1046.7344478904147,-5.449755975931765,147.555676,2025-11-25T13:53:11,122
10,12,52,128,1,2,0.2595959518104792,64,0.00027938051868146776,2000,1.0,336.4418194194498,27.297291302748317,152006.54741310593,389.8801705820725,-18.605528198883956,64.200046,2025-11-25T13:55:39,141
11,52,33,256,2,4,0.3588236812502146,32,0.0006923602176139805,2000,1.0,2839.677462790466,209.38923251472897,8305388.555399243,2881.907103880908,-23.168433997119088,127.631288,2025-11-25T13:56:43,115
12,26,49,256,3,4,0.44048144370317466,64,0.00022961658157918315,2000,1.0,1132.373951294268,61.012996229316975,1852967.8413932184,1361.2376138621862,-9.907824247490714,127.144502,2025-11-25T13:58:50,112
13,12,36,128,2,2,0.14127134531736374,32,0.0009427933916720321,2000,1.0,145.75599047575756,11.424165936500007,36146.003219749204,190.12102256128648,-3.662045796460494,77.144981,2025-11-25T14:00:58,122
14,26,39,256,3,2,0.21215271502733232,64,0.0004162645015559544,2000,1.0,638.6074025416233,28.85215082439117,676479.7286457809,822.483877438203,-2.982218051615126,111.759644,2025-11-25T14:02:15,107
15,52,32,128,1,4,0.3066804572939873,32,0.00017091258122807113,2000,1.0,2922.5995117794887,215.6269716421251,9045021.275146525,3007.4941853886476,-25.320743241904633,74.801261,2025-11-25T14:04:07,126
16,12,41,128,2,2,0.2185413790938152,64,0.0004453462783439549,2000,1.0,232.45433444482885,18.665587791545455,68528.8475025527,261.7801510858925,-7.838726193135518,94.125492,2025-11-25T14:05:22,203
17,12,40,128,2,2,0.20797579056966015,32,0.0005953759021695035,2000,1.0,209.6662726686268,16.72257944813625,60210.58010791144,245.37844263078907,-6.765851183822365,90.411111,2025-11-25T14:06:56,136
18,12,39,128,2,4,0.19463637950154258,64,0.0006480252900772442,2000,1.0,307.1689490775612,24.70352955189441,125821.86999195075,354.7137860190251,-15.228276098262427,59.585922,2025-11-25T14:08:27,131
19,12,39,128,3,2,0.20221736383279365,32,0.000621523392557106,2000,1.0,223.01991546912677,17.749896449830736,60374.95771545762,245.71316146160672,-6.787052308871625,255.309703,2025-11-25T14:09:27,364
20,52,52,128,3,2,0.1,64,0.001,2000,1.0,3302.983809708647,267.54862928840544,12374250.912584197,3517.7053476071865,-35.00870259708224,59.431907,2025-11-25T14:13:43,132
