trial_index,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at
0,43,16,512,32,3,858,0.0010820368065030301,453.2818311397238,26.803230975969054,284566.06001552317,533.4473357469537,-1.2079699920292764,99.6272,2025-11-19T15:42:29
1,43,64,1024,16,2,621,0.007640371972353728,445.1270593817889,26.31263721752314,275104.3569074862,524.5039150544886,-1.1345559083718784,63.667868,2025-11-19T15:44:09
2,42,16,1024,8,5,360,0.00037891029662803864,501.56066611538625,29.610202683031613,338830.190353178,582.0912216767902,-1.6290095616201525,130.356411,2025-11-19T15:45:12
3,42,64,256,16,6,818,9.937553742491788e-05,544.481773052034,30.05330198323732,362988.676179568,602.4854157401389,-1.816457115114845,69.285211,2025-11-19T15:47:23
4,42,16,256,8,8,438,0.001297697127298279,440.43337448595554,26.01843160810786,269015.7635150785,518.6672955904185,-1.0873140429738384,111.941849,2025-11-19T15:48:32
5,43,64,512,32,9,871,0.003343994487716247,376.99522285034055,22.033491153767493,198977.57188429465,446.0690214353544,-0.5438823160548552,206.514454,2025-11-19T15:50:24
6,43,64,256,32,8,940,0.0013247600032063776,416.8550968980649,24.540471752775296,240390.53767722985,490.2963773853829,-0.8652087094650454,121.192034,2025-11-19T15:53:50
7,43,16,512,32,5,859,0.0016049459063966053,415.50579269884616,24.455893868972286,238847.8740381087,488.72065030864894,-0.8532390633913416,157.607727,2025-11-19T15:55:52
8,42,64,1024,8,2,539,0.0003988291780163409,1282.2892783417476,68.62575902330731,1690930.362819723,1300.3577826197386,-12.120059010246901,55.952793,2025-11-19T15:58:29
9,42,32,1024,8,8,830,0.003574510288486459,410.267948867466,24.12757201274369,232973.49686517203,482.67328169805717,-0.8076593181504703,386.332608,2025-11-19T15:59:25
10,42,32,512,16,1,419,0.006536333259409332,398.6203048244972,23.397373824343816,220493.29530539887,469.5671361002587,-0.710824472361226,12.158153,2025-11-19T16:05:51
11,42,64,1024,32,4,717,0.0022610464400942467,436.15263311225766,25.750142991717645,263578.5055953371,513.3989731148058,-1.045125939708615,150.019336,2025-11-19T16:06:04
12,42,16,1024,16,3,897,0.0036437337935538295,419.6756230211118,24.71727332073974,243640.08765813452,493.59911634659005,-0.8904222182195518,192.303899,2025-11-19T16:08:34
13,42,64,512,16,7,543,1.460943007406821e-05,555.0851971242996,31.706002074413725,377847.35865698924,614.6928978416696,-1.9317467776608552,88.722109,2025-11-19T16:11:46
