trial_index,test_size,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at
0,24,38,64,512,8,6,869,1.0172925530365852e-05,797.9123557343258,44.76175836767302,700023.6065945709,836.6741340537371,-4.431537116508572,111.22671,2025-11-21T12:03:59
1,12,36,32,256,4,3,1568,6.877277391807295e-05,141.26271362553018,8.477156336834604,26212.540459638938,161.9028735373123,-0.11111214365264321,92.800371,2025-11-21T12:05:51
2,16,45,16,256,16,10,1834,0.00011820454012970304,562.4121282944375,34.34022021261729,369891.09283215704,608.186725300838,-5.003689221304222,639.000034,2025-11-21T12:07:23
3,12,47,64,1024,4,8,494,0.00023789843036331704,771.4405976856129,48.51163864957325,618709.9974206974,786.5812084080685,-25.22623292053477,226.098823,2025-11-21T12:18:02
4,24,37,64,256,8,6,1737,2.251432903614655e-05,597.0901307994299,32.9745670424625,395885.5913847922,629.1943987233136,-2.0717068156571523,132.48421,2025-11-21T12:21:49
5,12,27,32,256,8,10,1091,0.00774989120737417,553.5527803028007,35.06562436375087,330011.94507157133,574.4666614100172,-12.98873490663952,206.552962,2025-11-21T12:24:01
6,12,29,64,256,32,5,580,0.004375250323168417,683.5571544889985,43.08840225190747,490846.5888214465,700.604445333775,-19.80628569175692,41.436112,2025-11-21T12:27:28
7,12,30,64,1024,8,6,623,0.0027564999662268957,595.0338594043632,37.625457907830736,377656.5791265718,614.5376954480269,-15.008322880567881,160.751333,2025-11-21T12:28:09
8,24,32,16,256,4,1,612,0.0001797899350467522,367.558092500853,19.417856766787637,174825.96960157598,418.121955416809,-0.3564881725060438,31.621437,2025-11-21T12:30:50
9,24,42,16,512,4,8,878,0.0004119753840119165,335.8908707372928,17.31882441497408,137161.92738043366,370.35378677749964,-0.06424996603029798,251.404542,2025-11-21T12:31:21
10,24,26,16,512,16,1,1167,0.0001399694008509377,302.39460983483735,15.939404343515045,120707.23720090261,347.42947082955214,0.0634232432855335,59.675023,2025-11-21T12:35:33
11,12,28,16,1024,32,1,1195,1.2119947932228774e-05,202.5655973216174,12.124705982503304,50254.399500001535,224.17493057878156,-1.1302122029110704,79.318729,2025-11-21T12:36:33
12,24,33,32,256,4,8,1281,0.0015731830230842905,334.1668827941872,19.13846559521779,157708.75726343502,397.1256189966029,-0.22367440269896677,150.301219,2025-11-21T12:37:52
13,12,30,16,256,32,8,1154,0.0051743706663293625,144.41148070186,9.169942539169629,24932.676363207018,157.90084345312098,-0.05686053297949312,270.219991,2025-11-21T12:40:22
14,16,29,32,512,4,3,1751,6.30845966399875e-05,381.91147216650774,22.602037036372252,176226.5851914873,419.79350303629917,-1.860327459957162,118.921755,2025-11-21T12:44:52
15,12,34,16,256,16,4,1978,0.005649929204652642,592.9157255565743,35.68393424547456,375140.3221028898,612.4869974969998,-14.901662339981618,243.456086,2025-11-21T12:46:51
16,12,35,32,256,4,2,1368,7.393874909780399e-05,123.94111250741771,7.6316424416698325,19797.937437173852,140.7051436059601,0.1607937147644879,52.063738,2025-11-21T12:50:55
17,12,29,16,256,32,8,925,0.0028745131158966347,587.4424287403007,37.15698374791266,368679.8715749138,607.1901444975156,-14.627813071302217,261.927775,2025-11-21T12:51:48
18,12,34,16,256,4,2,1379,8.461718816058186e-05,173.76745316543528,10.442316307504706,36640.46416757891,191.41699027928243,-0.5531369326201985,114.308129,2025-11-21T12:56:11
19,12,34,32,256,8,2,1451,8.174201153390655e-05,134.3013701499482,8.444476311823475,32542.45553402255,180.3952758084938,-0.3794282009332062,58.612376,2025-11-21T12:58:06
20,12,31,16,256,32,7,1296,0.0048265847147950436,599.0837861621757,37.8753819376584,382492.647333018,618.4598995351421,-15.213316903180399,306.822679,2025-11-21T12:59:05
21,12,34,32,256,4,1,1378,3.602607218326413e-05,172.29920576913648,10.61986843700447,35954.1960063355,189.6159170701012,-0.5240470056467399,34.914704,2025-11-21T13:04:13
22,16,34,32,256,4,1,1304,8.452662020645265e-05,213.02899689152275,12.221213248486167,52365.92537634859,228.8360228992555,0.1500505207129621,33.254538,2025-11-21T13:04:49
23,12,35,16,512,8,1,1366,5.504001612182542e-05,100.64346800846636,6.156727392483305,16132.46506208719,127.01364124410885,0.31616785236298395,70.623143,2025-11-21T13:05:23
24,12,32,16,256,8,1,1197,5.5161241958339e-05,140.77704978004408,8.494143241139719,29432.10107464978,171.55786509119827,-0.2475847187573912,63.316627,2025-11-21T13:06:34
25,12,37,16,256,8,1,1406,8.331548659499392e-05,232.3247722843589,14.174603968330587,73836.50235258338,271.7287293470887,-2.129823854163062,69.946238,2025-11-21T13:07:38
26,12,33,32,512,8,1,1242,4.750823330802683e-05,183.22833378020417,11.092179053786237,38878.29787951387,197.17580449820375,-0.647995506768507,36.254111,2025-11-21T13:08:49
27,12,32,16,512,8,2,1323,3.487303186495057e-05,119.131420546103,7.325901599703538,24279.195053144194,155.8178264934542,-0.029160393789289474,107.528591,2025-11-21T13:09:26
28,16,34,16,256,8,1,1395,3.388903919677622e-05,316.6662023911171,18.544019104878135,133786.25709398193,365.76803727770135,-1.1714799984065647,71.385827,2025-11-21T13:11:14
29,12,31,16,512,4,1,1210,0.00010165903885623299,197.9598335683622,11.884714695874322,58278.37793657503,241.40915048227777,-1.4703371860278942,62.792897,2025-11-21T13:12:26
30,12,28,16,512,16,1,1240,4.864259963367197e-05,186.6566109121122,11.259005397346733,41590.61033755063,203.93776094080917,-0.7629665571382851,63.391249,2025-11-21T13:13:30
31,12,29,32,256,4,2,1346,5.896743390512164e-05,195.72079178848216,11.899412131910319,47687.93135993591,218.37566567714433,-1.0214232848313687,58.824993,2025-11-21T13:14:34
32,12,34,32,512,8,2,1496,3.936468167262882e-05,222.55242324464533,13.439328551802246,71504.2412954245,267.40276979759295,-2.030962639746721,71.786702,2025-11-21T13:15:34
33,12,35,16,512,4,2,1074,4.8076427901524054e-05,161.22943241301667,9.772804787049584,30438.82354896211,174.46725638056589,-0.2902582462706367,84.234645,2025-11-21T13:16:47
34,12,33,16,512,8,2,1169,9.444093470479249e-05,198.34641921829336,11.801787343169568,54954.26041948185,234.42325059490548,-1.3294325932106603,96.03376,2025-11-21T13:18:12
