trial_index,test_size,window_size,d_model,n_head,num_layers,dropout,batch_size,lr,epochs,optimizer,weight_decay,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,4,39,128,8,3,0.01915616691112518,128,5.5442588175218005e-05,2000,adam,0.0004019403076002831,660.1891314325349,24.691156131426585,869894.0435066046,802.8455281323601,-43.30808028070195,10.421184306871734,338.466145,2026-01-29T14:34:08,806.3333333333334
1,4,47,256,8,4,0.13526833914220332,32,0.00029164507470561283,2000,adam,1.0785552166498847e-06,483.5934028762196,19.774995763932356,296591.07459354785,540.0536359648414,-14.41897390372291,4.910265044763784,693.425491,2026-01-29T14:39:47,427.6666666666667
2,4,29,128,4,2,0.5171939151361584,32,7.602053130957714e-05,2000,adam,2.264815276765315e-05,512.4514907550655,21.1524757352941,362852.90551182703,563.1145853366537,-11.271907741172642,9.672128495492048,162.178612,2026-01-29T14:51:20,204.66666666666666
3,4,33,64,2,2,0.34629106633365153,64,1.9519968580133305e-05,2000,adam,9.684262333136483e-05,550.7798215518388,19.718855867616263,567144.3113454442,586.9812722661794,-27.349355946173954,14.508360493863684,386.343411,2026-01-29T14:54:02,990.0
4,4,21,256,8,1,0.0599364610388875,128,0.00011620330302614938,2000,adam,2.592611412145314e-05,479.6255751428104,16.974823596706518,435179.1941328622,515.2004228050457,-21.725247739042956,11.852434719345135,63.199632,2026-01-29T15:00:29,330.0
5,4,14,128,8,4,0.4555371232330799,128,1.7409017160661654e-05,2000,adam,2.4767736806855734e-05,832.1136272292327,31.967555763910024,1186987.953029474,966.3912258743558,-40.92561585672629,15.245956467896308,126.652247,2026-01-29T15:01:32,314.3333333333333
6,4,12,64,4,4,0.01737614572048187,32,0.000877261564007598,2000,adam,0.00023842469082952186,627.2711740445128,23.562829219183367,594915.0081776016,667.6873966630706,-23.30441311844065,12.413265414323034,574.284952,2026-01-29T15:03:39,350.6666666666667
7,4,47,64,8,3,0.3238313337787986,128,0.00069079389581896,2000,adam,1.7651968486806622e-05,639.1344297483374,24.60979601693519,519675.6926083658,681.2964762543937,-24.174043685151286,4.874074363612967,108.393857,2026-01-29T15:13:13,246.33333333333334
8,4,43,32,8,2,0.37999172396957875,64,0.00030654077760108536,2000,adam,5.184443302558318e-06,432.20205810761473,16.71645326032908,396890.85188441694,573.8664205758432,-17.15132903119221,2.927325639251753,130.419833,2026-01-29T15:15:01,324.3333333333333
9,4,34,32,8,2,0.5719425162300468,128,1.855721830227269e-05,2000,adam,0.00016014197936658396,704.6688514718162,27.332278652297166,757241.3436815902,856.0517623463987,-32.69626401169609,3.9083066638363944,71.286379,2026-01-29T15:17:12,258.3333333333333
10,4,19,128,4,4,0.22934734951704738,128,1.9702964398453232e-05,2000,adam,1.8916153607643325e-06,730.7182706333812,27.35501397319439,785912.8903429148,776.1840893111365,-35.644371965171935,12.12232535084197,334.87209,2026-01-29T15:18:23,735.0
11,4,21,32,4,1,0.19535978604108095,64,0.00010198382195293886,2000,adam,0.0002839271997662848,505.12558252469216,18.72719544671648,428777.60059244814,548.4907538613503,-20.56560834113856,9.484913078067576,236.682137,2026-01-29T15:23:58,935.0
12,4,49,64,2,2,0.07628720384091138,32,0.000513314335209247,2000,adam,0.00010719763499138586,414.27107621606336,15.976466172563505,252729.06421717606,476.7700478566799,-9.85141404359649,4.983621312777361,499.317153,2026-01-29T15:27:55,673.6666666666666
13,4,50,256,4,4,0.22561652194708584,64,7.283669246519317e-05,2000,adam,2.281871648737921e-06,538.0969195336097,21.356539975659974,398369.52601712686,618.5420801641195,-16.652056879096907,2.236353433564128,443.90745,2026-01-29T15:36:14,369.3333333333333
14,4,37,32,8,1,0.2704914573580027,128,8.21243301957486e-05,2000,adam,1.0174746182125125e-05,418.90480489640123,15.627935270739542,424504.95876366535,575.8436663044164,-15.811872813398958,8.169496715416289,39.092932,2026-01-29T15:43:38,259.0
15,4,19,32,8,3,0.05175717081874609,64,1.594914634933741e-05,2000,adam,1.664840925025462e-06,859.9444590269026,32.55049777709262,1165504.235138879,1016.567186832675,-50.31973941616844,5.40787161115937,246.929543,2026-01-29T15:44:17,486.3333333333333
16,4,38,32,8,1,0.26220245561724714,64,0.0001778249046707475,2000,adam,1.1859054238091277e-05,751.6218347766059,30.727045945027598,861397.8605916862,874.1078030914126,-49.76677217572268,13.55663966550933,102.480044,2026-01-29T15:48:24,376.6666666666667
17,4,43,64,2,2,0.16719529665111163,32,0.00023737231819678914,2000,adam,0.00013182618436074855,531.5915950090202,19.32361779648365,461880.6084845804,556.0279529412657,-22.52552714988603,11.768711227684108,342.427353,2026-01-29T15:50:08,421.0
18,4,31,64,8,1,0.19483414626218004,128,8.286822783091004e-05,2000,adam,1.2976196339673394e-05,542.2719290529434,19.976031634678407,511943.4782067991,661.8606233223514,-26.177974774041672,5.535656619554125,141.973952,2026-01-29T15:55:51,808.0
19,4,52,64,2,2,0.1178043314429273,32,0.0007424532847254412,2000,adam,4.202411702537257e-05,476.5169332073201,17.949971198341135,432607.99798259017,577.372826196082,-19.670111336282755,7.226969490440885,261.288611,2026-01-29T15:58:13,354.0
20,4,50,64,2,2,0.00279819727729386,32,0.000661784363517834,2000,adam,0.00018477391748696794,447.4322936478664,16.386415485494357,455791.7362867319,558.6604119943546,-21.984783312390885,9.037584657175781,193.662403,2026-01-29T16:02:36,254.33333333333334
21,4,16,256,4,1,0.046797319382060776,128,0.00011989069222534071,2000,adam,0.00010063095145423543,422.3165095598015,15.901733742814253,250730.59843293272,456.208591324477,-11.893373584649057,5.8294682596402705,74.837668,2026-01-29T16:05:50,415.6666666666667
22,4,15,256,8,1,0.04145140008872997,128,0.00011418360409738414,2000,adam,0.00012132508901179226,420.60915668577917,16.123965887731,287330.8845577783,505.1344098485328,-13.290908155239096,4.234803611102223,86.008304,2026-01-29T16:07:06,482.3333333333333
23,4,46,32,4,2,0.38811190040442556,64,0.00041652330229389925,2000,adam,8.972391023130965e-06,454.1460030463525,16.613102960033828,399307.86918675154,520.7961750449314,-19.22766771721874,9.367933181312152,128.555276,2026-01-29T16:08:33,281.6666666666667
