trial_index,test_size,window_size,d_model,n_head,num_layers,dropout,batch_size,lr,epochs,optimizer,weight_decay,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,4,28,32,2,1,0.5051174283027648,128,1.0806308598319477e-05,2000,adam,0.0008825066576477353,271.01341418210785,18.689500635903187,116580.54408576335,329.7419828877662,-28.771913385651185,5.518103257506857,126.534865,2026-01-29T14:34:08,709.0
1,4,11,256,8,2,0.5479803666472435,64,5.7149425625716235e-05,2000,adam,4.661454204721729e-06,174.54845939887488,12.053962776659434,43068.28852080932,193.2047452981234,-6.891859732291082,5.410343924687699,130.85101,2026-01-29T14:36:15,318.3333333333333
2,4,42,32,2,2,0.30532593112438916,64,0.00043852357236207653,2000,adam,0.0008286969029257368,144.13223217356577,10.040361439874866,46884.89771527003,171.22210288511414,-3.4339057360853626,7.594565015942404,101.151837,2026-01-29T14:38:26,230.0
3,4,43,64,2,4,0.4301815152168274,32,3.885128133821887e-05,2000,adam,0.00018313027534282652,95.19604502941222,6.6054967531925755,15202.16590585129,114.12709275997234,-1.202022095326809,2.4335888540546997,322.301409,2026-01-29T14:40:07,263.3333333333333
4,4,39,128,4,1,0.16515147518366574,128,0.0005354557740282403,2000,adam,0.0001791445612254131,157.83827171934755,10.6683249849757,42044.51728478535,171.6297950330844,-3.4621168749538582,7.987384130650004,60.336342,2026-01-29T14:45:29,253.66666666666666
5,4,41,128,8,4,0.5804926950484514,32,5.830929651183224e-05,2000,adam,0.00012727066085383183,82.09860864438247,5.66136605431,11956.743232685718,99.48081227939947,-0.7658086539298656,2.7617160998167494,414.981034,2026-01-29T14:46:30,315.3333333333333
6,4,51,128,8,4,0.06409934777766466,32,9.280883926533332e-05,2000,adam,9.234667245027908e-06,88.57396079148589,6.036451659562879,9676.738759679882,98.32113011037241,-1.4378747747924947,0.320191379896206,309.100398,2026-01-29T14:53:25,251.33333333333334
7,4,37,32,2,3,0.40719384122639896,64,1.7952240613916734e-05,2000,adam,1.3040066434692984e-06,93.90375998285351,6.575220061910535,23845.181610016956,121.04006685176661,-1.192120906884381,5.248917266118299,223.751204,2026-01-29T14:58:34,426.0
8,4,49,128,2,1,0.00034310817718505857,32,0.0002057192970941524,2000,adam,0.0002589198744145591,148.9931438756826,10.172867202359456,31724.026854733675,173.53885439730516,-5.172854873665181,2.6528904048742588,125.152945,2026-01-29T15:02:17,274.0
9,4,27,256,2,3,0.5645054128021002,64,0.0003713088620634692,2000,adam,1.187294842374283e-05,93.40380535062009,6.477953698378443,15673.236647372696,114.92369800894699,-1.2675136114296512,2.715715167396043,208.936332,2026-01-29T15:04:23,275.6666666666667
10,4,22,32,2,4,0.2152881447225809,64,5.695966004402444e-05,2000,adam,2.676924567754673e-06,141.95257521340386,9.673611692715758,45615.56061884073,168.15075819488163,-3.2110144030612777,7.918072602648276,402.885655,2026-01-29T15:07:52,401.3333333333333
11,4,27,256,8,1,0.5222069034352899,32,0.0009517878325820592,2000,adam,1.708707887844289e-06,137.6604227289986,9.624209699392798,32650.30460353169,170.44509369917537,-4.1980924606281445,3.01448021149695,163.641523,2026-01-29T15:14:35,242.66666666666666
12,4,17,256,8,2,0.31740966271609067,32,0.00012952218953808442,2000,adam,0.0007346841063068849,95.0590087125928,6.5157613209174565,15366.013696723705,112.74446221684207,-1.0855688293578323,4.026504704939975,217.251015,2026-01-29T15:17:18,278.6666666666667
13,4,20,64,4,3,0.5495144119486213,32,0.0006218779068668896,2000,adam,2.0736803840765673e-06,86.02756355021718,6.0543505383718275,15180.654887812421,107.5504481271909,-0.9404417726088378,3.2712471715195295,377.812371,2026-01-29T15:20:55,331.0
14,4,21,32,8,4,0.31222290750592946,64,8.534345881499853e-05,2000,adam,2.422736385059674e-06,128.5910319066853,8.999297003977842,46285.829780092645,156.49748323433582,-2.756946709119248,8.767027533968625,242.208372,2026-01-29T15:27:13,311.0
15,4,44,64,2,2,0.2339351015165448,64,0.0006041343669673876,2000,adam,2.0221679645076446e-05,110.56506580925206,7.690807838822668,23366.90144772729,131.9985252322568,-1.7718713274290911,3.8899940100418484,107.341434,2026-01-29T15:31:16,224.66666666666666
16,4,41,128,4,4,0.44683519786943016,32,8.457026496493012e-05,2000,adam,5.069055743132791e-05,83.59993517566083,5.744142866993413,11017.103168903355,94.34065640600194,-0.4461504110008582,2.9593024443168425,380.515726,2026-01-29T15:33:03,273.0
17,4,46,128,8,4,0.3448264175465478,32,6.608928231533762e-05,2000,adam,4.3378555779804e-05,92.72871711014447,6.3750818922941646,12658.809902586092,106.2524657434147,-1.225694306535995,2.2210753056834016,544.373522,2026-01-29T15:39:24,400.3333333333333
18,4,34,128,4,3,0.5239207591203718,32,0.00025991745715003606,2000,adam,1.3478286608247091e-05,80.7973292396238,5.549526841115681,10674.66863258496,97.737302252777,-0.7022280722020442,2.4589877223449874,362.563132,2026-01-29T15:48:29,270.6666666666667
19,4,36,64,4,4,0.5790913475283054,32,0.00015478241428399042,2000,adam,2.3685266664067843e-05,108.62177075621348,7.4818676471678955,20044.84443647202,135.0381882135988,-2.316352478459329,3.3708859175352486,509.458151,2026-01-29T15:54:32,294.6666666666667
20,4,36,128,4,3,0.46736749779496284,32,0.00011310592425117665,2000,adam,0.00012051194479941123,98.4974748856627,6.807991984154474,16889.5106274437,122.92406824579355,-1.6799584487580326,1.967620033180372,397.892922,2026-01-29T16:03:02,319.6666666666667
21,4,32,128,2,3,0.45502129047686113,32,0.00046388583454293897,2000,adam,4.448384643152905e-06,93.51854127184406,6.4937854663625245,18398.286602290198,113.5040060035049,-0.9393311574844728,4.373882766936495,372.342848,2026-01-29T16:09:41,267.0
22,4,39,256,4,3,0.4682621129701662,32,0.00019712231910041822,2000,adam,1.2976965687336055e-05,66.05749686994152,4.616233101401892,11001.108277456267,86.28050139235386,-0.16930906228116852,3.1009639143190917,344.032258,2026-01-29T16:15:54,260.0
23,4,42,256,4,3,0.44085187198681275,32,0.00017386865094435876,2000,adam,9.706565785550085e-06,96.97048369209601,6.846046049618702,20584.33124532659,125.85328908463656,-1.4729152133023502,3.883633528868255,377.421987,2026-01-29T16:21:38,261.3333333333333
24,4,33,256,4,3,0.49716315916656006,32,0.00028309744152381756,2000,adam,2.670143883442287e-05,94.70977511442906,6.51910853587069,21132.732988728025,117.41146412584463,-1.0470678803119733,5.322274530100405,362.819164,2026-01-29T16:27:57,259.6666666666667
25,4,41,256,4,4,0.5080847131532489,64,0.00011061257223335779,2000,adam,2.1417395091188435e-05,130.34180432992386,8.955445945498653,32276.229609509435,150.6326377955406,-2.6003575102022327,6.087768663850422,382.112883,2026-01-29T16:34:00,293.6666666666667
26,4,36,128,4,3,0.3736125197346833,32,0.00013029982911354448,2000,adam,1.3837071385826151e-05,112.89802677589289,7.664915678997642,19474.344883151123,132.07031338587277,-2.1701664834194685,2.737738694389977,345.574142,2026-01-29T16:40:23,273.6666666666667
27,4,43,256,4,4,0.5653916717645221,32,0.0001294634023746948,2000,adam,4.049232253331291e-05,75.8691142116786,5.232252311556911,10162.524946251908,88.38030352217005,-0.25089148992664084,3.16237033236598,546.499135,2026-01-29T16:46:09,284.6666666666667
28,4,44,256,4,4,0.5776974385771138,32,0.00011891880815874841,2000,adam,4.567433236791415e-05,101.113056725825,6.9620838148977,17399.294527983842,121.80052316550676,-1.4931469963945665,3.2976731810872746,470.986088,2026-01-29T16:55:16,280.0
29,4,39,256,4,3,0.5953517249161897,32,0.000290846958750061,2000,adam,9.51337248585673e-06,92.44526904885993,6.3438645675121945,15340.217475237985,113.20728601774833,-1.3584212458461877,3.381972191972476,297.698394,2026-01-29T17:03:08,236.66666666666666
30,4,39,256,8,4,0.4834552636917872,32,0.0001611582899068553,2000,adam,4.0713320558776505e-05,88.70165633318454,6.189405405522087,14779.919485606553,110.71833911286306,-1.021954155113346,2.902278254042181,519.625563,2026-01-29T17:08:06,329.0
31,4,30,128,4,3,0.5569110406371207,32,0.0008800132088217447,2000,adam,8.425295432335352e-06,94.01044303344663,6.5305801561545564,14200.042365677871,112.9359764476482,-1.2805574115536538,1.7851161344551694,301.502324,2026-01-29T17:16:47,259.3333333333333
32,4,40,256,4,4,0.506633186054628,32,8.065188900313976e-05,2000,adam,4.741023933805809e-05,86.03177965341483,5.953514068153086,12447.22385060603,104.06283620733575,-1.102808372801795,2.2576031966047747,488.338101,2026-01-29T17:21:49,292.3333333333333
33,4,42,256,4,4,0.506298905762238,32,9.378041147116606e-05,2000,adam,5.9303811238140856e-05,103.44231153465255,7.141951529523965,20083.617797831997,119.12603680406983,-1.153992506305698,4.955132945073477,425.065467,2026-01-29T17:29:58,280.6666666666667
34,4,43,128,8,4,0.5365436523811644,32,0.00013496547526512526,2000,adam,2.9661333900527252e-05,98.0735962605351,6.706633339956984,13428.388996770562,112.3697130718338,-1.4108155157627038,2.408003335372513,356.11989,2026-01-29T17:37:04,267.0
35,4,36,256,4,3,0.5592968197644073,32,0.00010787607370593263,2000,adam,3.06526663156667e-05,77.81875003524631,5.366085978403977,10003.992325584126,87.88833889416924,-0.21855833750457263,2.8295711601588174,345.588571,2026-01-29T17:43:02,264.6666666666667
36,4,35,256,4,3,0.5810471848108355,32,7.622442750618332e-05,2000,adam,2.4274818287304735e-05,103.42386423981289,7.232374336954529,19310.03905701198,130.08213372194015,-2.323978806826639,2.850449049661112,347.18926,2026-01-29T17:48:48,252.33333333333334
37,4,39,256,4,3,0.5203360436696461,32,0.00022967660970972848,2000,adam,3.1768966580033696e-05,87.90223595647028,6.134396852024955,15416.829651814629,117.38599132432223,-1.4455037085836047,2.7241284636617555,387.921816,2026-01-29T17:54:36,283.6666666666667
38,4,37,256,4,4,0.5083900816538339,32,0.00018955092529211748,2000,adam,2.2612680726843495e-05,106.16886730658253,7.2515635467443955,18911.605799977275,121.63292693854378,-1.3294464349297503,4.279647690859995,395.903392,2026-01-29T18:01:05,229.33333333333334
39,4,44,128,8,4,0.5094385525391312,32,0.00010091808665722058,2000,adam,7.924071211460882e-05,71.27900822120539,4.938152224032961,9533.509162612667,87.41476715109968,-0.2966494246967183,2.300819908362971,441.098898,2026-01-29T18:07:41,288.6666666666667
40,4,46,128,8,4,0.5063552821948717,32,0.00010152862419390054,2000,adam,0.00013684239820455714,89.5834587779367,6.1180758810621265,12943.29649676483,105.15384747019793,-0.905489637291787,3.2691480118406546,510.975223,2026-01-29T18:15:03,329.6666666666667
41,4,36,128,2,3,0.6,32,0.0002722703937050929,2000,adam,8.230744727525124e-06,143.42635283029327,9.883015058485062,30532.33394698461,173.02207441794621,-6.402249483570976,1.813111621062591,270.127186,2026-01-29T18:23:35,224.33333333333334
42,4,43,256,8,3,0.5063027941560345,32,0.00011349175308061123,2000,adam,5.9380936574787564e-05,103.92970329202076,7.146705510489068,17010.42479183937,116.65118306601197,-1.2157504559939378,3.608978771331908,433.356866,2026-01-29T18:28:06,334.6666666666667
43,4,40,128,8,4,0.4974447967833395,32,7.253085599960789e-05,2000,adam,8.956106314814655e-05,96.23457492647276,6.637233882322278,21210.487492186283,111.66461955295732,-0.8581429073470707,5.598926663114601,311.098527,2026-01-29T18:35:20,235.0
44,4,45,128,4,4,0.5020686202089493,32,0.00012107166557547433,2000,adam,6.281455032300831e-05,80.0162047638192,5.595410024638549,12570.969990976891,102.2903708922186,-0.8770213576780422,2.6179230845081407,370.135798,2026-01-29T18:40:32,254.33333333333334
45,4,48,128,4,4,0.4899812097166651,32,9.685453028938256e-05,2000,adam,0.00010127091653358706,125.59626329599296,8.564629149588958,24390.163088852176,136.79620503264152,-2.0117914346877233,4.746762745145705,353.856727,2026-01-29T18:46:43,232.0
46,4,8,256,8,4,0.0,128,0.001,2000,adam,1e-06,119.09813671367347,8.344004318995696,27306.56246169691,150.6776202695966,-2.7849160470205447,3.5321328032085617,169.26587,2026-01-29T18:52:38,354.3333333333333
47,4,39,128,4,4,0.5224714479573462,32,0.00016509585543636826,2000,adam,3.654888703223323e-05,91.20417194999975,6.276457868106881,13311.716671449502,106.6157830363979,-0.9377100385047661,2.4800591248717354,318.540821,2026-01-29T18:55:28,221.0
48,4,31,128,4,3,0.3841094456597061,32,0.0009863699625543767,2000,adam,4.728025815109483e-06,133.42679210660216,9.247642921425973,23913.95385998541,146.6199491428034,-3.5975059317692044,3.1214743014173862,315.312421,2026-01-29T19:00:48,282.6666666666667
49,4,41,128,4,3,0.5228879362863975,32,0.00013436805639052755,2000,adam,2.5618711093571888e-05,102.21393483052903,7.1110608588943185,16399.45648339168,124.17568838291174,-1.945007276763629,1.5147022834915866,287.288955,2026-01-29T19:06:05,276.0
50,4,48,128,8,4,0.20119506196849501,32,9.274878987853884e-05,2000,adam,2.122547379827477e-05,87.71178681075496,5.999679262021274,11742.502800688528,98.88293652601698,-0.6799832745783725,2.812110129374862,378.832108,2026-01-29T19:10:53,262.6666666666667
51,4,39,128,8,4,0.5195200182902587,32,0.00013730803937372042,2000,adam,5.180999850465557e-05,63.275777863050244,4.356479088210395,7385.128096622068,76.23185248970255,-0.2591482239058228,2.1401187662853807,331.410331,2026-01-29T19:17:13,234.66666666666666
52,4,35,128,8,4,0.5387833957399241,32,0.00017744885865623327,2000,adam,8.196428596680283e-05,100.5146216964459,6.800225222950523,13044.257150941057,110.33938924861393,-1.494476103147364,1.9488797251142014,311.526911,2026-01-29T19:22:45,217.0
53,4,39,128,8,4,0.49235959957558695,32,0.0001114217712146769,2000,adam,3.4440816015268034e-05,71.56730910464846,4.93226658918704,10121.42972816353,86.71871977710033,-0.236588379526673,3.2295047284015475,451.755848,2026-01-29T19:27:58,349.0
54,4,39,128,8,4,0.47684376971742026,32,0.0001224674528276083,2000,adam,3.0382585672863155e-05,70.93344293712335,4.9320728158843,9268.431397114064,90.88167432480482,-0.6800039969897038,1.7087348408581855,380.782048,2026-01-29T19:35:30,286.6666666666667
55,4,38,128,8,4,0.47409302374786016,32,9.574624508388986e-05,2000,adam,2.93804264503177e-05,110.68974765585688,7.576143082490845,16750.134561043327,121.54931594266861,-1.6254075122453557,3.038870721396724,324.226615,2026-01-29T19:41:52,259.0
