trial_index,test_size,window_size,d_model,n_head,num_layers,dropout,batch_size,lr,epochs,optimizer,weight_decay,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,4,44,128,8,1,0.4327517867088318,32,7.11255972291811e-05,2000,adam,0.0005332037394922758,116.87525063831703,9.99289567719658,19534.26966001795,135.47364130685847,-2.478564217308167,2.4439147091280846,345.884623,2026-01-29T14:34:08,756.3333333333334
1,4,42,64,4,3,0.25309750400483605,32,0.00039814708024080376,2000,adam,2.899742264782561e-05,88.97322391670838,7.5502365156973825,11509.9431359523,101.90258126668692,-0.4782498676734381,2.5866879578995476,267.315941,2026-01-29T14:39:54,250.66666666666666
2,4,46,256,4,2,0.357287048175931,64,0.0004260517960574152,2000,adam,3.7761381711721732e-06,92.18501659207283,7.647736256185882,14044.375393935572,109.24215476792358,-1.0259711953454271,2.929803694327627,249.011415,2026-01-29T14:44:22,321.6666666666667
3,4,29,128,4,4,0.08216970451176166,128,4.823956966705613e-05,2000,adam,0.00013737077112067618,128.95829887850053,11.059641412548677,20859.36817203985,143.12746029483452,-2.2886748966101673,1.9698062810399275,209.251657,2026-01-29T14:48:31,405.3333333333333
4,4,16,256,4,1,0.4353639157488942,32,0.0009303879283880032,2000,adam,1.5009614641291667e-06,100.4864361808982,8.731997229589034,16805.296510946795,124.5314692955602,-1.8033701017529582,2.440059335239495,230.63913,2026-01-29T14:52:00,480.3333333333333
5,4,13,128,8,3,0.49505552742630243,32,0.0008536488813813549,2000,adam,9.70358426877213e-06,97.6826769962954,8.286834232757329,12771.719647217556,110.92923858331626,-0.7109989665724007,2.42059944074593,279.16624,2026-01-29T14:55:50,298.3333333333333
6,4,31,32,4,2,0.5298938194289803,64,8.096117072421692e-05,2000,adam,0.00013747222552831193,163.4675114259707,13.960481832558484,39117.28653274946,182.15383321564278,-6.260441228093605,6.6803065799980965,292.820332,2026-01-29T15:00:30,756.3333333333334
7,4,51,64,2,3,0.04783545825630426,128,1.2306012030386152e-05,2000,adam,8.210804854277259e-05,108.8068529299003,9.229153163946357,16461.45594699885,121.35739756998085,-1.956819908147428,2.943035024195304,309.76328,2026-01-29T15:05:23,713.3333333333334
8,4,40,32,8,3,0.08665834497660398,128,1.0041623600945253e-05,2000,adam,1.0616595568334997e-05,88.13927238480314,7.799042689926764,13042.544076339196,113.07032315029274,-1.1201193738288744,1.3830691132224757,642.120216,2026-01-29T15:10:32,1648.3333333333333
9,4,21,64,2,4,0.5421845264732837,32,6.797395809939462e-05,2000,adam,1.599715889131139e-05,81.5625284703117,6.711054545112216,10693.331939848233,96.28305817041617,-0.27320919390089027,2.6870690957277543,469.547416,2026-01-29T15:21:14,341.0
