trial_index,test_size,window_size,d_model,n_head,num_layers,dropout,batch_size,lr,epochs,optimizer,weight_decay,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,4,43,128,8,1,0.43975861072540284,32,6.968454832101991e-05,2000,adam,0.0008526843234518528,270.1825261544085,15.763035173442598,158275.06049647855,352.73047104240544,-5.303302327240101,6.801611795561662,250.162923,2026-01-29T14:34:08,514.0
1,4,37,32,8,3,0.4675652196630835,128,2.8250670668086085e-05,2000,adam,0.0002185042340873281,228.1991587868482,13.169291434591772,76928.75483341358,271.1261280815858,-2.0910066039584283,1.1297461448137103,185.673276,2026-01-29T14:38:19,485.0
2,4,34,128,8,1,0.3160215329378843,64,0.00012118028105511687,2000,adam,7.948487339584814e-06,259.28116425835213,15.208116276236666,105606.24820794088,308.99100710278066,-4.504346682555866,5.221309980656483,88.528456,2026-01-29T14:41:24,283.0
3,4,45,32,4,1,0.06003617774695158,128,2.349439310153309e-05,2000,adam,0.000653962285725805,293.9959555013067,17.036238536216988,120912.66744113876,328.51505141724215,-2.164617836319644,3.717464860531149,122.710011,2026-01-29T14:42:53,705.0
4,4,19,128,4,3,0.4465102728456259,64,1.4846295364964591e-05,2000,adam,1.709235945774039e-05,264.6314799642032,15.208775861514999,119937.60868752631,341.91035013910687,-6.149033020633524,2.5739911299237166,245.064355,2026-01-29T14:44:56,370.6666666666667
5,4,49,128,2,3,0.5576977388933301,32,7.565007754826247e-05,2000,adam,1.2604056305114086e-06,275.8819086929038,15.4691714169483,146940.51573288513,375.38605246497815,-7.778055413381992,5.694540122322428,322.508062,2026-01-29T14:49:01,300.3333333333333
6,4,23,32,4,4,0.5792320054024458,64,5.053824671240518e-05,2000,adam,4.473400099411229e-06,264.1335545219902,15.205603968102688,107127.35850492136,321.89947049335007,-2.9942659575263892,0.855119743673753,319.747664,2026-01-29T14:54:23,445.6666666666667
7,4,43,128,4,4,0.5811724847182631,64,2.2099001365713257e-05,2000,adam,1.0023545875836328e-06,272.3093643081441,15.481985134528692,136508.94693739395,348.0169207837641,-6.404892187180177,5.837345801290593,332.70466,2026-01-29T14:59:43,465.6666666666667
8,4,21,256,2,4,0.5098887126892805,64,4.314149812401322e-05,2000,adam,9.772783072632312e-06,226.79320789165993,12.583472072173599,114448.36262720112,313.39627246468916,-3.060021007417486,2.4393257474357384,254.347404,2026-01-29T15:05:16,286.6666666666667
9,4,43,256,2,4,0.5746443137526512,64,0.00041785760220915775,2000,adam,0.0006020132666728173,309.7573700824151,17.89957751126157,150258.55397655236,375.48791958607177,-8.674437637436125,5.976563801350599,536.297179,2026-01-29T15:09:30,407.6666666666667
10,4,16,32,8,1,0.486044368520379,128,0.0003278438701266493,2000,adam,0.00030529369988979325,280.59211638997857,17.32134855838664,102910.15047038773,310.14996688009313,-7.141349715377445,6.675741651563013,41.279271,2026-01-29T15:18:26,249.66666666666666
11,4,52,32,4,3,0.19615570418536663,32,1.6127661944035362e-05,2000,adam,0.00023263997362430277,363.3530026372584,21.114957773972282,273389.4407646788,491.8444607690997,-17.55569272462218,8.379031047926267,324.684556,2026-01-29T15:19:08,330.3333333333333
12,4,51,256,4,3,0.04771570544689894,32,0.00020719383616370159,2000,adam,0.0003430941813505041,317.51409412212865,18.19831129016262,174605.55408191608,410.127781918246,-9.84507612913171,5.159523869584179,362.14688,2026-01-29T15:24:32,312.0
