trial_index,test_size,window_size,d_model,n_head,num_layers,dropout,batch_size,lr,epochs,optimizer,weight_decay,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,4,32,64,8,2,0.3172928810119629,128,0.000985370720103682,2000,adam,0.00014162357851461646,102.98607610974075,7.978938585096981,14895.519658415971,121.37263116349361,-10.160522994727591,0.6162989843900339,99.599403,2026-01-29T14:34:08,333.0
1,4,11,128,8,3,0.3168107528239488,32,2.1745912291079688e-05,2000,adam,0.00013002506991193977,93.87600638614633,7.34579303161307,15014.597656028034,120.66803939710259,-10.488166373962923,1.1166781289888883,404.340648,2026-01-29T14:35:48,337.6666666666667
2,4,9,256,4,3,0.2697293987497687,128,5.85978621213108e-05,2000,adam,9.468497487921538e-06,147.0416200896723,11.192189565351363,28699.882532518794,160.7463410417083,-31.334869450043204,4.07830519365926,137.662697,2026-01-29T14:42:32,355.6666666666667
3,4,49,128,2,2,0.26291697956621646,64,0.0003934837726349083,2000,adam,0.00039620637831109455,131.06700725570434,9.972912680439105,25780.193460349492,149.06663210848316,-17.77673710650775,3.6368576800731214,214.726871,2026-01-29T14:44:50,354.6666666666667
4,4,34,128,8,2,0.412460720166564,32,6.966389916610598e-05,2000,adam,0.0003629277280616929,128.45332524904688,9.905719319870876,21372.093036663344,142.29048368392898,-16.19429842696552,1.8676620505858936,452.85914,2026-01-29T14:48:25,565.0
5,4,22,64,8,3,0.19381022192537783,32,0.00010748252882689799,2000,adam,0.00015561254165003482,130.61736618980248,9.971287618370381,23492.896717816755,151.16591209573616,-21.930428023180202,1.698921545165047,298.145848,2026-01-29T14:55:58,302.3333333333333
6,4,48,128,2,3,0.08309916760772466,128,5.387858190888459e-05,2000,adam,8.95066948863773e-06,214.69351082407402,16.210618092281134,57983.499634442305,239.51064556177084,-58.47518496043174,2.85213625446378,123.742646,2026-01-29T15:00:56,280.6666666666667
7,4,52,256,4,2,0.07222472112625837,64,0.00012998740848394895,2000,adam,6.554594400832568e-05,144.8902982934541,11.183039855013048,28335.734663481056,167.68020976950845,-29.345411728514293,1.398698618911646,163.125605,2026-01-29T15:03:00,269.3333333333333
8,4,15,256,2,2,0.08465531598776578,64,1.4984103336433714e-05,2000,adam,1.4273041249243736e-06,131.15492022672194,10.09601258527344,19903.74938545329,140.83775823639033,-18.984879222349196,0.6643769921749992,262.067611,2026-01-29T15:05:43,627.0
9,4,44,256,2,3,0.45106546226888894,32,2.6894344455040456e-05,2000,adam,5.280848397554834e-05,121.72104607350411,9.509384120942231,23047.024018490414,151.74659346280225,-20.13525597343035,0.6546179462481235,786.201812,2026-01-29T15:10:05,678.6666666666666
