trial_index,test_size,window_size,d_model,n_head,num_layers,dropout,batch_size,lr,epochs,optimizer,weight_decay,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,4,47,128,8,2,0.28070148825645447,32,2.4820111755729172e-05,2000,adam,0.00023921618355456287,161.91940451465527,10.34404693396719,40991.28121733715,192.2371021457179,-0.44243979969405345,1.7849965469736013,280.027527,2026-01-29T14:34:08,372.3333333333333
1,4,12,128,4,1,0.5430962339043617,64,2.054752848901982e-05,2000,adam,0.00015541856449857123,378.5094321041411,25.33044327871337,172410.42791834366,407.50998440592184,-7.887864505642555,5.6533776594021,293.436877,2026-01-29T14:38:48,1070.3333333333333
2,4,24,32,4,1,0.1977930910885334,64,0.00024276956187414253,2000,adam,1.558217235032127e-06,289.0475065862964,18.8973114648276,115204.9502660869,328.2059364369124,-6.799919302720287,4.2519486290400055,80.346311,2026-01-29T14:43:42,275.3333333333333
3,4,46,256,2,3,0.48747573215514417,64,0.00017889647212343543,2000,adam,6.841685362288981e-06,177.03105334453835,11.04057155668159,56137.011755565305,227.83792086043,-1.0662890866668375,2.610258683368637,403.428809,2026-01-29T14:45:02,479.3333333333333
4,4,13,64,8,2,0.11018369570374488,32,0.0005163485608613347,2000,adam,0.00023278454741266572,191.66509642086694,12.76130367347284,61694.68642871926,244.262092977267,-1.7959501354469107,2.080361433286403,231.513219,2026-01-29T14:51:46,280.6666666666667
5,4,17,32,4,3,0.25220014080405234,32,2.8301528567394547e-05,2000,adam,6.078870600436291e-06,171.89732172081654,10.945530586923553,41434.308982212264,198.88782201976633,-0.703894044760418,1.8519544582804819,835.123867,2026-01-29T14:55:37,720.3333333333334
6,4,52,128,2,3,0.03448820617049932,128,0.0008602915412820407,2000,adam,0.00045488429743624297,120.98145503113682,7.134303015227899,39245.61834312369,178.89724210855778,-0.16496111000653446,3.3622056165328957,180.075509,2026-01-29T15:09:32,284.0
7,4,34,32,8,4,0.595519945397973,128,1.7452192110472436e-05,2000,adam,2.8893024340163534e-06,277.6944293442214,17.80800624256007,133041.07970441703,354.2268810751309,-4.36812939047158,2.437672350449932,278.452071,2026-01-29T15:12:32,424.6666666666667
8,4,25,64,4,1,0.012963459827005863,128,0.0003274847015399525,2000,adam,4.636339135957254e-06,201.68139371760617,13.289126141103486,63606.207585297896,230.53077891903,-0.9031871344177104,6.020292121433542,53.633833,2026-01-29T15:17:11,255.33333333333334
9,4,10,64,4,1,0.19390924908220766,128,0.00017606944303435646,2000,adam,0.0006364176218993503,208.97553850243116,13.93801345901286,70404.23624800019,243.50373248680543,-2.03121790687976,7.408006393855192,69.671489,2026-01-29T15:18:05,411.3333333333333
10,4,9,32,4,3,0.4123539078980684,64,1.3964271357513491e-05,2000,adam,3.8466054901132415e-05,505.9948895890743,34.05897261314447,419314.147719468,582.5112258463638,-35.99222820696481,15.738154116712678,278.899112,2026-01-29T15:19:14,432.3333333333333
11,4,52,64,2,1,0.29012678749859333,64,0.00044601409449500124,2000,adam,0.0007712977222400859,262.8500630233377,17.58273916462875,90205.91526921834,296.1310134774381,-4.6743301006604465,4.873732364833788,117.578694,2026-01-29T15:23:53,404.3333333333333
12,4,23,128,8,3,0.24835847932845354,32,0.0005698603966680502,2000,adam,0.00039029564592444737,145.77060395234471,9.139647591795518,35968.90267314463,177.27979403605534,-0.14223935053747971,2.9386074376034244,328.723652,2026-01-29T15:25:51,314.6666666666667
13,4,35,128,2,1,0.5575008256360888,128,1.1506105017210976e-05,2000,adam,0.0001494781370856136,297.7581789610083,19.299534780644585,149191.81531908526,369.1129116629899,-5.575651685820606,6.117844811317625,168.067164,2026-01-29T15:31:20,775.6666666666666
14,4,23,64,4,2,0.3226674037054181,32,1.7120617246567916e-05,2000,adam,4.57508777315793e-06,174.9702915888322,11.410441138647663,46613.38323817809,209.86808591119495,-0.9494405071060261,3.0464909693755975,849.831057,2026-01-29T15:34:08,919.6666666666666
15,4,49,256,2,3,0.062889682687819,64,0.0003259166413131885,2000,adam,8.290078948831752e-05,125.94942336370686,7.943523072785489,31620.827161040845,174.12028290726496,-0.3244754266721019,0.7774872561725151,305.540665,2026-01-29T15:48:17,303.0
16,4,50,256,2,3,0.030668227551154344,128,0.0005728083021516366,2000,adam,0.0001596647914389403,115.82408127063037,6.9686647061241365,30194.311719985533,158.34722248473346,0.07473121430744949,2.76287243251782,208.891401,2026-01-29T15:53:24,228.33333333333334
17,4,49,128,2,3,0.018995799062125663,128,0.0006243716682148154,2000,adam,0.00019153817125977735,130.2591483629851,8.029599402987401,41222.93464774615,173.3404623920915,0.019481581906307815,3.552572356532056,224.124136,2026-01-29T15:56:53,364.0
18,4,33,128,8,3,0.22373304458356305,32,0.00012390922882581288,2000,adam,6.616209330417552e-05,159.84309558086645,9.79337712013116,47763.14398838093,211.87983204686347,-0.8654168447950861,1.0239482088522096,428.942552,2026-01-29T16:00:38,370.0
19,4,52,256,2,3,0.042008533847232916,128,0.0007395286631967014,2000,adam,0.0002878059753942044,118.54625745286329,7.191514509892277,30528.942171740873,164.84571899537664,-0.012344124966108668,1.6052522468076147,387.301428,2026-01-29T16:07:48,417.0
20,4,29,64,4,3,0.26216549015067764,32,8.351553296716658e-05,2000,adam,4.586704800205452e-05,142.18161399367753,8.681259581172169,48170.390122438235,195.88416923739132,-0.29295457590671964,3.6966632702079236,414.144688,2026-01-29T16:14:16,313.6666666666667
21,4,44,256,4,4,0.16833820414173728,32,0.00026594478382027404,2000,adam,4.7258930369085884e-05,164.65230565518382,10.51750604059479,42777.901771157995,205.1120558499855,-1.1840972753190586,1.6080944015334533,1025.96937,2026-01-29T16:21:11,567.6666666666666
22,4,28,128,4,3,0.2915466256865533,32,0.0001254689837816497,2000,adam,8.482862525851827e-05,141.00709966171456,8.804950946769253,38512.3086719032,179.86141524497987,-0.13364701266310197,2.12426359432937,423.392452,2026-01-29T16:38:18,332.6666666666667
23,4,52,256,2,3,0.026914685350677856,128,0.0005292914692452206,2000,adam,0.00014016975352255245,134.10814916740918,8.332121556632051,36609.798903239745,173.31712984026032,-0.03568532513245352,3.210655320761512,218.387225,2026-01-29T16:45:22,222.0
24,4,43,256,2,3,0.0437703580011319,128,0.0009923149505564979,2000,adam,0.00044840364530071726,144.6523354478919,8.984099293278158,41723.4506166845,197.2322765375105,-0.582286910952721,2.737083793045894,316.96824,2026-01-29T16:49:02,351.0
25,4,33,128,4,3,0.23422617724249753,32,4.218142624938924e-05,2000,adam,3.70074616859928e-05,166.00202024475703,10.43821251509913,51208.56825492659,211.28471133520415,-0.6922718889832072,3.515151319817647,1013.017003,2026-01-29T16:54:20,838.3333333333334
26,4,30,64,4,3,0.30851288556150175,32,0.0002480300879106668,2000,adam,0.00012007206603462032,159.28810869539444,9.739295092492286,54119.029118744016,214.73675587002222,-0.7331116480537556,3.236511268077394,522.087875,2026-01-29T17:11:13,434.3333333333333
27,4,52,256,2,3,0.054949734253912065,128,0.000682755023651287,2000,adam,0.00027793063254422687,137.28490397872548,8.378454777020933,38181.641552833666,186.57479906798676,-0.3542537660279572,1.1279250197852981,280.432801,2026-01-29T17:19:56,308.3333333333333
28,4,52,256,2,3,0.0,128,0.0008228356014249741,2000,adam,0.0002294988121634984,122.2981674706002,7.316000180408534,38525.40684674954,179.15672667773924,-0.1173618747082289,1.4482333919336134,215.46131,2026-01-29T17:24:37,265.6666666666667
29,4,22,64,4,3,0.29152907375056425,32,0.0001179791090964152,2000,adam,6.125256573918437e-05,148.5747961675963,9.162011889320707,41085.987314787,192.5831355589438,-0.4626132456102625,1.6562385087362963,367.279888,2026-01-29T17:28:13,305.6666666666667
30,4,25,64,4,3,0.3106029730322016,32,9.861432470015382e-05,2000,adam,9.18920872260053e-05,186.24472918977827,12.338510582967624,60862.26928005841,221.48193505703173,-0.8085760114849453,6.8789225794260975,272.155882,2026-01-29T17:34:21,213.66666666666666
31,4,26,128,4,3,0.21713525196488198,32,0.0003557293766869741,2000,adam,3.186139973517466e-05,164.47467665478808,10.687637436603568,40193.24399169535,195.08137970496637,-0.6244370919288033,1.9823937570591617,423.971021,2026-01-29T17:38:54,373.0
32,4,52,256,2,3,0.01328737871073011,64,0.0006624238509545923,2000,adam,0.0003286362487521268,175.68070441829977,10.895016525089583,53574.10902762725,230.5555036545826,-2.013998502024927,1.7247511123167183,460.155865,2026-01-29T17:45:59,472.6666666666667
33,4,52,128,2,4,0.06834208060835341,128,0.0006791333607273029,2000,adam,9.63297790569402e-05,128.22118995398645,7.61719745366436,46813.94294418586,190.96072177541097,-0.23914865745916672,3.1377806567762976,271.769914,2026-01-29T17:53:40,355.6666666666667
34,4,51,256,2,4,0.06533352596631463,128,0.0004984990606061614,2000,adam,6.86805944936471e-05,158.177983496387,9.77980090577267,50058.971318664284,199.38480469843844,-0.38096418496855966,4.529753401347097,315.482496,2026-01-29T17:58:12,283.3333333333333
35,4,52,128,2,3,0.0464843080937298,128,0.001,2000,adam,0.00010748237757375843,129.48943688623575,7.822495561522966,37331.27044091104,180.45624052714257,-0.21577046258417065,2.3398568188370596,192.950874,2026-01-29T18:03:29,311.0
36,4,52,128,4,3,0.02815284277587989,128,0.0007303924924060763,2000,adam,0.00020298385063948044,156.13042515506132,9.716438689019322,40962.271339280014,192.33831444270345,-0.4230369512669951,2.207822404898163,188.877636,2026-01-29T18:06:42,309.3333333333333
37,4,52,128,2,4,0.02290672998723866,128,0.0007732346130712615,2000,adam,0.00022084802382667956,141.532204438522,8.710691464579398,37066.504708519984,182.57233887046414,-0.4099810718392953,3.04068041259507,393.462287,2026-01-29T18:09:52,526.6666666666666
