trial_index,test_size,p,d,q,P,D,Q,m,mae,mape,mse,rmse,r2,sd,runtime_s,started_at
0,24,0,1,3,2,0,2,52,484.7615208767035,32.028102775491995,389895.4717392171,594.4844849563291,-23.713827687834954,18.927507098605886,102.758658,2026-01-10T11:13:29
1,24,1,2,2,2,0,1,52,878.6391917843383,55.2450225229258,1066065.0805342565,1027.9327312733546,-34.202383012323104,23.922251275240736,118.023973,2026-01-10T11:15:12
2,24,4,0,1,2,1,1,52,478.9708658095238,30.043747875611626,441961.03513069573,620.724966507079,-4.20712027758115,19.608738692763698,213.06214,2026-01-10T11:17:10
3,24,3,1,1,1,0,1,52,272.416463165861,13.85695361742851,148462.01161767947,341.94250989724986,-1.2685916308699954,1.2961731961521787,4.348208,2026-01-10T11:20:43
4,24,4,2,2,1,1,1,52,1630.2325214286786,118.38369060097546,5957581.325746282,1882.867627855166,-63.434344062957784,114.55332234229722,149.807582,2026-01-10T11:20:47
5,24,3,0,4,2,0,2,52,2.134770402217037e+25,1.754718112950331e+24,2.9473766176898585e+51,3.1344199982824355e+25,-3.229239157145335e+47,2.4815461534760825e+24,138.940398,2026-01-10T11:23:17
6,24,4,2,1,1,0,2,52,649.9860344341449,39.23032917747954,674535.4878389253,768.3599877890186,-7.8815592302469595,23.85876623403039,166.667047,2026-01-10T11:25:36
7,24,1,2,2,1,1,0,52,1042.9568317324145,72.3429883643881,1884406.2086790595,1225.429233706688,-35.38333501704798,50.236503479251965,35.628909,2026-01-10T11:28:23
8,24,3,1,4,1,0,0,52,336.9310412222983,19.811641815801824,204830.45732992154,423.3861367479803,-1.7301518713654038,7.212147957575938,7.525857,2026-01-10T11:28:59
9,24,2,0,0,1,1,0,52,846.5736295539328,58.83627089417047,1279438.5519420423,1068.9669945475828,-21.37979560318264,37.1798585576017,23.559181,2026-01-10T11:29:06
10,24,0,0,1,2,0,1,52,1766.172543918694,86.31811024622736,4506683.547800593,1883.3197595093036,-33.58889341065636,40.17595880035339,60.069328,2026-01-10T11:29:30
11,24,4,2,0,0,1,2,52,2031.9974471570179,133.64606907107182,8951233.218986979,2361.618948366373,-66.2035704597058,138.87965548418367,94.940558,2026-01-10T11:30:30
12,24,3,1,2,1,0,0,52,344.34446580054504,20.561067013493673,227434.88483665267,443.4465425904961,-1.7437758775033625,8.442561987820643,3.573248,2026-01-10T11:32:05
13,24,3,1,2,1,0,1,52,335.58908658673505,19.822845565600375,219679.50825227392,434.2948564117705,-1.7235175247951793,7.128072749780986,6.263209,2026-01-10T11:32:10
14,24,2,1,1,1,0,1,52,454.4263603133118,29.102656107916847,406555.8070100339,565.4759786440032,-2.325118882570819,23.465011888536548,5.6527,2026-01-10T11:32:17
15,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.616993,2026-01-10T11:32:23
16,24,0,2,4,2,1,0,52,868.6968118894696,58.36226281516875,1105254.1547671228,1019.1014667190206,-35.85989238491688,31.17064247427761,112.451017,2026-01-10T11:32:30
17,24,4,0,0,2,1,1,52,506.0221598928603,32.43645958304978,499809.88784213224,650.88485951619,-4.386046016051809,23.377013934609405,198.863814,2026-01-10T11:34:23
18,24,0,0,0,0,0,0,52,1080.3202697264112,54.628419432887505,1564795.547246177,1138.166590452777,-28.41539611669638,8.574020598192645,0.028,2026-01-10T11:37:43
19,24,4,2,4,0,1,0,52,1330.0946862250582,99.51391516960204,3994427.9841411537,1638.0865991679266,-56.16369240245215,85.97918683314968,11.805234,2026-01-10T11:37:44
20,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.670368,2026-01-10T11:37:57
21,24,4,1,0,1,0,1,52,337.56305579364533,19.913326019288796,206386.7443603281,422.71575595607777,-1.4184770202019434,8.704986574497896,4.032918,2026-01-10T11:38:03
22,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.732963,2026-01-10T11:38:08
23,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.74055,2026-01-10T11:38:15
24,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.701162,2026-01-10T11:38:21
25,24,4,0,1,2,1,2,52,477.53549074690574,30.209650079601968,388613.82910261693,593.3758744935732,-4.669966411961179,15.41720854481033,212.20153,2026-01-10T11:38:28
26,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.658397,2026-01-10T11:42:01
27,24,0,0,4,2,0,0,52,1062.7243727587056,61.46911456415615,1800857.593705021,1172.0538038652185,-13.361695525196666,49.597017237641914,45.246875,2026-01-10T11:42:07
28,24,0,2,4,0,1,0,52,1362.1034561931904,102.47864947076721,3525368.114418469,1659.3323871510793,-94.3019858834502,70.36038996567058,3.062631,2026-01-10T11:42:53
29,24,4,0,0,2,0,0,52,386.35953739078695,23.865338456963524,249956.8062760528,470.75124502815396,-2.1911436709750656,12.762477796279805,41.175679,2026-01-10T11:42:57
30,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.695367,2026-01-10T11:43:39
31,24,4,1,1,2,0,0,52,291.23161391348214,15.485377339332308,159571.46011044827,363.06839389173,-3.748318873472499,7.274005215415843,47.813584,2026-01-10T11:43:46
32,24,4,1,1,2,0,1,52,291.6663469433284,15.581583990640338,160113.18288283545,364.747760985678,-3.8125319569343907,7.305878249168787,92.970153,2026-01-10T11:44:34
33,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.740819,2026-01-10T11:46:08
34,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.721079,2026-01-10T11:46:15
35,24,0,2,4,0,1,2,52,890.9729576560954,62.72500634946554,1291038.693918242,1046.5975930607033,-33.011164480827816,39.19316434324238,147.582494,2026-01-10T11:46:21
36,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.704882,2026-01-10T11:48:49
37,24,0,0,4,0,0,2,52,2087.372247256783,155.92614241677046,34670485.6418645,4108.4928607487545,-3709.1336037679207,147.57319344358964,99.210074,2026-01-10T11:48:56
38,24,4,0,4,0,0,2,52,100314228189447.94,8188367963044.784,4.237237007461965e+28,118844955123427.11,-4.642451046288823e+24,11580101027006.773,167.354422,2026-01-10T11:50:36
39,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.65681,2026-01-10T11:53:25
40,24,4,1,1,2,0,0,52,291.23161391348214,15.485377339332308,159571.46011044827,363.06839389173,-3.748318873472499,7.274005215415843,47.820236,2026-01-10T11:53:31
41,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.596287,2026-01-10T11:54:20
42,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.661122,2026-01-10T11:54:27
43,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.577831,2026-01-10T11:54:33
44,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.637492,2026-01-10T11:54:40
45,24,0,2,4,2,1,2,52,809.3553563553156,53.74698299203808,967802.1685261802,955.3117215180174,-28.948429697441465,28.65461988891481,194.281445,2026-01-10T11:54:47
46,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.689128,2026-01-10T11:58:02
47,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.627499,2026-01-10T11:58:08
