trial_index,test_size,p,d,q,P,D,Q,m,mae,mape,mse,rmse,r2,sd,runtime_s,started_at
0,8,4,0,4,1,1,2,52,4.9747837105766676e+23,3.282808294422722e+22,1.4506394526122513e+48,6.961526619906264e+23,-2.548602522302308e+44,4.633979668883547e+22,226.68184,2026-01-09T23:26:44
1,8,0,0,1,1,0,1,52,86.5868771894277,5.961490243580426,12603.550509484441,105.27304568777647,0.13107639221469855,2.4671363195112748,1.955337,2026-01-09T23:30:31
2,8,0,2,0,0,0,2,52,51725.05253389957,3438.169073609844,10428846563.362185,59439.90926403774,-1832193.9934615998,4797.324376765394,94.027637,2026-01-09T23:30:33
3,8,4,0,4,1,0,2,52,2.987876730515096e+33,2.087384101131249e+32,3.0206526603750964e+67,3.281448845748901e+33,-3.290292176112956e+63,2.8037324220112444e+32,169.69791,2026-01-09T23:32:07
4,8,2,2,4,2,0,1,52,108.52776566677396,7.252031533086675,18270.20676860599,127.6512212096909,-0.2699687466298765,2.158312443096872,175.997078,2026-01-09T23:34:57
5,8,2,2,3,0,1,1,52,125.55241693133428,8.264795798816417,29156.835356351163,154.61322207527454,-0.7597692497956067,3.563132217306716,89.292536,2026-01-09T23:37:53
6,8,2,1,0,0,1,0,52,166.353608963466,11.10347003238663,47607.61655567152,197.3561567135683,-1.9606914508928053,5.472104580102541,0.633845,2026-01-09T23:39:22
7,8,4,2,4,0,0,2,52,8.596923404567058e+16,5948630609960841.0,2.3019450804233843e+34,8.792766994569976e+16,-8.053923516436748e+29,8364848507195193.0,79.671935,2026-01-09T23:39:23
8,8,1,2,0,0,0,2,52,1347.8922159148458,96.00745414247825,6121698.570285083,1907.078686062733,-256.84118922870186,67.94268044884933,75.866383,2026-01-09T23:40:42
9,8,2,1,4,1,0,1,52,103.41806254796619,6.972826681735332,16369.467110750158,122.1175574159509,-0.19233263236637863,2.006597879515696,5.859048,2026-01-09T23:41:58
10,8,4,0,0,0,0,2,52,440.930219299429,30.483640498992912,475882.1114213245,504.1857900544126,-49.3148719434063,29.45859939226346,143.575059,2026-01-09T23:42:04
11,8,0,2,1,1,1,1,52,206.7725849745996,13.808858878891819,62865.567876570196,235.29650322868096,-6.535191684007995,5.910142446036874,36.333312,2026-01-09T23:44:28
12,8,1,2,3,1,0,1,52,108.52323548492124,7.220543329013526,18210.26943129824,128.01456135931025,-0.2989292016274577,2.011343240479313,5.93855,2026-01-09T23:45:05
13,8,1,1,1,1,1,1,52,125.88829201660872,8.51767934850726,26462.374172257914,149.63348325345524,-0.6644468886233885,3.586944649510485,45.685454,2026-01-09T23:45:11
14,8,2,2,0,0,0,1,52,335.5956791640349,23.294956791610556,161203.5677307918,389.2954994091006,-20.13917139926268,5.345344212778088,2.22789,2026-01-09T23:45:57
15,8,1,1,2,0,0,1,52,102.700011400802,6.922674413347184,15936.243634327613,120.40012399209911,-0.1561899734200308,1.9118544916346432,3.190522,2026-01-09T23:46:00
16,8,2,1,0,0,0,2,52,530.1698886382472,35.65716788285869,1102355.0623920164,711.7936135951549,-117.7377650726047,36.30283473180606,117.958335,2026-01-09T23:46:04
17,8,2,1,2,1,0,1,52,103.22273571696799,6.949515244300734,16109.92813086849,120.9518590070062,-0.16464757708814606,1.9419086402914145,3.917119,2026-01-09T23:48:02
18,8,1,1,2,1,1,1,52,125.8826350136416,8.503709030700506,26454.464214144755,149.81294154828677,-0.6722740829179652,3.5709360932302276,57.784637,2026-01-09T23:48:07
19,8,1,2,2,1,0,1,52,109.10255913670638,7.266005602380763,18247.445253574482,127.9682834227791,-0.29141666112214165,2.0555582261308762,5.171771,2026-01-09T23:49:05
20,8,1,1,2,1,1,1,52,125.8826350136416,8.503709030700506,26454.464214144755,149.81294154828677,-0.6722740829179652,3.5709360932302276,57.75222,2026-01-09T23:49:11
21,8,1,1,3,1,0,1,52,103.2468147916051,6.951136957198677,16119.042395391289,120.97776667830595,-0.16493764354638044,1.9430414876299054,5.888104,2026-01-09T23:50:09
22,8,2,2,3,1,0,1,52,108.47165848518826,7.217770184827508,18267.081280687336,128.148538171639,-0.29867790530861216,2.03985919497581,7.086742,2026-01-09T23:50:16
23,8,2,1,3,1,0,1,52,104.55883527312704,7.053507559756116,16380.067603187903,122.00518078668006,-0.18561066716685262,1.9650028080896884,8.011619,2026-01-09T23:50:24
24,8,0,0,0,2,0,2,52,1476923912.3948402,101282551.37338167,6.689697036674081e+18,1493859629.5148964,-729282832647901.2,143153099.60613692,103.390437,2026-01-09T23:50:33
25,8,1,1,2,0,1,1,52,118.89889824190591,7.968485874039277,23892.268180313917,142.10996075214354,-0.5027552591959493,3.1602640252785386,46.559959,2026-01-09T23:52:17
26,8,0,2,4,2,1,2,52,4264891579768.133,292886656497.47375,4.446795073085867e+25,4265606354513.834,-4.804535083456342e+21,351536082504.0052,204.493753,2026-01-09T23:53:05
27,8,3,0,0,0,0,2,52,508.5165521069585,35.17856875533378,659458.7100617462,584.0104387060434,-68.60068103213838,34.01608044264073,95.860018,2026-01-09T23:56:30
28,8,3,2,0,0,0,2,52,2816.157330794193,189.5007265912424,21470115.092540313,3355.8848696336804,-908.6705259346445,174.3342770133271,155.769754,2026-01-09T23:58:07
29,8,2,0,0,0,0,2,52,600.2516235589314,41.48713371080252,989715.9586308195,701.9912059226076,-104.51459537047747,41.35322365405628,114.177687,2026-01-10T00:00:43
30,8,1,1,2,1,1,1,52,125.8826350136416,8.503709030700506,26454.464214144755,149.81294154828677,-0.6722740829179652,3.5709360932302276,57.541309,2026-01-10T00:02:38
31,8,1,1,2,1,1,1,52,125.8826350136416,8.503709030700506,26454.464214144755,149.81294154828677,-0.6722740829179652,3.5709360932302276,57.586889,2026-01-10T00:03:36
32,8,2,0,0,0,0,1,52,111.88581564530192,7.690107166124812,18388.383189330267,132.57404090130692,-0.5425417403837575,1.651441031378741,1.677815,2026-01-10T00:04:34
33,8,1,1,1,1,0,1,52,104.00264213469565,7.01248858878472,16185.610913041719,121.08994568135013,-0.1633632624978981,1.9770625942553062,1.760762,2026-01-10T00:04:37
34,8,1,1,2,1,0,1,52,103.17950845220544,6.947432395382311,16086.026086011696,120.88646460137664,-0.16393928201715982,1.9366411615238535,3.301685,2026-01-10T00:04:40
35,8,2,1,3,1,1,1,52,126.48456960668331,8.534709767506754,27113.487511123716,151.20063884956707,-0.6952014059136746,3.5275429655016985,180.305552,2026-01-10T00:04:44
36,8,2,1,3,1,0,1,52,104.55883527312704,7.053507559756116,16380.067603187903,122.00518078668006,-0.18561066716685262,1.9650028080896884,8.076176,2026-01-10T00:07:46
37,8,1,1,2,1,0,1,52,103.17950845220544,6.947432395382311,16086.026086011696,120.88646460137664,-0.16393928201715982,1.9366411615238535,3.264983,2026-01-10T00:07:55
38,8,2,1,3,1,0,1,52,104.55883527312704,7.053507559756116,16380.067603187903,122.00518078668006,-0.18561066716685262,1.9650028080896884,8.039406,2026-01-10T00:07:59
39,8,1,1,2,1,0,1,52,103.17950845220544,6.947432395382311,16086.026086011696,120.88646460137664,-0.16393928201715982,1.9366411615238535,3.268481,2026-01-10T00:08:09
40,8,1,1,2,1,0,1,52,103.17950845220544,6.947432395382311,16086.026086011696,120.88646460137664,-0.16393928201715982,1.9366411615238535,3.276815,2026-01-10T00:08:13
41,8,1,1,2,1,0,1,52,103.17950845220544,6.947432395382311,16086.026086011696,120.88646460137664,-0.16393928201715982,1.9366411615238535,3.265124,2026-01-10T00:08:18
42,8,1,1,2,1,0,1,52,103.17950845220544,6.947432395382311,16086.026086011696,120.88646460137664,-0.16393928201715982,1.9366411615238535,3.276389,2026-01-10T00:08:22
43,8,2,1,3,1,0,1,52,104.55883527312704,7.053507559756116,16380.067603187903,122.00518078668006,-0.18561066716685262,1.9650028080896884,8.033009,2026-01-10T00:08:26
44,8,1,1,2,1,0,1,52,103.17950845220544,6.947432395382311,16086.026086011696,120.88646460137664,-0.16393928201715982,1.9366411615238535,3.276433,2026-01-10T00:08:35
45,8,1,0,2,1,0,1,52,103.02022601368844,6.9720114383945635,15944.254821922872,120.22459705589931,-0.1488413493699591,1.989327134425825,3.098385,2026-01-10T00:08:40
46,8,1,0,1,0,0,1,52,101.59478775113477,6.870480629688347,15698.294709669673,119.07265085967242,-0.1214031157367877,2.012459355661605,1.767287,2026-01-10T00:08:44
47,8,1,1,1,1,0,1,52,104.00264213469565,7.01248858878472,16185.610913041719,121.08994568135013,-0.1633632624978981,1.9770625942553062,1.762175,2026-01-10T00:08:47
48,8,1,1,1,1,0,1,52,104.00264213469565,7.01248858878472,16185.610913041719,121.08994568135013,-0.1633632624978981,1.9770625942553062,1.761606,2026-01-10T00:08:50
49,8,1,0,1,1,0,1,52,101.97967340745174,6.891023851537921,15800.07914986802,119.40303560434388,-0.12620989843535443,2.0337657958878377,2.266159,2026-01-10T00:08:53
50,8,4,2,0,2,0,2,52,154426.45671478196,10447.793872914272,89107289981.8351,173209.6888596002,-3117808.7700676234,14661.00109855862,211.552516,2026-01-10T00:08:56
51,8,1,1,2,0,0,1,52,102.700011400802,6.922674413347184,15936.243634327613,120.40012399209911,-0.1561899734200308,1.9118544916346432,3.177493,2026-01-10T00:12:29
52,8,1,1,2,0,0,1,52,102.700011400802,6.922674413347184,15936.243634327613,120.40012399209911,-0.1561899734200308,1.9118544916346432,3.194974,2026-01-10T00:12:33
53,8,1,1,2,0,0,1,52,102.700011400802,6.922674413347184,15936.243634327613,120.40012399209911,-0.1561899734200308,1.9118544916346432,3.176771,2026-01-10T00:12:38
54,8,1,1,2,0,0,1,52,102.700011400802,6.922674413347184,15936.243634327613,120.40012399209911,-0.1561899734200308,1.9118544916346432,3.198909,2026-01-10T00:12:42
55,8,1,1,2,0,0,1,52,102.700011400802,6.922674413347184,15936.243634327613,120.40012399209911,-0.1561899734200308,1.9118544916346432,3.197164,2026-01-10T00:12:47
56,8,1,1,2,0,0,1,52,102.700011400802,6.922674413347184,15936.243634327613,120.40012399209911,-0.1561899734200308,1.9118544916346432,3.201995,2026-01-10T00:12:51
57,8,0,1,3,0,0,1,52,103.69153927544274,7.003331747569169,16122.747377550097,120.89226328909795,-0.1614937221245852,1.9829680926932,1.901883,2026-01-10T00:12:55
58,8,0,0,1,1,0,1,52,86.5868771894277,5.961490243580426,12603.550509484441,105.27304568777647,0.13107639221469855,2.4671363195112748,1.946464,2026-01-10T00:12:59
59,8,0,0,1,1,0,1,52,86.5868771894277,5.961490243580426,12603.550509484441,105.27304568777647,0.13107639221469855,2.4671363195112748,1.966318,2026-01-10T00:13:02
60,8,0,0,1,1,0,1,52,86.5868771894277,5.961490243580426,12603.550509484441,105.27304568777647,0.13107639221469855,2.4671363195112748,1.95647,2026-01-10T00:13:06
61,8,0,0,1,1,0,1,52,86.5868771894277,5.961490243580426,12603.550509484441,105.27304568777647,0.13107639221469855,2.4671363195112748,1.957708,2026-01-10T00:13:09
62,8,0,0,1,1,0,1,52,86.5868771894277,5.961490243580426,12603.550509484441,105.27304568777647,0.13107639221469855,2.4671363195112748,1.96176,2026-01-10T00:13:12
63,8,0,0,1,1,0,1,52,86.5868771894277,5.961490243580426,12603.550509484441,105.27304568777647,0.13107639221469855,2.4671363195112748,1.96327,2026-01-10T00:13:15
64,8,0,0,1,1,0,1,52,86.5868771894277,5.961490243580426,12603.550509484441,105.27304568777647,0.13107639221469855,2.4671363195112748,1.964563,2026-01-10T00:13:18
65,8,4,0,4,2,1,0,52,164.1582465062458,11.462462136601884,49890.0327699151,217.48121429558736,-3.2264695135649393,3.2482704434437473,218.395174,2026-01-10T00:13:21
66,8,0,0,1,1,0,1,52,86.5868771894277,5.961490243580426,12603.550509484441,105.27304568777647,0.13107639221469855,2.4671363195112748,1.966181,2026-01-10T00:17:01
67,8,0,0,1,1,0,1,52,86.5868771894277,5.961490243580426,12603.550509484441,105.27304568777647,0.13107639221469855,2.4671363195112748,1.96587,2026-01-10T00:17:04
68,8,0,0,1,1,0,1,52,86.5868771894277,5.961490243580426,12603.550509484441,105.27304568777647,0.13107639221469855,2.4671363195112748,1.964751,2026-01-10T00:17:07
69,8,0,0,1,1,0,1,52,86.5868771894277,5.961490243580426,12603.550509484441,105.27304568777647,0.13107639221469855,2.4671363195112748,1.958152,2026-01-10T00:17:10
70,8,0,0,4,0,0,0,52,115.7554836181442,8.138147558029884,19513.836016953483,132.78589246386449,-0.43026185291036034,3.012810193670973,0.116653,2026-01-10T00:17:13
71,8,0,2,4,0,1,0,52,171.47029949112516,11.472648498753506,49503.26616438994,193.05425716708316,-1.853480152683398,6.366397427072864,4.72367,2026-01-10T00:17:14
72,8,0,0,1,1,0,1,52,86.5868771894277,5.961490243580426,12603.550509484441,105.27304568777647,0.13107639221469855,2.4671363195112748,1.94806,2026-01-10T00:17:20
73,8,0,0,1,1,0,1,52,86.5868771894277,5.961490243580426,12603.550509484441,105.27304568777647,0.13107639221469855,2.4671363195112748,1.959048,2026-01-10T00:17:23
74,8,0,0,1,1,0,1,52,86.5868771894277,5.961490243580426,12603.550509484441,105.27304568777647,0.13107639221469855,2.4671363195112748,1.961034,2026-01-10T00:17:26
