trial_index,test_size,p,d,q,P,D,Q,m,mae,mape,mse,rmse,r2,sd,runtime_s,started_at
0,8,1,1,1,1,1,2,52,39965.53271517993,3485.0992605716624,6034975363.731373,45313.27343564404,-1305741.0069028116,4873.955235716413,194.918467,2026-01-10T00:23:34
1,8,3,2,3,2,0,0,52,140.72747814649276,11.081554789767829,28015.425998804527,158.2534714433065,-2.9405126888300686,3.500604304006367,148.376413,2026-01-10T00:26:49
2,8,1,1,1,0,1,1,52,113.77854798408266,9.158785244367065,18809.139639330926,130.22730107866266,-1.856869984064082,3.233518929429839,29.28844,2026-01-10T00:29:17
3,8,3,2,1,2,1,2,52,605380.3279318998,51692.37771165759,1415080601120.104,689571.448614538,-306175626.648355,72731.31151244868,220.307407,2026-01-10T00:29:46
4,8,2,0,2,0,0,1,52,142.67026553524352,11.326313780521323,27163.10460524287,159.6866454304205,-2.9638097445948097,2.583306136131406,5.067425,2026-01-10T00:33:27
5,8,2,1,1,2,0,1,52,136.762704071656,10.840021280486058,26018.734541964703,154.69302797452872,-2.7525833618520643,2.9630582586375525,52.055965,2026-01-10T00:33:32
6,8,1,0,1,1,0,0,52,142.46649482826874,11.309231075319536,27106.317880366376,159.47894225309918,-2.9544226112013106,2.595864542324304,0.908963,2026-01-10T00:34:24
7,8,1,0,3,2,1,2,52,3911.6908853546374,284.09913749813376,52415353.69231331,5089.393717977772,-6440.886292319615,269.4620529236469,251.402971,2026-01-10T00:34:25
8,8,0,2,2,2,0,2,52,1.624148567183427e+17,1.338762461908897e+16,7.766577765699518e+34,1.6242151556191338e+17,-1.2002134884475988e+31,1.865702430056888e+16,203.707974,2026-01-10T00:38:36
9,8,3,2,1,2,0,0,52,140.38538162141913,11.155971741312001,26641.352567361977,157.72788168628833,-2.882284444538447,2.7146590577223484,46.315449,2026-01-10T00:42:00
10,8,3,0,2,0,0,1,52,143.34648011490944,11.386573826212151,27362.779339161727,160.20314735790615,-2.998323939851979,2.6822156562932955,5.372323,2026-01-10T00:42:46
11,8,2,0,0,0,1,1,52,114.57370863562983,9.297693290128764,19097.055172812397,130.87097260622906,-2.0055783677076024,3.5520473253479623,28.642398,2026-01-10T00:42:52
12,8,2,1,1,1,0,1,52,144.41937630423345,11.421768879771795,28169.668653407367,161.001396557779,-3.0439968348940396,3.037269651972762,2.482965,2026-01-10T00:43:21
13,8,0,0,4,0,0,2,52,8211.59832607724,676.507651547506,166921241.46593162,8916.894814428824,-26207.93972792951,698.1648787897893,167.211002,2026-01-10T00:43:24
14,8,0,0,0,0,0,2,52,9832.516566022141,813.45046930602,227527713.93756524,10281.626082471643,-35638.5516818875,871.6464344649627,68.307966,2026-01-10T00:46:11
15,8,4,0,0,0,0,2,52,2413.183749736312,198.67139554134408,18880270.89926348,3236.008591825998,-3018.0201760396685,170.99900506485017,165.265378,2026-01-10T00:47:20
