trial_index,test_size,p,d,q,P,D,Q,m,mae,mape,mse,rmse,r2,sd,runtime_s,started_at
0,24,3,2,4,1,1,1,52,329.6369645810498,15.464340814143986,159028.03733373978,390.8086406951831,-1.5823211906664045,7.658548274858125,170.732408,2026-01-10T15:36:40
1,24,0,2,3,2,0,2,52,2681054417975.7046,152039902090.5455,2.167285528495747e+25,2687803024080.6562,-3.666192000596512e+20,215016891543.33057,130.766368,2026-01-10T15:39:31
2,24,4,0,3,2,0,1,52,311.449082898491,12.949938307334813,178545.261256404,375.7484886569835,-1.7166724100444342,7.020341946522057,191.981585,2026-01-10T15:41:41
3,24,1,0,2,2,0,2,52,475.96215168190366,22.701935041925676,426130.1825560729,599.6575830406507,-5.929509390754169,13.249559948674264,121.591188,2026-01-10T15:44:53
4,24,0,0,0,1,0,1,52,1113.9351429872388,46.871284017625726,1564282.8289048604,1172.3850181133369,-25.7369763859418,17.667903331495236,1.897283,2026-01-10T15:46:55
5,24,0,0,3,0,0,1,52,917.8208907650587,34.40528721044995,1297134.7605879542,974.982573908907,-21.268827631990863,15.949974798509192,2.408513,2026-01-10T15:46:57
6,24,3,2,4,2,1,2,52,259.9115841128102,11.609014751621993,97240.60146202291,310.4301326358814,-0.5679233388102604,3.826649736447879,253.886172,2026-01-10T15:46:59
7,24,3,2,3,1,1,1,52,319.07588944039577,14.9716622738149,151893.67984001213,379.8314948280972,-1.445978551114946,7.333965371892908,119.270776,2026-01-10T15:51:13
8,24,3,0,1,0,1,2,52,593.0248333130506,28.869571814637567,532438.5744590628,695.2724506008573,-7.636302287430646,16.67257887178525,116.698693,2026-01-10T15:53:12
9,24,3,2,1,1,1,2,52,424.08800867312056,19.93122984782001,270894.7628011506,500.48984769321214,-3.291445327667637,9.178436652065171,117.233926,2026-01-10T15:55:09
10,24,3,2,0,0,1,0,52,1137.1079595453364,55.49409600768039,2098406.2414428545,1287.8566996642187,-32.360068171815016,36.68704197183142,0.830481,2026-01-10T15:57:06
11,24,1,0,2,0,1,0,52,656.263818762977,31.50575632087656,630301.7845416855,767.5945719352466,-9.378100787654844,17.6210152465272,1.124137,2026-01-10T15:57:07
12,24,3,2,3,2,1,2,52,434.18640929801427,21.069718060201883,300704.7618648663,515.9886559202718,-4.033522305843033,13.980389538307834,86.052847,2026-01-10T15:57:09
13,24,0,2,0,0,0,0,52,2324.5120776875933,91.87257142389392,8705005.72030622,2643.955859572781,-136.62653001738565,39.24020196763163,0.026036,2026-01-10T15:58:35
14,24,3,2,4,1,1,2,52,359.3095687734651,16.311738844671527,201335.52931160005,429.4958847606361,-2.150208029967859,6.813615323704052,265.504757,2026-01-10T15:58:36
15,24,3,0,3,2,0,2,52,4.584143091839363e+109,3.150925826843508e+108,6.06464271307574e+220,1.4218113697059982e+110,-1.0258982634644505e+216,4.456082038353747e+108,130.110327,2026-01-10T16:03:02
16,24,1,0,3,1,0,1,52,382.87351827906906,18.158703417914342,213644.593533789,445.2330935498583,-2.4202375810094763,9.068140075110446,5.148242,2026-01-10T16:05:13
17,24,3,2,4,2,1,1,52,262.36452296122314,11.76229343224113,97752.8974374009,310.5092652960355,-0.5715193198436394,3.8719110146088362,273.406472,2026-01-10T16:05:19
18,24,1,0,3,1,0,2,52,408.476333529991,19.103433710288677,265395.9637153484,490.26879006348776,-3.2828585743771383,9.903488409460579,99.803208,2026-01-10T16:09:53
19,24,4,0,3,2,0,1,52,311.449082898491,12.949938307334813,178545.261256404,375.7484886569835,-1.7166724100444342,7.020341946522057,191.673183,2026-01-10T16:11:34
20,24,3,2,4,2,1,2,52,259.9115841128102,11.609014751621993,97240.60146202291,310.4301326358814,-0.5679233388102604,3.826649736447879,253.627939,2026-01-10T16:14:46
21,24,1,0,4,1,0,1,52,371.52678958523694,17.590795806731137,201090.44712298713,432.8158252016101,-2.2214318469942156,8.736792297898361,7.626455,2026-01-10T16:19:01
22,24,0,0,0,2,0,0,52,1000.7348082391682,44.103839740616344,1216545.877078192,1090.0415889081253,-18.45794273796263,15.123785490023954,1.640464,2026-01-10T16:19:09
23,24,0,2,4,0,1,2,52,286.8657289960858,13.072142668535973,123119.35460792726,345.71065792861754,-0.9711545102784901,5.182029844715951,154.78325,2026-01-10T16:19:12
24,24,3,2,4,2,1,2,52,259.9115841128102,11.609014751621993,97240.60146202291,310.4301326358814,-0.5679233388102604,3.826649736447879,253.898785,2026-01-10T16:21:47
25,24,3,2,4,2,1,2,52,259.9115841128102,11.609014751621993,97240.60146202291,310.4301326358814,-0.5679233388102604,3.826649736447879,253.690789,2026-01-10T16:26:03
26,24,3,2,4,2,1,2,52,259.9115841128102,11.609014751621993,97240.60146202291,310.4301326358814,-0.5679233388102604,3.826649736447879,253.207587,2026-01-10T16:30:17
27,24,0,0,0,0,0,2,52,1140.4389384429096,42.81409489454657,1781873.8202979045,1185.8072450512482,-29.25201383194471,15.80151406890023,32.332812,2026-01-10T16:34:31
28,24,3,2,4,2,1,2,52,259.9115841128102,11.609014751621993,97240.60146202291,310.4301326358814,-0.5679233388102604,3.826649736447879,253.701702,2026-01-10T16:35:05
29,24,3,2,4,2,1,2,52,259.9115841128102,11.609014751621993,97240.60146202291,310.4301326358814,-0.5679233388102604,3.826649736447879,253.624663,2026-01-10T16:39:19
30,24,3,2,4,2,1,2,52,259.9115841128102,11.609014751621993,97240.60146202291,310.4301326358814,-0.5679233388102604,3.826649736447879,253.757633,2026-01-10T16:43:34
31,24,0,2,4,0,0,0,52,272.8906625571655,10.994428939794576,123677.39996499725,326.78806547041444,-0.9415354257877956,4.242927090077229,0.189459,2026-01-10T16:47:49
32,24,1,0,4,2,0,1,52,400.92526306426475,19.090153363643488,240211.95903760978,467.9798910673597,-2.8324694121633143,9.928561546691617,142.713874,2026-01-10T16:47:50
33,24,0,2,4,0,0,0,52,272.8906625571655,10.994428939794576,123677.39996499725,326.78806547041444,-0.9415354257877956,4.242927090077229,0.192274,2026-01-10T16:50:13
34,24,0,2,4,0,0,0,52,272.8906625571655,10.994428939794576,123677.39996499725,326.78806547041444,-0.9415354257877956,4.242927090077229,0.199362,2026-01-10T16:50:14
35,24,0,2,4,0,0,0,52,272.8906625571655,10.994428939794576,123677.39996499725,326.78806547041444,-0.9415354257877956,4.242927090077229,0.170616,2026-01-10T16:50:15
36,24,0,2,4,0,0,0,52,272.8906625571655,10.994428939794576,123677.39996499725,326.78806547041444,-0.9415354257877956,4.242927090077229,0.181418,2026-01-10T16:50:16
37,24,0,2,4,0,0,0,52,272.8906625571655,10.994428939794576,123677.39996499725,326.78806547041444,-0.9415354257877956,4.242927090077229,0.176935,2026-01-10T16:50:17
38,24,0,2,4,0,0,0,52,272.8906625571655,10.994428939794576,123677.39996499725,326.78806547041444,-0.9415354257877956,4.242927090077229,0.170257,2026-01-10T16:50:18
