trial_index,test_size,p,d,q,P,D,Q,m,mae,mape,mse,rmse,r2,sd,runtime_s,started_at
0,24,2,1,0,0,1,1,52,815.1221066126553,34.47879602450945,1039183.0622773283,937.4336673873071,-4.8328621021593925,20.96031997554889,19.305535,2026-01-10T22:27:19
1,24,1,0,0,2,1,1,52,985.0833371030118,30.745791426935067,1760581.5447335604,1085.7136262309525,-10.292141656700649,17.22566859164084,79.011581,2026-01-10T22:27:38
2,24,2,1,0,2,1,0,52,690.496563619938,26.965733894822602,666239.7040722476,811.8469102394228,-2.783515124964404,9.092332631306615,32.676913,2026-01-10T22:28:57
3,24,4,1,0,2,0,1,52,699.7083283423823,26.373505115055554,662208.3651341189,810.0755414809686,-2.836052704169861,5.773381601431676,51.60022,2026-01-10T22:29:30
4,24,1,1,2,1,1,2,52,943.1651529362675,37.66637901332392,1195124.2622932165,1085.4557244813636,-6.201893978947514,16.24712823514447,112.596006,2026-01-10T22:30:21
5,24,4,0,2,0,0,0,52,620.8854782970195,25.239694837438538,592230.751296379,733.778881747539,-2.189278058563785,12.191791095427101,0.326787,2026-01-10T22:32:14
6,24,3,2,2,2,1,2,52,455.3986792312817,16.103157358511684,396996.296954952,564.350463579654,-0.9717940557863627,8.271212394355175,247.721804,2026-01-10T22:32:14
7,24,2,2,4,2,1,2,52,452.2315876155539,16.699961441762483,381912.40470268327,551.431054408391,-0.8643699794930407,8.251410368200636,256.982985,2026-01-10T22:36:22
8,24,1,2,3,2,0,1,52,515.4651440513068,17.764114503911816,529115.0079599869,623.1681137926612,-1.5567917125498214,11.682062540754277,127.672434,2026-01-10T22:40:39
9,24,4,0,2,0,0,2,52,599.5067378738022,23.659203758586226,620683.9452534871,727.900351835426,-2.155779895328106,11.269827619390012,151.476908,2026-01-10T22:42:47
10,24,0,2,2,2,0,1,52,517.3554072072558,17.9463948508495,531314.4418379259,624.0960284334279,-1.5598237352054651,11.673427274071587,77.017022,2026-01-10T22:45:18
11,24,0,2,1,0,1,2,52,931.2555385769533,40.590735964466504,1410931.9581316756,1075.803929835022,-7.337370126786417,28.62240072694681,33.862535,2026-01-10T22:46:35
12,24,2,2,3,2,1,2,52,558.247782683833,19.5415789294214,495030.3532112343,659.7252266844357,-1.6133385576492814,5.939489071607162,211.260217,2026-01-10T22:47:10
13,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,293.853684,2026-01-10T22:50:41
14,24,3,2,3,2,1,2,52,583.2100539516142,20.23639766663916,610319.9902784349,691.0449132370654,-2.001136971016214,10.78258348019871,240.700421,2026-01-10T22:55:36
