trial_index,test_size,p,d,q,P,D,Q,m,mae,mape,mse,rmse,r2,sd,runtime_s,started_at
0,24,2,0,2,1,1,1,52,535.117824281699,31.774310345868475,419312.41824104666,635.9826852244946,-10.630589171124834,15.61196641075608,112.706818,2026-01-10T20:06:35
1,24,1,2,3,0,1,1,52,366.9116295467227,18.34885476832404,265108.0128433532,446.56445019447455,-13.247676597344665,6.666365394924222,93.127551,2026-01-10T20:08:28
2,24,0,0,0,0,1,0,52,721.0169926989138,41.00132013920925,676034.2587535415,780.2890494135032,-22.687713230452985,23.186630354551745,0.230855,2026-01-10T20:10:01
3,24,4,0,3,2,1,1,52,437222386840.3186,37153564057.4775,6.972233840926304e+24,1524492685433.5046,-1.400389461806796e+20,52543074153.80604,214.261963,2026-01-10T20:10:01
4,24,4,2,1,2,0,1,52,266.7809753743915,15.292594007308367,117393.7054150676,319.2398901148237,-1.3578452990458345,6.404452263021596,106.442425,2026-01-10T20:13:36
5,24,3,0,1,1,0,2,52,1395.610445559998,96.83609259152938,6686206.706256586,1690.7974059553453,-133.40926778550306,119.88172674854076,117.941667,2026-01-10T20:15:22
6,24,4,1,1,0,1,2,52,380.7452136368733,23.466026947328686,232243.69454331358,460.57662829618016,-4.524736663476359,14.358245541951053,196.62538,2026-01-10T20:17:20
7,24,4,0,4,0,1,2,52,507.18254726441234,29.137921486497238,355822.04625416413,593.9808340870914,-10.082376680488055,11.175278569578513,259.594159,2026-01-10T20:20:37
8,24,0,0,4,1,1,1,52,735.7759120015938,38.25009392916835,751343.6463708048,803.3784719558402,-34.1798860559041,15.945397401797283,73.976896,2026-01-10T20:24:56
9,24,1,0,4,1,0,2,52,1684.593720414057,117.97839797320636,9752231.0166569,2006.1419279312925,-195.20040265778752,149.81450028140554,122.694155,2026-01-10T20:26:10
10,24,0,2,0,2,0,1,52,1736.8470263153658,93.16004126244326,4135237.474754417,2000.230018533108,-163.95663153148735,16.79146208175855,25.223067,2026-01-10T20:28:13
11,24,0,0,3,1,1,0,52,632.6112091329834,34.44498993696579,551322.6915587058,699.7037224836969,-22.072663820771428,16.060664977883857,20.627507,2026-01-10T20:28:38
12,24,2,1,2,0,1,1,52,368.54075352811964,22.876977806964174,220400.44561021496,443.6573917585608,-3.9789705863236233,14.65215329213068,62.657095,2026-01-10T20:28:59
13,24,1,1,2,1,1,1,52,435.6844471893434,27.6826947617612,334207.01121449354,531.3583568306755,-6.289465596187505,19.886653659114007,61.49197,2026-01-10T20:30:03
14,24,1,0,2,0,1,1,52,479.99735455342693,27.38780138704261,325946.9172697072,570.1452822288755,-9.497743542876256,9.286475348779424,53.74577,2026-01-10T20:31:05
15,24,1,1,3,0,1,1,52,362.52846485151326,22.60013640446437,216086.8752343232,438.33313324634946,-3.9498384415242973,14.905096752295945,53.040577,2026-01-10T20:31:59
16,24,4,2,4,0,0,2,52,16870.664042310706,1267.1944432417858,1134300821.1183379,19675.870825361813,-22781.784831479876,1772.763478243725,141.831177,2026-01-10T20:32:53
17,24,2,1,2,0,1,2,52,375.59370748683324,23.37543315463795,230690.91458208355,452.95069346760505,-4.218687186640255,15.169449390623896,136.396211,2026-01-10T20:35:16
18,24,0,0,0,0,0,0,52,835.9811868397774,37.14260023798878,962472.1224340638,874.7187388095302,-42.42244333267968,17.48785578892381,0.023522,2026-01-10T20:37:33
19,24,4,2,0,2,1,0,52,360.6502373899289,22.866820329436674,237077.6059769001,423.6790129224831,-5.054784620553981,19.902824832265026,60.220121,2026-01-10T20:37:34
20,24,4,2,0,2,0,0,52,242.8962241129618,14.447468711426732,91797.30065548008,287.605058595529,-1.7550707238869403,9.599494698621058,23.139093,2026-01-10T20:38:35
21,24,2,2,3,0,1,1,52,499.6517795189038,27.402691155720163,369274.46750186506,599.1836782960339,-13.500883613883042,5.855714234697805,112.420062,2026-01-10T20:38:58
22,24,0,2,2,0,1,1,52,396.4997007615566,20.321403255416296,292133.0468109886,479.4253234239979,-14.285652169534039,7.014856074105882,53.417679,2026-01-10T20:40:52
23,24,4,2,0,0,0,0,52,264.71550268371976,16.388929934959314,117150.57423510599,310.13845159745773,-2.109667886887841,12.89572386913799,0.04854,2026-01-10T20:41:46
24,24,4,2,0,2,0,0,52,242.8962241129618,14.447468711426732,91797.30065548008,287.605058595529,-1.7550707238869403,9.599494698621058,23.08273,2026-01-10T20:41:46
25,24,0,2,3,0,1,1,52,348.78588650452417,16.636891610288462,274224.68078011763,425.1464450804578,-14.559923262599925,8.7382630795886,69.496188,2026-01-10T20:42:10
26,24,3,0,1,0,1,2,52,442.6800820620092,25.883896403881508,283120.11905245326,528.3191669300043,-7.222802054393761,10.963740431895555,132.603869,2026-01-10T20:43:20
27,24,0,2,0,0,0,2,52,89776.06548974129,6715.86555385519,30384685835.53127,102043.70431221939,-610356.9226101179,9380.962018369173,27.129412,2026-01-10T20:45:33
28,24,4,2,1,2,0,0,52,259.700913133787,14.743038771374229,113141.48561969661,312.0110799248417,-1.2899639312135533,6.052654737375944,73.829553,2026-01-10T20:46:01
29,24,0,2,4,0,1,1,52,560.2448501929189,31.050521586063365,458788.0811198849,664.6610081719436,-17.277931909926735,9.250693434792128,103.009689,2026-01-10T20:47:15
30,24,4,2,0,2,0,0,52,242.8962241129618,14.447468711426732,91797.30065548008,287.605058595529,-1.7550707238869403,9.599494698621058,23.066052,2026-01-10T20:48:59
31,24,4,2,0,2,0,0,52,242.8962241129618,14.447468711426732,91797.30065548008,287.605058595529,-1.7550707238869403,9.599494698621058,23.051974,2026-01-10T20:49:22
32,24,4,2,0,2,0,0,52,242.8962241129618,14.447468711426732,91797.30065548008,287.605058595529,-1.7550707238869403,9.599494698621058,23.052008,2026-01-10T20:49:46
33,24,4,2,0,2,0,0,52,242.8962241129618,14.447468711426732,91797.30065548008,287.605058595529,-1.7550707238869403,9.599494698621058,23.069595,2026-01-10T20:50:10
34,24,4,2,0,2,0,0,52,242.8962241129618,14.447468711426732,91797.30065548008,287.605058595529,-1.7550707238869403,9.599494698621058,23.114516,2026-01-10T20:50:33
35,24,0,2,4,0,0,2,52,107000.56364773965,8070.551017021284,45183143775.758286,122943.88385523773,-907513.0562003199,11395.12055555029,74.687826,2026-01-10T20:50:57
36,24,4,2,1,2,0,0,52,259.700913133787,14.743038771374229,113141.48561969661,312.0110799248417,-1.2899639312135533,6.052654737375944,73.891371,2026-01-10T20:52:12
37,24,4,2,1,2,0,0,52,259.700913133787,14.743038771374229,113141.48561969661,312.0110799248417,-1.2899639312135533,6.052654737375944,73.798203,2026-01-10T20:53:27
38,24,4,2,1,2,0,0,52,259.700913133787,14.743038771374229,113141.48561969661,312.0110799248417,-1.2899639312135533,6.052654737375944,73.802299,2026-01-10T20:54:41
39,24,4,2,1,2,0,0,52,259.700913133787,14.743038771374229,113141.48561969661,312.0110799248417,-1.2899639312135533,6.052654737375944,73.733859,2026-01-10T20:55:55
40,24,4,2,1,2,0,0,52,259.700913133787,14.743038771374229,113141.48561969661,312.0110799248417,-1.2899639312135533,6.052654737375944,73.941857,2026-01-10T20:57:10
41,24,4,2,1,2,0,0,52,259.700913133787,14.743038771374229,113141.48561969661,312.0110799248417,-1.2899639312135533,6.052654737375944,73.93243,2026-01-10T20:58:24
42,24,4,2,1,2,0,0,52,259.700913133787,14.743038771374229,113141.48561969661,312.0110799248417,-1.2899639312135533,6.052654737375944,73.787212,2026-01-10T20:59:39
43,24,4,2,1,2,0,0,52,259.700913133787,14.743038771374229,113141.48561969661,312.0110799248417,-1.2899639312135533,6.052654737375944,73.899558,2026-01-10T21:00:53
44,24,4,2,1,2,0,0,52,259.700913133787,14.743038771374229,113141.48561969661,312.0110799248417,-1.2899639312135533,6.052654737375944,73.774868,2026-01-10T21:02:07
45,24,0,0,4,0,0,0,52,786.9928730165306,34.989139715665914,884332.4005852733,829.9294906044164,-39.915495244867344,16.805503020815465,0.152674,2026-01-10T21:03:22
46,24,4,2,1,2,0,0,52,259.700913133787,14.743038771374229,113141.48561969661,312.0110799248417,-1.2899639312135533,6.052654737375944,73.839206,2026-01-10T21:03:22
47,24,4,2,1,2,0,0,52,259.700913133787,14.743038771374229,113141.48561969661,312.0110799248417,-1.2899639312135533,6.052654737375944,73.766163,2026-01-10T21:04:37
48,24,4,2,1,2,0,0,52,259.700913133787,14.743038771374229,113141.48561969661,312.0110799248417,-1.2899639312135533,6.052654737375944,73.742674,2026-01-10T21:05:51
49,24,4,2,4,2,1,0,52,403.7551464805594,24.339671746946895,247833.546871756,480.69586517605586,-6.103551504914854,14.200391748181215,253.893673,2026-01-10T21:07:05
50,24,0,2,4,2,0,2,52,181806.26153915736,13703.038512249374,129730353868.3361,208172.1472898062,-2605663.6244359137,19360.704790721313,138.024446,2026-01-10T21:11:20
51,24,4,2,1,2,0,1,52,266.7809753743915,15.292594007308367,117393.7054150676,319.2398901148237,-1.3578452990458345,6.404452263021596,106.284128,2026-01-10T21:13:39
52,24,4,2,1,2,0,1,52,266.7809753743915,15.292594007308367,117393.7054150676,319.2398901148237,-1.3578452990458345,6.404452263021596,106.222871,2026-01-10T21:15:25
53,24,4,2,1,2,0,0,52,259.700913133787,14.743038771374229,113141.48561969661,312.0110799248417,-1.2899639312135533,6.052654737375944,73.856721,2026-01-10T21:17:12
54,24,4,2,1,2,0,0,52,259.700913133787,14.743038771374229,113141.48561969661,312.0110799248417,-1.2899639312135533,6.052654737375944,73.890311,2026-01-10T21:18:27
55,24,4,2,0,0,0,2,52,4131.485527821674,291.1246109220038,71327192.98224974,5020.28851048046,-1432.4954632208726,401.0248322144791,70.295314,2026-01-10T21:19:41
56,24,4,2,0,2,0,2,52,1191.8319033373052,85.26797594727752,4624987.7093001325,1386.2915192998496,-92.79251635225394,109.74570069629324,102.847913,2026-01-10T21:20:52
57,24,4,2,1,2,0,1,52,266.7809753743915,15.292594007308367,117393.7054150676,319.2398901148237,-1.3578452990458345,6.404452263021596,106.235832,2026-01-10T21:22:36
58,24,4,2,1,2,0,1,52,266.7809753743915,15.292594007308367,117393.7054150676,319.2398901148237,-1.3578452990458345,6.404452263021596,106.25604,2026-01-10T21:24:23
59,24,4,2,1,2,0,1,52,266.7809753743915,15.292594007308367,117393.7054150676,319.2398901148237,-1.3578452990458345,6.404452263021596,106.157008,2026-01-10T21:26:10
60,24,4,2,1,2,0,1,52,266.7809753743915,15.292594007308367,117393.7054150676,319.2398901148237,-1.3578452990458345,6.404452263021596,106.223425,2026-01-10T21:27:56
