trial_index,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,dropout,grad_clip,mae,mape,mse,rmse,r2,runtime_s,started_at
0,43,16,512,2,3,432,0.00018957578267459252,0.15810509026050568,0.2913760244846344,1620.6339111328125,39.47561414574538,3882906.238176187,1970.5091317160109,-4.322516824701469,872.954604,2025-11-09T22:49:55
1,42,64,384,6,2,168,0.00036210483109631094,0.2182384985499084,0.2328344415873289,2032.549092610677,49.074243172960806,4968553.030299445,2229.025130028696,-5.8106736233249,111.659709,2025-11-09T23:04:28
2,43,64,192,6,3,262,4.9699039884990126e-05,0.482019099406898,0.7681079767644405,2527.7989908854165,62.72871220445645,7090102.900985186,2662.7247137068425,-8.718800729291786,133.071872,2025-11-09T23:06:20
3,42,64,256,4,4,479,0.0017179981547282407,0.07958788424730301,0.4932223651558161,1740.9659118652344,39.55866079297796,4531968.457128641,2128.8420460730854,-5.2122227224867235,266.479392,2025-11-09T23:08:33
4,43,16,64,2,3,385,6.870650434459369e-05,0.43485397240146995,0.9004279794171453,1839.064208984375,44.09775721659617,4156348.6546104155,2038.7124992530005,-4.69733964368919,598.465643,2025-11-09T23:12:59
6,43,64,512,4,4,451,2.1166013106429916e-05,0.4463472585193813,0.9124031830579042,1944.1124165852864,45.76956470943079,4952712.374998935,2225.4690235990556,-5.788959950838472,368.658798,2025-11-09T23:22:58
7,42,64,128,8,1,237,1.7030408551916125e-05,0.435209212359041,0.9022940089926124,3060.7291564941406,77.0158716726035,10052507.589579122,3170.56896937744,-12.779534579002709,102.407252,2025-11-09T23:29:06
8,43,64,96,6,3,202,2.6602390166161847e-05,0.16010692156851292,0.4565053675323725,2389.2156575520835,58.76150110092261,6487854.315113406,2547.1266782618814,-7.893264897537877,84.709142,2025-11-09T23:30:49
11,42,16,96,4,4,473,0.0006247226365866851,0.0883282870054245,0.42444853484630585,1938.5038350423176,45.87062111134606,4848966.745074861,2202.036953612464,-5.646750011455671,750.521725,2025-11-09T23:32:13
13,42,64,96,2,3,414,0.0008557792645618511,0.41004740819334984,0.7925724145025015,2167.9335428873696,53.11420570891542,5403545.5951438965,2324.552773146675,-6.406942269279153,172.962214,2025-11-09T23:44:44
14,42,16,192,2,1,216,0.00022917016391507713,0.3567931200377643,0.21448752004653215,1761.0930786132812,41.50002553302287,4069735.451541811,2017.3585332165949,-4.578614080336298,329.321944,2025-11-09T23:47:37
15,42,64,256,2,3,137,4.972597932343206e-05,0.18354632426053286,0.758432594127953,2565.670644124349,63.64267640710426,7310843.94370732,2703.8572343426936,-9.021382826752514,70.544468,2025-11-09T23:53:06
16,42,16,64,8,4,125,0.00023147304712259418,0.43157236743718386,0.819924870505929,2214.242645263672,54.34798189120874,5607502.343163066,2368.016541995234,-6.686517194928998,202.988459,2025-11-09T23:54:17
17,42,64,192,2,2,372,1.792682768392809e-05,0.4728884962387383,0.9821932166814804,2187.7258911132812,53.371006044996236,5572195.30187719,2360.549788053027,-6.638119858051049,175.77821,2025-11-09T23:57:40
18,42,64,384,4,4,458,0.00028507154591837536,0.12862577429041266,0.9428504398092628,1727.5489807128906,39.04292549148591,4753494.451140943,2180.251006453372,-5.515880796597987,295.874889,2025-11-10T00:00:36
19,43,16,128,2,2,261,2.8099331492356185e-05,0.004980030003935099,0.844068793579936,1930.3403422037761,46.374832849662944,4551830.46560175,2133.5019253803707,-5.2394486887568075,405.901516,2025-11-10T00:05:32
