trial_index,test_size,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,grad_clip,mae,mape,mse,rmse,r2,runtime_s,started_at
1,4,24,16,256,8,2,527,0.0004598538465509191,0.016843267796026337,1168.3208146355323,79.15834288335236,1369822.9805187942,1170.3943696544316,-281.4731473733771,283.54812,2025-11-20T02:27:33
2,24,24,8,256,8,1,1276,0.0001577443289917794,0.034423455429492565,2329.350090787883,96.00497531812053,5484761.00322028,2341.956661260041,-92.13728709694212,389.129359,2025-11-20T02:32:17
4,24,24,16,256,8,1,995,0.009665796113980687,0.033969754272504905,630.1691009540605,26.88726758752269,428783.5372618502,654.8156513568152,-6.281217064691017,305.19759,2025-11-20T02:38:46
6,24,12,32,256,8,3,788,0.0002797470952946361,0.6310781661003686,2314.423466489787,95.38306502014233,5415445.208681789,2327.110914563762,-90.96022850633196,239.552035,2025-11-20T02:43:51
7,8,12,16,256,8,3,380,0.0001729671723875019,0.22292956235548148,1563.644559236294,96.15550988055655,2456080.7639182,1567.188809275449,-220.34275466515842,202.162406,2025-11-20T02:47:51
8,8,12,16,512,4,3,525,0.0009932682229741635,0.513138619693131,255.98080983566643,16.22962548042239,76624.86864482707,276.8119734491756,-5.905456754868675,306.408902,2025-11-20T02:51:13
10,24,12,32,256,4,1,472,0.0001844814907824895,0.9674292278901181,2382.498646543498,98.2193848014546,5735187.747828614,2394.8252019361694,-96.38980923886311,145.809606,2025-11-20T02:56:20
11,4,12,16,256,8,2,1462,1.5346837032615317e-05,0.11656477199321684,1441.691515471714,97.7319285387767,2083323.8879468706,1443.3724009925056,-428.6051854843439,1084.099425,2025-11-20T02:58:45
12,8,24,32,256,4,2,835,0.0014886317195754596,0.011276264710805069,324.86074289870857,19.644800765194887,116630.81991134718,341.5125472238863,-9.51080540073534,271.155754,2025-11-20T03:16:49
13,4,12,8,256,8,2,770,0.009971075182780979,0.014762327943522413,187.92283007882327,12.885391216290444,36750.129370948984,191.70323255216377,-6.578296507961322,903.813759,2025-11-20T03:21:21
17,8,24,32,256,4,3,1448,1.5967128676815505e-05,0.047934961590558434,1606.6212733705104,98.8098889430182,2592327.3774081906,1610.070612553434,-232.6213414228527,474.487282,2025-11-20T03:36:25
20,24,24,8,256,4,2,675,0.00014090185300888076,0.011572805147054444,2380.0078742961837,98.11559864644583,5723326.939166725,2392.3475790876887,-96.18839963489027,209.429727,2025-11-20T03:44:19
21,24,24,32,256,4,2,317,0.00010561170566659454,0.1071635142900584,2404.107487962718,99.11968692615328,5838623.322928288,2416.3243414178255,-98.14625930996729,99.476949,2025-11-20T03:47:48
22,4,12,32,256,4,3,1060,0.00026053798010301137,0.04478818798401589,1109.976629760044,75.19427096793942,1236897.6401571692,1112.1589994947526,-254.0624236582551,562.238346,2025-11-20T03:49:28
25,4,12,16,512,4,1,1031,0.001744788663123608,0.5195439800782541,184.13153979562014,12.41922628972597,35066.359193363125,187.26013775858203,-6.2310838620353675,835.08601,2025-11-20T03:58:50
27,4,24,32,512,4,2,786,4.849389189526358e-05,0.09653595719728836,1439.4716058037452,97.58107392348631,2076929.191738484,1441.155505744777,-427.2865260734794,363.046232,2025-11-20T04:12:45
29,8,12,32,256,8,2,1164,1.1804252412643097e-05,0.041693116493844606,1609.1917346437037,98.96862690364452,2600594.5798091423,1612.635910492242,-233.3663842486765,363.935558,2025-11-20T04:18:49
30,8,24,32,512,8,3,692,0.009308968258642832,0.026563500416211222,119.7436333552111,7.749459456975716,22394.16420548646,149.64679817986905,-1.0181689733030899,289.443818,2025-11-20T04:24:53
31,8,24,16,512,8,2,792,0.0057855501064482655,0.03720514638628058,284.7440849821508,18.088885442584594,99247.36300856754,315.03549483918084,-7.944202912335875,507.710941,2025-11-20T04:29:43
32,8,24,16,256,4,2,785,0.005787911173851987,0.03455188600800475,177.5730644743383,11.402312668263761,44512.51839405863,210.9799004503951,-3.0114818629606797,422.587617,2025-11-20T04:38:11
33,8,12,32,512,4,2,784,0.005478051385736784,0.03937720406967939,163.55679860519768,10.510515459812153,37400.77211797626,193.39279231133787,-2.370569098872039,306.471549,2025-11-20T04:45:14
35,24,12,8,512,8,1,300,1e-05,1.0,2405.7513788204146,99.18819609752435,5846526.452075964,2417.9591502082835,-98.28046315366424,171.794962,2025-11-20T04:50:22
37,8,12,32,512,4,2,782,0.005380810146535035,0.04172354870213265,268.0221611540258,16.94372184758111,88651.32967833735,297.743731551711,-6.989285126124552,304.454128,2025-11-20T04:53:15
38,8,12,16,256,4,2,791,0.006119765902204722,0.02947153420707454,236.64487233566643,15.01436559979907,67826.6750057777,260.43554865988955,-5.11256083517671,423.397999,2025-11-20T04:58:20
39,8,24,32,256,4,2,785,0.0059463249149722276,0.030342193804460228,559.2632195036351,35.370582313708134,358240.6170700195,598.5320518318292,-31.28475471170018,255.136042,2025-11-20T05:05:24
40,8,12,16,512,4,2,800,0.003427671070590067,0.08172790342805736,226.63245168136956,14.400122997860079,64502.69885286668,253.97381528981816,-4.813003080832797,466.81045,2025-11-20T05:09:40
41,8,24,16,256,8,2,803,0.005990957550050481,0.026087145547460878,239.40088429855706,15.198096562639893,68024.432070955,260.81493835851313,-5.130382762779372,434.287458,2025-11-20T05:17:27
42,8,12,16,256,4,2,804,0.005992251738497533,0.02586836475659005,353.54968800949456,22.350731485821687,164132.72281289203,405.13296929883654,-13.791691515934357,426.585382,2025-11-20T05:24:42
43,4,24,16,512,4,3,748,0.006183351304734693,0.04793686518264102,229.53672168038577,15.81488979160723,57641.4773886881,240.08639567599016,-10.886331130952058,488.178623,2025-11-20T05:31:49
44,4,24,16,256,4,2,749,0.006215174938178449,0.0616422574522863,153.66184375069827,10.278958149712242,26917.20633830933,164.06464073135726,-4.550635447801595,408.510023,2025-11-20T05:39:58
45,4,24,16,256,4,2,768,0.005747841928984854,0.06610606836371777,168.10663745187014,11.26103354683293,31603.16986525175,177.77280406533433,-5.516934659274136,418.877219,2025-11-20T05:46:47
46,4,24,16,256,4,2,734,0.006610380059517286,0.06070066105005879,173.77012011788577,11.659598315533412,33142.80134035377,182.05164470653312,-5.83442425811447,402.269516,2025-11-20T05:53:47
