trial_index,test_size,window_size,hidden_size,lstm_layers,num_attention_heads,dropout,batch_size,lr,epochs,grad_clip,mae,mape,mse,rmse,r2,runtime_s,started_at,epochs_ran
0,12,34,128,3,2,0.33241081833839414,64,0.0005661200389153728,2000,1.0,619.1970327138715,31.50584841971473,570403.3955288612,675.7913612310118,-12.646018137666307,2883.237172,2025-11-26T20:25:51,145.4
1,12,34,128,2,4,0.5155901470221579,32,0.00014788662257051043,2000,1.0,1110.3429765230296,68.42463349660453,1750537.4661618813,1159.3651606891156,-136.47278825855807,4626.414684,2025-11-26T21:13:54,206.6
2,12,32,256,3,2,0.38988727601245043,32,0.0005600108059528858,2000,1.0,530.317163440677,29.175891412545433,448957.5017757324,610.789627621479,-11.654163125168774,5143.153579,2025-11-26T22:31:01,175.0
3,12,44,64,1,4,0.10012601166963578,64,0.0003022962287493232,2000,1.0,698.1744331169618,35.22628728543564,713470.2588018718,747.2134884669424,-12.921567454844666,2565.056911,2025-11-26T23:56:44,159.0
4,12,39,128,1,4,0.19500396298244596,64,0.00036190098011411716,2000,1.0,794.0749426035705,38.95687262677614,957491.5997686671,848.3073304103785,-18.430091346641596,2531.850032,2025-11-27T00:39:29,141.8
5,12,27,64,3,2,0.4219662494957447,32,0.00019728871547439118,2000,1.0,659.8485134676964,29.875255667904334,853737.1544738638,708.9268932221851,-11.564062978398912,5101.122685,2025-11-27T01:21:41,271.8
6,12,36,256,1,4,0.5462653119117021,32,0.0007465927614497305,2000,1.0,1089.4928302231965,70.92968377961881,1853862.0639365078,1153.0370335378811,-174.6465435541747,4306.790926,2025-11-27T02:46:42,152.6
7,12,51,128,2,2,0.31875374624505637,64,0.0001274431218638122,2000,1.0,1642.2546951138538,110.37498415571585,3904212.8294293196,1688.7705392146659,-342.16694726198045,6290.493111,2025-11-27T03:58:29,325.2
8,12,52,256,1,2,0.48523022038862107,64,0.0003962665096702672,2000,1.0,1601.2995714568779,101.84050808523581,3074718.8379304404,1691.855098913662,-172.47024589253857,6490.978947,2025-11-27T05:43:19,214.2
9,12,39,64,2,4,0.2586950896307826,32,0.0002295452102624765,2000,1.0,1145.2243919218276,69.17332800757472,1844354.897653001,1180.2122234481176,-128.45978317157102,3993.715811,2025-11-27T07:31:30,196.2
10,12,27,256,2,2,0.13494531381875277,32,0.0006065169684173619,2000,1.0,667.8079028481852,31.47685335696992,858110.2228175768,724.2424105031807,-15.602959045572623,3302.153841,2025-11-27T08:38:04,134.4
11,12,42,128,3,4,0.360931150522083,64,0.00011251465939856174,2000,1.0,715.7781431080223,37.57062472292087,764048.0454211901,793.3708996360532,-15.997966282296133,3081.77096,2025-11-27T09:33:06,171.0
12,12,44,256,2,4,0.4538521761074662,64,0.0009399727439731361,2000,1.0,847.4589340766,56.52732792602901,1080800.5314356866,896.6452294073497,-99.47060355708604,3731.222017,2025-11-27T10:24:28,126.4
