trial_index,test_size,window_size,hidden_size,lstm_layers,num_attention_heads,dropout,batch_size,lr,epochs,grad_clip,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,12,49,256,4,2,0.22637823820114136,128,0.0008578517742989719,2000,1.2014334201812744,378.3680911837583,25.854292498671413,210821.44535367168,455.0406473267535,-18.59405042739615,3.5166911338935765,1451.786134,2025-12-10T15:57:30,146.0
1,12,33,64,2,4,0.5537170147523284,64,0.00024607299683627635,2000,2.7147467406466603,165.7127661337737,11.098351167579438,49465.13422819984,220.59195540267413,-3.050295490557504,1.2873767994538374,1550.726012,2025-12-10T16:21:42,305.6666666666667
2,12,28,128,3,2,0.43012282429262993,32,0.000352463998991062,2000,1.800959661602974,169.85197179588343,11.465177835563061,45203.45570590211,212.26891912752228,-2.2850204812540915,1.4724656776391503,759.948695,2025-12-10T16:47:33,118.66666666666667
3,12,40,32,1,4,0.1038826041854918,128,0.00010640658865401232,2000,0.8142561647109687,260.9492350348843,17.861635966787485,164134.49766204495,372.93837011952684,-17.6358867475978,6.635142347460453,1399.923116,2025-12-10T17:00:13,387.6666666666667
4,12,43,128,2,4,0.16363934557884932,64,0.0004821213548322312,2000,2.173764786683023,264.1938114280161,18.451636481299435,117766.00747769493,334.7802563984,-5.753004513710519,7.026381324653714,1033.243374,2025-12-10T17:23:33,184.0
5,12,31,32,4,2,0.3664521727710962,64,0.00013829331277805164,2000,0.6414997433312237,263.0114056561784,17.729287141172005,128771.40862617904,335.1598775922488,-12.024253373061233,6.235813151121557,951.279151,2025-12-10T17:40:46,193.66666666666666
6,12,36,256,1,4,0.4928539813496172,32,0.0006269834801503366,2000,1.5303100920282304,241.40206640717057,16.386502203016747,111630.44850743205,313.63300691267017,-8.191729396145854,5.718897111497596,1503.154451,2025-12-10T17:56:37,172.33333333333334
7,12,51,64,3,2,0.2911398614756763,128,0.0001892788053089973,2000,2.4980281684547663,200.265247656356,13.535734076924578,70308.02620743877,254.51116272105187,-4.1150632494031605,3.6842934403965346,889.41169,2025-12-10T18:21:40,175.66666666666666
8,12,49,128,1,2,0.5914866806939244,128,0.0004923226957128282,2000,2.2272043274715543,163.54467392300066,11.187686396421618,47940.52812385056,212.81730743286707,-4.013569120018596,2.773116428235294,1339.91761,2025-12-10T18:36:30,206.66666666666666
9,12,37,32,3,4,0.2628196574747562,32,0.00017134856674303676,2000,0.7125659422017634,153.22658000005967,10.316149804356552,39856.95544332479,192.02996691434225,-3.3552857217863234,2.650669165398559,1402.271719,2025-12-10T18:58:50,222.33333333333334
10,12,30,256,2,2,0.13531915741041303,64,0.0006719627690118948,2000,1.6154902982525527,491.45521069470004,33.91601808729827,402889.3610162988,586.3652456942606,-17.141854998818015,14.895523882964625,1229.814005,2025-12-10T19:22:12,152.0
11,12,46,64,4,4,0.4650848581455648,64,0.00022295083852755075,2000,2.600830264389515,268.4781325386787,18.55012927264343,137841.1762646305,328.38396714988573,-8.9680802313569,10.838534020882692,849.378204,2025-12-10T19:42:42,169.0
12,12,41,256,3,4,0.4037555068731308,128,0.000874772053400055,2000,1.40250811772421,230.8110366888255,15.946422540167083,92642.60258086096,293.4021513764673,-8.079088001839194,4.014413048922964,1125.511699,2025-12-10T19:56:51,133.0
13,12,26,64,1,2,0.2005624169483781,32,0.00030446220411411154,2000,2.9360413243994117,150.63211952156544,10.144225784290894,32425.53904922375,177.49948401327524,-2.0220570241810996,1.984790594944758,1362.27031,2025-12-10T20:15:37,255.0
14,12,36,128,4,4,0.32305803513154385,32,0.0003780685551692657,2000,2.0484234411269426,147.14148602327506,9.657558309768715,31449.728329699563,176.23550443214967,-1.8338839108942953,1.3457749009633673,1114.399899,2025-12-10T20:38:19,150.33333333333334
15,12,47,32,2,2,0.527349713165313,64,0.00012544153818462968,2000,1.081935083027929,195.91464260314868,13.306616702623218,63292.755369539256,241.83079648907582,-3.8747710015808803,2.6954312878557953,1442.07615,2025-12-10T20:56:53,324.0
16,12,32,64,3,4,0.36715058927389066,32,0.00029085108948182983,2000,1.9076337155581902,180.05182796661998,12.244086616066951,55076.46821780885,223.49210384321955,-2.1706834434488096,3.7514524141056005,835.956652,2025-12-10T21:20:56,135.0
17,12,28,64,2,2,0.335132852567237,32,0.00027238679406535086,2000,2.728219416599689,145.65808111875052,9.778486970741808,32574.509471407353,179.21309644592301,-1.2552962574112612,1.2317179992767857,1389.212339,2025-12-10T21:34:52,245.33333333333334
18,12,32,128,3,4,0.3520420434743786,32,0.00032372494558086145,2000,2.450656092259292,192.1996380083749,13.257181620563465,58693.5283823374,234.5276093757259,-5.043676165717034,3.585475940205661,1053.572936,2025-12-10T21:58:02,153.0
19,12,27,64,1,2,0.3399621247161032,32,0.00024759968985803597,2000,2.781114646165653,157.078810862797,10.657568563138364,35450.23605378376,185.93003568033077,-2.0452064956056346,1.774375976502275,1527.747081,2025-12-10T22:15:36,282.6666666666667
20,12,28,64,2,2,0.24661663430492659,32,0.00026782254466140617,2000,2.3886134619033563,157.75663850187152,10.609394919670885,34614.14965590891,184.59987587528062,-2.123116445028798,1.722684520845864,1373.967792,2025-12-10T22:41:05,245.0
21,12,36,128,4,4,0.31897340842705485,32,0.00032893927132526856,2000,1.6498168848181298,179.52388041754116,12.227377822834619,66870.85921663581,245.11471007167415,-4.124100314280912,3.48391485240077,992.11476,2025-12-10T23:03:59,135.0
22,12,27,32,2,2,0.29330319673129673,32,0.00036266240688552905,2000,2.8000178052892766,138.56466503646695,9.40198754964133,28156.180507136884,164.65430380523225,-1.7816656175960992,1.6800817093666203,904.97747,2025-12-10T23:20:32,169.0
23,12,35,64,4,4,0.3341328915480646,32,0.0004589427682394619,2000,2.3208863212307684,186.2127057464486,13.026582726470778,58854.13270178144,236.446138396716,-4.587885334092701,3.3133305985093684,941.507628,2025-12-10T23:35:38,149.33333333333334
24,12,26,64,2,2,0.27669591843469826,32,0.00032460898208674016,2000,2.827857061183132,150.70190270456075,9.949543258154884,32600.45086483245,179.25191820214653,-1.8382816295598758,1.3502007069358068,791.260595,2025-12-10T23:51:20,143.33333333333334
25,12,29,32,2,2,0.26239195575784713,32,0.00029021595062626344,2000,2.889855335128049,156.9327860736686,10.721686711649989,45691.83734513528,204.5759650103287,-2.5010914766340786,3.005460904622893,822.285474,2025-12-11T00:04:32,151.66666666666666
