trial_index,test_size,window_size,hidden_size,lstm_layers,num_attention_heads,dropout,batch_size,lr,epochs,grad_clip,mae,mape,mse,rmse,r2,runtime_s,started_at,epochs_ran
0,12,44,128,3,4,0.5013001918792724,32,0.0006598076665157498,2000,1.0,298.62146568647967,25.27977006452414,147219.27886876024,334.9324519755235,-36.422403524040796,2108.573967,2025-11-28T13:31:40,132.66666666666666
1,12,34,128,2,4,0.5155901470221579,32,0.00014788662257051043,2000,1.0,260.13616099912906,21.845099175346807,116280.04563598665,309.2137460045822,-27.42604362164074,1650.763432,2025-11-28T14:06:48,122.0
2,12,32,256,3,2,0.38988727601245043,32,0.0005600108059528858,2000,1.0,226.01147041938222,19.0488076445993,86767.51759894831,265.9487583766044,-20.325750939502374,2994.978044,2025-11-28T14:34:19,174.0
3,12,44,64,1,4,0.10012601166963578,64,0.0003022962287493232,2000,1.0,273.4073957726627,23.08821463537754,121190.34746996687,319.9637728492196,-27.946036739909246,2522.880635,2025-11-28T15:24:14,272.0
4,12,39,128,1,4,0.19500396298244596,64,0.00036190098011411716,2000,1.0,250.19783626959347,20.477974916636246,89583.14707666561,292.4352187332308,-18.378864525507453,1288.540295,2025-11-28T16:06:17,126.0
5,12,27,64,3,2,0.4219662494957447,32,0.00019728871547439118,2000,1.0,183.97142146674778,15.04652406305515,47381.83153162593,215.73705749208224,-8.117741441569413,3389.466671,2025-11-28T16:27:45,309.6666666666667
6,12,36,256,1,4,0.5462653119117021,32,0.0007465927614497305,2000,1.0,231.57843819937378,18.836566104159317,97180.97055136196,300.23700489648223,-13.409237234606985,3153.734098,2025-11-28T17:24:15,180.0
7,12,51,128,2,2,0.31875374624505637,64,0.0001274431218638122,2000,1.0,336.96200212651985,28.492291031946426,200719.01913100565,373.0994866866667,-51.232984711733046,4155.843866,2025-11-28T18:16:49,324.3333333333333
8,12,52,256,1,2,0.48523022038862107,64,0.0003962665096702672,2000,1.0,593.3907806110889,48.9061194007603,527931.5619445508,660.6516476178754,-93.92132890475507,5002.995713,2025-11-28T19:26:04,264.3333333333333
9,12,39,64,2,4,0.2586950896307826,32,0.0002295452102624765,2000,1.0,160.00640190740603,13.304305212047502,41102.44894258457,195.22422996766875,-8.260298930678296,4824.918941,2025-11-28T20:49:27,372.6666666666667
10,12,27,256,2,2,0.13494531381875277,32,0.0006065169684173619,2000,1.0,195.98257115011543,16.44320325314219,61934.628903747485,242.14135945884814,-11.56594157577819,1638.918011,2025-11-28T22:09:52,107.66666666666667
11,12,42,128,3,4,0.360931150522083,64,0.00011251465939856174,2000,1.0,238.88472889951746,20.05576075259397,105341.13068833742,300.0573672939037,-24.11314255576318,1573.224677,2025-11-28T22:37:11,141.0
12,12,44,256,2,4,0.4538521761074662,64,0.0009399727439731361,2000,1.0,457.57409031859487,38.16364871896668,291745.477573717,499.83990591736375,-62.055512909082466,2509.484698,2025-11-28T23:03:24,147.66666666666666
