trial_index,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at
0,43,32,96,2,3,344,0.00022955301301982013,710.2252268671876,18.514238291966688,787241.9433847894,887.2665571206825,-0.07911668110399628,9.816715,2025-11-11T23:37:15
1,43,16,96,2,9,65,0.0007967154568885115,787.649819873698,21.435727163690714,742321.9453194219,861.5810729811919,-0.017542320597897065,8.755454,2025-11-11T23:37:24
2,42,32,256,8,24,357,5.585574253291788e-05,2224.4412110143226,66.70196061707863,6692882.12845913,2587.060518901545,-8.174308876925389,72.327407,2025-11-11T23:37:33
3,43,16,64,8,12,220,4.109372465173682e-05,1711.2117296093747,50.813576313182,3873309.6145708873,1968.072563339799,-4.309362707724719,39.138221,2025-11-11T23:38:45
4,43,32,512,2,19,505,0.0004299099420727768,804.209390186198,22.37256283606516,774672.7036356103,880.1549316089812,-0.061887319284405384,130.100383,2025-11-11T23:39:25
5,42,64,512,8,15,297,0.0005593933899372556,758.5107817877605,19.787188035690065,733332.3361145813,856.3482563271682,-0.005219759114650557,53.553073,2025-11-11T23:41:35
6,43,32,128,8,2,524,0.00010343712444578982,756.074830749349,17.862681711956338,875566.5288240459,935.7171200870731,-0.20018814369565585,10.399649,2025-11-11T23:42:28
7,42,64,256,4,19,174,1.0898133188022219e-05,1322.8987986354166,38.03893449015469,2124532.8495509294,1457.5777336220972,-1.9122163227820104,22.092813,2025-11-11T23:42:39
8,43,16,64,8,17,305,7.692338851858729e-05,1834.5262966575522,43.960434081790716,4145417.9971729666,2036.029959792578,-4.682356927864496,76.704876,2025-11-11T23:43:01
9,43,64,256,2,9,530,4.1621962647701095e-05,887.5401962460937,24.540018658318573,1001806.8722919124,1000.9030284157964,-0.3732328621703256,31.827309,2025-11-11T23:44:18
10,42,32,64,8,10,52,0.0005717637303502277,776.5774118333334,20.809321296859505,731703.7946394697,855.3968638237282,-0.0029874259844990814,4.311358,2025-11-11T23:44:49
11,43,64,512,8,3,520,1.2796751983333363e-05,949.9220910078125,28.148147238632475,1357228.540795046,1165.001519653535,-0.860429275586116,18.996118,2025-11-11T23:44:54
