trial_index,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at
0,24,16,1024,8,1,597,0.0009387705393860133,1100.2116619680498,62.950820683308265,1457480.162717858,1207.261430974194,-10.308700914941966,33.007063,2025-11-19T16:50:12
1,12,64,1024,8,2,985,2.6074402346782672e-05,638.1978883677892,34.37838438881201,448295.871120634,669.5490057648013,-2.4783622155466767,45.871182,2025-11-19T16:50:45
2,12,32,512,32,9,759,1.466800358552798e-05,1130.5323915416175,61.6708494738765,1322796.0060031356,1150.1286910616288,-9.263676162476218,114.716226,2025-11-19T16:51:31
3,8,64,1024,4,5,671,1.3358893851392828e-05,408.25620592692553,22.36899434041447,217452.29106129418,466.31780049800176,-0.6872290860518027,61.243341,2025-11-19T16:53:26
4,24,16,1024,32,10,914,1.55898047092491e-05,410.2077252004715,22.93485653801385,213681.94642126202,462.2574460419886,-0.657974691397903,484.095914,2025-11-19T16:54:27
5,12,64,256,8,5,723,0.0027246143485280695,485.6865857783957,28.693374905913444,320530.0121482595,566.1537001100138,-1.4870170684779835,34.689674,2025-11-19T17:02:31
6,12,64,512,32,3,610,0.0005312198508273171,278.4672745423319,15.155792378228613,112753.7331736335,335.7882266751375,0.12513509403377898,23.974355,2025-11-19T17:03:06
7,12,32,512,32,9,502,0.0003890498761348689,412.2039636786639,24.24893421779437,235126.34523783484,484.8982833933678,-0.8243634346005111,76.017322,2025-11-19T17:03:30
8,12,64,512,16,2,661,0.009008494006396858,384.33204595405454,22.50183128449775,206260.71335540072,454.1593479775581,-0.6003927720629572,15.815786,2025-11-19T17:04:46
9,8,16,256,32,3,914,0.007490974829769599,423.7515507554868,24.972764728818195,248422.95788017768,498.4204629428628,-0.9275328769026909,95.73668,2025-11-19T17:05:02
10,8,32,256,4,3,494,1.4816286224519365e-05,435.5478944713048,24.1218724635616,235312.91522899285,485.0906257896485,-0.8258110455414209,27.307569,2025-11-19T17:06:38
11,8,64,1024,8,5,347,0.003405930324531892,406.7499638414243,23.907174843716593,229113.2623752739,478.6577716649693,-0.7777074612233774,31.785565,2025-11-19T17:07:05
12,24,32,512,32,6,491,0.001174568974655593,428.57533208686704,25.27464257800855,254184.14156429804,504.16677951278984,-0.9722343451396707,61.724057,2025-11-19T17:07:37
13,8,32,256,4,5,940,0.007557900814325303,351.54258613159055,20.364681284179618,174613.86473140607,417.8682384812299,-0.3548424344708303,79.044958,2025-11-19T17:08:38
14,12,64,512,32,3,546,0.0011716970244755559,736.7016764061676,42.848773763550966,668179.079082777,817.4222159219659,-4.184452973190299,21.332664,2025-11-19T17:09:58
15,8,16,256,4,6,1000,0.01,2815.3458534941897,147.25684349088783,8055053.582523356,2838.142628995829,-61.49978157419508,193.554898,2025-11-19T17:10:20
16,8,64,512,8,4,602,0.00032357985801614056,378.37507585255327,20.094654272547473,201401.24441703464,448.7774999006018,-0.5626877780361734,23.329475,2025-11-19T17:13:35
