trial_index,test_size,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at
0,4,36,64,256,16,8,897,0.0003898386229844703,469.21946093819827,32.100805483119444,225015.83464000784,474.3583399077198,-45.40083567260487,11.612347,2025-11-21T02:01:37
1,4,24,16,256,4,2,1783,0.008834404881586266,669.9907316901514,45.74234201050123,453761.387822837,673.6181320472579,-92.57078191686081,14.71397,2025-11-21T02:01:49
2,12,36,32,512,16,3,642,0.0003507219892079814,314.1787263477225,20.145669958391,116782.69327763503,341.7348288916935,-3.950251535864658,3.637351,2025-11-21T02:02:03
3,4,12,32,256,32,2,1052,0.00027625401282729763,184.88413378976077,12.894423480547895,57292.640444456054,239.358811085901,-10.814396967955306,8.622619,2025-11-21T02:02:07
4,4,12,32,512,8,1,1092,0.004558018817052584,276.14911792062014,18.82434518000018,77651.57727580132,278.6603259809356,-15.012642322072406,5.863602,2025-11-21T02:02:16
5,8,12,32,1024,4,4,1924,0.0023778465184786705,533.7424846300964,35.16785845213427,298542.273286794,546.3902207093333,-20.856368588105912,32.102394,2025-11-21T02:02:22
6,12,24,32,512,8,4,1098,0.00589873597283476,795.3085176074882,49.98457898451606,656106.9001931389,810.0042593672819,-26.811434204990096,7.858755,2025-11-21T02:02:54
7,8,24,64,1024,32,3,1740,4.926174943845719e-05,332.4817119250183,22.24077957682801,135677.40406027404,368.3441380832252,-8.932983090036322,16.459964,2025-11-21T02:03:02
8,12,24,16,512,32,8,836,2.509016766698428e-05,499.2639721159517,31.738488573287356,276213.7154278783,525.5603822853072,-10.708304806544431,21.126521,2025-11-21T02:03:18
9,8,12,16,1024,4,5,472,0.00025986805500782025,472.495795787323,31.195803835795534,236911.7143352722,486.73577466144013,-16.34437704364065,12.994309,2025-11-21T02:03:39
10,4,24,32,1024,4,10,1814,0.0005054812805842479,908.3723234870264,61.938115645202515,829989.6799398691,911.0376940280073,-170.15335376491012,60.45421,2025-11-21T02:03:52
11,12,24,64,256,32,4,1041,0.00015206942929253095,472.7988333626965,30.419187522576003,272589.8319738298,522.1013617812443,-10.554693563896084,7.069884,2025-11-21T02:04:53
12,8,12,64,512,8,5,1077,2.3913631814177724e-05,152.7437076825968,9.925764220499504,32483.04227427218,180.23052536757524,-1.378093182560769,9.387185,2025-11-21T02:05:00
13,12,24,64,1024,16,9,651,0.006040332018793331,889.6897431934257,55.80892575861216,815139.1036341944,902.8505433537681,-33.55258212032758,16.181645,2025-11-21T02:05:09
14,12,12,16,512,4,1,609,5.1365328263236675e-05,253.00554343840165,16.03196913563872,106008.37197593629,325.5892688279764,-3.493543447750649,3.101524,2025-11-21T02:05:25
15,4,36,64,256,4,5,636,6.587134489727305e-05,306.0203947760889,20.865121614989015,98500.97798384436,313.8486545834542,-19.31202693059981,5.330599,2025-11-21T02:05:28
16,4,24,32,1024,4,10,1722,0.001173380003309956,760.7069792487451,51.90531041179529,583524.5001341319,763.8877536223054,-119.32941808286692,57.327486,2025-11-21T02:05:34
17,4,24,32,1024,4,10,2000,0.0003056070591333075,773.7964567878076,52.79464704476071,603610.3548934921,776.9236480462491,-123.47135079406453,66.689254,2025-11-21T02:06:32
18,4,24,32,1024,4,10,1604,0.0003100434586139148,832.6215300299951,56.791390197762446,698107.9997448607,835.5285750618351,-142.9578446988669,53.454685,2025-11-21T02:07:40
19,12,24,64,1024,8,8,908,0.007471044298749666,999.2794445280609,62.571804256528495,1022150.855345467,1011.0147651471104,-42.32751454472827,20.004469,2025-11-21T02:08:34
20,8,24,32,1024,4,10,1682,0.0005157705477681334,883.4980998644714,57.85045047174302,794228.1729804941,891.1948008042316,-57.14568067900986,51.148807,2025-11-21T02:08:55
21,12,24,64,1024,8,8,1092,0.0044243794528460905,811.6151785775402,50.99087644168011,682310.426688684,826.0208391370547,-27.922164259581876,24.02659,2025-11-21T02:09:47
22,12,24,64,1024,8,8,721,0.01,982.5011649056651,61.53639788673956,988899.7739804959,994.434399033187,-40.91804870714228,15.897238,2025-11-21T02:10:12
23,12,24,64,1024,8,8,892,0.01,694.0896455371757,43.738275320004725,505351.70053253276,710.8809327394657,-20.421136655632093,19.615199,2025-11-21T02:10:28
24,12,24,32,1024,8,9,757,0.0036040593981966763,941.332667184311,58.99585498509957,909698.4504362372,953.7811334033805,-37.56081774668314,18.745836,2025-11-21T02:10:49
25,8,24,32,1024,8,9,833,0.002813081871584407,917.7303386340027,60.07050733408822,855888.2551336882,925.1422891283742,-61.659833625847206,22.80931,2025-11-21T02:11:08
26,8,24,64,1024,8,9,615,0.0032590389487466877,850.1229167590027,55.68597612080821,736368.2542832411,858.1190210473377,-52.90973882862353,16.925545,2025-11-21T02:11:32
27,8,24,32,1024,4,9,1083,0.0019353008261017153,827.4519878039246,54.2157026439053,698336.0698274337,835.6650464315435,-50.125391297115236,29.719752,2025-11-21T02:11:49
28,8,24,32,1024,8,10,1229,0.0011848460300317653,842.6751628527527,55.20296835974972,723760.7107733202,850.7412713471236,-51.98673681986378,37.439216,2025-11-21T02:12:20
29,12,24,32,1024,8,8,542,0.004869677219155331,1005.3020478809254,62.943460623400846,1034223.4719641936,1016.967783149591,-42.83925551662622,11.979518,2025-11-21T02:12:58
30,12,24,32,512,8,8,515,0.005915148601634047,983.2737072233734,61.58407288486868,990418.4548203858,995.1976963500196,-40.982423418404345,6.860197,2025-11-21T02:13:11
31,8,24,32,1024,8,8,552,0.006507330483060479,846.0957561144714,55.42480378300445,729537.3254947558,854.129571841858,-52.40964450108816,13.510245,2025-11-21T02:13:19
32,12,24,64,1024,8,8,454,0.0029638496700961836,855.5457002246757,53.70186746889251,755549.7096635414,869.2236246579711,-31.02667283749242,10.053147,2025-11-21T02:13:33
33,12,24,32,512,8,9,673,0.005219430992418079,960.4531912728527,60.17579882219114,946061.5837186881,972.6569712486968,-39.102199019269165,9.703979,2025-11-21T02:13:44
34,12,24,32,512,8,9,648,0.005415698575286179,988.1764985645192,61.88662832134316,1000084.0607736002,1000.0420295035606,-41.39213464677285,9.961524,2025-11-21T02:13:54
35,12,24,32,512,8,8,706,0.004828802059486381,824.7052461231132,51.79867876081592,703730.1108273099,838.8862323505554,-28.830114070714334,8.971022,2025-11-21T02:14:05
