trial_index,test_size,window_size,d_model,n_head,num_layers,dropout,batch_size,lr,epochs,optimizer,weight_decay,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,4,44,64,4,3,0.47268301248550415,64,8.726111411298027e-05,2000,adam,2.277718954596625e-05,331.0053966696765,24.691658315497847,156171.51459097408,358.5062552935312,-15.851185165862026,10.970555148299749,14.177461,2026-01-11T08:58:43,114.33333333333333
1,4,41,128,2,1,0.3131911827251315,64,0.00018647377409411852,2000,adam,9.474123584965665e-05,182.20688386795408,14.050341973981302,54227.137740338105,220.39878304683307,-5.579392843004821,7.367514799652828,13.240401,2026-01-11T08:58:58,247.0
2,4,41,64,8,3,0.002806955203413963,64,0.0004545369722400776,2000,adam,0.0006616382138743437,136.33163867893722,10.524826537077416,30707.75715932743,173.40697344267747,-2.651748591563645,0.28084069546210455,16.07606,2026-01-11T08:59:11,146.66666666666666
3,4,49,64,8,2,0.17000342197716237,32,0.0006792111052242046,2000,adam,2.9236647214196467e-06,198.55231027449065,15.83142901948719,58050.81030712839,219.8002497003055,-6.227843913060632,8.778278833276424,25.527433,2026-01-11T08:59:27,165.33333333333334
4,4,35,64,4,1,0.08887457214295864,128,5.739831076788101e-05,2000,adam,5.2837685847280724e-05,291.9365510077826,23.20964581356306,142045.19339691687,334.3113770337273,-16.643598505498584,12.274567887180659,6.144141,2026-01-11T08:59:52,202.33333333333334
5,4,31,64,2,1,0.1409851463511586,32,1.6874727131757368e-05,2000,adam,2.544452620791726e-06,386.0766149572146,30.494048623571743,237032.60965039217,454.54582601895623,-28.9267989450466,14.291442616606318,22.101366,2026-01-11T08:59:59,208.0
6,4,48,32,2,3,0.011062162555754184,128,0.00011435074392863288,2000,adam,0.0004177210842643201,281.348714964439,22.328515427380214,148283.25328078517,321.65241922784173,-17.136816976362326,15.49158320369504,9.267197,2026-01-11T09:00:21,136.66666666666666
7,4,47,32,4,4,0.12154971845448016,128,0.00017298295350072672,2000,adam,2.052122933038448e-06,203.16420542524295,15.202332857645482,56311.884004462576,224.73167534816585,-4.772567449295285,5.110264757090204,15.990962,2026-01-11T09:00:30,192.0
8,4,51,256,8,2,0.245125275850296,64,3.2963062597955956e-05,2000,adam,1.0706345813157665e-05,450.47244706829434,35.34992687600627,277845.00210481737,508.7529867679464,-37.882316402528495,8.038403801236381,23.391503,2026-01-11T09:00:46,199.0
9,4,32,32,4,3,0.2075519012287259,128,0.00029793479993375397,2000,adam,1.2773571598391722e-06,201.7316450500116,15.439744575394792,56859.12097280079,221.61747989808222,-6.453900120865352,6.514878245770492,12.518574,2026-01-11T09:01:09,194.66666666666666
10,4,52,128,4,1,0.35379046127200126,128,5.0762740313256417e-05,2000,adam,9.152024101970692e-05,327.0732483829237,25.400462680855853,153249.42882691254,388.13858180084316,-19.129228846786642,3.2623760303172373,11.045185,2026-01-11T09:01:22,277.6666666666667
11,4,48,128,4,4,0.5976103702560067,128,0.00021220908675015997,2000,adam,0.00027705845205565496,163.8640511080192,12.601591079685528,36896.62651261004,183.50670370380467,-3.427374597178575,3.7155310762937224,13.246562,2026-01-11T09:01:33,114.66666666666667
12,4,48,128,4,3,0.25488414745777843,64,9.523891271240979e-05,2000,adam,1.7968133555471201e-06,261.82420342194115,20.40909818804303,108737.08388179449,290.6831322344439,-12.187530113083165,11.333037150432906,30.286922,2026-01-11T09:01:46,260.3333333333333
13,4,31,256,2,4,0.4649194914847612,128,1.6704256836301092e-05,2000,adam,5.690770612496936e-05,318.5078382670567,23.905460726270306,154687.6774351775,383.5624242393654,-15.068401438413717,3.4718472996797916,28.669078,2026-01-11T09:02:17,203.0
14,4,33,64,2,2,0.05508137661963701,128,3.8939735523331085e-05,2000,adam,0.000499208749764453,318.161942765177,24.065335177065524,316041.09673497366,411.82352369381687,-39.107966068192184,21.766853341359578,9.806415,2026-01-11T09:02:45,202.33333333333334
15,4,26,128,8,3,0.21783404778689144,128,3.894746344355184e-05,2000,adam,1.9614163742889685e-06,269.7981662233141,20.71976928071533,115566.60813551156,310.5872441132373,-15.761393734002885,10.35172329282757,10.869602,2026-01-11T09:02:55,133.66666666666666
16,4,42,64,8,3,0.07525996366320113,64,0.0005205890257570275,2000,adam,0.00014483353798188409,156.9566856769093,12.311029641555315,34425.436338736545,170.6920749378827,-3.32473891838993,6.641321592487395,27.305647,2026-01-11T09:03:06,265.0
17,4,40,64,4,3,0.07610612265794317,64,0.00042171196944594015,2000,adam,0.0006068286526343999,172.31771870777402,13.041611862378664,43274.64334915921,200.50914775254742,-3.358657353593363,3.5019530510055152,15.204514,2026-01-11T09:03:34,148.33333333333334
18,4,41,128,8,2,0.058299145897740205,64,0.00039918863595085315,2000,adam,0.0006186501765511606,240.04230295942264,18.957192612140588,90511.32268581314,268.91087453887667,-12.516236374696604,9.594651327185222,13.781582,2026-01-11T09:03:50,161.33333333333334
19,4,40,32,8,4,0.0,64,0.00044115402558569754,2000,adam,0.0004096416536901321,166.57970118749472,12.605205132102332,43110.8899768593,189.13219750742633,-2.946907409064084,5.619717948634724,18.47074,2026-01-11T09:04:05,146.33333333333334
20,4,44,64,8,3,0.0,64,0.000533505313653466,2000,adam,0.000691215950596788,183.45231420186857,14.090647709896826,49694.29466883123,213.99834584892847,-5.024435299073333,4.017809358585827,11.733752,2026-01-11T09:04:24,115.66666666666667
21,4,37,64,8,3,0.014187470202572506,64,0.0003867823456636915,2000,adam,0.0002300809724309003,256.4779915515268,20.06148074384226,96329.18245413499,299.5291555264669,-9.746819842290696,6.793748115588248,24.657023,2026-01-11T09:04:36,219.33333333333334
22,4,47,128,4,4,0.4486314525916071,128,0.0003853267087270446,2000,adam,0.00025839991182379136,210.55410621150943,15.923462897474641,75067.38841059325,261.609259596035,-6.649394108139653,4.692806148607009,17.682975,2026-01-11T09:05:02,154.0
23,4,41,64,8,3,0.04117290020630856,64,0.0004904347304465525,2000,adam,0.000619896812692958,176.7756459966595,13.532659962658068,45270.04493137973,211.20060779954233,-4.848270956582941,2.1964113272703876,17.799753,2026-01-11T09:05:21,167.0
24,4,43,32,4,4,0.022622775989540985,64,0.0004213433346555131,2000,adam,0.00027202087300551536,152.56315020668316,11.889212358144212,30204.642382154096,173.4200201092315,-2.777425562458655,1.9630587460301059,18.822776,2026-01-11T09:05:40,139.66666666666666
25,4,43,32,8,3,0.04301403413833039,64,0.0003890148385248823,2000,adam,0.000282069429559313,150.5488545109307,11.757975466480874,34737.257107125886,182.37789929587936,-3.5041272986789664,3.0562504568898503,14.113203,2026-01-11T09:05:59,131.33333333333334
26,4,43,64,8,4,0.015089504066550814,64,0.00040657971184928206,2000,adam,0.00028079091572165925,118.22790664799054,9.112606023457916,25362.195051032428,142.78005894431146,-2.1733182659067203,4.470976837052426,21.394331,2026-01-11T09:06:15,168.33333333333334
27,4,43,64,8,4,0.0,64,0.0003730178995155517,2000,adam,0.00021056920613222852,100.60909621014946,7.766449171251696,14408.80229759936,115.56404937957836,-0.9290465136852851,2.488409636614677,20.557241,2026-01-11T09:06:37,167.66666666666666
28,4,43,64,8,4,0.0,64,0.0003284701870661477,2000,adam,0.00014950711904860466,158.89257620288913,12.725978946764563,43582.64134185509,180.48478764157917,-4.803116421765599,7.309755665978974,30.828375,2026-01-11T09:06:58,243.33333333333334
29,4,43,64,8,4,0.03430402442425985,64,0.0004347513594058667,2000,adam,0.0003081386622975692,141.5579033927822,11.101757707707408,42146.74158978066,173.69848426434805,-4.552513958619675,6.617029803959703,26.571581,2026-01-11T09:07:30,190.0
30,4,43,64,8,4,0.0,64,0.0004183043152782011,2000,adam,0.00032294397303146916,125.8217092816521,10.118324635839604,35883.09288166831,159.28334808925112,-3.7206833228473144,6.752168125904778,28.621349,2026-01-11T09:07:57,235.0
31,4,43,64,8,4,0.0,64,0.0004242426219798818,2000,adam,0.00021956701343185808,196.51363068290576,15.551514945571578,66420.67590025756,231.14859739480585,-7.010134538655302,8.044047055625747,27.946529,2026-01-11T09:08:27,236.33333333333334
32,4,44,64,8,4,0.10338809485068598,64,0.00034918990399360585,2000,adam,0.0005916066587173804,189.5244046843893,14.596874054627023,51981.450042421966,222.96908003095442,-4.5406533212865945,2.152899713464754,23.160294,2026-01-11T09:08:56,178.33333333333334
33,4,45,128,2,3,0.6,128,0.000272320969663226,2000,adam,0.00041169059600397527,175.3864744202754,13.65064447000686,49890.20509239993,206.8446746255287,-5.2725130766431345,6.640414005223515,10.191577,2026-01-11T09:09:19,120.0
34,4,43,64,8,4,0.021036376468591907,128,0.0004375153692701334,2000,adam,0.00015222357349860375,155.7217966022797,11.749625055907556,33751.71460566175,173.50104856669964,-2.684618509959023,3.6090982488450845,16.543556,2026-01-11T09:09:30,175.66666666666666
35,4,44,64,4,4,0.059275248773932344,64,0.0004526334988498046,2000,adam,4.888699008946496e-05,153.7232872394093,11.963169302852414,32075.866561869596,172.21556809894344,-2.2059730861525915,3.108618574178098,26.065507,2026-01-11T09:09:48,196.66666666666666
36,4,44,32,8,4,0.016959632270610255,64,0.0004554678066179614,2000,adam,7.356314404627849e-05,170.79532464439424,12.875661797487261,36517.220950612566,189.90270806155647,-3.7031935677008434,1.4837408800591918,19.308202,2026-01-11T09:10:15,160.66666666666666
37,4,43,64,4,3,0.0,64,0.00040721073816756237,2000,adam,0.0002045959397426263,110.27123399171485,8.475202577349279,18409.317588558948,124.93239279015965,-1.585600415670075,3.5859915747371254,16.843768,2026-01-11T09:10:35,166.0
38,4,43,64,4,3,0.0,128,0.00038953770613675906,2000,adam,0.00018948961411322397,121.21565244042115,9.309094890651995,28090.623798767276,146.6377281001899,-1.9600439158693028,5.177972260411133,9.849707,2026-01-11T09:10:52,163.66666666666666
39,4,43,64,4,3,0.0,64,0.00037542939012924666,2000,adam,0.00015033398244740853,188.12107944582655,15.124029910557738,71099.46070889228,220.32230924867372,-7.895679739847162,10.81693540828732,20.451124,2026-01-11T09:11:03,202.0
40,4,44,64,4,4,0.0,128,0.0004673494391654082,2000,adam,0.0003752393343428319,107.7512143540849,8.311188466998896,15946.350816273412,121.77433135926242,-1.2411929290245078,2.7235574795926385,9.046192,2026-01-11T09:11:24,115.0
41,4,44,32,4,3,0.05046803799975454,128,0.0005055602109862925,2000,adam,0.00019277246841442632,141.78072131093725,10.726456480590548,31094.997311332245,169.0874242022338,-3.337194339674273,3.3188723254898993,7.353547,2026-01-11T09:11:34,116.0
42,4,44,64,4,4,0.11209517556202232,128,0.00041394487336290887,2000,adam,9.610473499114954e-05,118.44708190163139,9.360702326417403,25915.988369554845,156.34679903215465,-1.6598452724492894,1.1138860819433385,12.672169,2026-01-11T09:11:43,143.0
43,4,46,64,4,4,0.0,128,0.00040862222910426055,2000,adam,0.000196678970443646,149.92117835722698,11.488731083752876,31110.958716114634,175.19718921371842,-3.0756494632158646,2.1750931128033013,10.351178,2026-01-11T09:11:56,128.66666666666666
44,4,42,64,4,4,0.0024923939333369167,128,0.0005511454588244185,2000,adam,0.00016094725731497606,126.09625193941618,9.927689956744986,24538.325720753248,151.08572206505457,-1.8388752663455508,3.6525114822420055,14.443921,2026-01-11T09:12:08,165.0
45,4,43,64,2,3,0.13288915988827985,128,0.0004816840405530104,2000,adam,0.00017125449493760503,123.00360100494898,9.410024482676022,17640.760686006823,131.81787685310147,-1.14349130949418,1.9268646293344773,9.472511,2026-01-11T09:12:23,141.0
46,4,43,64,4,4,0.10973462170741949,128,0.00044780794002752565,2000,adam,0.00038751008079999385,144.131282285095,10.876546377783901,35507.40025684284,175.25728542429522,-2.2955067993169695,3.489954978463313,13.627752,2026-01-11T09:12:33,154.66666666666666
47,4,42,64,2,4,0.016812127054269918,128,0.0004237761677744027,2000,adam,0.00011532967700846457,93.17596829583795,7.036530583246788,14903.1889161938,119.61845766036987,-0.826987585353622,1.5159527153786805,19.859448,2026-01-11T09:12:48,235.66666666666666
48,4,42,64,2,4,0.06483611978276786,128,0.00040936063879381,2000,adam,3.0053834333611146e-05,103.46893097900654,7.969861172281803,13975.163314646246,115.9166328441098,-0.8170673041474793,2.5140984042857406,21.580109,2026-01-11T09:13:08,259.3333333333333
49,4,42,32,2,4,0.02186475108980142,128,0.000419217859141459,2000,adam,8.54372247289502e-05,195.96828122881857,14.71637128837996,48507.89255955832,210.267190376216,-4.473745664041534,4.981948836589789,16.733574,2026-01-11T09:13:31,215.66666666666666
50,4,43,64,2,4,0.005966413613971186,128,0.00045728112506968234,2000,adam,7.204417817047406e-05,149.37899773346462,11.356771095012924,38187.78581637344,179.95970147243816,-3.0781468197161725,4.205948588486148,14.686085,2026-01-11T09:13:48,170.0
51,4,42,64,2,4,0.0978659064783023,128,0.00038022670416330834,2000,adam,7.151407534240359e-05,113.20790396077739,8.663944413628741,15307.551381012354,122.03843504849657,-0.9840454771076944,2.285592735873684,24.833953,2026-01-11T09:14:04,296.6666666666667
52,4,42,64,2,4,0.08058200066293837,128,0.0003871253550288484,2000,adam,9.64630750678427e-05,99.35453075114197,7.724046763338262,14670.89078766231,114.88317547022763,-0.9844048737867195,2.979065777335012,20.38841,2026-01-11T09:14:30,242.66666666666666
53,4,42,64,2,4,0.06869639614086234,128,0.000370138402603669,2000,adam,0.00011730907376442053,80.74644818727711,6.135348569936809,14185.391694971857,113.22332745273893,-0.8676156616170926,1.4726050433391726,20.046166,2026-01-11T09:14:51,240.0
54,4,42,64,2,4,0.06298447881934499,128,0.0003654181496364678,2000,adam,0.00011752584599680077,78.44577329334648,5.909725009299108,13598.4136777256,112.60374730123942,-0.7441660346101102,1.1246709402122517,19.118544,2026-01-11T09:15:12,230.33333333333334
55,4,42,64,2,4,0.0778558184103626,128,0.00035247628353741843,2000,adam,0.00016003008657928513,82.59721516726854,6.253362078720884,14090.397898462294,112.51309746934699,-0.7988725830547599,1.4176839407974091,22.776027,2026-01-11T09:15:32,272.6666666666667
56,4,42,64,2,4,0.06779929475720733,128,0.00035080334567839775,2000,adam,0.0001649093720767211,89.39118319805762,6.757225796654158,13784.226701227613,113.71157846869953,-0.7321387109691407,1.143558833927835,21.918678,2026-01-11T09:15:56,263.6666666666667
57,4,42,64,2,4,0.06895791476391469,128,0.00034334216257594626,2000,adam,0.00015924386189263522,87.83469494386459,6.684472068719233,12580.085153948792,110.57581268706576,-0.5698334528523192,0.816372955230328,22.126841,2026-01-11T09:16:18,263.6666666666667
58,4,42,64,2,4,0.07245588711434624,128,0.00034483936875422653,2000,adam,0.0001718052572434899,90.50210420493231,6.8806692200930355,13183.328202734985,112.60959583687213,-0.6540812157437853,1.043812462648048,22.248409,2026-01-11T09:16:41,263.6666666666667
59,4,42,64,2,4,0.0680306775930103,128,0.0003498944995230169,2000,adam,0.00017953108300867968,89.63213982240659,6.758950878374079,13381.785803038996,113.06541152437013,-0.6527982031156626,0.6742375468773394,22.101359,2026-01-11T09:17:04,263.6666666666667
60,4,43,64,8,3,0.0,128,0.000845049781438095,2000,adam,0.00019835964467570003,167.9557981006769,12.773505643138984,41957.670606262596,189.5349126010111,-3.6402977604217868,5.099583829449556,11.389027,2026-01-11T09:17:28,173.66666666666666
61,4,42,64,2,4,0.06524767398017511,128,0.0003397784304380777,2000,adam,0.00016758171116659424,89.12898633933366,6.7384317219389045,13483.918264683583,113.86712602580742,-0.6712077754125647,0.7450224302440177,19.403426,2026-01-11T09:17:40,231.66666666666666
62,4,42,64,2,4,0.06349862553477462,128,0.00034515793142658047,2000,adam,0.00019087998472072957,84.6208526390496,6.338906967660141,15442.008484467806,119.14877096107098,-0.9303077141529753,0.772255368745188,21.953009,2026-01-11T09:18:00,262.3333333333333
63,4,42,64,2,4,0.06986297235550548,128,0.0003406052758085181,2000,adam,0.00018775428955391306,88.25390896811568,6.600723202340805,16290.429186737034,123.34891470451305,-1.0336646909086962,0.2565829696288575,22.036694,2026-01-11T09:18:23,262.3333333333333
